Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.09.30.,중도일보,,"보험설계사, 100세 시대 현혹 천안시민 보험 해지로 손해 '막심'",,,http://www.joongdo.co.kr/web/view.php?key=20210930010005841,http://www.joongdo.co.kr
2021.09.30.,국제뉴스,,"용인시, 100세 장수어르신 건강 기원하는 기념품 전달",,,http://www.gukjenews.com/news/articleView.html?idxno=2318444,http://www.gukjenews.com/
2021.09.29.,시민일보,,"용인시, 100세 장수어르신 건강 기원하는 기념품 전달",,,https://www.siminilbo.co.kr/news/newsview.php?ncode=1065597144621487,http://www.siminilbo.co.kr
2021.09.27.,KBS언론사 선정,,‘100세에도 현역처럼’…‘흑인·여성’ 편견 맞서온 美 할머니들,,,https://news.kbs.co.kr/news/view.do?ncd=5287192&ref=A,http://news.kbs.co.kr/
2021-09-27 07:02:21,경남도민신문,세계,합천군 만100세 어르신 장수축하금 지급,"[    '100세 생일'을 맞이하는 기분은 어떨까요? 수명연장으로 100세 시대가 현실화되며 이같은 질문이 꼭 공허하게만 들리지 않습니다. 그래도 100세가 아직 돼 보지 못했으니, '100세 생일'의 모습을 영화 속에서 찾았습니다. 지난 2014년 개봉된 영화 '창문 넘어 도망친 100세 노인'입니다. 전 세계 8백만 부나 팔린 스웨덴 작가 요나스 요나손의 책을 원작으로 한 영화인데요.주인공은 100세 생일을 앞둔 스웨덴인 알란 할아버지입니다. 알란 할아버지는 복지선진국 스웨덴답게 요양시설에서 별 탈 없이 노년을 보내고 있었지만, 반복되는 일상의 무료함에 지쳐갑니다. 요양원 관계자들이 할아버지의 100세 생일파티를 준비하느라 분주한 틈을 타, 할아버지가 결국 창문 넘어 탈출을 감행하면서 '모험'은 시작됩니다.    영화 ‘창문 넘어 도망친 100세 노인’100세의 모험, 꼭 영화 속 일만은 아닙니다. '현실 100세'의 모험과 도전이 화제가 되고 있습니다. 100세에도 현역으로 일하고 있는 두 명의 미국 할머니들의 이야기입니다.그 첫 번째 주인공은 미국 캘리포니아주 리치먼드 '리벳공 로지 국립역사공원' 관리대원으로 활동 중인 베티 리드 소스킨 할머니인데요. '리벳공 로지'는 2차대전 때 전장에 투입된 남성을 대신해 공장에서 군수물자를 생산한 여성들을 말합니다.전쟁의 역사적 기록이 주로 남성의 역할에 치중해 조명되다 보니, 그 그늘에 가려진 여성들의 모습을 잘 알리자는 취지에서 리벳공 로지 국립역사공원이 만들어졌습니다. 할머니는 이 공원을 관리하는 역할을 지난 2000년부터 했습니다. 100세 생일을 맞이한 지난 22일 할머니는 ""열정을 따르는 것이 중요하고, 우리 모두에게 열정이 필요하다""며 앞으로도 계속 국립공원 관리대원으로 일하겠다는 의지를 밝혔습니다.    할머니 이름을 딴 중학교 앞에서 100세 생일 기념사진을 찍은 베티 리드 소스킨 할머니사실 소스킨 할머니가 '리벳공 로지 알리기 역사사업'에 전념하는 이유는 한 가지 더 있습니다. 전시 군수 사업과 관련해 당시 사회적 편견과 차별이 만들어냈던 일들을 몸소 경험했기 때문입니다. ""전쟁은 여자의 얼굴을 하지 않는다""는 말이 훗날 유명해진 것처럼, 전쟁의 뒷면에 감춰진 건 '여성'만이 아니었습니다. '흑인' 역시 그렇다는 것을 직접 느꼈던 것입니다.1921년 9월 22일 미시간주 디트로이트 태생인 할머니는 흑인입니다. 소스킨 할머니가 갓 스무 살을 넘긴 1942년 할머니는 전쟁 물품을 납품하는 군수공장 여공으로 고용됐습니다. 그러나 할머니는 곧 일을 그만둡니다. 당시 공장은 서류 채용을 했는데, 담당 관리자가 할머니를 백인으로 착각해 뽑았다는 사실을 뒤늦게 알게 됐고 여러 가지 차별들로 인해 일을 그만둘 수밖에 없었습니다.소스킨 할머니는 ""리벳공 로지하면 주로 백인 여성만 떠올리는데, 전시 군수 사업에 참여한 흑인 여성들의 이야기를 알리기 위해 목소리를 낸다""고 밝혔습니다.  100세의 나이에도 리벳공 로지를 알리는 국립공원에서 관리대원으로 일하는 열정은 바로 이 때문이었습니다. 이런 할머니의 노력은 미국 전역에 알려졌고, 할머니는 2015년 백악관 크리스마스트리 점등식에 초청받아 버락 오바마 대통령을 소개하는 역할을 맡기도 했습니다.100세의 모험을 평생 일한 바다에서 지켜나가는 한 할머니도 주목을 받고 있습니다. 1928년부터 101세인 2021년 지금까지 미국 메인주 록랜드시 해안에서 랍스터 어획을 하는 버지니아 올리버 할머니인데요. 매년 5월부터 11월까지 랍스터 수확 시기가 되면 할머니는 어김없이 바닷가로 갑니다.    101세에도 랍스터잡이를 하는 버지니아 올리버 할머니올리버   할머니는 어부였던 아버지를 따라 8살 때부터 랍스터잡이 배에 탔고, 남편과 결혼 후에도 같은 일을 이어갔으며, 이제는 78살의 아들과 함께 랍스터잡이를 하고 있습니다.  15년 전 사별한 남편을 대신해 할머니와 랍스터잡이를 하는 아들 막스 씨는 ""어머니의 체력과 직업의식은 정말 훌륭하다""며 ""때때로 어머니가 잔소리해 힘들 때도 있지만, 어머니는 나의 상사""라고 말했습니다.바닷일이 힘들고 험하지 않으냐는 질문에 할머니는 ""처음 랍스터잡이 일을 했을 때부터 여자는 나뿐이었다""며 ""이 일을 좋아하고 바다와 함께 하는 일도 좋아 할 수 있는 데까지 계속 하고 싶다""고 밝혔습니다. 할머니는 주로 잡아 올린 랍스터의 무게와 크기 등을 재고 랍스터 집게에 밴드를 묶는 업무를 맡고 있습니다. 크기가 작은 랍스터를 확인해 바다에 풀어주는 것도 할머니의 중요한 일 가운데 하나입니다. 할머니의 이름을 딴 '버지니아호'는 올해도 랍스터 수확 철인 11월까지는 매일같이 메인주 해안을 누빌 예정입니다.우리보다 고령화가 20여 년 먼저 진행된 미국에서 100세 할머니들의 모험 이야기가 주목받는 뉴스인 것을 보면, 우리나라도 '100세 열전'을 전할 날이 머지않은 것 같습니다. 60~70대는 노인 축에도 못 들어간다는 말이 나오는 것을 보면 더 그렇죠.  하지만, 이렇게 '하고 싶은 일을 하는 100세'가 많아지려면 건강은 물론이고 기본적인 재정도 어느 정도 해결돼야 할텐데, 우리나라의 100세 노인들도 과연 이런 삶이 가능할까요?2018년 기준 한국의 노인 빈곤율은 43.4%로, OECD 평균의 3배였습니다. 그런데 우리나라의 노인 인구는 지난해 803만 명으로 전체 인구의 16%를 차지했고, 2025년이면 1,000만 명을 넘어서는 초고령사회에 진입할 것으로 예측됩니다. 양질의 노인 일자리를 통한 소득 창출, 사회보험과 같은 노인 복지 문제가 또다시 등장할 수밖에 없는 대목입니다.그럼에도 불구하고, 미국의 100세 할머니들 이야기를 접하며, 빠른 속도로 늘어나는 노인 인구 수만큼 우리나라에서도 인생의 건강한 모험을 즐기는 100세 노인들이 많이 등장할 수 있길 기대해봅니다.   ]","['와.. 101세에도 직접 배타고 랍스터 잡이 현역이라니', '우리 나라도 100세 제주해녀 할머님 나오길 바라며..^^', '그야말로 원더우먼이시네요.  일하시는 체력도 대단하시지만,  생각하시는 열정이 청년이십니다. 멋지세요~!!', '늙어간다는건 슬픈일이지만, 그래도 주위에 도움을 줄수 있다면 보람된 삶을 살고 있다고 할수있겠지. 100세 시대라고는 하지만 100세 까지 살기는 힘들지 않을까? 언젠가는 150세 시대도 오겠지. 어떻게 살아가는냐가 중요해지겠어.', '웃 슬픈  이야기 이네요\n힘없어지고 100세까지 다들 건강하게 살면 다행이지만\n그렇지않다는것이 현실이죠~~\n건강은 건강할때 지키는것이 중요하겠죠', '한국만 유독 나이에 얽매여서 자신의 늙어감에 갇히는것 같다. 나이따위 신경쓰지 않고 늙어도 자신의 삶을 즐기려 하는 서양의 가치관은 배울만 하다.', '현역 100세 할머니 두 분 멋져요', '멋지네요!ㅎㅎ 할머님들 응원합니다~', '백세가 넘는 나이에도 즐겁게 인생을 사시는 모습이 부럽네요 저는 젊지만 아직 꿈과 희망이 없어 고민입니다. 죽으면 끝이라는 허무함이 자주 생각 나는데 할머니를 본받아 더 열심히 목표를 가지고 살도록 노력해야겠네요 할머니 장수하세요!!', '흑인이 황인한테 ㅇㅓ떻하디', '', '', '일하시는 100세 할아버지는 없군요.....', '혐', '호박넝쿨은 호박을 따고나면 사라져야지..한겨울에 살아남은 호박 넝쿨..뭐하냐?', '', '튼튼한 여성 부럽습니다', '저쯤되면 아줌마의 힘 이 아니라 할머니의 힘 입니다.존경합니다', '어느 날 새우란 화분에서 아가들이 태어난 것을 발견했지. ㅡㅡㅡㅡ난과 식물은 발아가 매우 어려운데,화분에서 발아되는 것을 보고 후손들을 위해 내가 좀더 살면서 좋은 난과식물을 육종할려고 마음 먹었어요. 앞으로 내가 만든 좋은 난들이 후손들에게 전해질길 바래요 ㅡㅡㅡ', '', '기사의 내용은 잃어버리고 101세에 랍스터잡는 할머니만 기억난다', '남자.여자를 떠나서    50대도 되기전에 직장에서 내몰리는데..  평생 할 수 있는 일을 찾아야 한다.', '우리 한국 할머니 할아버지들은... 죽어서도 문재앙 GSGG 취업률 올려야되서 일하는 일꾼 만을어놈...', '아메리카 대륙에서 흑인 및 남미인들이 가장 무시하는 종족 아시아인!!!', '', '저게 걸스캔두애니띵이다 한녀들아', '과연 편견일까? 괜히 인류 문명을 남성들이 세웠을까? 괜히 사회 대부분을 남성들이 지배할까? 괜히 남성이 임금이 더 높을까? 괜히 흑인 국가가 문명화가 늦었을까? 괜히 흑인 노벨상이 안 나올까? 모든 것엔 이유가 있다.']",http://www.gndomin.com/news/articleView.html?idxno=291319,https://n.news.naver.com/mnews/article/056/0011126422?sid=104
2021.09.22.,금강일보,,논산시 '건강100세 행복매니저 사업' 고용노동부 주관 일자리 사업 공모 선정,,,http://www.ggilbo.com/news/articleView.html?idxno=869767,http://www.gndomin.com/
2021.09.20.,뉴스1,,"100세 이상 국민연금 수급자, 9년간 100명 늘었지만…""노후보장 부족""",,,https://www.news1.kr/articles/?4439563,http://www.ggilbo.com
2021.09.19.,한국보험신문,,일본 100세 이상 노인 8만6510명 사상 최다,,,http://www.insnews.co.kr/design_php/news_view.php?num=66989&firstsec=1&secondsec=20,http://news1.kr/
2021-09-20 08:00:00,매일신문,정치,"경남 합천군, 만100세 어르신에‘장수축하금 지급’","[ 유족연금, 2012년 28명→올해 125명…노령·장애연금 수급자 없어지난해 기준 한달 평균 20만원 수령…""연금 개혁 시급""    권덕철 보건복지부 장관이 25일 전북 전주 국민연금공단본부에서 열린 제8차 국민연금기금운용위원회에서 발언하고 있다. (보건복지부 제공) 2021.8.25/뉴스1(서울=뉴스1) 이철 기자 = 100세 이상 국민연금 수급자가 지난 9년간 100명가량 늘어난 것으로 조사됐다. 하지만 노후보장을 하기에는 다소 부족한 금액이라, 국민연금을 개혁해야 한다는 지적도 함께 나왔다.20일 이용호 무소속 의원이 국민연금공단으로부터 제출받은 국민연금 수급자 현황에 따르면 올해 4월말 기준 100세 이상 국민연금 수급자는 총 125명이다.이들은 모두 유족연금 수급자로, 100세 이상의 노령연금 및 장애연금 수급자는 없었다.유족연금이란 노령연금이나 장애등급 2급 이상의 장애연금을 받던 사람이 사망하면, 그에 의해 생계를 유지하던 유족에게 가입기간에 따라 일정률의 기본연금액에 부양가족연금액을 합한 금액을 지급하는 연금이다.100세 이상 연금 수급자는 2012년 28명에서 약 9년만에 125명으로 97명 늘었다.2012년 기준 100세 이상 연금 총 지급액은 4844만원으로, 1인당 173만원을 수령했다. 한달에 약 14만4000원씩 수령한 셈이다.지난해에는 118명이 총 2억8509만원을 수령했다. 1인당 약 242만원, 한달에 평균 20만1000원을 받았다.이 의원은 ""대다수의 국민들은 준조세 성격인 국민연금보험료를 미래를 대비하기 위해 매월 원천징수 납부하고 있다""며 ""그러나 군인, 공무원, 사학 연금 등에 비하면 노후보장을 하기에는 적은 금액으로, 국민연금 개혁이 시급한 가장 큰 이유""라고 지적했다.이외에 4월말 기준 국민연금 누적최다액 수급자는 78세 남성으로, 장애1급에 따른 장애연금을 매월 144만6000원씩 22년6개월간 총 3억2104만원을 수령했다.최고령 수급자는 108세 여성으로, 자녀사망에 따른 유족연금을 매월 26만6000원씩, 27년간 총 6582만원을 수령한 것으로 나타났다.최연소 수급자는 2세 여아로, 부모 사망에 따른 유족연금을 매월 19만원씩 2년째 총 472만3000원을 수령했다. 최장기간 수급자는 81세 여성으로, 배우자 사망에 따른 유족연금을 매월 44만7000원씩 32년간 총 1억2106만원을 수령했다.이 의원은 ""일반적인 노령연금뿐만 아니라 장애연금과 유족연금 역시 가입자가 불시에 몸이 불편해지고 가족을 잃은 유족이 됐을 때 매우 소중하고 중요한 생활자금이 된다""며 ""꼭 필요한 분들에게 차질 없이 충분하게 지급해야 한다""고 지적했다.이어 ""국민연금공단은 가입자가 향후 수급권자가 됐을 때 급여발생 사실을 알 수 있도록 하고, 미청구 연금정보를 지속적으로 알리는 등 수급권 보호에 더욱 노력해야 한다""며 ""더 늦기 전에 국민연금 개혁에 박차를 가해야 한다""고 강조했다.   ]","['나라꼬라지 보라 ㅋㅋㅋㅋㅋㅋ그런되도 나리빛만 주구장창 늘리고 공무원 12만명 뽑고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개막장으로 운영하고 막판에 쇼나하고 잘돌아간다', '']",https://news.imaeil.com/page/view/2021091614065565471,https://n.news.naver.com/mnews/article/421/0005613719?sid=100
2021.09.15.,초이스경제,,"일본 100세 이상 노인, 8만 6510명 '역대 최다'",,,http://www.choicenews.co.kr/news/articleView.html?idxno=84810,http://www.insnews.co.kr/
