Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2023.08.31.,연합뉴스,,"구미시, 100세 이상 어르신 '장수축하금' 첫 지급",,,https://www.yna.co.kr/view/AKR20230831080300053?input=1195m,https://www.yna.co.kr/
2023-08-31 11:45:21,서울신문언론사 선정,생활/문화,"“생의 마지막은 조국에서”…100세 광복군, 70년만에 귀국해 지내는 ‘이곳’","[     구미시, 100세 이상 어르신에 장수축하금 지급구미시 제공    (구미=연합뉴스) 진병태 기자 = 구미시는 주민등록상 시에 1년 이상 거주한 100세 이상 장수 어르신에게 생애 1회 100만 원의 장수축하금을 지급한다.    31일 구미시에 따르면 시는 어르신들의 무병장수를 기원하고 경로효친 사상을 확대하는 의미를 담아 작년 12월 '구미시 장수축하금 지급에 관한 조례'를 경북 최초로 제정했다.     시는 올해 추가경정예산에서 관련 사업비를 확보해 100세 이상 어르신 46명 중 7월 말부터 현재까지 장수축하금을 신청한 35명의 어르신들에게 장수축하금을 지급한다.    장수축하금은 주민등록상 100세 생일이 속한 달부터 주소지 읍·면·동 행정복지센터에서 신청할 수 있으며, 신청서류 검토 후 익월 중 어르신 명의의 금융계좌로 지급된다. 대상자가 고령인 점을 감안해 본인이 직접 가지 않아도 가족이나 보호자 등에게 위임 신청이 가능하다.    장수축하금 지급 관련 기타 문의는 읍면동행정복지센터 주민등록 담당 또는 노인장애인과(☎054-480-5153)로 하면 된다.    jbt@yna.co.kr ]","['축하드려요~  할머니 항상 건강하세요~', '100세에도 건강하시네요 축하드립니다.']",https://www.seoul.co.kr/news/newsView.php?id=20230830500045&wlog_tag3=naver,https://n.news.naver.com/mnews/article/001/0014162989?sid=103
2023.08.31.,뉴시스,,"'100세 광복군' 오성규 애국지사, 수원 보훈원 입소",,,http://www.newsis.com/view/?id=NISI20230831_0020016734,https://www.seoul.co.kr
2023-08-30 09:45:03,머니투데이,사회,"NH투자증권, VIP 대상 '100세인생대학' 21기 수강생 모집","[     오성규 애국지사, 영주 귀국 - ‘한국광복군 제3지대’ 출신으로 일본에 생존해 있는 유일한 독립유공자인 오성규 애국지사가 13일 서울 강서구 김포국제공항 국제선 입국장으로 귀국하고 있다. 2023.08.13 뉴시스일본에서 국내로 돌아온 오성규(100) 애국지사가 오는 31일 경기 수원보훈원에 입소한다.30일 국가보훈부에 따르면 지난 13일 광복절을 앞두고 귀국한 오 지사는 그동안 서울 중앙보훈병원에서 건강검진을 받으며 체력을 회복하고 있었다.보훈부는 오 지사가 비교적 건강한 상태라고 전하며, 식사와 청소 등 일상생활을 지원할 수 있고 위급상황이 발생하면 병원과 연계되는 보훈원에 모시기로 했다고 밝혔다.보훈부 소속인 보훈원은 1997년 설립된 양로·양육 지원기관으로 의무실과 체력단련실, 탁구장, 게이트볼장 등 활동시설을 보유하고 있다. 보훈부는 오 지사가 보훈원에 입소한 이후에도 국내에서 안착할 수 있도록 각종 행사에 초청할 예정이다.박민식 보훈부 장관은 “조국 독립을 위해 헌신하셨던 오성규 애국지사님이 건강하고 편안한 여생을 보내실 수 있도록 노력하겠다”고 전했다.    환국 신고합니다 - 유일한 생존 독립유공자인 광복군 출신 오성규 애국지사가 13일 서울 동작구 국립서울현충원에서 광복군 제3지대장 김학규 장군 묘역에 환국 신고를 하고 있다. 환국 신고는 오 지사가 “광복군 제3지대 대원으로 활동했으니 제3지대장인 김학규 장군 묘역에서 환국 신고를 하고 싶다”고 밝히면서 이뤄졌다. 2023.8.13 뉴스11923년생인 오 지사는 일제강점기 중국 만주 봉천 소재 동광중학을 중심으로 항일운동을 했고, 일제에 조직망이 노출되자 만주에서 탈출해 중국 안후이성의 한국광복군 제3지대에 입대해 독립운동을 펼쳤다.1945년 5월 국내 진공을 위한 한미합작특수훈련(OSS훈련)을 받던 도중 광복을 맞이했다. 광복 후 교민 보호 등에 헌신했으며 1990년 건국훈장 애족장을 받았다.일본에서 거주하던 오 지사는 생의 마지막 순간만큼은 조국에서 보내고 싶다는 의사를 피력해 정부 대표단이 지난 11일 일본을 방문해 오 지사를 모셔 왔다. 광복 후 국내 상황이 혼란스러워지자 일본으로 건너간 오 지사는 이번에 약 70년 만에 귀국했다.    박민식 장관, 日거주 마지막 생존 애국지사 만나 - 박민식 국가보훈부 장관이 11일 오후 일본 내 유일한 생존 독립유공자이자 광복군인 오성규 애국지사의 자택을 방문해 대화를 나누고 있다. 2023.8.11 국가보훈부 제공박 장관은 11일 오 지사를 국내로 모시기 위해 도쿄에 있는 오 지사 자택을 직접 방문해 인사했다. 당시 오 지사는 “다 늙어가는데 그렇게까지…”라면서 “눈물이 난다”며 눈시울을 붉혔다.오 지사는 지난 13일 박 장관을 비롯한 정부대표단과 함께 김포공항으로 입국했다. 오 지사는 “너무나 감개무량해서 말이 나오지 않는다. 감사하다”며 “제가 일본에서 죽을 수는 없지 않느냐. 자기 나라 와서 죽어야지…”라고 말했다.이후 오 지사는 경찰의 호위를 받으며 국립서울현충원으로 이동해 광복군 제3지대장 김학교 장군 묘역(독립유공자묘역 50호)에서 환국 신고를 했다.한편 오 지사가 국내로 영주귀국해 국내 독립유공자는 8명이 됐다. 국외 거주 독립유공자는 미국의 이하전 지사(1990년 건국훈장 애족장)만 남았다.   ]","['감사합니다. 그리고 죄송하고 죄송합니다. 남은 여생 조국 대한에서 편히 보내십시오!', '애국지사 앞에서 그런 광복절 연설을 듣게하고. 너무나 죄송스러울뿐. 조국에 돌아와서 편안하셔야 하는데.', '김학규 장군은 양세봉의 측근이었고 양세봉은 북한 혁명열사릉에 묻혀있는데 홍범도 흉상 철거하는 보훈부장관 논리대로라면 국외추방해야되는거 아니냐?', '조국과 국민을 돌려주시고 또 지켜주셔서 감사합니다. 지금 정부는 영원히 잊지 않겠다 해놓고 일개 병사의 목숨이나 독립영웅 따위는 무시하고 짓밟고 있지만, 이번에는 저희가 지켜드리겠습니거.', '대한민국 만세.,!그리고 감사합니다', '우리나라 대통령이 일본 변호사로 활동하고 있는 지금 정세를 보고 얼마나 가슴이 아프실까...', '이나라일부는 애국자인척하죠.,이땅을 망하게하려는 사형제폐지 간통죄폐지 촉법처벌반대 언론법 ,인터넷통제법 등등 ㄱ산당길을 자처하는데도 이들은 알고보니 나라늘 망치는 ㄱ첩인지 의문이 들수밖에 검수완박 수사제한 범죄자살기좋은 법안들만 죄다 만들어옴', '얼마나 후회 되실까ㅜㅜ\n목숨 걸고 지킨 조국이라고\n말년에 와보니\n일본의 속국에  윤총독이 완장 차고 있는걸\n보시게 될 줄은 ㅜㅜ', '', '안좋은시기에 오셨네ㅠ 개석렬이 광복군 족치고있는데....', '조금 있다 이재명 대통령 되면 들어오세요... 죽은 독립군도 동상으로 죽이는 정부입니다....', '6-25참전도 안한 미필', '웬일이래?  임시정부와 독립운동역사를 무시하고\n이승만을 추앙하든 작자들이 어이없네! 친일한\n인간들은 하나같이 정신이 온전한 사람이 없으니....', '', '어디서 굴러먹던 빨치산 애새끼불러서 동상세워주는것 보다 훨났다..', '감사합니다', '이분은 앞으로 괘안겠어? 일본에 오래 살았으니 친일파일지도 모르는데? 홍범도장군식으로 따지면 우리나라 독립군이 어딨어....', '부디 몸 조심하세요.. 이제 대한민국은 독립투사를 빨갱이로몰고 항일의 공로를 부정하는 나라입니다..', '', '얼마나 오고 싶으셨을까요.', '독립군 출신  근데 이분이 일본에서 사셨네  그럼 윤석열정부는 이분을 머라 부르는지 기대되네요  홍범도 장군은  공산주의자  빨갱이로몰고있던데  독립유공자의 명예를  개똥으로도 안보는 이정부가 대한민국 정부 맞나싶네요', '', '', '왜~오셨습니까?\n홍범도 장군꼴 날수도있는 이따위 나라가 뭐가 좋아서......', '뉴라이트 사관이라면 이분은 테러분자임 48년 건국이고 임정이 부정되는데 나라도 없는자가 일본에 대들었으니', '', '이자는 일본에 살았으면  어떻게 애국지사냐? 답변 해봐라?', '', '', '6.25남침때 북한군 지휘부는 항일항쟁 중국팔로군출신독립군 .소련군출신 독립군이 대부분이었습니다 그분들 발굴해서 육사교정에 융상 세웁시다', '']",http://news.mt.co.kr/mtview.php?no=2023082910330031411,https://n.news.naver.com/mnews/article/081/0003388889?sid=102
2023.08.31.,싱글리스트,,"이냐키 고도이 '원피스'→'100세까지 살기', 주간 넷플릭스",,,http://www.slist.kr/news/articleView.html?idxno=478940,http://www.newsis.com
2023-08-31 11:55:26,농민신문언론사 선정,사회,‘100세 만기’ 보험 시대…덜 내고 더 받으려면,[     [수원=뉴시스] 김종택 기자 = '한국광복군 제3지대' 출신으로 일본에서 영구 귀국한 오성규 지사가 31일 경기도 수원시 장안구 수원보훈원에 입소해 환영의 꽃다발을 받고 있다. 1923년생인 오 지사는 일제강점기 중국 만주 봉천 소재 동광중학을 중심으로 항일운동을 했고 일제에 조직망이 노출되자 만주를 탈출해 중국 안후이성의 한국 광복군 제3지대에 입대해 독립운동을 펼쳤다. 2023.08.31. jtk@newsis.com[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com)로 보내주시면 적극 반영하겠습니다. ],[],https://www.nongmin.com/article/20230828500866,https://n.news.naver.com/mnews/article/003/0012061310?sid=102
2023.08.30.,이데일리언론사 선정,,9월부터 '어른이 보험' 사라진다…15세 '찐 어린이'만 가입 가능,,,http://www.edaily.co.kr/news/newspath.asp?newsid=02755206635712568,http://www.mt.co.kr/
2023-08-29 10:37:38,국제뉴스,경제,"금사회동동, 어르신 건강관리 방문서비스 '튼튼 100세' 사업 추진","[     /사진제공=NH투자증권.NH투자증권이 오는 9월 8일까지 VIP 고객을 대상으로 하는 '행복한 인생 후반전, 100세시대인생대학'의 제21기 수강생을 모집한다고 29일 밝혔다.100세시대인생대학은 NH투자증권과 노년-은퇴설계 분야의 최고 연구기관인 서울대학교가 공동으로 은퇴 이후 건강하고 행복한 인생 후반전 준비를 돕기 위한 프로그램이다. 21기 인생대학은 서울대학교 생활과학대학 최병오홀에서 진행된다. 개강은 9월 18일, 수료식은 11월 20일이다. 매주 월요일 오후 7시부터 9시30분까지 총 8주간 진행한다. NH투자증권은 김성준 서울대 명예교수의 '바이오닉스와 인공지능의 현재와 미래'를 개강 특강으로 준비했다. 조영남 서울대 교수의 '시진핑 시대 중국의 국가발전 전략', 최재붕 성균관대 교수의 '챗GPT가 바꾸는 디지털시대', 조영태 서울대 보건대학원 교수의 '미래를 바꾸는 인구' 등 최신 트렌드를 반영한 강의를 진행한다. 송길영 바이브컴퍼니 부사장의 '빅데이터, 세상을 읽다'는 이번 인생대학에서 처음 선보이는 강의다. 김난도 서울대 소비자학과 교수의 '트렌드코리아 2024'를 종강특강으로 준비했다. 이번 인생대학에서는 강의 외에도 와인교실 등 체험활동을 통해 수강생들의 친목 도모 시간도 마련된다.참가 신청은 영업점의 담당 관리직원을 통해 가능하다. 신청 대상은 50~60대 NH투자증권 우수고객이다. 자세한 내용은 영업점 담당 관리직원이 발송하는 자료와 100세시대연구소 홈페이지에서 확인할 수 있다. ]",[],https://www.gukjenews.com/news/articleView.html?idxno=2799227,https://n.news.naver.com/mnews/article/008/0004931067?sid=101
27면 1단,아시아경제,,[100세 시대 재테크]美 주식 투자자 리스크 관리 필요,,,https://view.asiae.co.kr/article/2023083010461391370,http://slist.kr
2023.08.30.,시사포커스,,"서울 성동구, 100세 건강지킴이…저소득 어르신 낙상예방 안전용품 지원",,,http://www.sisafocus.co.kr/news/articleView.html?idxno=303570,https://www.nongmin.com/
27면 1단,아시아경제,,[100세 시대 재테크]美 주식 투자자 리스크 관리 필요,,,https://view.asiae.co.kr/article/2023083010461391370,https://www.asiae.co.kr/
