Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.02.04.,테크월드,,외국인‧북한이탈주민 거주지역 생활환경 개선,,,http://www.epnc.co.kr/news/articleView.html?idxno=200483,http://www.epnc.co.kr
2021.02.03.,아시아경제언론사 선정,,"외국인·북한이탈주민 거주 환경 개선…행안부, 20억 국비 투입",,,https://view.asiae.co.kr/article/2021020307080433512,https://www.asiae.co.kr/
2021-02-03 12:03:00,국토일보,사회,"KCC, 취약 계층 거주 환경 개선","[     [아시아경제 임철영 기자] 외국인·북한이탈주민이 국내 정착과정에서 각종 정보 부족으로 겪는 불편을 해소하고 주민과 소통·교류를 통해 조기에 정착할 수 있도록 기초생활 인프라가 확충된다.행정안전부는 3일 외국인·북한이탈주민 집중거주지역의 정주여건과 생활편의를 증진할 수 있도록 ‘기초생활 인프라 조성사업’을 전국 지자체 대상으로 내달 10일까지 공모한다고 밝혔다.행안부는 외국인·북한이탈주민의 집중거주지역의 기초생활 인프라 개선을 위해 2018년부터 2020년까지 3년간 22개 지자체에 특별교부세 33억 원*을 지원해 왔다. 올해는 작년보다 늘어난 예산 20억 원을 확보해 특별교부세가 아닌 보조사업으로 지자체당 최대 2억 원까지 지원할 계획이다.국내 거주 외국인주민은 221만 6612명(2019년 11월 1일 기준)으로 총 인구 대비 4.3%에 달하며 외국인 주민이 1만 명 이상 또는 인구 대비 5% 이상 거주하는 시·군·구는 95개 지역이다. 국내 거주 북한이탈주민은 3만 4000여 명(2019년 12월 31일 기준)에 달하고 있다.대도시 주변이나 지방공단 배후지역 등에 위치한 외국인·북한이탈주민 집중거주지역은 생활편의 시설이 부족한데다 지역주민들과 어울릴 수 있는 여건도 부족해 문화적 차이·사회적 편견으로 인한 오해와 갈등을 낳기도 한다.이에 올해 사업은 △외국인·북한이탈주민이 국내 정착에 필요한정보를 쉽게 구할 수 있도록 종합지원센터 시설 개선 △정주환경개선을 위한 문화·편의시설 확충 △지역주민과 소통·교류를 활성화 할 수 있도록 커뮤니티 공간 확충에 중점을 둘 계획이다.아울러 사업기획 단계부터 진행 과정에서 외국인·북한이탈주민과 지역주민의 참여가 돋보이는 사업을 우선 지원할 계획이다.사업 대상지는 3월 10일까지 지자체로부터 접수를 받은 후 현장실사및 사업선정위원회 심의를 거쳐 4월 중 최종 선정할 예정이다.박성호 행정안전부 자치분권실장은 “외국인·북한이탈주민이 지역사회에서 더불어 살아갈 수 있도록 따뜻한 관심과 배려가 중요하다”며 “지역에서 생활하는데 불편하지 않도록 정주환경을 개선하고, 주민과 함께 어울려 서로를 이해하고 조기에 정착할 수 있도록 적극 지원하겠다”고 설명했다.행안부는 외국인·북한이탈주민의 집중거주지역의 기초생활 인프라 개선을 위해 2018년부터 2020년까지 3년간 22개 지자체에 특별교부세 33억 원*을 지원해 왔다.임철영 기자 cylim@asiae.co.kr▶ 2021년 신축년(辛丑年) 신년운세와 토정비결은?▶ 발 빠른 최신 뉴스, 네이버 메인에서 바로 보기▶ 100% 무료취업교육 핀테크/AI 훈련정보(클릭)&lt;ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지&gt;   ]","['과연 현상황에서 저 예산이 합당한지 모르겠다!', '돈이 남아도니? 쪽방에 사는 독거노인, 소년소녀가장들도 있다. 우리국민 먼저 챙겨라.', 'ㅋㅋㅋㅋ북한사랑 대단하다 도대체 북한이 뭘 해줬는데?\n자국민들 자영업자들 다죽어나가는데도 저렇게 추진할까ㅋㅋ']",http://www.ikld.kr/news/articleView.html?idxno=230934,https://n.news.naver.com/mnews/article/277/0004841062?sid=102
2021.02.22.,군포시민신문,,경기 외국인노동자 임시거주시설 환경개선 추진,,,http://www.mediagunpo.co.kr/sub_read.html?uid=11676§ion=sc12,http://www.ikld.kr
2021.02.24.,일간NTN,,"KCC­서초구 '반딧불 하우스' 업무협약, 취약 계층 거주 환경 개선 활동",,,http://www.intn.co.kr/news/articleView.html?idxno=2015415,http://mediagunpo.co.kr
2021.02.23.,OBS,,"이주노동자 노조 등 ""실효성 있는 거주환경 실태조사 촉구""",,,http://www.obsnews.co.kr/news/articleView.html?idxno=1254238,http://www.intn.co.kr
2021.02.22.,푸드경제신문 organiclife,,"도봉구, 공동주택 거주환경 개선사업 최대 5000만원 지원",,,https://www.iloveorganic.co.kr/news/articleView.html?idxno=320655,http://www.obs.co.kr/
2021.02.19.,인천투데이,,"""인천 내부 인구 이동 심해… 원도심 거주환경 개선해야""",,,http://www.incheontoday.com/news/articleView.html?idxno=206333,https://www.foodneconomy.com/
2021.02.23.,머니투데이,,서울시 전기차 보조금 지원 '서울 의무 거주' 없앴다,,,http://news.mt.co.kr/mtview.php?no=2021022216224387795,http://www.incheontoday.com/
27면 1단,서울신문,,"주택 공급 대책, 고층·고밀 아닌 거주 여건 향상 방안 찾아야",,,https://www.seoul.co.kr/news/newsView.php?id=20210205027001&wlog_tag3=naver,http://www.mt.co.kr/
