Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2023.04.13.,충남일보,,"LH충북지사, 아파트 입주민 안전한 거주환경 강화 나서",,,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=711117,http://www.chungnamilbo.co.kr
2023.04.03.,경인매일,,"평택시 청북읍 지역사회보장협의체, 위기가구 안전한 거주환경 조성사업 진행",,,https://www.kmaeil.com/news/articleView.html?idxno=392840,http://www.kmaeil.com/
2023.04.26.,노컷뉴스,,"광주환경공단, 미혼모자 거주 시설서 봉사활동 전개",,,https://www.nocutnews.co.kr/news/5934342,http://www.nocutnews.co.kr
2023-04-26 16:57:01,뉴스메이커,사회,"곡성군 옥과면 '우리동네 복지기동대', 장애인 가구 거주환경 개선 지원","[ 휴게공간 확보, 해충 방역봉사 등 전개    광주환경공단 직원, 25일 제2하수처리장 인근 운수동에 소재한 한부모 가족 복지시설을 찾아 맞춤형 봉사활동 전개. 광주환경공단 제공광주환경공단이 광산구 본덕동의 제2하수처리장 인근 운수동에 소재한 한부모 가족 복지시설을 직접 찾아 생활관을 정리하는 등 맞춤형 봉사활동을 전개해 눈길이다. 광주환경공단은 24개월 미만의 자녀를 양육 중인 미혼모자 세대가 공동으로 사는 '편한집' 복지시설을 지난 25일 방문해 실내 활동의 비중이 큰 모자의 건강한 생활을 위한 지원에 나섰다. 환경공단은 사전 방문을 통해 그들이 가장 우선순위로 꼽은 협소한 공간 활용 문제를 해결코자 가구를 재배치, 휴게공간을 확보했으며 세탁실·보일러실 등에 해충 박멸을 위한 방제 활동을 전개하며 생활환경 개선에 전면 나섰다. 또한 틈틈이 미혼모의 우울증 해소와 취업 준비 등에 도움을 주고자 대화의 시간을 가지며 추후에도 아동 양육에 실질적으로 필요한 놀이시설 그늘막 설치와 벽면 벽화사업 등의 지원을 약속했다. 김성환 광주환경공단 이사장은 ""이번 봉사활동이 모자의 건강한 생활을 하는 데 조금이나마 도움이 됐으면 좋겠다""면서 ""단순 일회성 지원에 그치지 않고 미혼모자의 온전한 자립을 위한 관심을 지속적으로 기울이겠다.""고 말했다. 한편 제2하수처리장은 지난 3월에도 미등록 경로당의 환경개선 봉사를 전개하는 등 시설 인근 주민 친화적 사업에 힘쓰고 있다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn ]",[],http://www.newsmaker.or.kr/news/articleView.html?idxno=138766,https://n.news.naver.com/mnews/article/079/0003763814?sid=102
2023.04.04.,대한경제,,"“일자리 늘리고, 거주환경 개선”...캠코, 사회공헌계획 발표",,,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202304041332557300487,http://www.newsmaker.or.kr
2023.04.15.,천지일보,,"조규일 진주시장, 행안부에 남부권 거주환경 개선 국비 지원 건의",,,https://www.newscj.com/news/articleView.html?idxno=3018565,http://www.cnews.co.kr
2023.04.17.,아주경제,,"[Tech in Trend] 화성 거주 실험에, 우주 3D 지도 제작... 세계 각국 우주 임...",,,https://www.ajunews.com/view/20230416125714459,http://www.newscj.com
2023.04.11.,비즈니스포스트,,"서울시 반지하 주택 없앤다, SH 3450세대 매입해 거주자 임대주택 지원",,,https://www.businesspost.co.kr/BP?command=article_view&num=311974,http://www.ajunews.com
2023.04.26.,중부일보,,"법무부 여주준법지원센터, 이천 모가면서 주거환경 개선 봉사",,,http://www.joongboo.com/news/articleView.html?idxno=363589422,http://www.businesspost.co.kr/
2023.04.25.,중부매일,,"천안시 동면 행복키움지원단, 2차 주거환경개선 봉사 실시",,,http://www.jbnews.com/news/articleView.html?idxno=1391992,http://www.joongboo.com
2023.04.19.,공감신문,,[공감신문 알쓸다정] 주거약자 환경 개선… 서울시 등 '집수리 지원' 알아보기,,,https://www.gokorea.kr/news/articleView.html?idxno=740559,http://gokorea.kr
2023.04.24.,경북도민일보,,"영양청우회, 다문화가정 주거환경개선 '구슬땀'",,,http://www.hidomin.com/news/articleView.html?idxno=513714,http://www.hidomin.com
22면 1단,파이낸셜뉴스언론사 선정,,"SH, 재해 취약가구 주거환경 개선… 반지하주택 3450가구 사들인다",,,http://www.fnnews.com/news/202304111753214411,http://www.fnnews.com/
