Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
A25면 1단,세계일보,,"[기고] 고령사회, 일하는 노인이 죽어간다",,,http://www.segye.com/content/html/2022/06/30/20220630519818.html?OutUrl=naver,http://www.segye.com
2022-06-30 23:14:03,충청매일,오피니언,[사설] 초고령사회 진입 선제적 산업구조 갖춰야,"[    대한민국은 노인 사회다. 우리나라는 2001년 고령인구 비율 7.2%를 기록하며 고령화사회에 들어섰다. 2018년에는 고령사회에 진입했다. 고령사회는 전체 인구 중 65세 이상 고령인구 비율이 14% 이상 20% 미만인 사회다. 지난해에는 노인 인구가 전체 인구 5182만2000명의 16.5%인 853만여명에 달했다. 오는 2026년에는 이 비율이 20%를 넘어 초고령사회가 된다고 전문가들은 예측하고 있다. 한국의 고령화 속도는 37개 경제협력개발기구(OECD) 회원 국가 중 가장 빠르다.  고령사회를 거쳐 초고령사회로 나아갈수록 사회는 해결하기 쉽지 않은 난제에 부딪히게 된다. 노인 문제에 관심을 가진 사람이라면 노인의 3고(苦)에 대해 들어봤을 것이다. 질병, 빈곤, 외로움의 고통을 말한다. 우리는 가족과 친척, 이웃과도 단절된 채 홀로 지내다 숨진 뒤 수주일 내지 수개월 지나 발견되는 안타까운 뉴스를 종종 접한다. 3고를 겪다가 극단적인 선택으로 스스로 생을 마감하는 일도 우리 사회의 심각한 노인 문제 가운데 하나다. 나이가 많은 노인일수록 자살 비율이 높다.         안종주 한국산업안전보건공단 이사장    이뿐 아니라 실제로는 매우 심각한데도 이들 노인 3고에 견줘 우리 사회가 덜 조명하고 덜 관심을 가지는 문제가 있다. 노인들이 일터에서 일하다 죽는 ‘노인 중대재해’가 바로 그것이다. 지금 이 순간에도 60대는 물론이고 70대 노인들이 건설 현장 등에서 힘든 육체노동을 하다 산업재해로 숨져간다.  노인 중대사고 산재는 어제오늘의 일이 물론 아니지만 최근 들어 그 수가 늘고 있어 하루빨리 대책을 세워 해결해야 할 문제로 떠오르고 있다.  올해 들어 6월16일까지 일터에서 사고로 사망한 근로자는 산재보험 승인 기준(잠정)으로 411명이다. 지난해 같은 기간보다 15명 적다. 이들을 나이대별로 보면 60세 이상이 175명이고 이어 50대 116명, 40대 64명, 30대 36명, 30대 미만 20명으로 집계됐다. 전체 사망자 가운데 장노년층이 전체의 71%나 차지하는 것이다. 이들 장노년층의 다수는 건설 현장에서 숨져간다. 왜 나이 든 노동자들이 일터에서 산재 희생자가 되는 걸까.  이들은 대부분 인간다운 생활을 할 수 있을 만큼 연금을 받지 못하고 있다. 또 벌어놓은 돈도, 자녀들이 지원하는 생활비도 없거나 많이 부족하다. 국가가 보장해주는 노인복지도 많지 않다. 그래서 사실상 위험한 일터로 내몰린 이들이다. 이들은 근력, 기억력, 판단력, 순발력 모두 떨어져 젊은 세대와 비교해 사고 위험에 자주 노출되고 사고가 생기면 중대재해로 이어질 가능성이 크다.  건설 현장 순찰을 나가 보면 외국인 노동자와 더불어 70대 노인들이 무거운 건축자재를 들고 계단을 오르는 모습을 종종 본다. 그때마다 안쓰럽기도 하고 사고를 당하지 않을까 걱정하기도 한다.  7월 첫째 주는 정부가 정한 ‘산업안전보건 강조 주간’이다. 경기 고양시 킨텍스에서 ‘일하는 사람이 안전하고 건강한 나라’를 주제로 5일간 열리는 올해 행사를 앞두고 노인 근로자를 포함한 모든 근로자가 안전하고 건강한 일터에서 일할 수 있도록 혼신의 힘을 다하겠다고 굳게 다짐한다. ]",[],http://www.ccdn.co.kr/news/articleView.html?idxno=767689,https://n.news.naver.com/mnews/article/022/0003710642?sid=110
2022.06.29.,내일신문,,[기고] 초고령사회 대비하는 소방,,,http://www.naeil.com/news_view/?id_art=427711,http://www.ccdn.co.kr
27면 1단,헤럴드경제,,[사설] 나홀로 노인가구만 넘칠 K-초고령사회의 우울한 미래,,,http://news.heraldcorp.com/view.php?ud=20220629000481,http://www.naeil.com
21면 1단,머니투데이,,초고령사회 독거노인 늘어난다‥건강관리까지 해주는 '고령자주택',,,http://news.mt.co.kr/mtview.php?no=2022062716234059580,http://www.heraldbiz.com/
2022-06-29 11:26:02,내일신문,오피니언,"시중은행, 고령화사회 유산 기부신탁 활성화 나서","[    통계청이 28일 발표한 ‘2020~2050년 장래가구추계’의 핵심은 ‘나 홀로’ 1인 가구가 기하급수적으로 늘어나고 그것도 노인들 중심이 될 것이라는 점이다. 독거노인으로 가득 찬 ‘K-초고령 사회’의 우울한 미래다.한국의 생활형태는 이미 1인 가구 중심이다. 2020년 전체 가구의 31.2%가 혼자 산다. 하지만 30년 후인 2050년에는 39.6%로 늘어난다. 부부만 사는 2인 가구도 16.8%에서 23.3%로 늘어난다. 대신 부부가 자녀와 함께 사는, 이른바 핵가족은 29.3%에서 17.1%로 줄어든다. 전체 가구의 3분의 2가 홀로 또는 부부 둘이 산다는 얘기다.하지만 더 우울한 건 고령화의 그늘이다. 가구주가 65세 이상인 노인가구는 2020년 464만가구에서 2050년 1137만5000가구로 많아질 전망이다. 30년 만에 2.5배가 되는 것이다. 지금은 40·50대 가구주가 가장 많지만(43.7%) 미래엔 70대 이상이 주류(40.2%)가 된다. 게다가 노인가구의 40% 이상이 1인 가구다. 다섯 집 중 두 집은 독거노인가구인 셈이다. 자녀가 성장 후 독립해서라면 좋겠지만 실상은 이혼이나 사별의 결과다. 아예 결혼을 하지 않거나 아이를 낳지 않는 것도 중요한 원인임은 물론이다.안 그래도 우울하기 그지없는 미래상인데 심지어 속도마저 점점 빨라진다. 통계청이 공식적으로 “인구 고령화 속도와 기대여명이 늘었나 2019년 추계보다 1인 가구의 분화 속도가 더 빨라졌다”고 인정할 정도다.30년 후의 일이라고 쉽게 넘겨서는 안 될 일이다. 한국의 고령화 속도는 가히 역사적이다. 유례를 찾아보기 힘들다. 전체 인구 중 65세 이상 인구가 차지하는 비중이 7% 이상일 경우 ‘고령화 사회’로 본다. 우린 새 밀레니엄에 들어서며 고령화 사회를 맞았다. 22년 전이다. 노인 비중 14% 이상이면 ‘고령 사회’인데 그건 2017년이다. 그로부터 8년째인 2025년 우린 ‘초고령화 사회(노인 비중 20% 이상)’에 들어선다. 앞으로 불과 3년 후다. 노인왕국 일본보다 빠른 속도로 늙어가다 보니 벌써 전국 지자체의 절반 가까이는 초고령 사회에 진입했다.물론 빠른 고령화 속도를 나쁘게만 볼 수는 없다. 높아진 생활수준과 좋아진 의료기술의 덕분인 것도 사실이다. 문제는 사회안전망이 그 속도를 따라가지 못한다는 점이다. 그래서 나타나는 게 경제적 빈곤이고 심리적 고독이다. 그 파장의 확장성은 코로나19보다 결코 작지 않다.노인들이 시장과 일터에서 인간다운 삶을 영위할 수 있는 시스템을 만들어야 한다. 저출산대책의 전철을 고령화에서 다시 밟아서는 안 된다. ]",['여가부가  출생율 정책 담당으로 획기적 대책 정책 수립해보라'],http://www.naeil.com/news_view/?id_art=427341,https://n.news.naver.com/mnews/article/016/0002009116?sid=110
2022.06.27.,중앙일보언론사 선정,,"""75세인가요, 죽는게 어때요?"" 초고령사회 日 뼈 때린 영화 [도쿄B화]",,,https://www.joongang.co.kr/article/25082215,http://www.mt.co.kr/
2022-06-28 14:40:33,청년일보,경제,[청년발언대] 초고령 사회로의 빠른 진입…일본의 시니어 산업 본받아 대비해...,"[     임종철 디자이너 /사진=임종철 디자이너고령인구가 급증하면서 주거공간에 건강관리·의료서비스 등을 접목한 '고령자 맞춤형 주택'이 주목받고 있다.    28일 통계청 '2021 고령자 통계'에 따르면 지난해 65세 이상 고령 인구는 전체 인구의 16.5%를 차지한다. 1955~1964년에 출생한 1차 베이비부머 780만명이 고령인구에 진입하는 2025년에는 20.3%에 달하는 초고령사회로 진입할 전망이다. 고령인구가 늘면서 노인 단독가구도 증가하고 있다. 2020년 기준 독거노인 혹은 부부로 구성된 노인 단독가구는 78.2%로 2008년 66.8% 대비 급증했다. 특히 고령 인구 대부분이 여인숙, 고시원 등 열악한 주거시설에 거주하고 있어 고령자에 특화된 주거정책 필요성이 대두됐다. 대표적인 고령자 주거 지원 정책 가운데 하나가 한국토지주택공사(LH)의 '고령자복지주택사업'이다. 65세 이상 저소득 어르신에 주거와 함께 건강, 돌봄, 문화 관련 복지서비스를 제공하는 공공임대주택이다. 2019년 도입 첫 해 경남 진주시, 서울 강북구 등 12곳이 사업지구로 선정됐고 현재 전국 37개 지구, 약 3600가구가 운영되고 있다.     LH에서 운영하는 시흥은계지구 고령자복지주택. /사진제공=LH 저층부에는 고령자 친화형 사회복지시설, 상층부에는 임대주택이 설치되는 구조다. 헬스케어실, 체력단련실, 물리치료실, 교양강좌실, 텃밭 등 고령자 특화 커뮤니티가 마련된다. 시흥은계에 운영 중인 고령자 복지주택의 경우, 스마트기기와 연결한 IoT(사물인터넷) 돌봄서비스도 적용됐다. 공공정보 연계형 건강관리시스템 '스마트홈 헬스케어'를 통해 입주자에게 생체나이, 취약점, 감염병 등 건강정보를 제공하고 건강 위험 대상자는 보건소와 연계해 관리 받을 수 있도록 한다. 복약 시간을 알려주는 복약 알림서비스, 의료·운동·식단 등 맞춤형 건강프로그램도 제공된다. 고령자복지주택에는 충격완화 바닥재, 동작감지 어르신안심센서, 복도안전손잡이 등 입주자 안전을 위한 특화설계도 반영된다. 주방의 좌식싱크대, 욕실의 높낮이 조절 세면대 등도 설치된다. 박철흥 LH 공공주택사업본부장은 ""어르신들의 주거와 건강 등을 동시에 해결해 행복한 노후를 지속할 수 있도록 고령자복지주택 사업의 성공적 추진을 위해 최선을 다하겠다""고 말했다.  ]",[],https://www.youthdaily.co.kr/news/article.html?no=104010,https://n.news.naver.com/mnews/article/008/0004764076?sid=101
2022.06.23.,서울경제,,‘고령사회의 삶과 일’ 제7호 발간…‘노인일자리의 지속 가능성’ 기획주제...,,,https://www.sedaily.com/NewsView/267CVILRYP,http://www.naeil.com
2022.06.23.,노컷뉴스,,"초고령 사회 '간병 파산·살인' 비극…""간병 부담 완화 정책 확대해야""",,,https://www.nocutnews.co.kr/news/5776013,https://www.joongang.co.kr
