Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.07.30.,연합뉴스,,"완주군, WHO '고령화친화도시' 가입 추진…""노인 삶의 질 개선""",,,http://yna.kr/AKR20210730111600055?did=1195m,https://www.yna.co.kr/
2021-07-30 15:13:09,조선일보,사회,"전국이 늙었다, 250개 시·군·구 모두 ‘고령화’","[     완주군청[연합뉴스 자료사진]    (완주=연합뉴스) 임채두 기자 = 전북 완주군은 유니세프 아동친화도시 인증에 이어 세계보건기구(WHO)의 '고령화친화도시' 가입을 추진한다고 30일 밝혔다.    고령친화도시란 노인이 건강하고 활력있는 사회생활을 할 수 있도록 정책, 인프라, 서비스 등을 갖춘 도시를 말한다.    전 세계 41개국 1천여개 도시가 WHO 고령친화도시에 가입돼 있다.     완주군은 고령화친화도시 요건을 갖추기 위한 가이드라인을 연구하고 실행 계획을 마련해 연말까지 고령친화도시 인증을 받을 계획이다.    지난해 7월에는 '완주군 고령친화도시 조성에 관한 조례'를 제정, 전문가 12명으로 이뤄진 추진위원회도 구성했다.     완주군은 고령화친화도시에 가입하면 체계적이고 지속적인 노인 정책 방향을 논의할 수 있을 것으로 기대하고 있다.    박성일 완주군수는 ""고령화 문제에 효과적인 대응 체계를 만들어 가면서 노인 삶의 질을 개선할 것""이라며 ""완주를 아동부터 노인까지 모두가 행복한 곳으로 만들겠다""고 말했다.    doo@yna.co.kr ]",[],https://www.chosun.com/economy/economy_general/2021/07/30/UHOYCWR7DVBIJMWWUK3W76L3SA/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://n.news.naver.com/mnews/article/001/0012565861?sid=102
2021.07.29.,한국일보,,"더 빨라진 고령화...65세 이상 인구, 처음으로 800만 명 돌파",,,https://hankookilbo.com/News/Read/A2021072912210003563?did=NA,http://www.chosun.com/
2021-07-30 03:08:04,노컷뉴스,경제,충북 1인가구 증가율 계속 증가세···고령화도 심해져,"[ 65세 이상 인구 800만 첫 돌파       29일 통계청이 발표한 ’2020년 인구주택총조사 결과’에 따르면, 지난해 11월 1일 기준 전국 250개 시·군·구 전체가 65세 이상 인구 비율이 7%가 넘는 고령화사회에 진입했다.2019년 통계에서는 전국 시·군·구 중 삼성전자가 위치해 있는 수원시 영통구가 65세 이상 인구 비율이 6.7%로 전국(당시는 245개 시·군·구)에서 유일하게 고령화사회 진입 전이었는데, 올해는 영통구도 7.2%로 상승했다.65세 이상 인구 비율이 가장 높은 시·군·구는 경북 의성군(41.8%)이고, 전남 고흥군(41.1%), 경북 군위군(39.8%), 경남 합천군(39.3%), 전남 보성군(39%)이 뒤를 이었다.15세 미만 유소년 인구가 고령 인구보다 많은 곳은 250개 시·군·구 중 42곳(17%)에 불과했다.65세 이상 인구가 14%를 넘어 ‘고령사회’로 진입한 시·군·구도 83곳(33%)에 달했다. 20%를 넘어 ‘초고령사회’로 들어선 시·군·구는 전체의 44%인 110곳으로 집계됐다. 2019년까지만 해도 98개 시·군·구가 초고령사회였는데, 충북 제천시와 경기 여주시 등 1년 새 12곳이 추가됐다.지난해 65세 이상 인구는 전년보다 46만명 증가한 820만6000명으로, 처음으로 800만명을 넘었다. 반면 15세 미만 유소년 인구는 617만6000명으로, 전체 인구 중 유소년이 차지하는 비율이 12.3%였다. 2000년 21%에서 매년 하락 추세다.앞으로 10년은 지금까지보다 고령화 속도가 더욱 빠를 것으로 보인다. 베이비부머(1955~1963년생)가 65세 이상 인구층에 진입하기 때문이다. 노령 인구가 느는 만큼 경제활동인구는 줄어든다.한편, 한국 거주 인구는 5183만명으로 전년(5178만명)에 비해 5만명(0.1%) 증가했다. 내국인이 13만명(0.3%) 늘었지만, 코로나 여파로 외국인은 8만명(-4.7%) 줄었다. 총가구수는 2148만 가구로 전년보다 59만 가구(2.8%) 늘었다. 전체 가구의 31.7%를 차지하는 1인 가구와 2인 가구(28%)가 크게 늘며 전체 가구 수의 60%에 육박했다.베이비부머 700만 고령층 진입 시작… 경제활동인구 더 줄어든다충북 옥천군 청성면 소서리에 사는 송성호(61)씨는 이장을 10년째 맡고 있다. 농사일하는 남자 가운데 막내여서 이장 자리를 물려줄 사람이 없다. 52가구 78명이 사는 이 마을 주민 대부분이 60세 이상이다. 송씨는 “내가 젊었을 때는 청성면에 초등학교가 5개나 있었다”고 했다. 지금은 단 한 곳이고, 그마저 조만간 폐교될 위기다. 지난 4월 옆 마을에 아기가 태어났을 때 잔치 분위기였다고 했다. “청성면 전체를 통틀어서 아기 울음소리를 몇 년 만에 듣다 보니 이웃 마을인데도 다들 찾아가 축하하느라 바빴다”고 했다.              ◇노령화지수 10년 새 2배29일 통계청이 발표한 ’2020년 인구주택총조사'에 따르면, 지난해(2020년 11월 1일 기준) 65세 이상 노인 인구는 820만6000명으로 노인 인구 비율은 15.5%에서 16.4%로 높아졌다. 국민 6명 중 1명은 노인이다. 유엔(UN)은 65세 인구 비율이 7% 이상이면 고령화사회, 14% 이상은 고령사회, 20% 이상은 초고령사회로 분류한다.고령화와 저출산이 맞물리면서 ‘노령화지수’는 132.9로 치솟았다. 15세 미만 인구 100명 대비 65세 이상 인구 비율인데, 2019년(122.7)보다 급증했다. 2000년(35.0), 2010년(69.7)과 비교하면 10년마다 2배가 된 셈이다.농촌과 지방으로 갈수록 고령화는 더 심각하다. 경북 군위군의 노령화지수가 794.1로 가장 높았다. 이어 경북 의성군(714.7), 경남 합천군(626.8) 순이었다. 시도 중 고령화지수가 가장 낮은 곳은 세종시(47.1)였다.              ◇”고령화가 잠재성장률 끌어내려”고령화 속도는 지금보다 더 빨라질 것으로 전망된다. 향후 10년은 ‘베이비부머’ 세대로 불리는 1955년에서 1963년 사이 출생자들이 본격적으로 고령층에 진입하는 시기다. 2020년 기준 56~64세 인구는 695만명이다. 향후 10년간 현재의 고령 인구(820만6000명)에 맞먹는 인구가 새로 고령층에 포함되는 것이다.이 같은 고령화 속도라면 앞으로 10년간 경제활동인구가 339만6000명 줄어든다. 현재 전체 경제활동인구가 2870만명 수준인 것을 감안하면, 경제활동인구 8~9명 중 1명이 없어지는 것이다.늙어가는 경제는 곳곳에서 문제가 발생한다. 일해서 돈을 버는 사람은 줄어드는데 부양해야 할 사람은 늘어나면, 성장 동력은 떨어지고 복지 확대는 피할 수 없기 때문이다.세계 3대 신용평가사 중 하나인 피치(Fitch)는 지난 22일 한국 국가신용등급을 발표하며 이례적으로 한국의 잠재성장률(물가 상승을 유발하지 않으며 달성할 수 있는 성장률)을 기존 연 2.5%에서 2.3%로 하향 조정했다. 한국은행은 2019~2020년 한국의 잠재성장률을 2.5~2.6%로 추정한 바 있다. 2001~2005년까지만 해도 5~5.2%였다. 피치는 “급격한 인구 고령화가 중기적으로 성장에 압력을 주기 때문”이라고 했다.고령화 상황에서 저출산 문제도 심화하고 있다. 서울대 인구학연구실에 따르면 올해 우리나라 합계출산율(여성 1명이 평생 낳을 것으로 예상되는 평균 출생아 수)은 0.78명에 그칠 전망이다. 작년(0.84명)보다 쪼그라드는 것으로, OECD 평균 합계출생률(1.63명)의 절반에도 미치지 못하는 수치다. 통계청은 2019년 장래인구추계에서 합계출산율이 2021년 0.8명대였다가 2028년 1.11, 2040년 1.27 수준까지 상승할 것으로 전망하고 있다. 그러나 최근 기획재정부에서 재정·출산율 등 전망 분석을 의뢰받은 미국의 ‘피터슨국제경제연구소’(PIIE)는 “개발도상국이 아닌 나라에서 출산율이 급반등하는 것은 옛 공산권 국가에서나 가능한 일”이라며 “생산 인구 감소가 한국 경제에 코로나보다 더 큰 충격을 줄 수 있다”고 했다. ]","['이 모든 사단은 인구절벽이다. 지금이 골든 타임이라며 각종 지원책을 쏟아냈지만. 젊은 세대들이 이생망을 외치며 결혼과 출산을 포기하는 현상이 갈수록 심해지고있고, 갈수록 어려운 취업난, 늘어나는 육아, 사교육 부담에다 집값마저 천정부지로 치솟는데 어떻게 맘 편히 결혼하고 아이를 낳을 수 있겠나. 구조적 문제 해결 대신 우리의 혈세로 눈앞의 위기만 모면하려고 하니. 인구 노령화로 나라의 생산인구가. 줄어드는 것이고,, 특단의 정책 없이 돈만 쓰는 것으론 인구 절벽 국가  재앙의 악몽을 피하지 못한다 알것냐 문재인.', '결혼은 금수저나 돈많은연예인만하면됩니다.', '', '고령화라고만 한국문제를 획일적으로 보는시각도 거둘때가된듯. 서올 인구 밀도가 세계 다섯손가락안에 들고도 남는다. 나머지 땅은 내팽개치고 그렇게 한곳에서 부대끼며 살아야하는데 어찌 아이를 낳기만 바라냐?  근본문제를 파헤쳐 개별로 접근하기 바람. 이런글 참 짜증난다. 수도권과 지방 집값 상승률 차이 부각될까봐 수도권vs전국 집값만 비교하는 뉴스일색도 보기 짜증스럽다. 이중카운트 제외시키고 서울,서울외수도권, 수도권외 지역 각각의 집값상승률에 대한 정확한 정보전달을 요구하겠음.', '', '경제적, 사회적 이유로 아이 키우기 힘들어서 안 낳는다고들 하는데, 그것보다는 사회가 변하면서 세대갈등이니 남녀갈등이니 하면서 가족이라는 존재의 가치를 하락시켜 온 것이 이유가 크다고 본다.', '출산율0.84....대한민국 망해씀....소멸중..그런데도 지들 정권유지에 눈이 벌개져서 돈뿌리는거 밖에는 안하고 이씀 대한민국 망하거나 말거나  관심없음..ㅜㅜ 나쁜X', '이세상이 너무풍족해져 살만한데 과도한 경쟁과 욕심때문에 아기들 를출산하지안음  정부에도 책임이 많음', '행복에 잣 대가 바뀌어서', '', '이정부는 인구감소에 4년간 무슨 대책을ㅈ냈나  뭘잘하니', '', '늙었다기보다 애어른이 설었다.', '', '집값이 이런데 누가 아이를 더 낳을 생각을 하겠어? 대출 갚기 빡씬데', '중국애들 연령올려봐라 노동인구보다 고령인구가 훨씬더놉다? 왜 이런것 같냐? 의료보험으로 병고치려고? 뭐때문에?', '빨 리 교회 못다니게 하라 그래야 아 태어난다\n아파트 짓다가 오피스텔 짓다가 빌라 짓는다는 격이다', '', '', '', '', '', '', '', '이런글 읽을때마다 허무하고 처량한 생각이든다 지금 초고령자들과 고령자들은 무지하게 일많이 하고 부모 모시고 자식들위해 일요일도 일하며 일년에 설날 추석이 쉬는날이였다 그래 동난이후 한 십년 애들 많이 생산됐다 그럼 그사람들 앞으로 얼마나 살겠나보자 아마 2십년내로 많이 죽을거다 그렇게 힘들고 어렵거던 구라파 선진국같이 (웰다잉)하자 우리늙은이들 자원자 모두 가자!!! 이거 더살아봐야 근심 짐덩이 되니까????', '', '', '그래도 집값 올리려고 노력 할꺼 잖아. 조중동은...', '저출산 문제는 복합적인 문제입니다. \n\n취업난/집값/사교육부담 등 N포 및 저출산의 이유가 돈으로 이어집니다. 돈+본인의 힘듦이 가장 주된 요인인데 이것은 희생이 필요로하는 이타주의가 아닌 이기주의에서 비롯된 것입니다. 아이를 돈으로 키웁니까? 아이를 낳지 않는 이유 또는 하나만 낳는 이유 또는 결혼하지 않는 이유들을 들어보면 돈문제 및 본인의 힘듦을 강조합니다.\n\n지금은 편하고 나중에 여행다니면서 산다고하지만 인구절벽으로 인구가 반토막나면 경제도 돌아가지 않고 결국엔 모두가 곤경에 처할것입니다.', '', '', '', '취업...좋은 회사 찾으니 없지 모집하는 회사 얼마나 많은데...힘든일 등등 하기 시러서 안가면서 취업시켜달래 웃겨', '', '😁한국의 보건 복지 정책 성공한 것이다. 한국은 왜구 겐세이 썩은 눈깔로 보면서... 너희 일본은 고령화 심해서 대다수 젊은 원숭이들  자포자기 했다 카더라. 🤬그리고 왜구의 한국 부동산 자산 순위 3위(7%) , 짱께 2위(8%)  YTN  방송 니오더라, 아니나 다를까, 예상한데로... 일본놈들 영역 빼끼니까, 발광하는 삐라를 뿌리고 난리를 쳤더라~ 드런놈들.', '조선일보 보도만있에... 이상하네.\n고령화 시대,양재택어머니 고령에 치매.조선일보 고령화로 치매.헛소리만 하네.']",https://www.nocutnews.co.kr/news/5599362,https://n.news.naver.com/mnews/article/023/0003630505?sid=101
19면 3단,서울경제언론사 선정,,[사설] 초고속 고령화···연금 개혁 ‘폭탄 돌리기’ 멈춰야,,,https://www.sedaily.com/NewsView/22P4IO1MQ4,http://www.hankookilbo.com/
2021-07-29 12:31:15,강원일보,경제,강원 고령화비율 사상 첫 20%대 돌파,"[ 65세 고령층 비율 16.4%중위연령도 0.6세 오른 44.3세 기록수도권 집중현상 역시 심화    게티이미지뱅크65세 이상 고령층 인구가 처음으로 800만 명을 넘기는 등 고령화 속도가 점차 빨라지고 있다.29일 통계청이 발표한 ‘2020년 인구주택총조사 결과’에 따르면 국내 거주하는 총인구는 5,183만 명으로 전년보다 5만 명(0.1%) 늘었다. 정남수 인구총조사과장은 “코로나19 대유행으로 외국인이 8만 명(4.7%) 감소했으나, 해외에서 장기체류하던 내국인 13만 명이 돌아오면서 인구 증가를 견인했다”고 설명했다. 그러나 이번 인구증가율은 조사가 시작된 이래 가장 낮은 수치다.고령화가 급속히 이뤄지면서 65세 이상 고령인구는 전년보다 46만 명 증가한 820만6,000명으로 조사됐다. 고령층 인구가 800만 명을 돌파한 건 처음이다. 전체 인구에서 차지하는 비율도 15.5%에서 16.4%까지 높아졌다. 65세 이상 인구 비중이 14% 이상이면 고령사회, 20% 이상이면 초고령사회로 분류된다.반면 15세 미만 유소년 인구는 같은 기간 13만6,000명 줄면서 617만6,000명(12.3%)을 기록했다. 이에 따라 내국인 중위연령(44.3세)은 1년 전 43.7세보다 0.6세 올랐다.고령화를 나타내는 각종 지표도 최고치를 경신했다. 유소년 100명당 고령층 인구 비율을 나타내는 노령화지수는 전년 최고치를 뛰어넘으며 132.9를 기록했다. 해당 지수는 2000년엔 35.0에 불과했으나, 2010년 69.7을 찍은 뒤 10년 만에 또다시 두 배 가까이 뛴 것이다.지역별로 보면 노령화지수가 가장 높은 지자체는 경북 군위군(794.1)이었다. 유소년 한 명에 65세 이상 노인이 8명 있다는 뜻이다. 경북 의성군(714.7), 경남 합천군(626.8)이 뒤를 이었다. 노령화지수가 가장 낮은 곳은 세종시(47.1)였다.노년부양비(생산연령인구 100명에 대한 고령인구비) 역시 2000년 10.2에서 2020년 23.0으로 두 배 이상 높아졌다. 이는 생산연령인구 4명가량이 노인 1명을 부양해야 한다는 뜻이다.국내 수도권 집중도 역시 더욱 심화한 것으로 조사됐다. 수도권 인구는 2,604만 명으로 2019년에 비해 15만 명(0.6%) 증가했다. 전체 인구의 50.2%로, 전년보다 0.2%포인트 높아졌다. ]","['작년 출생아수 27만 6000명 작년에 첨으로 30만명 깨지긴 했는데 그전에도 30만명 초반이어서 이애들이 잘아서 결혼해서 아이 하나 낳고  결혼 비율은 60%정도라고 가정하면 어떻해 되는지 답이 나올겁니다.', '지금 40대 50대의 3분의 1도 안되는 10대 이하 얘들이 어떻게 자신들보다 3배나 더 많은 노인들 복지비용을 감당하나? 그게 가능한 나라는 이 세상에 없어. 이런 상황인데, 정부와 정치인은 이 저출산 고령화를 내일 당장 닥칠일이 아니라고, 대선주자들조차 진지하게 거론하는 사람 별로 없음.  이건 느리지만 확실히 다가올 미래고, 이제 7년도 안남았다.  젠더갈등에 주목하는 하태경, 유승민 정도가 그래도 간접적으로 저출산 고령화에 대비한다고 말할수 있을까? 그 외는 관심도 없어, 상대후보 까내리기나 하지. 결국 국민이 정신차려야 함', '', '', '국난극복이 취미라고 우스개소리가 있는데, 저출산고령화는 전쟁이나 자연재해같이 순식간에 닥쳐오거나 단기간에 대처할수 있는게 아니다. 수십년간 누적된 노인대비 청년인구의 감소는 그 때가서 갑자기 해결할수 있는게 아니라고. 갑자기 청년 수백만을 어떻게 만들건데? 복제인간이라도 만들거야? 이민을 갑자기 수백만 동시에 받을래? 그럼 그 부작용은 누가 감당해? 기적적으로 통일이라도 안되면 그냥 끝임.  망국적 젠더갈등과 부동산 폭등을 조속히 해결해야함. 여가부폐지하고 남녀존중하는 문화를 만들어야 하고, 부동산공급늘리고, 중국인 부동산제한해라', '아무리 저출산 고령화를 온국민이 심각성을 알고 대처하려는 노력을 해야한다고 말해도, 한국인구 너무 많다 더줄어라,더줄어라 하는 인간들은 도대체 누구일까? 국민들이 삶이 어렵고 집값이 너무 높고 젠더갈등이 치솟아 결과적으로 아기가 안 태어나 청년인구가 급감하면, 저 많은 노인들 연금,건강보험,복지비용부터 고갈되고 나라파산한다. 이미 지금 얘들은  40대50대 인구의 3분의1토막,4분의1토막 났어. 베네수엘라,베네수엘라 떠드는데, 저출산 고령화가 그리 되는 가장 큰 위협이다. 중국인, 일본인 댓글부대가 아니라면 모두 정신들 좀 차립시다']",http://www.kwnews.co.kr/nview.asp?aid=221072900128,https://n.news.naver.com/mnews/article/469/0000620539?sid=101
2021.07.28.,이데일리,,초고령화 대비 장사정책 발전방안 마련,,,http://www.edaily.co.kr/news/newspath.asp?newsid=03817926629119112,http://www.nocutnews.co.kr
2021-07-30 16:34:06,국제신문,사회,부산 고령화 가속…생산인구 10명이 고령인구 3명 부양해야,"[     2019년 대비 2020년 가구 증가율.   통계청 제공충북의 인구 고령화와 1인 가구 증가율이 높은 것으로 나타났다.통계청의 2020년 인구주택 총조사 결과 지난해 11월 기준 충북의 총 가구 수는 69만 6천 가구로 1년 전보다 3.7% 늘었다.특히 지난해 1인 가구는 전체의 34.8%로 지난 2016년 30%를 넘어선 뒤 계속 증가세를 보이고 있다.또 인구 고령화도 심해져 65세 이상 고령자가 있는 가구는 전체의 29.3%, 고령자로만 이루어진 가구는 16.1%, 고령자 1인가구는 9.1%에 이르고 있다.이와 함께 청주시의 가구 수는 35만 5천가구로 1년 전보다 4.2%가 늘어 전국 기초자치단체 가운데 여섯 번째로 증가율이 높았고 괴산군은 노령화 지수가 8번째로 높았다.외국인 비율은 음성군이 12.9%로 전국 시군구 가운데 가장 높았다.   ]",[''],http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0200&key=20210730.22002008669,https://n.news.naver.com/mnews/article/079/0003535817?sid=102
2021.07.29.,메디컬투데이,,韓 '고령화' 현상 지속…65세 이상 고령인구 800만명 돌파,,,http://www.mdtoday.co.kr/mdtoday/index.html?no=426260,http://www.sedaily.com
2021-07-31 00:01:02,경상일보,오피니언,"'젊은 도시' 울산, 고령화 속도는 빨라","[    [서울경제] 대한민국이 늙어가는 속도가 너무 빠르다. 29일 통계청에 따르면 65세 이상 고령 인구가 전년 대비 46만 명 늘어 처음으로 800만 명을 돌파하며 820만 6,000명을 기록했다. 전체 인구에서 차지하는 고령 인구 비율도 16.4%로 높아졌다. 반면 15세 미만 유소년 인구는 지난해보다 13만 6,000명 줄었다. 유소년 인구 비중은 2010년 16.2%에서 2020년 12.3%로 감소했다. 이에 따라 15∼64세 생산연령인구는 앞으로 10년 동안 339만 6,000명 줄어들 것이란 우울한 전망도 나온다.이대로 가면 미래 세대는 감당하지 못할 큰 짐을 떠안을 수밖에 없다. 국민들이 내는 세금과 준조세로 고령층을 비롯한 모든 국민들의 복지 문제를 해결하기 어렵기 때문이다. 국가 부채 등이 무한대로 팽창하는 것을 막으려면 재정·복지·고용 정책은 물론 교육·산업 정책도 근본적으로 재설계해야 한다.특히 국민연금·공무원연금·군인연금 개혁이 시급하다. 국민연금 적립금은 현재 880조 원이지만 2057년에 고갈될 것이라는 진단이 이미 내려졌다. 공무원·군인연금은 진작에 고갈돼 국고에서 충당해주고 있다. 공무원연금에 대한 국가 보전 규모는 2016년 2조3,000억 원에서 지난해 2조 5,000억 원으로 늘었다. 군인연금에 대한 국가 보전 규모는 2016년 1조3,665억 원에서 지난해 1조5,779억 원으로 증가했다. 빠른 고령화로 재정 부담은 눈덩이처럼 커질 것이다.연금 개혁은 유권자에게 부담을 지우는 것으로 정치권 입장에서는 ‘고양이 목에 방울 달기’ 만큼 힘든 일이다. 하지만 ‘폭탄’이 언젠가는 터진다는 것을 알면서도 미래 세대에 책임을 떠넘기는 것은 범죄 행위나 다름 없다. 급격한 고령화 추세에 맞게 보험료를 높이거나 수급 연령을 늦추는 방식으로 연금 개혁을 당장 추진해야 한다. 정년 연장 및 정년 폐지 여부 등에 대해서도 진지하게 논의해볼 필요가 있다. 그래야 연금 수급 연령 조정과 생산 인구 조절 등이 용이해질 것이기 때문이다. 여야 대선 주자들은 나라 곳간을 거덜내는 포퓰리즘 공약 남발을 멈추고 미래 세대를 위한 연금 개혁 공약부터 명확하게 밝혀야 할 것이다. ]","['그런대도  현금을  살포 하니?', '', '제발 국민연금 삥뜯기 멈춰주세요 ㅜㅜ 환불도 안바래요.\n월급 10%씩 뜯어가는거 타격이 큽니다 ㅜㅜ', '', '소상공인들 표 얻으려고 돈 뿌린 문재인 민주당은 재산증가 전수조사해서 멀수조치가 우선이다', '', '86세대 150만원 이상받는 사람한테서비율별로\n더 받고 부동산세에서 10억이상이면 비율정해서\n걷고  이러면 될듯']",http://www.ksilbo.co.kr/news/articleView.html?idxno=908562,https://n.news.naver.com/mnews/article/011/0003944135?sid=110
