Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.06.30.,문화일보언론사 선정,,저출산·고령화 심각하지만 이민 확대는 ‘글쎄’...정년 연장·노인 연령기준...,,,http://www.munhwa.com/news/view.html?no=2022063001039910120004,http://www.munhwa.com/
2022-06-30 15:26:01,아시아경제언론사 선정,사회,[뉴 코리안드림④]서울 외국인주민도 고령화 시작됐다,"[ ■전국지표조사저출산·고령화 심각 94%, 심각하지 않다 5%정년 연장·노인 연령기준 상향 찬성 84%, 62%외국인 이민 정책 확대는 반대 50%, 찬성 43%우리 사회의 저출산·고령화 문제가 심각하지만, 대책으로 외국인 이민을 확대하는 데에는 절반이 반대한다는 여론조사 결과가 30일 나왔다. 정년 연장에는 80% 이상이 찬성했고, 노인 연령기준 상향에도 10명 중 6명 이상이 동의했다.엠브레인퍼블릭·케이스탯리서치·코리아리서치·한국리서치가 지난 27∼29일 전국 18세 이상 1002명을 대상으로 진행한 6월 5주 전국지표조사(95% 신뢰수준에 표본오차 ±3.1%포인트)에서 ‘저출산과 고령화가 심각하다고 생각하는가’라는 질문에 94%가 ‘심각하다’고 답했다. ‘심각하지 않다’는 5%에 그쳤고, ‘모름·무응답’은 1%였다. 특히 ‘매우 심각하다’는 응답이 60%에 달했다. 저출산·고령화로 인한 문제(복수 응답)로는 ‘고령 인구 증가로 인한 사회보장 비용 부담 증가’가 49%였고, ‘노동력 부족으로 인한 경제성장 둔화’가 46%로 조사됐다.    저출산·고령화 문제의 대책과 관련해서는 노인 연령기준 상향(65세→70세)에는 62%가 동의했다. 반대는 34%로 나타났다. 연령대별로는 30대와 40대는 찬성 비율이 각각 58%, 55%로 다소 낮았으나 평균과 큰 차이가 나지는 않았다. 지역별, 이념성향별로도 모두 과반이 연령기준 상향에 찬성했다.‘60세인 근로자 법정 정년을 단계적으로 65세로 연장하자는 주장에 어떻게 생각하는가’라는 질문에는 84%가 ‘찬성한다’고 답했다. ‘반대한다’는 13%였고, ‘모름·무응답’은 3%로 조사됐다. 정년 연장에는 60대를 제외한 모든 연령대에서 80% 이상이 찬성했다. 60대도 찬성이 76%로, 4명 중 3명에 달했다. 이념별 차이는 사실상 없었고, 지역별로도 차이가 크게 두드러지지 않았다. 정년 연장 필요성에 국민 대다수가 공감한다는 뜻으로 풀이된다.    외국인 이민 정책 확대에는 부정적 의견이 조금 더 높았다. ‘노동 인구 감소 등의 문제를 해결하기 위해 외국인 이민을 적극적으로 수용해야 한다는 의견에 어떻게 생각하는가’라는 물음에 ‘반대한다’가 50%로 나타났다. ‘찬성한다’는 43%로, 오차범위 밖에서 반대가 더 많았다. ‘모름·무응답’은 6%로 조사됐다. 한동훈 법무부 장관은 취임사에서 이민청 신설을 검토하겠다고 밝힌 바 있다. 이민 확대에 반대하는 의견은 20∼60대에서 모두 더 높았다. 70세 이상만 찬성 44%, 반대 42%로 나타났다. 30대는 반대 58%, 찬성 36%로 조사돼, 전연령대에서 가장 부정적으로 인식했다. 이념성향별로는 진보는 찬성 50%, 반대 45%였으나 보수는 반대 58%, 찬성 39%로 나타났다. 중도는 반대 52%, 찬성 42%로 집계됐다. 경제적 계층별로는 상위 계층은 찬성과 반대가 각각 48%, 47%로 팽팽했다. 하위 계층은 반대가 52%, 찬성이 40%로 조사됐다.  ]","['이민자도 출산율 낮다는 통계가 나와 있다.\n이민으로 노예 수입하겠다는 더러운 발상은 집어치우고 4차산업시대에 맞게 산업을 개선해야 한다.  노력해서 연구개발할 생각은 없고 한국 노예 대신에 외국 노예 수입해서 부려먹겠다는 더러운 발상에서는 그 어떤 미래도 없다.', '기가 막히다! 우리 국민의 소득을 늘리고 잘 살게 해야지 .. 임금이 높으니 외국인 노동자를 들여오고 이민을 받자? .. 현재 있는 인력을 100% 활용할 방법을 마련해야지 ~ 정년 되었다고 한창 일할 나이의 인력을 내쫒고 빈곤의 늪으로 빠뜨리고 외국인 노동력? .. 기업들 입장만? 기업들도 소비하는 국민들이 없으면 성장을 못하고 나라 전체가 수렁으로 빠진다!', '남녀갈등 조장하고 부동산 따블로 올려서 결혼 못하게 만든 문재앙을 종신형 주는게 먼저. 실제로 지난 5년 동안 신생아 수가 40만명 대에서 27만명 대로 급격히 하락.', '지금이라도  자국민 1990년대생 에코세대  파격적인 지원해서 출산율 높이세요', '이민청 반대', '', '제발 나라 미래, 우리 대한민국 후손들이 잘 살기 위해서는 출산율 높일 수 있는 적극적인 대책이 마련돼야 합니다.', '', '내년부터 정년65세 법제화 해라 빠를수록 좋다 얼마나 심각한 일인지 정치 먹통들은 모른다', '이민확대 찬성? 이민확대가 아니라 일할수 있는 후진국 노동자 들이 필요 한거겠지 말은 바로 해라 이민확대 찬성이면 백인 흑인들도 와야대는데 똥남아 일할수 있는 노동자 후진국애들만 겨들어옴 ㅋㅋ', '', '올해 9월꺼지 화정하고 23년부터 정년연장 시행해야 합니다...더 늦으면 이미 베이비붐새대  퇴직으로  의미없습니다....오론조사에서  나오잖아요\n속히 시행이 정답입니다..', '이민을 받더라도 고학력자로 이민을 받아들여야 나라가 발전이 있다', '이민찬성 거짓도 정도껏 기사써라 다른 기사에서는 국민 80프로 이민청 반대한다는 기사도 봤다 주변만 봐도 찬성하는 사람 못봤다 나라를 팔아 넘겨라 굴러온이 박힌돌 뺀다고 이 작은 나라에 이민청은 자살꼴이다 외노자 높은 임금 주면서 왜 데려오냐 로봇이 점점 진화되고있는데 정년 퇴직 나이도 높여라 인력을 최대 활용할생각안하고 외국인 타령이냐 분통터진다', '불법체류자만 40만 육박한다  국민을 생산 수단 즉 일할 노예로만 보는거냐?\n특정 국가 외국인 정치세력화  결사 반대한다\n자국민 출산율 제대로 올릴 파격적인 정책부터 시행하라!', '당연하지 우리나라에서 태어나지도 않은 인종들이며 하는 짓마다 표정 찡그리게 하는데 이민 받고 싶겠냐? 생각좀 해라 생각좀;;', '', '이슬람과 짱개 조선족 아프리카같은 미개한지역 난민들 안받으면서 질좋은 이민자들을 어떻게 받을 수 있을까 고민해봐야합니다   다행히 한국 이미지가 근래에 많이 좋거든요  동유럽이나 우크라이나 같은 곳에서 이민자들을 받으면 괜찮을거 같아요    한국만의 장점이 있는데  대표적인게 치안입니다   밤에 마음것 다닐 수 있고  카페가서 자리에 가방을 올려놔도 아무도 훔쳐가지 않습니다  이런 한국의 장점이 계속 유지될 수 있는 이민자정책을 해야합니다  국제적으로 욕먹더라도 가려받아야합니다', '', '', '죽을때까지 일하랴?']",https://view.asiae.co.kr/article/2022063009552477750,https://n.news.naver.com/mnews/article/021/0002520127?sid=102
2022.06.29.,인사이트코리아,,"국회입법조사처 ""농촌 고령화 문제 해결에 지자체 역량 강화해야""",,,http://www.insightkorea.co.kr/news/articleView.html?idxno=97452,https://www.asiae.co.kr/
2022-06-30 09:55:24,약업신문,사회,"당뇨병 치료제, ""인류 고령화로 지속적으로 성장하는 시장""","[ 5060세대 비율 30% 돌파5년 이상 장기 체류자↑구로·영등포·금천 등에 몰려    [이미지출처=연합뉴스]서울 외국인주민의 연령대가 전국 여타 지역보다 높게 나타나면서 '고령화 현상'이 시작되고 있다는 조사 결과가 나왔다. 5060세대의 비중이 30%를 넘어감에 따라 외국인주민 고령화 현상에 대한 정책 지원이 필요하다는 의견이 나온다.&lt;관련기사&gt; '뉴 코리안드림'서울 외국인주민 5060 30% 넘어…5년 이상 장기 체류자↑서울시연구원이 지난 17일 발간한 '포괄적 고령화 대비 지원 및 외국인주민 정책수요별 지원 방향' 자료에 따르면, 서울의 외국인 주민 50대 비율은 20.0%, 60대 비율은 13.1%를 차지한 것으로 나타났다.보고서는 서울의 경우 외국인주민이 5년 이상 장기 체류하는 비율이 높기 때문에, 향후 노후를 국내에서 보내는 경우도 늘어날 것이라고 내다봤다.실제로 서울 외국인주민의 체류기간을 보면 5~10년 미만은 23.6%로 전국(20.5%)보다 높고, 10년 이상도 14.5%로 전국(11.9%) 보다 높았다. 한국계 중국인이나 중국인, 일본인 등 동북아 출신이 72.9%로 3분의 2 이상을 차지하고 있으며, 성별은 남성보다 여성 비율이 더 높은 것으로 확인됐다.고령화 따른 '공적 사회안전망' 구축 필요…지역별 특성화 정책 마련 시급전문가들 역시 장기 체류와 고령화에 따른 의료비, 서울의 공적 사회안전망 진단과 대책 필요하다고 조언한다.송재룡 경희대 사회학과 교수는 ""외국인주민 역시 사회 구성원의 한 사람으로 보고, 중앙정부나 지방자치단체 차원에서 관련 정책을 만들어야 한다""며 ""특히 65세 이상 노인에 관련한 사회안전망 정책은 차별 없이 이뤄질 수 있도록 하는 것이 바람직해 보인다""고 덧붙였다. 외국인 인력 방안 활용과 관련해선 ""법과 제도 변화와 문화·정서적 공감대가 먼저 이뤄져야 할 것""이라며 현 시점에선 한계가 있다고 내다봤다.아울러 각 지역별 특성화된 정책 수요와 외국인주민 정책의 중요성을 파악하는 것이 필요하다는 의견도 있다. 서울에서 외국인 집중도가 큰 지역은 구로, 영등포, 금천구 등 '서남 2생활권'으로 나타났다. 특히 구로구와 영등포구는 외국인주민이 5만명을 넘고, 금천구도 3만명을 넘어 외국인주민 집중 정도가 매우 큰 것으로 나타났다.이와 관련해 보고서는 ""서울시는 수도권이자 대도시로서 인구의 10% 이상이 외국인주민으로 집중된 자치구 등이 나타나고 있어 지역에서 더 특성화된 정책 수요와 외국인주민 정책의 중요성이 높아지고 있다""고 분석했다. ]","['한국인도 아니고 외노자  불체자 다무나 그리고 징글징글 짱깨. 늙은이들까지 왜 기사까지 써야 할 정도로 누가 알고싶대? ㅋㅋ한국인이나 지대로 신경써라', '', '그렇다고 해서 외국인 무조건 이민 받는건 반대셀 대구이슬람 사원 잊었어..? 외국인 유학생이 지들 멋대로 남의땅에 사원 짓게 해달라는거', '그냥 한국 체류중인 중국인이라고 써~ 국민들도 중국인들인거 다 알어.', '한국계 중국인? 그냥 중공조선족이라고 해라! 이젠 모두 추방해라!', '외국인 정책은 어떤 정책일까나?', '무슨 짓이냐 자국민도 고령화되고 노인고독사에 노인분들 쪽방에 사시는데 집한채씩 드려라 나라일으켜 세우느라 평생을 몸바쳤는데 외국인이 국민이냐 자국민 노인복지도 제대로 하지않고 외국인 노인 타령이냐 지네나라로 보내라 세금을 자국민 노인분들에게 써라 외국인 노인복지라니 누가 만든 미친 정책이냐 외국인 꼴보기 싫어진다 자국민에 피해만 준다', '', '', '']",http://www.yakup.com/news/index.html?mode=view&cat=12&nid=271002,https://n.news.naver.com/mnews/article/277/0005110782?sid=102
2022.06.27.,내일신문,,"시중은행, 고령화사회 유산 기부신탁 활성화 나서",,,http://www.naeil.com/news_view/?id_art=427341,http://www.insightkorea.co.kr/
2022.06.27.,업다운뉴스,,"OECD 1위 '저출산·고령화' 속도, 해결 위한 과제는?",,,http://www.updownnews.co.kr/news/articleView.html?idxno=301713,http://www.yakup.com
12면 1단,강원도민일보,,늙어가는 삼척…10년후 고령화지수 2배,,,http://www.kado.net/news/articleView.html?idxno=1131799,http://www.naeil.com
2022.06.21.,YTN,,"[Y초점] ""막내가 37세?"" 예능 고령화의 현 주소, 웃고 넘어가기엔…",,,https://star.ytn.co.kr/_sn/0117_202206211759095531,http://www.updownnews.co.kr
2022.06.21.,한겨레,,거리두기에 고령화까지… 그 빈틈 채우는 ‘살가운 기술’,,,https://www.hani.co.kr/arti/economy/it/1047814.html,http://www.kado.net/
2022-06-22 00:06:26,녹색경제신문,사회,"인구 고령화의 역습, ""가계 의료비 부담은 어쩌나""···생명보험업계, 질병보...","[ 저출산·고령화 대책마련 절실삼척지역 고령화지수가 약 10년 후면 현재보다 2배 가량 증가하고, 학령인구는 대폭 감소할 것으로 예상돼 심각한 저출산, 고령화 사회에 대비한 대책 마련이 절실하다.삼척시가 최근 시의회에 제출한 '인구 통계현황 및 분석' 자료에 따르면 지역내 고령화 지수추계가 2020년 248명에서 2035년 471명으로 급격한 증가를 이룰 것으로 전망됐다. 고령화지수는 유소년인구 100명당 고령인구를 말하는 것으로, 그만큼 지역내 고령화 속도가 심각하다는 것을 뒷받침 한다.삼척지역의 고령화율은 25.40%(1만6572명)로 이미 지난 2015년부터 초고령화사회로 진입했고, 이 같은 고령인구 증가와 비례해 독거노인 비중(13.0%)도 지속적으로 늘어나고 있다.여기에 전체 인구를 연령 순으로 나열했을 때 정중앙에 있는 중위연령도 2020년 45.5세에서 2035년 58.0세로 급격히 늘어날 것으로 예상됐다. 반면 출산율은 2019년 기준 1.1명(375명)으로 2013년 이후 초저출산 사회로 진입했다.   ]",[],http://www.greened.kr/news/articleView.html?idxno=296192,https://n.news.naver.com/mnews/article/654/0000013116?sid=102
