Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.12.29.,뉴시스,,"성남시, 내년 1월 노인·치매 통합지원 상담콜센터 운영",,,http://www.newsis.com/view/?id=NISX20211229_0001705474&cID=14001&pID=14000,http://www.newsis.com
2021-12-29 10:12:53,브라보마이라이프,사회,"2022년 새해, 바뀌는 노인 정책 뭐 있나","[ 기사내용 요약전문 상담원 2명 배치…노인·치매 환자, 가족 상담 전담     [성남=뉴시스]성남시 노인 치매 통합지원 상담콜센터 안내 리플릿[성남=뉴시스]신정훈 기자 = 경기 성남시는 내년 1월 3일부터 ‘노인·치매 통합지원 상담콜센터(031-729-8899)를 운영한다고 29일 밝혔다.상담콜센터는 시청 노인복지과에 신설되는 노인치매팀에 속해 치매 환자와 가족 상담을 전담한다. 콜센터 대표번호는 정보 취약계층인 노인들이 쉽게 떠올릴 수 있도록 ‘팔팔하게(88), 구십구세까지(99) 살자’라는 의미를 부여해 만들었다.전문 상담원 2명이 배치돼 문의 전화에 수요자 중심의 맞춤형 상담을 한다. 노인복지, 치매와 관련된 궁금증을 풀어주고, 통합돌봄 정보를 제공한다. 필요하면 외부 자원을 연계해 준다. 상담콜센터 운영 시간은 평일 오전 9시부터 오후 6시까지다.상담콜센터가 속한 시청 노인치매팀은 성남지역 의료·복지·돌봄·문화·안전·보호 분야 9개 기관·단체와 함께 돌봄서비스를 추진한다. 이를 위해 성남시는 앞선 11월 15일 성남시의사회·성남시의료원(의료), 성남시노인종합복지관협회·성남시복지회관연합회(복지), 재가장기요양기관협회·성남시독거노인종합지원센터(돌봄), 성남문화재단(문화), 성남소방서(안전), 성남중원경찰서(보호)와 ‘노인·치매 통합지원 네트워크 구축’에 관한 업무협약을 했다.12월 현재 성남시의 65세 이상 노인 13만2000명 중에서 약 9%인 1만2000명이 치매 환자다. ]",[],https://bravo.etoday.co.kr/view/atc_view.php?varAtcId=13053,https://n.news.naver.com/mnews/article/003/0010914836?sid=102
2021.12.30.,동아일보,,WSJ “美 코로나19로 노인 학대 급증”,,,https://www.donga.com/news/article/all/20211230/111024430/2,http://bravo.etoday.co.kr
2021.12.30.,연합뉴스,,광주서 80대 노인 실종 나흘 만에 숨진 채 발견(종합),,,http://yna.kr/AKR20211230060851054?did=1195m,http://www.donga.com/
2021-12-30 17:21:01,이데일리언론사 선정,세계,코로나19 이후 가족관계 가까워졌다면?…당신은 고소득자,"[     기사와 직접적 관련 없는 참고사진. ⓒGettyImagesBank미국에서 신종 코로나바이러스 감염증(코로나19) 발생으로 노인층에 대한 학대가 급증했다는 보도가 나왔다.28일(현지시간) 월스트리트저널(WSJ)은 지난 1월 예일대 연구팀이 발표한 자료를 인용해 지난해 4~5월 미국 노인 학대 사례가 노인 5명 중 1명꼴로 발생했다고 보도했다. 팬데믹 이전보다 83.6%가량 증가한 수치다.또 테네시주 멤피스 외곽 카운티의 지역검찰총장인 에이미 웨이리치의 말을 인용해 취약 성인 사건수사팀이 2019년 12건의 사건을 다뤘지만 지난해 1~9월에는 51건을 다뤘다고 매체는 전했다.노인 학대는 60세 이상인 사람들을 대상으로 신체적·정서적·재정적으로 해를 가하는 고의 또는 무작위에 의한 행위로 규정된다.멤피스에 거주하는 노인 알프레드 메이어스는 함께 살던 아들로부터 쇠막대기로 폭행을 당했다. 그는 결국 자신의 방문에 자물쇠를 달았다고 한다. 떨어져 사는 가족은 팬데믹 때문에 자주 메이어스의 집에 오지 못해 두 사람이 어떻게 지내는지 몰랐다고 한다.멤피스 노인 학대 공동대응연대 소속 멜라니 켈러는 “노인 학대는 가족 구성원이 가해자인 경우가 대부분이어서 이를 추적하고 차단하는 데 한계가 있다”고 밝혔다. 이어 “코로나로 연로한 부모 집에 방문하는 것이 어려워지자 이들이 학대당하고 있다는 것 자체를 가족이 인식하지 못하는 경우가 많다”고 전했다.플로리다주 마이애미에선 80대의 셜리 깁슨이 가문의 재산으로 보유한 토지를 도난당했다. 범인들은 코로나로 화상거래가 일상화되자 이를 악용해 서명을 위조했다.    기사와 직접적 관련 없는 참고사진. ⓒGettyImagesBank콜로라도주 덴버에서 강도혐의로 보호관찰을 받던 한 요양보호사는 코로나로 일손이 부족해진 장기요양원에 임시직으로 취직, 코로나 치료를 받던 86세 바바라 거스트의 약혼반지와 신용카드 등을 훔쳤다. 해당 사건을 담당했던 덴버 검사보 제인 월시는 “요양원에서 부모를 모셔올 형편이 못 되는 사람들은 요양원을 자주 방문하지 못해 무슨 일이 벌어지는지 알 수 없다”고 설명했다.뉴욕 노인 정의 웨인버그센터 책임자 조이 솔로몬은 “가해자들이 코로나를 무기로 삼고 있다”고 말했다. 코로나로 인해 학대 사례 조사를 담당하는 자원봉사자들은 노인들을 만나지 못하고, 장기요양원은 일손이 부족해 자격이 의심스러운 임시 요양보호사를 채용한다고 한다. 이에 WSJ는 노인 학대 사례가 더욱 증가할 것으로 전망했다. ]",[],http://www.edaily.co.kr/news/newspath.asp?newsid=01161126629284096,https://n.news.naver.com/mnews/article/020/0003402929?sid=104
2021.12.31.,서울신문,,“난 치매 노인이 아니오”...86세 할머니가 파출소를 찾은 이유는?,,,https://nownews.seoul.co.kr/news/newsView.php?id=20211231601002&wlog_tag3=naver,https://www.yna.co.kr/
2021-12-30 11:26:43,이뉴스투데이,사회,"전남도, 독거노인 다인가족 등 위해 '전남형 시설 재택치료' 실시","[     실종자 수색 드론 (CG)[연합뉴스TV 제공]    (광주=연합뉴스) 천정인 기자 = 나흘째 실종 상태였던 80대 노인이 수색하던 경찰에 의해 숨진 채 발견됐다.     30일 광주 남부경찰서 등에 따르면 이날 오전 11시께 광주 광산구 황룡강변 억새밭에서 A(80) 씨가 숨진 채 발견됐다.    A씨는 지난 27일 오전 집을 나선 뒤 가족과 연락이 닿지 않아 실종 신고됐다.    경찰은 안전 안내 문자와 인터넷 등을 통해 A씨에 대한 실종 경보를 내리고 수색에 나섰지만 나흘째 A씨가 발견되지 않자 헬기와 드론 등을 동원해 수색 작업을 펼쳤다.    경찰은 A씨가 극단적 선택을 한 것으로 추정하고 정확한 사망 원인 등을 조사할 계획이다.      ※ 우울감 등 말하기 어려운 고민이 있거나 주변에 이런 어려움을 겪는 가족·지인이 있으면 자살 예방 핫라인 ☎1577-0199, 희망의 전화 ☎129, 생명의 전화 ☎1588-9191, 청소년 전화 ☎1388 등에서 24시간 전문가의 상담을 받을 수 있습니다.    iny@yna.co.kr ]","['할아버지ᆢ\n좋은 데로 가셔요\n무슨 사연인지 모르나 사시느라 고생하셨고 애쓰셨습니다', '고인의 명복을 빕니다.', '왠지 맘이아프네여 고인의 명복을 빕니다', '고인의 명복을 빕니다', '고인의 명복을 빕니다', '']",http://www.enewstoday.co.kr/news/articleView.html?idxno=1538002,https://n.news.naver.com/mnews/article/001/0012855775?sid=102
2021.12.31.,백세시대,,[신년 특집] 북한의 노인은 지금 어떻게 사나…북한판 노인복지법·연금제가 ...,,,http://www.100ssd.co.kr/news/articleView.html?idxno=83754,http://www.edaily.co.kr/
2021-12-31 05:11:01,데일리한국,사회,[박재찬 기자의 영화로운 보험생활] 연금으로 먹고 사는 사람들 영화 ‘어느가...,"[ 통계청 '2021년 사회조사 결과' 가족관계 분석소득수준-가족관계 친밀도, 정비례소득 300만원 미만부터 가족과 '멀어졌다' 응답 多사회 불평등 키우는 코로나…""격차 완화 정책 절실""[이데일리 이소현 기자] 경제적 여유가 있어야 가족관계도 좋아지는 시대가 됐다. 신종 코로나바이러스 감염증(코로나19)이 휩쓴 지난 2년, 소득 수준과 가족 간의 친밀도가 비례하는 것으로 확인됐다.    코로나 이후 소득별 가족관계 변화(자료=통계청 2021년 사회 조사 결과)삼성생명 인생금융연구소는 ‘지난 2년 코로나19가 무엇을 바꿨나’ 분석을 통해 우리 사회상을 급변시킨 코로나19 사태를 재조명해 보니 “친인척, 이웃, 친구 등 모든 사회 관계망을 통틀어 ‘사이가 더 가까워졌다’는 응답이 ‘멀어졌다’보다 많은 경우는 가족 간 관계가 유일했다”고 30일 밝혔다. 실제 통계청이 발표한 ‘2021년 사회조사 결과’에 따르면 가족은 ‘가까워졌다’는 응답이 12.9%로 ‘멀어졌다’(12.6%)보다 근소하게 앞선 것으로 나타났다. 반면 ‘친인척과 멀어졌다’는 답변은 36.7%로 ‘가까워졌다’(2.0%)보다 압도적으로 많았다.이데일리가 같은 통계에서 모든 사회 관계망에서 유일하게 사이가 더 가까워진 가족관계를 소득 수준에 따라 구분해 보니 소득 높낮이에 따라 친밀도가 차이 나는 것으로 확인됐다.소득과 가족관계는 정확하게 ‘X자형’ 모양의 정비례 그래프를 그렸다. 가족관계는 소득이 높을수록 가까워졌고 소득이 낮을수록 멀어졌다. 소득 600만원 이상의 고소득층은 가족과 관계가 ‘가까워졌다’는 응답이 20.0%를 기록, ‘멀어졌다’(7.4%)보다 약 2.7배 앞섰다. 반면 소득 100만원 미만의 저소득층은 가족과 관계가 ‘가까워졌다’(6.6%)는 응답보다 ‘멀어졌다’(23.4%)는 응답이 약 3.5배 많았다.가족관계의 친밀도는 소득 300만~400만원 미만의 중산층을 기점으로 나뉘었다. 소득 300만원 미만부터 가족관계가 멀어졌다는 응답이 두자릿수로, 가까워졌다는 응답을 앞섰다. 살림은 가난해도 가족 간의 정을 잃지 않고 서로 위해주면서 사는 ‘미풍양속’은 옛것이 된 셈이다.이는 중산층과 고소득층은 사회적 거리두기로 재택근무가 늘고, 사적모임 인원제한으로 회식을 자제하는 분위기가 형성되면서 자연스럽게 바깥 활동이 줄고 가족과 보낼 시간이 늘어나면서 친밀도도 자연스럽게 높아진 것으로 분석된다. 대기업에 다니는 박모(36)씨는 “재택근무 전환으로 출퇴근 시간이 줄어들면서 육아에 참여할 시간이 늘어 아내가 좋아한다”며 “감염 우려에 외부활동보다 집에서 보내는 시간이 늘면서 가족들과 더 가까워졌다”고 말했다.반면 코로나19 장기화로 ‘K자형 양극화’ 우려가 커지는 가운데 사회적 취약계층은 일자리를 위협받고, 비대면 활동이 늘어나면서 가정에서 돌봄의 부담은 가중된 것으로 보인다. 특히 거리두기 강화로 자영업자들은 소득이 급감하는 힘겨운 상황이 지속됐다. 2021년 KB 자영업 보고서에 따르면 2019년 대비 2020년 소상공인 매출은 평균 24% 감소했다. 앞으로 3년간 코로나가 지속하면 매장 휴폐업을 고려한다는 소상공인은 48%에 달했다. 전국자영업자비상대책위원회 관계자는 “올해만 스무 명이 넘는 자영업자가 스스로 생을 마감했고 지금 당장 쫓겨날 위기에 놓인 중소상인들이 부지기수”라며 “범법자를 양산하는 방역패스 철회와 보상 없는 영업제한 철폐, 소상공인 지원금 대폭 확대가 필요하다”고 했다.전문가들은 코로나19가 사회의 불평등을 키우고 있다며, 사회 격차를 완화하는 정책이 절실하다고 강조했다. 불평등끝장넷 관계자는 “코로나19 팬데믹 상황에서 돌봄 공백이 심각한 문제로 대두했지만, 정부는 불안정 취약 노동자가 체감하기 어려운 대책만 내놓았고 노인·장애인 시설의 집단감염 사태에 대해서도 대책이 전무했다”며 “돌봄의 기본권을 보장하고 사회서비스의 질 향상과 공공성 강화 정책이 요구된다”고 말했다. ]","['코로나19가 사회 불평등을 키우는게 아니라 백신패스 이딴 개그튼 방역 정책이 사회 불평등을 키우는거야', '돈이 행복순위 1위인 한국은 코로나 상관없이 그러할것 같은데....', '참 너무한다 이런 기사를 내니 . 서민들 울화통 터진다', '코로나랑 관계없이 원래 알던 이야기 아니었나? 돈이 전부는 아니지만 고소득자 아니라도 어느정도 남들처럼 생활할수 있는 돈이 있어야 행복함 그리고 코로나 전보다 집에서 가족끼리 보내는 시간이 많아지니  당연히 가까워질 확률이 높은거지 고소득자가 아님', '이거맞다. 우리집 ㅈㄴ못산다. 결혼할때 돌려준다고 매달 100씩 4000을 집에줬다. 코로나덕분에 대화가 많아져서 결혼자금얘기했는데 내돈없단다 ㅋㅋㅋㅋ 그래서 얼굴 안본지 2년됬다 ㅋㅋㅋ', '넓은 집은 , 각자의 프라이버시가 보장되어서 상관이 없는데, 좁은집에선 서로 먹을것도 없는데다가 , 생활에 여유가 없어 대개 부모님들이 불평을 자식들에게 늘어놓고 이를 해소할 공간도 마땅하지않은 집이니 당연...', '', '그냥 문재인씨 사형시키면 대한민국 국민 행복지수 떡상이지 ㅋㅋㅋ', '월급 300이하면 가난한거냐?', '쓰레기 기사', '', '', '', '가족들과 돈거래가 있으면 멀어지는거야..있는 사람들끼린 돈거래 할일이 없으니 가까운거구..', '', '방역수칙 지키느라 주소달라 멀어진사람도 잇지않나? 고소득자..이거 쫌 웃긴당ㅎㅎ  난 친해졋어~ 고소득은 아닌데, 방역수칙 지키면서 집에 잘잇었거든', '']",https://daily.hankooki.com/lpage/column/202112/dh20211231141206140410.htm?s_ref=nv,https://n.news.naver.com/mnews/article/018/0005117260?sid=102
2021.12.31.,오마이뉴스,,"100세 시대, 청양 노인들의 행복한 '인생 2막' 만들기",,,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002799274&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,https://www.seoul.co.kr
