Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2면 1단,국제신문,,"훌쩍 큰 홀몸노인 공동체, 나눔 실천하며 홀로서기 준비",,,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20230630.22002009582,http://www.kookje.co.kr/
2023-06-29 19:51:06,뉴시스,사회,"담양형 향촌복지, 사회 참여-경제 자립 일거양득","[ 본지 기획 ‘전력질주 사업’ 일환, 반찬판매 수익 어려운 이웃 도와- 市예산 끊겨 시장경쟁 본격 돌입29일 오전 부산 부산진구 개금3동 대안가족 허브센터 내 조리실. 개금3동 주민이자 ‘전력질주 협동조합’ 소속 할머니 4명이 주문 도시락 10인분을 만들기 위해 모였다. 이날 메뉴는 오리불고기 미역국 어묵볶음 동그랑땡 그리고 장아찌. 위생모와 마스크를 쓴 채 각자 맡은 작업에 집중하다 보니 1시간 만에 음식이 완성됐다. 도시락 용기에 푸짐하게 담아내자 “아이고 마, 이래 마이 주가 남는 거 있겠나” “마이 주야 또 오제. 팍팍 담아라”는 대화와 함께 웃음소리가 터졌다.    29일 부산 부산진구 개금3동 대안가족 허브센터에서 전력질주 협동조합 소속 어머니들이 주문 도시락을 만들고 있다.  김영훈 기자 hoonkeem@kookje.co.kr대안가족 자활공동체 활동의 일환이자 홀몸노인의 자생력·관계망 회복을 위해 출발한 전력질주 협동조합이 설립 7년째를 맞았다. 그사이 활발한 운영으로 마을 내 관계망을 더욱 두텁게 한 것은 물론 더 어려운 이웃을 돕고 완전한 홀로서기를 위한 걸음마도 시작했다.복지법인 우리마을은 전력질주 협동조합 조합원 수가  2019년 21명에서 지난해 47명으로 2배 넘게 늘었다고 29일 밝혔다. 반찬 판매 횟수는 36회에서 77회로, 1인당 월평균 수익은 8만 원대에서 16만 원대로 증가했다. 전력질주 협동조합은 개금 3동 8~10통 홀몸노인이 모여 사회적 가족(4~6명)을 구성한 뒤 정기 교류하는 대안가족 자활공동체 사업의 일환이다. 2017년 국제신문 기획 시리즈 ‘생애 마지막 전력질주’가 계기가 돼 같은 해 설립된 뒤 노인의 경제적 자립을 도울 수 있는 반찬사업을 하고 있다. 사업 초기 수익금은 사업비로만 사용됐지만 이제는 더 어려운 이웃을 위한 무료 반찬 만들기 행사에도 쓰인다.협동조합이 성장한 만큼 홀몸노인들도 달라졌다. 경제적 수익을 얻은 것은 물론 고립감은 날리고 자아효능감을 얻음으로써 삶의 의욕을 되찾았다. 전력질주 협동조합 박영수(89) 이사장은 “사람들과 만나 일을 하니 재미있고 음식을 먹은 사람도 맛있다 하니 뿌듯해 조합 활동을 계속하고 싶다”며 “돈이 문제가 아니다. 그냥 집에서 있을 때와는 다르다”고 말했다.전력질주 협동조합은 더 큰 성장을 위해 도전 중이다. 시가 대안가족 사업 지원 예산을 줄여 협동조합이 쓸 수 있는 사업비도 사라졌기 때문이다. 진정한 시장 경쟁에 뛰어든 셈이다. 복지법인 우리마을 김일범 사무국장은 “노인을 수혜 대상으로만 보면 예산이 무한대로 들어간다. 전력질주 협동조합이 노인의 경제적 안전망을 확보하면서 고독한 삶을 예방하는 대표로 자리매김한 만큼 지역사회의 관심이 필요하다”고 강조했다.   ]",['간만에 정말 좋은 기사를 보아서 마음이 좋습니다. 이런 협동조합이 있는 줄도 몰랐는데 여러모로 정말 좋은 취지의 활동을 하는군요. 이런 활동으로 어르신들의 자아효능감이 높아질 수 있다는 것도 처음 알았습니다. 어르신들의 자립을 진심으로 응원하게 되네요. 정말 좋은 기사인 것 같습니다. 감사합니다!'],http://www.newsis.com/view/?id=NISX20230615_0002340687&cID=10809&pID=10800,https://n.news.naver.com/mnews/article/658/0000045259?sid=102
2023.06.16.,아주경제,,"약발 있는 담양군 '향촌복지'...노인들 ""돈도 벌고 편해서 좋아""",,,https://www.ajunews.com/view/20230616100031229,http://www.newsis.com
2023-06-15 17:16:11,광주일보,사회,"담양형 향촌복지, 사회 참여·자립 일거양득","[ ""고향을 떠나지 않고 지역에서 생활…어르신 생활 만족도↑""    담양 우리마을 주치의. (사진=담양군 제공) *재판매 및 DB 금지[담영=뉴시스] 송창헌 기자 = 전남 담양군이 민선 8기 주요 공약인 신(新) 효도행정 '향촌복지'를 통해 담양형 복지모델을 구축, 긍정적 평가를 받고 있다.향촌복지는 군민의 32%가 65세 이상 노인인구인 특성을 고려한 지역 맞춤 공약으로, 노인 일자리 확대는 지역사회에도 활력을 불어넣고 있다는 평이다.군은 군비 5억5000여만 원을 추가해 현재 열흘이던 공익형 일자리 활동 일수를 12일로 확대하고, 일자리를 원하는 어르신은 누구나 참여할 수 있도록 했다.이병노 군수는 지난해 취임 첫 업무보고에서 ""일방적 지원을 넘어 어르신의 일자리 활동을 통해 경제적 자립을 해결하고 나아가 지역사회의 구성원으로서 만족도도 높아질 것""이라고 강조한 바 있다.또 대부분 교통약자인 점을 고려, 마을 단위 신규사업을 개발하는 등 어르신들의 이동을 최소화한 점도 주효했다.노인일자리에 참여 중인 한 어르신은 ""내가 직접 일을 하고 경제적으로 자립할 수 있게 돼 손주들에게 용돈도 주고 사회구성원으로서 활동도 할 수 있어 이래저래 좋다""고 말했다.군은 아울러 '담양형 통합돌봄 중기계획'을 수립, 경로당과 요양시설의 기능을 보강하고 보건지소의 의료서비스를 강화하기 위해 4년간 741억 원을 투입할 방침이다.특히, 보건지소 기능을 강화한 '우리마을 주치의'는 찾아가는 복지서비스 제공으로 호평받고 있다. 공중보건의와 간호사가 병원 이용이 불편한 가정에 직접 방문해 기본 진찰, 건강지표 측정과 상담, 치매와 우울 검사 등을 진행하며 맞춤형 운동법을 알려주고 자가관리능력을 키워주는 사업이다. 이밖에 사각지대 독거노인을 자원봉사자와 1대 1로 연결해 정기적인 안부를 확인하는 어르신 지킴이단 확대 운영과 가구별 예·경보 시설 설치 시범사업, 응급안전 안심서비스도 주민 체감형 복지도 각광받고 있다.이 군수는 ""향촌복지는 자식들에게 짐이 될까 노심초사하는 부모의 마음을 달래드리면서 어르신들의 뜻을 받들 수 있는 효도행정의 집약체""라며 ""어르신들이 담양에서 행복한 삶을 살 수 있도록 담양만의 특색있는 복지모델 구축에 최선을 다하겠다""고 말했다. ]",[],http://www.kwangju.co.kr/article.php?aid=1687083000753743138,https://n.news.naver.com/mnews/article/003/0011916565?sid=102
A4면 3단,이데일리언론사 선정,,은퇴 전 소득 따라 식당 밥값도 차등…파리의 노인지원제도 보니,,,http://www.edaily.co.kr/news/newspath.asp?newsid=01151286635646312,http://www.ajunews.com
2023.06.15.,경북매일신문,,노인 학대를 예방하자,,,http://www.kbmaeil.com/news/articleView.html?idxno=961141,http://www.kwangju.co.kr/
2023.06.14.,대구신문,,[기고] 노인학대! 관심과 예방이 최선,,,https://www.idaegu.co.kr/news/articleView.html?idxno=423742,http://www.edaily.co.kr/
2023-06-28 05:11:01,오마이뉴스언론사 선정,사회,"은퇴하면 '고생 끝, 행복 시작'이라는 프랑스 노인들 [목수정의 바스티유 광장...","[ [대한민국 나이듦]④건강·경제력 등 고려한 노인주거시설‘자택 거주’ 원하면 임대료 부담도 낮춰줘“건강하게 살다 갈 수 있게 지원 더 해줬으면”    프랑스 파리의 노인들을 위한 식당 ‘에머로드’ 내부(왼쪽). 이 식당에서 식사를 하고 나오는 이들.(사진=김미영 기자)[파리=이데일리 김미영 기자] “혼자 와도 밥 먹으면서 새 친구들 사귀고 얘기할 수 있으니 좋지, 식사도 만족스럽고.”(84세 여성 레나) 지난 5월 11일, 프랑스 파리 생제르맹 거리 인근의 노인공동주택. 이 주택 1층엔 은퇴한 노인들을 위한 식당인 ‘에머로드’(Restaurant Emeraude)가 있다. 파리 시에서 관리하는 에머로드는 이곳을 포함해 시내에 42곳이 있었다. 65세 이상의 노인이 저렴한 가격에 질 높은 식사를 하면서 동년배들과도 자연스럽게 어울릴 수 있는 공간이었다.이날의 점심 메뉴는 전식으로 크림 오이 혹은 야채스프, 본식은 카레소스 닭다리볶음탕 혹은 대구살 필렛, 후식은 바닐라 초콜릿 소스의 과자가 나왔다. 식당에 온 이들은 시청에서 발급 받은 에머로드 카드를 내민 뒤 음식을 받아 천천히 식사를 했다. 자전거를 끌고 식당에 온 레나씨는 “파리엔 이런 식당이 여러 곳 있기 때문에 돌아다니면서 식사를 한다”며 “자주 이용하는 편”이라고 했다. 이 식당 직원인 알리씨는 “시에서는 노인들의 은퇴 전 소득을 따져서 식사가격을 차등 책정한다”며 “보통 한 끼에 5~8유로(한화 7000~12000원) 정도”라고 했다. 알리씨는 “점심엔 보통 노인 80여명이 찾고, 저녁은 노숙자 등에게도 공짜로 제공하기 때문에 100인분 정도의 식사를 준비한다”며 “다른 사람들과의 만남의 장소, 사회와의 연결고리가 되는 곳”이라고 강조했다. 파리 거리에선 ‘토박이’ 노인들을 어렵지 않게 접할 수 있었다. 세계적 관광도시이자 물가도 비싼 파리에서 이들이 은퇴 후에도 주변부로 밀려나지 않을 수 있는 데엔 에머로드와 같은 정부 차원의 사회서비스들도 한몫했다. 획일적이지 않은, 노인들의 개별성과 특수성을 감안한 서비스다. 끼니 못지않게 중요한 주거 문제 해결을 위해서 프랑스는 자립생활이 가능한 이들을 위한 노인주택 등은 물론, 의료시설을 갖췄거나 병원서비스가 제공되는 주거시설 등 노인주거시설을 갖췄다. 건강 상태와 경제적 능력 등에 따라 선택해서 머무를 수 있다. 나이 들어서도 살던 곳에 계속 살고 싶어하는 노인들의 자택 거주를 돕는 방편들도 있다. 경제력이 낮은 노인엔 주거보조금을 제공하거나, 임대인의 재산권을 다소 제한하는 경우가 있더라도 기존과 같은 조건으로 임대차 계약을 유지할 수 있게 한다. 노인 건강상태가 좋지 않아 집안일 등을 할 수 없는 경우엔 가사보조금도 준다. 사회복지 시설이나 병원에서 노후를 맞기를 꺼려 집안에서 홀로, 사회와 단절된 채 살아가지 않게 하기 위해서다.우리나라와 마찬가지로 프랑스도 노인 이동을 돕는 교통비 지원을 하고 있다. 파리시의 경우 저소득층 노인에겐 무료 교통권을 지급하는 정책을 펴고 있으며, 이들 외 노인엔 일정 부분 할인을 해준다.그렇다고 해서 파리가 노인들이 살기 좋은 최적의 도시라고 말하는 건 아니다. 예를 들어 파리는 도시 역사만큼 건물들도 대체로 오래돼 이동 편의를 위한 엘레베이터, 경사로 등이 설치돼 있지 않고, 집안엔 문턱이 남아 이동 편의성과 안전을 더 보완해야 한단 목소리가 있다. 이 때문에 파리시와 민간단체 등에선 꾸준히 노인들에 필요한 주택 개보수사업을 하고 있다.파리에서 만난 70대 보헴 씨는 “정부와 시에서 노인들 배려를 많이 하고 있지만 더 많이 있어야 한다, 건강하게 살다 죽고 싶다는 욕구를 채워줬으면 한다”며 “한국은 프랑스에서, 프랑스는 한국에서 좋은 제도를 서로 본받아야 한다”고 말했다.  (통·번역 도움=한국외대 장민설) ]","['경로식당이 구에 1~2군데 동마다 식당시설이 있어서 걸어가서 식사했으면 좋겠어요. \n\n멀먼 차비가 들어 식사비가 올린갑니다. 불편해요.', '']",https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002930214&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,https://n.news.naver.com/mnews/article/018/0005518187?sid=102
2023.06.30.,에너지경제,,양주시 민선8기 1년…경기북부 본가 부활 ‘시동’,,,https://www.ekn.kr/web/view.php?key=20230630010007874,http://www.kbmaeil.com
2023.06.29.,헤럴드경제,,"강수현 양주시장, “시정 모든 영역에서 확실한 성과 보여드리겠다”",,,http://news.heraldcorp.com/view.php?ud=20230629000487,http://www.idaegu.co.kr
