Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.03.31.,뉴스1,,광주 남구 노인복지관 재개관…2층 증축·식당 확장,,,https://www.news1.kr/articles/?4633858,http://news1.kr/
2022-03-31 15:39:16,전주MBC언론사 선정,사회,"유창희, 치매병원·무료버스 등 노인복지 공약","[     김병내 남구청장을 비롯한 관계자들이 31일 남구 노인복지관 재개관식에 참석해 단체 기념사진을 찍고 있다.(남구 제공)2022.3.31/뉴스1(광주=뉴스1) 김동수 기자 = 광주 남구는 공간 협소와 시설 노후화 문제를 겪던 노인복지관을 정비한 뒤 재개관했다고 31일 밝혔다.남구는 이날 월산동 노인복지관 2층 대강당에서 노인복지관 재개관식을 개최했다.노인복지관은 공간 협소와 시설 노후화 문제로 재정비에 들어간 지 반년 만에 다시 문을 열었다. 지난해 9월부터 증축 및 리모델링 공사를 시작한 이후 6개월 만에 재개관했다. 사업비 11억4000만원을 투입해 건물 2층을 수평으로 증축해 연면적을 넓힌 뒤 프로그램 운영공간을 추가로 확보했다. 기존 식당 공간도 확장했다. 남구 관계자는 ""어르신들께서 재개관 전부터 확 바뀐 건물의 모습을 보고 얼굴에 웃음꽃이 만개하는 등 매우 흡족해 하고 계신다""며 ""관내 어르신 모두가 행복한 노후 생활을 보내는데 큰 보탬이 될 것""이라고 말했다.   ]",[],http://www.jmbc.co.kr/news/view/22759,https://n.news.naver.com/mnews/article/421/0006001915?sid=102
2022.03.30.,뉴시스,,"정성주 김제시장 예비후보 ""노인복지 사각지대 제로화""",,,http://www.newsis.com/view/?id=NISX20220330_0001814219&cID=10808&pID=10800,https://www.jmbc.co.kr/
2022-03-30 13:23:01,뉴스핌,정치,"두세훈 완주군수 예비후보 ""어르신 황금시대 위한 노인복지 실현""",[      공립치매전담병원 건립 등 노인복지 관련 공약이 제시됐습니다.유창희 전주시장 예비후보는 4대 노인복지 정책을 발표하고 전주에 국비로 공립치매전담병원을 건립해 1만여 명에 이르는 치매노인 치료의 길을 열겠다고 밝혔습니다.또 120억 원의 예산으로 65세 이상 노인이 무료로 시내버스를 이용할 수 있게 하고 디지털 정보화 교육과 노인일자리 창출을 공약했습니다. ],[],http://www.newspim.com/news/view/20220330000766,https://n.news.naver.com/mnews/article/659/0000001598?sid=100
2022.03.31.,데일리한국,,"한국수자원공사, 대덕구노인종합복지관에 후원금 전달",,,http://daily.hankooki.com/news/articleView.html?idxno=806892,http://www.newsis.com
2022-03-30 16:44:43,신아일보,사회,"홍천군 노인복지관 '만원의 힘', 산불 피해 특별모금 성금 전달","[ 기사내용 요약김제시 전체 인구 8만여명 중 65세 이상 2만6950명…초고령 사회    정성주 김제시장 예비후보가 진봉면 낙시터 환경개선사업에 참여한 어르신들과 인사를 나누고 있다. (사진=정성주 선거캠프 제공) *재판매 및 DB 금지[김제=뉴시스]고석중 기자 = 제8회 전국동시지방선거 더불어민주당 김제시장 정성주 예비후보가 30일 ""김제시는 전체 인구 8만여명 가운데 65세 이상 노인 인구가 33.7%인 2만6950명에 달하는 초고령 사회로 진입했다""라며 노인들을 위한 복지 사각지대 제로화 추진을 공약했다.정 예비후보는 “핵가족화 등으로 인해 소외되는 어르신들이 많이 있다”라면서 “보편적 복지서비스 수준을 획기적으로 높여 어르신들이 편안한 노후를 보낼 수 있도록 하겠다”고 강조했다.이어 “어르신들이 교통비에 부담을 느껴 병·의원 진료를 위한 외출 등 외부활동을 제약받는 일이 없도록 하겠다”며 “자가용을 소유하지 않은 어르신들이 교통약자로 전락하지 않도록 대중교통비를 지원하겠다”고 덧붙였다.정 예비후보는 ""어르신들 돌봄서비스를 강화해 거주하는 곳에서 요양, 간병, 생활지원 등의 서비스를 편리하고 저렴하게 이용할 수 있도록 하겠다. 지역사회 의료와 돌봄서비스의 원스톱 체계를 구축하겠다""고 피력했다.또 보호자가 없는 홀로 어르신들에게 응급상황이 발생할 경우 신속하게 대응할 수 있는 긴급 간병인제를 운영해장기요양 대상자를 먼저 시행하면서 수혜 범위를 확대해 나가겠다고 했다.정성주 예비후보는 “노인들의 가장 큰 적인 외로움과 경제문제를 해결해 드리는 게 우리 세대가 맡아야 할 책무 중의 하나”라며 “지역 인구의 고령화로 매년 행정수요가 증가하는 노인문제 해결에 시정을 집중하겠다”고 약속했다. ]",[],http://www.shinailbo.co.kr/news/articleView.html?idxno=1533551,https://n.news.naver.com/mnews/article/003/0011093479?sid=102
2022.03.31.,경남도민신문,,"""밀양시 노인종합복지관 건립해야""",,,http://www.gndomin.com/news/articleView.html?idxno=310367,http://www.newspim.com
2022.03.31.,브레이크뉴스,,광주 남구 노인복지관 재개관 ‘어르신 웃음꽃’,,,http://www.breaknews.com/883423,http://daily.hankooki.com
2022.03.31.,고양신문,,대화노인복지관이 '호(好)두(頭)교실' 엽니다,,,http://www.mygoyang.com/news/articleView.html?idxno=67390,http://www.shinailbo.co.kr/
2022.03.31.,브릿지경제,,"[액티브 시니어] 성동구, 용답동 노인복지시설 첫 삽… 8월 준공 예정",,,https://www.viva100.com/main/view.php?key=20220401010007950,http://www.gndomin.com/
2022.03.31.,파이낸셜뉴스,,남양주시 봉사지도원 556명 활동지원…노인복지↑,,,http://www.fnnews.com/news/202203310727066985,http://www.fnnews.com/
2022-03-31 07:30:03,충청일보,사회,천안시 노인 고독감 해소 비대면 프로그램 활성화,"[     남양주시청 전경. 사진제공=남양주시 【파이낸셜뉴스 남양주=강근주 기자】 남양주시는 경로당 지원 조례 일부개정에 지역봉사지도원에 관한 지원 규정을 마련하고 노인권익 신장과 노인복지를 증진하고자 지역봉사지도원 556명을 위촉하고 활동비를 지원했다.   지역봉사지도원은 경로당을 이용하는 노인을 비롯해 노인인구 증가로 노인여가시설 관리자 역할이 더욱 중요해짐에 따라 사회적 신망과 경험이 있는 노인 리더 사회활동을 확대하고, 이들의 경험과 기술 등을 사회에 환원하기 위해 추진됐다.   노인복지법 제24조에 근거한 지역봉사지도원은 경로당 분회장 및 경로당 노인회장을 중심으로 하며, 관내 노인과 경로당을 대상으로 노인복지정책 홍보 및 안내, 경로당 감염병 예방활동 등 전반적인 운영-관리와 지역사회를 위한 자원봉사활동을 병행한다.   정금성 노인복지과장은 31일 “경로당 이용 어르신 안전을 위해 경로당 관리자 역할과 책임이 중요해지고 있는 상황에서 사회봉사활동에 힘써온 경로당 회장과 분회장을 지역봉사 지도원으로 위촉해 맞춤형 역할을 제공하고, 지역봉사지도원 또한 더욱 자긍심을 갖고 활동할 수 있을 것으로 기대한다”고 말했다.   ]",[],https://www.ccdailynews.com/news/articleView.html?idxno=2120893,https://n.news.naver.com/mnews/article/014/0004812097?sid=102
2022.03.31.,경남도민신문,,"""밀양시 노인종합복지관 건립해야""",,,http://www.gndomin.com/news/articleView.html?idxno=310367,http://ccdailynews.com
2022.03.31.,불교공뉴스,,"한국수자원공사 충북지역협력단, 옥천노인장애인복지관에 따뜻한 나눔 행사",,,http://www.bzeronews.com/news/articleView.html?idxno=511343,http://www.gndomin.com/
2022.03.31.,무등일보,,광산구 더불어락노인복지관 '복지숲 생태텃밭' 개장,,,http://www.mdilbo.com/detail/SexeuZ/666269,http://www.bzeronews.com
2022.03.31.,브레이크뉴스,,광주 남구 노인복지관 재개관 ‘어르신 웃음꽃’,,,http://www.breaknews.com/883423,http://www.mdilbo.com
2022.03.31.,브레이크뉴스,,"양평군, 양평노인복지관 착공식 개최",,,http://www.breaknews.com/883322,http://www.breaknews.com
2022.03.30.,데일리한국,,"대덕구노인종합복지관, '선배시민 자원봉사단' 수행기관 선정",,,http://daily.hankooki.com/news/articleView.html?idxno=806096,http://www.breaknews.com
2022.03.31.,고양신문,,대화노인복지관이 '호(好)두(頭)교실' 엽니다,,,http://www.mygoyang.com/news/articleView.html?idxno=67390,http://daily.hankooki.com
2022.03.31.,브릿지경제,,"[액티브 시니어] 성동구, 용답동 노인복지시설 첫 삽… 8월 준공 예정",,,https://www.viva100.com/main/view.php?key=20220401010007950,http://www.mygoyang.com
2022.03.28.,연합뉴스,,"구리시, 인창동에 노인복지관 연말 개관",,,http://yna.kr/AKR20220328107000060?did=1195m,https://www.yna.co.kr/
2022-03-28 14:55:15,안전신문,사회,"담양군노인복지관, '농촌재능나눔 활동지원사업' 선정","[     구리 노인복지관 조감도[구리시 제공. 재판매 및 DB 금지]    (구리=연합뉴스) 김도윤 기자 = 경기 구리시는 올해 말 개관을 목표로 인창동에 노인복지관을 건립한다고 28일 밝혔다.    기존 여성노인회관 건물을 노인 전용시설로 리모델링하는 방식이며 지난 25일 착공했다. 여성 관련 시설은 지난해 9월 문을 연 여성행복센터로 이전했다.    노인복지관은 지하 1층, 지상 5층, 연면적 6천㎡ 규모로 마련되며 총 65억원이 투입된다.    내부에는 다목적세미나실, 도예실, 무도장, 실버 카페, 통합지원센터, 노인회 사무실, 영화관람실, 노인대학 교실 등이 들어설 예정이다.    구리시 관계자는 ""이 시설에서 노인 복지뿐만 아니라 노인 돌봄, 소독 방역, 일자리 지원 등 다양한 프로그램이 운영될 것""이라고 말했다.    한편 여성행복센터는 교문동 구리아트홀 뒤에 지하 1층, 지상 5층, 연면적 1만㎡ 규모로 신축됐으며 여성문화센터, 건강가정·다문화가족지원센터, 가정폭력상담소, 여성새로일하기센터 등이 들어섰다.    kyoon@yna.co.kr ]",[],https://www.safetynews.co.kr/news/articleView.html?idxno=211255,https://n.news.naver.com/mnews/article/001/0013077135?sid=102
2022.03.30.,이뉴스투데이,,"박병규 광산구청장 예비후보, 더불어락 노인복지관 송광종합사회복지관 방문",,,http://www.enewstoday.co.kr/news/articleView.html?idxno=1559194,http://www.safetynews.co.kr/
2022.03.30.,브릿지경제,,"평택시북부청소년문화의집-노인복지관, 업무협약",,,https://www.viva100.com/main/view.php?key=20220330010008097,http://www.enewstoday.co.kr/
E3면 1단,동아일보,,아동부터 노인까지… 전 계층 아우르는 사회공헌 활동 눈길,,,https://www.donga.com/news/article/all/20220329/112590312/1,http://www.viva100.com
2022.03.30.,충청일보,,"수공 충북협력단, 노인장애인복지관에 방역물품 지원",,,https://www.ccdailynews.com/news/articleView.html?idxno=2120549,http://www.donga.com/
