Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2023.08.31.,연합뉴스,,[용인소식] 새마을회관 무료 급식소서 배식 봉사 행사,,,https://www.yna.co.kr/view/AKR20230831142900061?input=1195m,https://www.yna.co.kr/
2023-08-31 16:49:40,쿠키뉴스,사회,"금암노인복지관, 손뜨개 봉사단 ‘사랑의 냄비받침’ 나눔","[    (용인=연합뉴스) 경기 용인시는 31일 처인구 마평동 용인시새마을회관 내 무료 급식소에서 배식 봉사 행사를 열었다.    배식 봉사하는 이상일 용인시장[용인시 제공. 재판매 및 DB 금지]    이날 행사는 조성된 지 17년 지나 노후화한 급식 시설의 환경 개선 사업을 완료한 것을 기념하는 취지에서 마련됐다.    앞서 시는 무료 급식소 환경 개선 사업에 3천만원의 예산을 지원, 주방 작업대와 선반 등 주방 시설을 교체하고 환풍 시설을 설치했다.    이날 배식 봉사에는 이상일 시장과 새마을부녀회 임원, 봉사자 등 10여명이 참여했으며, 독거노인과 노숙자 등 취약계층 80여명이 현장을 찾아 식사했다. ]",[],http://www.kukinews.com/newsView/kuk202308310133,https://n.news.naver.com/mnews/article/001/0014164187?sid=102
2023.08.29.,뉴시스,,노인복지관 배식봉사 나선 단양군의원들,,,http://www.newsis.com/view/?id=NISI20230829_0001351559,http://www.kukinews.com
19면 1단,강원일보,,[포토뉴스]대한노인회 인제군지회 봉사단 단장 교육,,,https://www.kwnews.co.kr/page/view/2023083113184121901,http://www.newsis.com
2023-08-29 16:20:13,뉴스1,사회,"대구보건대 바이오헬스 ICC, 노인보호센터 찾아 봉사활동",[     [단양=뉴시스] 이도근 기자= 충북 단양군의회 전체 의원 7명이 29일 단양군 매포읍 충주댐 노인복지관을 찾아 노인들에게 배식 봉사를 하고 있다. (사진=단양군의회 제공) 2023.8.29. photo@newsis.com *재판매 및 DB 금지[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com)로 보내주시면 적극 반영하겠습니다. ],[],https://www.news1.kr/articles/5154724,https://n.news.naver.com/mnews/article/003/0012057502?sid=102
2023.08.31.,경남도민신문,,진주 천전동 지사협 독거노인 주거환경개선 봉사,,,http://www.gndomin.com/news/articleView.html?idxno=364395,http://www.kwnews.co.kr/
2023-08-31 13:31:03,아주경제,사회,"""책 읽어드립니다""…완주군, 책 읽어주는 문화봉사단 발대",[     대한노인회 인제군지회(지회장:김양준)는 최근 지회 회의실에서 7개 봉사단 단장을 대상으로 2023년 강원노인자원봉사 활성화 지원 사업에 대한 교육을 실시했다. ],[],https://www.ajunews.com/view/20230831172635774,https://n.news.naver.com/mnews/article/087/0000992161?sid=102
2023.08.31.,시민일보,,"합천군 쌍책면 새마을협의회,부녀회, ‘ 홀몸노인 사랑잇기 ’봉사",,,https://www.siminilbo.co.kr/news/newsview.php?ncode=1160285604817246,http://news1.kr/
2023-08-29 16:46:33,스포츠서울,사회,"동해시 원봉회, 태풍피해 독거노인가구 수해 복구 봉사","[     대구보건대 바이오헬스 ICC 봉사단이 대구 북구 다올재활주간보호센터를 방문해 '시니어를 위한 청춘 뷰티케어' 봉사활동을 펼치고 있다. (대구보건대 제공)(대구=뉴스1) 공정식 기자 = 대구보건대 바이오헬스 ICC는 29일 하계방학 기간 지역사회를 위한 다양한 봉사활동을 펼쳤다고 밝혔다. 이들은 북구 다올재활주간보호센터를 찾아 시니어 노화 예방을 위한 청춘 뷰티케어 솔루션을 소개하고 핸드마사지, 페이스 뷰티케어 등으로 봉사활동을 펼쳤다.또 '척수장애인 여름캠프'를 찾아 근육 이완과 피부 힐링케어를 위한 핸드마사지 봉사와 핸드팩을 제공했다.황보서현 바이오헬스 ICC 담당관은 ""앞으로도 생애 주기별 맞춤형 헬스케어 콘텐츠를 기반으로 다양한 지역사회 프로그램을 개발하겠다""고 말했다.   ]",[],https://www.sportsseoul.com/news/read/1343357?ref=naver,https://n.news.naver.com/mnews/article/421/0007016885?sid=102
2023.08.31.,의학신문,,"제뉴원사이언스, 소외 아동 위한 비대면 봉사활동",,,http://www.bosa.co.kr/news/articleView.html?idxno=2204572,http://www.gndomin.com/
2023.08.31.,백세시대,,"대한노인회 대전연합회, 연합회 소속 노인자원봉사단장 교육",,,http://www.100ssd.co.kr/news/articleView.html?idxno=101903,http://www.100ssd.co.kr
2023.08.29.,뉴시스,,"KB증권, 안성 노인 대상 '행복뚝딱 농어촌 의료봉사'",,,http://www.newsis.com/view/?id=NISX20230829_0002429525&cID=15001&pID=15000,http://www.newsis.com
2023-08-29 09:48:14,백세시대,경제,"대한노인회 경기연합회, 노인자원봉사 수행기관 실무자회의 개최","[     (사진=KB증권) *재판매 및 DB 금지[서울=뉴시스]이지영 기자 = KB증권은 병원 방문이 어려운 경기 안성 미양면 지역 어르신 120명을 대상으로 '행복뚝딱 농어촌 의료봉사'를 진행했다고 29일 밝혔다.도심과 농어촌 지역의 의료 격차를 해소하기 위한 KB증권의 새로운 사회공헌 활동이다. 올 상반기 충북 옥천군에서 의료봉사를 진행한데 이어 하반기는 안성 미양면에서 열린의사회와 함께 진행했다.KB증권 임직원 스태프와 열린의사회 자원봉사 의료진 등 관계자 40명은 지난 27일 오전 8시부터 오후 2시까지 경기 안성 미양면 주민자치센터에서 내과, 외과, 치과, 한의과 등 종합 의료서비스를 제공했다. KB증권은 앞으로도 우리사회가 직면한 고령화와 지역간 격차 해소을 위한 다양한 형태의 사회공헌 활동을 추진할 예정이다. ]",[],http://www.100ssd.co.kr/news/articleView.html?idxno=101777,https://n.news.naver.com/mnews/article/003/0012055853?sid=101
10면 1단,강원일보,,"[포토뉴스]소양강댐노인복지관, ‘봉사자를 위한 베이킹 수업’ 진행",,,https://www.kwnews.co.kr/page/view/2023083016285578711,http://www.100ssd.co.kr
2023.08.31.,충청매일,,"충남 공주시 반포면, 독거 노인 대상 '사랑의 점심' 봉사",,,https://www.ccdn.co.kr/news/articleView.html?idxno=933386,http://www.kwnews.co.kr/
2023-08-30 16:36:01,쿠키뉴스,사회,"세종사이버대 중앙동아리 ‘섬기미’, 청춘시대재활복지센터서 봉사",[     K-water나눔복지재단 소양강댐노인복지관(관장:허미숙)은 30일 춘천 디저트카페 티라미수(대표:권강현)에서 복지관 어르신 6명과 베이킹수업을 진행했다. 이들이 직접 만든 수제빵은 이웃복지사와 한샘고 봉사학생들에게 전달할 예정이다.  ],[],http://www.kukinews.com/newsView/kuk202308310035,https://n.news.naver.com/mnews/article/087/0000991968?sid=102
2023.08.28.,동아일보,,"동서식품, 소비자와 동반 봉사활동 전개… “지역사회 공헌 이어갈 것”",,,https://www.donga.com/news/Economy/article/all/20230828/120896643/1,http://www.ccdn.co.kr
2023.08.29.,데일리한국,,"대덕구노인종합복지관 선배시민봉사단, 뜨개물품 판매",,,https://daily.hankooki.com/news/articleView.html?idxno=993470,http://www.kukinews.com
2023.08.29.,뉴데일리,,"KB증권, 두 번째 '행복뚝딱 농어촌 의료봉사' 진행",,,https://biz.newdaily.co.kr/site/data/html/2023/08/29/2023082900111.html,http://www.donga.com/
