Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.06.15.,인천일보,,"치매 부르는 노인성난청…65세 이상 부모님, 수시로 확인해야",,,http://www.incheonilbo.com/news/articleView.html?idxno=1100347,http://news.itimes.co.kr
2021.06.21.,푸드경제신문 organiclife,,"노인성난청…65세 이상, 수시로 확인 필요해",,,https://www.iloveorganic.co.kr/news/articleView.html?idxno=326834,https://www.foodneconomy.com/
2021.06.14.,잡포스트,,"치매 부르는 노인성난청…65세 이상 고령층, 수시로 확인해야",,,http://www.job-post.co.kr/news/articleView.html?idxno=25275,http://www.job-post.co.kr/
2021.06.02.,여성동아,,[issue] ‘인사돌플러스와 함께하는 부모님 사랑 감사 캠페인’ 독거노인분들...,,,https://woman.donga.com/3/all/12/2688886/1,http://woman.donga.com/
2021.06.22.,경북도민일보,,"(사)경상북도장애인부모회구미시지부, 구미시노인장기요양기관연합회와 성인발...",,,http://www.hidomin.com/news/articleView.html?idxno=456498,http://www.hidomin.com
2021.06.04.,뉴스1,,"[중부소식] 괴산군 노인회 청천분회, 효부·효자 4명 시상",,,https://www.news1.kr/articles/?4328872,http://news1.kr/
2021-06-04 13:51:05,프라임경제,사회,[브리핑 담양] 노인일자리 사업에서 수확한 감자로 훈훈한 나눔,"[     괴산군 노인회 청면분회의 효부·효자 시상.(괴산군 제공)© 뉴스1(괴산·진천·증평=뉴스1) 김정수 기자 = 괴산군 노인회 청천분회가 4일 노인회관에서 효부·효자 4명을 시상했다.이용미(49)·이상현(54)·손기용(57)·최재구씨(66)는 코로나19로 어려운 시기지만 아름다운 마음과 정성으로 부모님을 봉양하고 노인 공경을 실천했다.시상식 후에는 호국보훈의 달을 맞아 선평리 위령탑 환경정화 활동을 했다.[진천군, 성별영향평가 대상사업 대면컨설팅]진천군이 4일 군청 소회의실에서 성별영향평가 대상사업 대면 컨설팅을 했다.정책 환경 특성을 바탕으로 한 법령, 예산 배분방식, 사업내용, 수행방식 등 사업에 적합한 조치사항 등을 제안했다.  올해 선정한 사업은 부서 15곳의 23개다. 지난 5월 성별영향평가 심의 위원회에서 최종 선정했다.[진천군, 불법 주방용 오물분쇄기 판매·사용 단속]진천군은 오는 31일까지 주방용 오물분쇄기 불법 판매‧사용 행위를 단속한다고 4일 밝혔다.불법제품을 사용하면 배수관이 막혀 오수가 역류하거나 악취가 발생하고 과다한 오염물질 유입으로 하수처리장 운영에 지장을 주거나 하천이 오염된다.불법제품을 사용하다 적발되면 사용자는 100만원 이하의 과태료, 판매자는 2년 이하의 징역이나 2000만원 이하의 벌금 등 처분을 받는다.[증평군, 공직자 청렴·적극행정 비대면 교육]증평군이 3~4일 공직자 청렴·적극행정 비대면 교육을 했다. 국민권익위원회 청렴연수원 이윤미 강사는 '청렴·깨끗한 동행'을 주제로 이해충돌행위와 갑질 문제 자가진단 테스트, 부패행위 판단기준과 사례를 설명했다.군은 청렴 선포식, 청렴 자가 학습·활동 평가 등 다양한 시책을 발굴·추진하고 있다.[증평군 자원봉사종합센터, 안심·안전우산 전달]    안심, 안전우산 전달.(증평군 제공)© 뉴스1증평군자원봉사종합센터가 4일 중학교 3곳에 안심안전우산 100개씩 전달했다. 우산에는 빗길 교통사고 예방을 위해 '오늘도 빛나는 너에게'란 문구로 된 반사판 스티커를 부착했다. 학교에 비치해 학생들이 자발적으로 사용하고 반납하는 형식으로 활용한다.5229@news1.kr▶ 네이버 메인에서 [뉴스1] 구독하기!▶  뉴스1&amp;BBC 한글 뉴스 ▶  코로나19 뉴스 © 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지   ]",[],http://www.newsprime.co.kr/news/article.html?no=546937,https://n.news.naver.com/mnews/article/421/0005393920?sid=102
2021.06.17.,뉴스경남,,지금의 ‘나’는 미래의 ‘노인’이다,,,http://www.newsgn.com/307346,http://www.newsprime.co.kr
2021.06.14.,매일일보,,[기고] 지금의 '나'는 미래의 '노인' 이다,,,http://www.m-i.kr/news/articleView.html?idxno=837047,http://www.newsgn.com
2021.06.30.,데일리팝,,"[1인가구 단신] 부산 금정구, 중장년 1인 가구 및 독거 노인 위한 사업 개시 ...",,,http://www.dailypop.kr/news/articleView.html?idxno=52124,http://www.m-i.kr
