Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2017.09.18.,동아일보,,[CSV 포터상]무료 진료-급식 등 빈곤 노인가구 돌보는 ‘사랑다함 프로젝트’,,,http://news.donga.com/3/all/20170916/86357530/1,http://www.donga.com/
2017-09-18 03:04:37,아시아경제,경제,日 노인가구 4분의 1은 빈곤…653만가구 달해,"[    [동아일보]The-K예다함상조    예다함은 매년 저소득층 등 사회적 취약 계층을 위해 사랑의 연탄나눔 봉사활동을 펼치고 있다. 지난해 12월에도 30여 명의 본사 임직원들이 영등포구 문래동 인근의 독거노인 및 저소득층 가구를 방문해 연탄 2000여 장을 전달했다. 예다함 제공지역사회의 빈곤 노인들을 위해 지원활동을 펼쳐온 상조회사 ‘The-K예다함상조(이하 예다함)’가 제4회 ‘CSV 포터상’ 시상식 프로세스 분야 민간부문에서 처음으로 수상의 영예를 안았다.  예의를 지켜 정중하게 대한다는 ‘예우’와 정성을 다한다는 의미의 ‘다함’의 뜻을 더한 예다함은 한국교직원공제회가 자본금 500억 원을 전액 출자해 설립한 상조회사다. 예다함은 장례서비스를 제공하고 ‘웰 다잉(Well-Dying)’ 문화를 선도해 나가기에 앞서 우리 주변의 빈곤 노인들의 삶부터 어루만져줘야 한다는 책임감을 가지고 CSV(Creating Shared Value·공유가치창출) 사업을 적극적으로 추진하고 있다.  우리나라는 노인인구가 빠르게 늘고 있는 데 비해 각 개인의 노후 대비가 제대로 이뤄지지 않아 노인 빈곤층 급증과 같은 사회적 문제에 직면하고 있다. 통계청에 따르면 실제로 2017년 4월 기준 65세 이상 인구 비중이 13.8%에 이른 가운데, 지난해 노인 빈곤율은 47.7%에 달하는 것으로 나타났다. 불명예스럽게도 경제협력개발기구(OECD) 평균(12%)의 4배 수준에 달하는 수치다. 노인 빈곤율은 은퇴 노인가구 중에서 중위소득(우리나라 총 가구를 소득 순으로 줄 세웠을 때 정가운데)의 50%에도 못 미치는 소득을 가진 가구 비율을 말한다. ‘웰 다잉’은커녕 기본적인 의식주를 해결하는 것도 버거운 노인들이 적지 않은 형편이라는 얘기다.  이에 예다함은 복지 사각지대에 놓인 차상위 계층 및 빈곤 노인가구에 실질적인 도움을 주겠다는 목표로, CSV 프로젝트인 ‘사랑(愛)다함’ 사업을 기획했다. 2016년 4월 기부 적립현황 및 공시를 위한 웹 페이지를 제작하고, 2016년 5월부터 고객의 납입금 및 임직원들의 모금을 통해 재원을 마련했다. 구체적으로는 홈페이지 상담, 전자청약(다이렉트 상품)을 통해 가입한 고객의 최초 월 납입금 10%와 전(全) 임직원 급여의 1000원 미만 끝전을 모아 기부금으로 전달하는 구조다.  2016년 7월부터 본격적으로 수도권의 65세 이상 노인 등을 대상으로 무료 진료와 급식을 지원하기 시작한 가운데 올 1월에는 서울 영등포구에 있는 나눔의 공간, 요셉의원에 1000여만 원의 기부금을 지원했다. 요셉의원은 ‘영등포 슈바이처’로 불린 고 선우경식 원장이 노인, 노숙인, 외국인 근로자 등 가난하고 의지할 곳 없는 환자들을 위해 세운 무료 병원이다. 1987년 당시 달동네 중 하나로 꼽히던 관악구 신림1동에 개원했으나, 1997년 영등포구로 자리를 옮겨 현재까지 진료를 이어오고 있다. 예다함이 지원한 기부금은 치과진료를 위한 보형물과 방사선 필름 구매 등 진료 및 무료 급식을 위해 활용되고 있다.  요셉의원 지원금을 포함해 ‘사랑(愛)다함’ 프로젝트를 통한 기부액은 2016년 7월∼2017년 6월 총 2475만 원에 이른다. 2016년 하반기(7∼12월) 대비 2017년 상반기(1∼6월) 기부액이 30% 이상 증가하며 지원 활동에 탄력을 받고 있다. 예다함의 CSV 활동은 투명성 측면에서도 단연 돋보인다. 예다함 홈페이지에서는 누적 기부 건수와 기부 금액울 실시간으로 확인할 수 있으며 상세 기부명세도 공개돼 있다. 예다함이 이렇듯 활발히 CSV 활동을 벌일 수 있었던 데는 탄탄한 재정건전성이 뒷받침됐기 때문이기도 하다. 최근 공정거래위원회는 국내 상조업계 회계감사 보고서를 바탕으로 상위 15개사에 대한 4대 재무건전지표(△지급여력비율 110% 이상 △부채비율 100% 이하 △영업현금흐름 250억 원 이상 △자본금 100억 원 이상) 현황을 발표했는데 4가지 조건을 모두 충족한 회사는 예다함뿐이었다. CSV 프로젝트로 인해 브랜드 이미지가 개선됨에 따라 올 상반기에도 지난해 하반기 대비 상품 가입 건수가 30% 이상 증가하는 등 매출 성장세가 이어지고 있다.  한편 예다함은 ‘사랑(愛)다함’ 프로젝트 외에 조손(祖孫)가정 장례지원 활동도 벌이고 있다. 전국 초등학교, 중고교 학교장의 추천을 받은 저소득층 조손 가정 학생들을 대상으로 하며, 모기업인 한국교직원공제회와 함께 조부모 사망 시 장례 비용을 지원해주는 사업이다. 장례비용만 전달하는 것이 아니라 장례절차를 잘 모르는 어린 학생들에게 관련 정보 및 상담까지 제공하고 있다. 또한 상조산업의 미래 성장을 도모하기 위해, 장례 관련 학과 대학생들을 대상으로 하는 장학금 지원활동도 벌이고 있다. 관련 사업의 일환으로 일부 우수학생들은 예다함 정규직원으로 채용하기도 했다. 한편 현충원 묘역 정화 활동, 겨울철 사랑의 연탄나눔 활동 등 봉사활동도 매년 꾸준히 실시하고 있다. 김형진 예다함 대표이사는 “사회의 일원인 기업이 사회 구성원 모두가 행복하고 건강한 사회를 만들기 위해 소통과 나눔을 실천하는 것은 당연한 일이라고 생각한다”며 “앞으로도 지역사회와 상생하면서 ‘착한 기업’의 소명을 다하기 위해 노력하겠다”고 밝혔다.  장윤정 기자 yunjung@donga.com▶ 동아일보 단독 / 동아일보 공식 페이스북▶ 이것이 진짜 공포영화다… VODA 갈래?ⓒ 동아일보 &amp; donga.com, 무단 전재 및 재배포 금지   ]",[],http://www.asiae.co.kr/news/view.htm?idxno=2017091514581012102,https://n.news.naver.com/mnews/article/020/0003095598?sid=101
2017.09.08.,MBN,,"전국자원봉사연맹, 소외지역 빈곤노인 위한 무료 효도관광 진행",,,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00007&news_seq_no=3334026,https://www.asiae.co.kr/
2017-09-15 15:08:18,한국보험신문,세계,[고령사회 진입]노인 2명 중 1명이 빈곤 속 우리나라도 ‘고령사회’,"[    [아시아경제 조슬기나 기자]65세 이상 고령자가 있는 가구의 빈곤율이 지난해를 기준으로 27%에 달하는 것으로 파악됐다. 독거 여성의 경우 2명 중 1명꼴로 기본생계를 유지하기 어려운 수준의 소득으로 살고 있었다.일본 리츠메이칸대학의 카라카마 나오요시 교수(경제학)가 일본 후생노동성의 국민생활기초조사를 바탕으로 분석한 결과 이 같이 나타났다고 15일 서일본신문이 보도했다.카라카마 교수는 2016년 국민생활기초조사 데이터를 기반으로 노인가구의 연간 소득 상황을 분석해 1인가구 160만엔, 2인가구 226만엔, 3인가구 227만엔, 4인가구 320만엔에 미달하는 가구 비율을 빈곤율로 계산했다.분석에 따르면 1인가구의 빈곤율이 특히 높았다. 여성 1인가구는 56.2%, 남성 1인가구는 36.3%에 달했다. 2인가구 역시 20% 이상을 나타냈다. 65세 이상 노인이 포함된 전체 가구를 살펴보면 빈곤율은 평균 27.0%를 나타냈다. 이는 2009년의 조사결과와 비교할 때 2.3%포인트 높아진 수치다.  가구수로는 156만가구 이상 늘어난 653만가구로 집계됐다.카라카마 교수는 “공적연금 지급액이 줄어들며 빈곤가구도 늘고 있다”고 분석했다. 2014년을 기준으로 한 노인 1인당 연금수령액은 연간 약 161만8000엔으로 파악돼, 2009년보다 14만엔 줄었다고 신문은 덧붙였다. 그는 “노인빈곤문제가 심각하다”며 “생활보호 수급자는 계속 늘어날 것”이라고 내다봤다.조슬기나 기자 seul@asiae.co.kr▶ 양낙규의 [군사이야기]▶ 고수가 추천하는 종목은? ▶ #오늘의 많이 본 (클릭!)&lt;ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지&gt; ]",['일본 같은 부자 나라도 노인 빈곤문제는 피해 갈 수 없는 것 같네요. 우리는 더 어려울 것 같은데 좋은 해결책이 정부에서 많이 나왔으면 좋겠습니다'],http://www.insnews.co.kr/design_php/news_view.php?num=51847&firstsec=1&secondsec=16,https://n.news.naver.com/mnews/article/277/0004076847?sid=104
2017.09.06.,한스경제,,노인빈곤율 버팀목 '주택연금'…한국형 주택연금 유동화증권 필요해,,,http://www.sporbiz.co.kr/news/articleView.html?idxno=142716,http://www.mbn.co.kr
2017-09-08 17:16:44,SBS Biz,생활/문화,"韓, OECD 국가 중 노인 빈곤율 최상위권…'노후파산'을 아십니까?","[     사단법인 전국자원봉사연맹이 오는 10월 13일(금) 소외 지역의 독거노인과 빈곤노인들을 모시고 무료 효도관광을 떠난다고 전했다.  이번 행사의 대상자는 평소 빈곤의 이유로 사회와 단절된 채 쉽게 여행의 기회를 가지지 못하는 전국자원봉사연맹 산하의 천사무료급식소 마산지소와 천사무료급식소 여수지소를 이용하는 빈곤노인 400여분을 모시고 김천 직지사와 직지공원에서 아름다운 가을 풍경을 보며 진행될 예정이다. 전국자원봉사연맹의 한 관계자는 “대게 어르신들이 빈곤으로 인해 쉽게 여행을 떠날 수도 없었으며, 거동이 불편해 혼자서 여행을 떠날 수도 없다. 이번 효도관광은 이러한 어르신들에게 여행의 기회를 제공함으로써, 행복감과 정서적 안정감을 전해드리기 위해 마련한 자리다”고 밝혔다. 한편, 전국자원봉사연맹은 산하에 지역의 70세 이상 독거노인들에게 무료식사를 제공하여 독거노인의 결식을 예방하고 있는 천사무료급식소를 운영하고 있는 비영리단체(NGO)이다.&lt; Copyright ⓒ MBN(www.mbn.co.kr) 무단전재 및 재배포 금지 &gt;   ]",[],https://cnbc.sbs.co.kr/article_hub/10000873371?division=NAVER,https://n.news.naver.com/mnews/article/057/0001172348?sid=103
2017.09.07.,조세금융신문,,"주택금융세미나 ""노인빈곤율 개선하려면 주택연금 활성화해야""",,,http://www.tfnews.co.kr/news/article.html?no=38041,http://www.insnews.co.kr/
2017.09.20.,뉴스인사이드,,"'비정상회담' 각 나라별 은퇴 이후…日 ""노인 빈곤 심각, 젊은 사람 포함 90%...",,,http://www.starseoultv.com/news/articleView.html?idxno=473535,http://www.hansbiz.co.kr/
2017.09.10.,파이낸셜뉴스,,"[아웃포커스] 청년층은 저출산, 노년층은 빈곤.. 절벽 끝 매달린 韓 인구문제",,,http://www.fnnews.com/news/201709081010457371,https://biz.sbs.co.kr
2017-09-05 12:03:29,노컷뉴스,,기초 수급자 등 여성 비율 ↑··여성의 빈곤화 '여전',"[ ■ 경제와이드 백브리핑 시시각각 '생활경제' - 이선정 에듀머니 대표‘노후파산’이란 말 들어보셨습니까? 의식주를 비롯한 생계에 자립능력을 상실한 노인의 삶을 말합니다.현재 고령화 속도가 가까운 일본보다 빠르고, OECD국가 중 ‘노인 빈곤율’이 가장 높은 우리나라에서 현실로 나타날 수 있는 문제겠죠.그래서 오늘은, ‘노후파산’의 원인과 대안에 대해 이선정 에듀머니 대표와 함께 이야기 나눠 보겠습니다.Q. 실제 법원의 파산 사건만 살펴보더라도, 60대 이상의 비중이 크게 늘었다고 들었는데요. 어느 정도인 거죠?Q. 그렇다면 ‘노후파산’의 근본적인 원인은 뭡니까?Q. 이러한 ‘노후파산’을 대비하기 위해서는 재무관리가 필수적일 텐데요. 원칙이 있을까요? ‘Tip’이 있다면, 소개해 주실까요?Q. 최근에는 고령층의 일자리도 관심을 받고 있잖아요. 그만큼 나이가 들어서도 꾸준한 소득원이 중요할 것 같은데요.Q. 안정적인 노후를 위한 금융상품도 있을까요?(자세한 내용은 동영상을 시청하시기 바랍니다.)김영교 기자(gyo@sbs.co.kr) ☞ 의견 있는 경제채널 SBSCNBC [홈페이지] [뉴스스탠드]☞ 공식 SNS [페이스북] 저작권자 SBS플러스 &amp; SBS콘텐츠허브 무단전재-재배포 금지 ]",[],http://www.nocutnews.co.kr/news/4840304,https://n.news.naver.com/mnews/article/374/0000139353?sid=004
