Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.11.12.,백세시대,,보행 교통사고 사망자 절반 이상이 노인,,,http://www.100ssd.co.kr/news/articleView.html?idxno=82353,http://www.100ssd.co.kr
2021.11.11.,동양일보,,"교통사고 취약자 '노인', 과실분쟁에 '마음고생'",,,http://www.dynews.co.kr/news/articleView.html?idxno=644112,http://www.dynews.co.kr
2021.11.08.,충청투데이,,[르포] 노인 교통사고 다발지역… 차 '쌩쌩' 위태로운 노인들,,,https://www.cctoday.co.kr/news/articleView.html?idxno=2152572,http://www.cctoday.co.kr
2021.11.07.,매일안전신문,,전국서 노인보행자에 가장 위험한 곳은 부산 서면교차로 부근...작년 15건 사...,,,http://www.idsn.co.kr/news/articleView.html?idxno=57967,http://peoplesafe.kr
2021.11.02.,헤드라인제주,,"제주특별자치도노인보호전문기관, 노인 낙상사고 예방 사업 활동 펼쳐",,,http://www.headlinejeju.co.kr/news/articleView.html?idxno=467013,http://www.headlinejeju.co.kr
2021.11.04.,메디컬투데이,,노인 낙상사고 방치한 서귀포 요양원 관계자들…불구속 송치,,,https://mdtoday.co.kr/news/view/1065587075973191,http://www.mdtoday.co.kr
2021.11.11.,매경이코노미언론사 선정,,"근감소증, 노인에게 많은 낙상·골절 사고 부릅니다",,,https://www.mk.co.kr/economy/view/2021/1050540,http://www.mkeconomy.com/
2021-11-11 10:11:05,충청뉴스,오피니언,"노인 무단횡단 사망사고 多...대전 동부서, 교통안전교육 실시","[     근감소증은 80세 이상 연령대 절반 이상에서 나타날 정도로 흔한 증상이다. ​유승돈 강동경희대병원 재활의학과 원장이 근감소증 자가진단 방법에 대해 설명하고 있다. (강동경희대병원 제공) 근감소증은 노화에 따라 근육이 줄어드는 현상을 말한다. 나이가 들면 체지방은 늘고 근육량은 감소하는 신체 변화가 나타난다. 하지만 자연스러운 노화 현상의 하나로 치부하기에는 근감소증이 노년층 건강에 끼치는 영향이 자못 크다. 신체 기능 저하로 낙상 사고와 골절 가능성이 오를 뿐 아니라 여러 합병증 위험을 키워 사망률을 높일 수 있기 때문이다.근감소증은 80세 이상 연령대 절반 이상에서 나타날 정도로 흔한 증상이다.단순히 체내 근육량이 적다고 근감소증으로 진단하지는 않는다. 근육량 감소가 확인된 이들 중 걷는 속도가 6m 보행 시 1㎧ 밑으로 떨어져 있고 손의 악력이 남자는 28㎏, 여자는 18㎏ 미만으로 측정되면 근감소증으로 본다. 갑자기 체중이 줄거나 예전과 달리 자주 넘어지는 등 신체 기능 저하가 체감된다면 병원을 찾을 필요가 있다. 유승돈 강동경희대병원 재활의학과 교수는 “쉬운 방법은 장딴지 둘레가 33㎝ 밑으로 떨어졌는지, 또 의자에서 5회 앉았다 일어날 때 12초 이상 걸리는지 확인해보는 것이다. 인터넷에서 ‘근감소증 자가진단 설문지(SARC-F)’를 검색해 간단히 체크해봐도 좋다. 근감소증이 의심될 경우 병원을 찾아 정확한 진단을 받는 편이 좋다”고 설명했다.  근감소증은 뼈나 관절 건강에도 문제를 일으킨다. 뼈와 관절을 붙잡아주는 역할을 하는 근육이 감소하면서 골격계에 받는 압박이 커지고, 골절 위험과 골다공증을 악화시킬 수 있다. 노인 척추디스크나 퇴행성 관절염, 또 유독 노인에게 낙상 사고가 잦은 이유도 근감소증과 관련이 있다. 뼈 건강뿐 아니라 각종 합병증 발병 가능성도 높아진다. 근육 감소로 에너지를 제대로 소모하지 못해 비만·고혈압·당뇨병 위험이 커진다. 활동량이 줄어들면서 면역력에도 타격을 입는다. 폐렴 등 바이러스성 질환과 심혈관 질환, 치매, 뇌졸중과 같은 노인성 질병의 원인이 되기도 한다.유승돈 교수는 “골격 근육량이 적을수록, 또 근력이 낮을수록 장애 발생 가능성과 사망 위험은 높아진다는 연구 보고가 많다. 근감소증 자체를 단순한 노화로 받아들이기보다는 다양한 질환을 예방할 수 있는 선행 지표 개념으로 생각해야 한다”고 설명했다. 운동은 ‘근육 저항 무산소 운동’이 효과적이다. 근육을 수축한 후 중간에 잠시 멈춰 긴장 상태를 유지하는 운동을 말한다. 스�R, 팔 굽혀 펴기, 아령 들기, 밴드 운동을 꾸준히 하면 도움이 된다. 예전에는 무리한 근력 운동이 노인 근육과 뼈 건강에 안 좋다는 인식이 있었다. 최근에는 무리하지 않는 선에서 주 2회 정도 최대한 근력 운동이 필요하다고 전문가들은 권한다.영양 섭취도 중요하다. 단백질 섭취, 비타민D, 불포화 지방산, 항산화 영양제가 근감소증에 도움이 된다고 알려져 있다. 특히 단백질 섭취가 중요하다. 근감소증 예방을 위해 제시하는 단백질 권장 섭취량은 체중 1㎏당 1.2g이다. 일반 성인 권장량(0.9g)보다 0.3g 더 많은 섭취가 권고된다.[본 기사는 매경이코노미 제2133호 (2021.11.10~2021.11.16일자) 기사입니다] ]",['너  보니깐  운동안하고   게으른거  보이네   먹고  사는거에   찌들고    나이 먹어봐라   헛소리라는걸   알게 된다'],http://www.ccnnews.co.kr/news/articleView.html?idxno=237615,https://n.news.naver.com/mnews/article/024/0000071477?sid=110
2021.11.08.,전남일보,,"진도경찰, 노인회지회서 교통사고 예방교육",,,https://www.jnilbo.com/view/media/view?code=2021110811314410562,http://www.ccnnews.co.kr/
2021.11.25.,톱스타뉴스,,"서울 지하철 1호선, 70대 노인 사망 사고…""경위 조사 중""",,,http://www.topstarnews.net/news/articleView.html?idxno=14652747,http://www.jnilbo.com
