Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2017.04.26.,경상일보,,"달동지역사회보장협의체, 중증장애 노인가구 주거환경개선 ""어깨동무 서비스""...",,,http://www.ksilbo.co.kr/news/articleView.html?idxno=590883,http://ksilbo.co.kr
2017.04.10.,중도일보,,"[충북] 충주시 살미면 지역사회보장協, 홀로노인 가구 청소 봉사",,,http://www.joongdo.co.kr/jsp/article/article_view.jsp?pq=201704101792,http://www.joongdo.co.kr
2017.04.26.,중도일보,,"종촌동 지역사회보장협의체, 독거노인 생신잔치",,,http://www.joongdo.co.kr/jsp/article/article_view.jsp?pq=201704260713,http://www.joongdo.co.kr
2017.04.20.,시민일보,,"성동구 도선동 지역사회보장협의체, 홀몸노인 대상 '곤지암 화담숲 나들이'행...",,,http://www.siminilbo.co.kr/news/articleView.html?idxno=509196,http://www.siminilbo.co.kr
2017.04.27.,충청매일,,"청주 성안동 지역사회보장협의체, 저소득 노인 목욕쿠폰 선물",,,http://www.ccdn.co.kr/news/articleView.html?idxno=461809,http://www.ccdn.co.kr
2017.04.19.,경북도민일보,,"송도동 지역사회보장協, 독거노인 화재안전용품 전달",,,http://www.hidomin.com/news/articleView.html?idxno=326631,http://www.hidomin.com
2017.04.05.,충청투데이,,"충주 성내충인동, 지역사회보장협의체 등과 홀로노인 주거환경 개선",,,http://www.cctoday.co.kr/?mod=news&act=articleView&idxno=1051762,http://www.cctoday.co.kr
2017.04.28.,경기일보,,양주 장흥면 사회보장협의체 독거노인 생신잔치 열어,,,http://www.kyeonggi.com/?mod=news&act=articleView&idxno=1345628,http://www.kyeonggi.com/
2017.04.28.,전북도민일보,,"완주군 지사협, 노인분과 봉사단 발대",,,http://www.domin.co.kr/news/articleView.html?idxno=1150508,http://www.domin.co.kr
2017.04.26.,시민일보,,"경기 평택시 세교동 사회보장協, '행복한 걸음! 동행!' 특화사업 실시",,,http://www.siminilbo.co.kr/news/articleView.html?idxno=510117,http://www.siminilbo.co.kr
2017.04.28.,전북도민일보,,"완주군 지사협, 노인분과 봉사단 발대",,,http://www.domin.co.kr/news/articleView.html?idxno=1150508,http://www.domin.co.kr
2017.04.19.,경남매일신문,,장애인 전용 주차구역 보장해야,,,http://www.gnmaeil.com/news/articleView.html?idxno=339815,http://www.gnmaeil.com
2017.04.17.,한국보험신문,,일본 총인구 감소세 지속되면 2053년 1억 밑돌아,,,http://www.insnews.co.kr/design_php/news_view.php?num=50390&firstsec=1&secondsec=20,http://www.insnews.co.kr/
2017.04.24.,신아일보,,익산 삼성동 '따뜻한 말 한마디 사업' 큰 호응,,,http://www.shinailbo.co.kr/news/articleView.html?idxno=573463,http://www.shinailbo.co.kr/
2017.04.14.,뉴시스,,[밀양소식]세계 국수 축제 다음달 18일 개최 등,,,http://www.newsis.com/view/?id=NISX20170414_0014831304&cID=10812&pID=10800,http://www.newsis.com
2017-04-14 12:58:41,국제뉴스,사회,"성동구, 취약계층 37명…곤지암 화담숲 나들이","[     【밀양=뉴시스】안지율 기자 = 경남 밀양시는 다음 달 18일부터 21일까지 열리는 제59회 밀양아리랑 대축제 기간 ‘제2회 밀양세계 국수축제’를 밀양강 둔치에서 개최한다. 2017.04.14. (사진=밀양시 제공)    photo@newsis.com 【밀양=뉴시스】안지율 기자 = ◇ 밀양 세계국수축제 다음달 18일 개최 경남 밀양시는 다음달 18일부터 21일까지 열리는 제59회 밀양아리랑 대축제 기간 '제2회 밀양 세계국수축제'를 밀양강 둔치에서 개최한다고 14일 밝혔다. 이번 국수축제는 잔칫날 빠질 수 없는 음식인 국수를 주제로 한 다양한 국수 관련 이벤트가 진행된다.  참가 업체는 제1회 축제에 참여했던 밀양 한천 국수와 자체 개발한 육수와 비빔 소스로 온라인에서 국수 열풍을 선도하는 부송국수 등이 다양한 면 요리를 선보인다. 또 조리 명장 서정희 교수의 요리 특강과 국수 예술작품 전시, 소망 국수 편지쓰기 등 다양한 국수 관련 체험과 전시도 운영된다. 한편 올해 59회를 맞는 밀양아리랑 대축제는 연간 35만명 이상 방문하는 축제로 문화체육관광부 유망 축제로 지정됐다. 아리랑대 축제는 밀양강 오디세이와 아랑규수 선발대회, 제16회 밀양아리랑 가요제, 전국 밀양아리랑 경연대회와 경남도 무형문화재 공연, 은어 잡기 체험 등 다채로운 체험행사와 오감 만족 프로그램으로 구성됐다.  ◇ 밀양시, 초동지구 배수 개선사업 지구 선정  밀양시는 초동지구가 상습 침수 지역 농경지 피해 예방을 위한 배수 개선 사업에 선정돼 농림축산식품부로부터 99억원의 국비를 지원받는다고 14일 밝혔다.  이 사업은 2017~2020년에 걸쳐 151㏊의 수혜 면적에 총 99억원의 사업비가 투입된다. 시는 올해 말까지 국비 1억5000만원으로 실시설계를 시작해 본격적인 사업을 추진할 예정이다.     【밀양=뉴시스】안지율 기자 = 경남 밀양시 상남면은 지역사회보장협의체 노인분과 활성화 사업의 하나인 찾아가는 영화관-별보고 영화보고 사업을 진행했다. 2017.04.14. (사진=밀양시 제공)    photo@newsis.com 배수 개선 사업은 상습적으로 침수가 발생하는 농경지에 배수를 원활하게 하기 위해 배수장·배수로·흙덮기 등 배수와 관계되는 방재 시설을 구축하거나 정비하는 사업이다.  시는 이 사업이 마무리되면 이 지역의 농작물 침수 피해가 근본적으로 해결됨에 따라 안정적인 농작물 재배로 농가 소득 증대와 사전 재해 예방에도 이바지할 것으로 판단하고 있다. ◇ 상남면, 영화관-별 보고 영화 보고 시행   밀양시 상남면은 지역사회보장협의체 노인분과 활성화 사업의 하나인 찾아가는 영화관-별 보고 영화 보고 사업을 시행했다고 14일 밝혔다. 이 사업은 문화생활이 어려운 지역 주민에게 문화 향유를 통한 힐링으로 삶에 활력을 더하고, 지역민들의 화합도모 기회를 마련하기 위한 사업이다. 영화는 담당 마을 주민뿐만 아니라 이웃 마을 주민과 지역사회보장협의체 위원 등이 참여하는 것으로 노인분과가 주관하고 CJ헬로비전과 협력으로 올해 총 5회 진행될 예정이다.  alk9935@newsis.com뉴시스 뉴스, 네이버 뉴스 스탠드에서도 만나세요뉴시스 SNS [페이스북] [트위터]&lt;저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.&gt; ]",[],http://www.gukjenews.com/news/articleView.html?idxno=695996,https://n.news.naver.com/mnews/article/003/0007891847?sid=102
2017.04.14.,일요서울,,밀양시 상남면 어르신들 영화로 힐링,,,http://www.ilyoseoul.co.kr/news/articleView.html?idxno=181508,http://www.gukjenews.com/
2017.04.30.,전북일보,,완주 세대공감 동행봉사단 발대,,,http://www.jjan.kr/news/articleView.html?idxno=1126877,https://www.ilyoseoul.co.kr/
2017.04.24.,법률신문,,"지평, “고령화 시대… 노년층을 위한 법률문제 종합 연구”",,,https://www.lawtimes.co.kr/Legal-News/Legal-News-View?serial=109487,http://www.jjan.kr
2017.04.28.,국제뉴스,,"의왕시 내손1동, 사랑의 이불로 어려운 이웃과 함께 해요",,,http://www.gukjenews.com/news/articleView.html?idxno=700809,http://www.lawtimes.co.kr/
2017.04.11.,노컷뉴스,,"강원도의회 ""강원상품권 속도 조절해야""",,,http://www.nocutnews.co.kr/news/4765737,http://www.nocutnews.co.kr
2017-04-11 15:07:02,시민일보,사회,"경기 군포시, 이웃돕기성금 1억 내부공모 통해 선정하는 '협치 배분'","[ 강원도의회 추경예산 예비심사 '예산 일부삭감, 제도 보완 요구'[강원CBS 박정민 기자]    강원도 경제진흥국 추경예산안을 예비심사하고 있는 강원도의회 경제건설위원회.(사진=강원도의회 제공)실효성 논란을 빚어온 강원상품권에 대해 강원도의회도 한목소리로 제도 보완과 속도 조절 등을 요구하고 있다. 11일 마무리된 강원도 추가경정예산안 예비심사 과정에서 강원도의회 각 상임위원회는 강원상품권과 관련해 신중한 접근을 당부했다. 강원도는 앞서 발행 결정한 280억원 규모의 강원상품권 외에 750억원 규모를 이번 추경예산 처리를 통해 추가 발행할 계획이었다. 세부 내역은 노인소득보장 증진사업에 300억원, 청년층을 대상으로 한 비상경제 강원일자리 특별지원 300억원, 강원상품 수출경쟁력 강화 지원 50억원, 해외규격 획득 및 상표등록지원 30억원, 농업분야 인력지원 사업 28억원 등이다. 이 가운데 도의회 경제건설위원회는 강원상품 수출경쟁력 강화지원 예산안 50억원의 절반을 삭감해 시,군비 분담을 요구했다. 또 다른 강원상품권 구매 예산안이었던 해외규격인증 획득 및 상표등록 비용 지원 예산안 30억원도 9억원을 삭감해 예산결산특별위원회에 상정했다. 경제진흥국이 제출한 강원 일자리 특별지원 예산 300억원은 90억원을 삭감했고 시군비를 분담해 사업을 추진하도록 방향을 제시했다. 통과한 예산 역시 다음 달 도의회 임시회에서 사업 계획을 보고한 뒤 집행하라고 주문했다. 도의회 사회문화위원회는 노인소득보장 증진사업 300억원을 격론 끝에 원안 통과 시켰지만 공공형이 아닌 시장, 경제형으로 계획을 재수정하라고 권고했다. 의원들은 정착이 안된 시책을 지나치게 확대하고 생활이 어려운 주민들에게 적용하는 것은 예산 낭비는 물론 수혜자들의 삶을 어렵게 만들 수 있다는 반응을 보였다. 박현창 의원(평창)은 ""고기를 잡아서 주는 것이 아니라 고기를 잡는 방법을 알려 주는 것이 좋다""며 ""양질의 일자리 만들기에 주력할 필요가 있다""고 말했다. 김규태 의원(동해)도 ""충분히 공감대를 형성하지 않은 상황에서 당초 계획한 것보다 더 늘어나고 조급해하는 원인이 뭐냐""며 ""강원상품권 발행 액수가 늘어 문제가 되면 악재가 되고 유통의 문제도 발생할 수 있다""고 지적했다. 일부에서는 강원상품권 확대 시책이 내년 지방선거를 겨냥한 것 아니냐는 의구심을 제기하기도 했다. 유정선 의원(춘천)은 ""단년 사업에 300억원을 투자하려 하는데, 내년에 지방선거가 있다. 보는 사람에 따라 순수하게 보지 않을 수 있다""고 말했다. 오원종 강원도 경제진흥국장은 ""시군별 상황이 모두 다르기 때문에 전체적인 규모면에서 예산 승인이 이뤄지면 지급방법이나 절차, 시군 분담방법 등을 세부적으로 다듬고 다양한 계층의 여론을 수렴해 5월에 도의회 임시회 기간 계획을 보고하고 집행하겠다""고 말했다. 강원도는 외지건설사, 은행, 대형유통업체, 기업형 SSM, 온라인 쇼핑 등을 통해 지역에서 생산한 부와 가치가 실시간 수도권 등으로 유출되고 있다며 지역자금 역외 유출 방지와 지역경제 활성화를 위해 지역화폐 성격의 강원상품권을 도입했다. 하지만 강원도의회와 전문가들 사이에서는 유통 구조상 강원상품권의 지역자금 역외 유출방지와 지역경제 활성화 효과가 투자 대비 높지 않다는 평가가 나오고 있다. 소비자가 물건을 구매하는 단계에서는 자금 지연 효과와 일부 상점의 매출 증가가 기대되지만 결국 상품이나 원자재를 구입하는 단계로 넘어가면 지역자금 유출은 불가피하다는 분석이다.  지역화폐법 등 상위법이 완비되지 않은 상황에서 상품권을 확대할 경우 부작용을 차단하는데 한계가 있다는 지적도 있다. 실제 인터넷 상에서는 강원상품권이 현금으로 할인 거래되는 사례가 빚어지고 있지만 강원도는 제도 미비를 이유로 이렇다할 제재에 나서지 못하고 있다. 올해 청년, 노인 등을 대상으로 강원상품권을 확대하려는 조치에 대해서도 강원상품권이 취지와 다르게 복지시책으로 변질되는 것 아니냐는 비판과 생활 여건이 어려운 도민들의 삶이 시범단계인 시책 적용으로 더욱 위축될 수 있다는 견해도 여전하다. 기존 발행액인 280억원 규모로 시범 사업을 실시해 문제점을 파악한 뒤 확대 여부를 결정해야 한다는 주장도 있다. 강원도의회는 13일과 14일 예산결산특별위원회를 거쳐 19일 2차 본회의를 열어 강원도 추경 예산안을 최종 심의, 의결한다.jmpark@cbs.co.kr저작권자 © CBS 노컷뉴스(www.nocutnews.co.kr) 무단전재 및 재배포 금지  ]",[],http://www.siminilbo.co.kr/news/articleView.html?idxno=507817,https://n.news.naver.com/mnews/article/079/0002953331?sid=102
2017.04.11.,아시아투데이,,창녕군 '우리마을 부곡온천 목욕여행 가는 날' 행사 가져,,,http://www.asiatoday.co.kr/view.php?key=20170411010006400,http://www.siminilbo.co.kr
2017.04.07.,충청일보,,'행복비인봉사단' 창단,,,http://www.ccdailynews.com/news/articleView.html?idxno=917767,http://www.asiatoday.co.kr
2017.04.06.,충남일보,,"서천군, '행복비인봉사단' 창단",,,http://www.chungnamilbo.com/news/articleView.html?idxno=398229,http://ccdailynews.com
2017.04.25.,기호일보,,"연천군 신서면 새마을부녀회, 사랑의 반찬 나눔 봉사활동",,,http://www.kihoilbo.co.kr/?mod=news&act=articleView&idxno=695904,http://www.chungnamilbo.co.kr
2017.04.30.,충북일보,,"진천군, 찾아가는 복지상담실 운영",,,http://www.inews365.com/news/article.html?no=491814,http://www.kihoilbo.co.kr/
2017.04.29.,국제뉴스,,"진천군, 찾아가는 복지상담실 운영",,,http://www.gukjenews.com/news/articleView.html?idxno=701192,http://www.inews365.com
2017.04.25.,경상일보,,"울산시한의사회, 무료 한방진료 봉사활동",,,http://www.ksilbo.co.kr/news/articleView.html?idxno=590502,http://www.gukjenews.com/
2017.04.27.,경북도민일보,,영덕읍지역사회보장協·생활개선회 독거노인 봉사,,,http://www.hidomin.com/news/articleView.html?idxno=327433,http://ksilbo.co.kr
2017.04.30.,레디앙,,"여성, 성소수자, 장애인과 노인 권리 보장",,,http://www.redian.org/archive/110339,http://www.redian.org
2017.04.21.,백세시대,,"""한방 건강보험 보장률 높이고 노인정액제 개선을""",,,http://www.100ssd.co.kr/news/articleView.html?idxno=38908,http://www.100ssd.co.kr
2017.04.19.,내일신문,,"[해외에서는] 미국, 국가기관서 노인여가 총괄, 프랑스는 헌법에 '문화권' 보...",,,http://www.naeil.com/news_view/?id_art=234821,http://www.naeil.com
2017.04.13.,아주경제,,[대선공약 검증-노인] 고령사회 유권자 25% '노인표심' 잡기,,,http://www.ajunews.com/view/20170412104421172,http://www.ajunews.com
13면 TOP,문화일보,,"62兆 쓴 사회보장사업, 고용효과는 ‘?’",,,http://www.munhwa.com/news/view.html?no=2017042801071321080001,http://www.munhwa.com/
