Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2023.06.30.,조선비즈언론사 선정,,"급속한 저출산 고령화에 “노인 70% 지급 기초연금, 계속 유지 어렵다”",,,https://biz.chosun.com/topics/topics_social/2023/06/30/HPQT3P673VHLTH4DARBGCWTIRA/?utm_source=naver&utm_medium=original&utm_campaign=biz,http://biz.chosun.com/
2023-06-30 11:16:01,이데일리언론사 선정,사회,"""한국 노인 빈곤률 최고 수준… 주택연금 활성화 통해 풀어야""","[ OECD는 “기초연금 지급 대상 줄이고 급여액 늘려야” 권고        빠른 속도로 진행되고 있는 저출산과 고령화로 현행 기초연금 제도가 장기적으로 유지하기 어렵다는 분석이 나왔다. 현재 기초연금은 전액 재정으로 지급하고 있는데, 2080년에는 국내총생산(GDP)의 3.6%를 기초연금으로 정부가 부담해야 하는 것으로 추산됐다. 윤석열 대통령의 대선 공약대로 기초연금을 인상하면 부담은 GDP의 4.4%로 커졌다.    4월 6일 오후 서울 종로구 탑골공원 인근 원각사 무료급식소에서 많은 노인들이 음식을 받기 위해 긴 줄을 기다리고 있다. /조선DB        30일 류재린 한국보건사회연구원 부연구위원이 작성한 ‘연금 개혁과 사회적 합의 모델에 관한 연구’ 보고서에 따르면, 기초연금 지출액은 2020년 17조원에서 2080년 312조원으로 증가할 것으로 예상됐다. 기초연금 급여 지출이 GDP에서 차지하는 비율은 2020년 0.8%에서 2080년 3.6%로 높아진다.보건사회연구원 연구진은 통계청의 2019년 장래인구특별추계 자료와 기획재정부의 장기재정 전망 자료를 활용했다. 2022년부터 2092년까지를 추계 기간으로 잡았고, 현행대로 65세 이상의 소득 하위 70% 노인에게 기초연금을 주는 것으로 추산했다. 기초연금액은 매년 소비자물가 상승률과 연계해 인상되는 것으로 가정했다.윤 대통령은 대선 때 기초연금을 월 40만원으로 인상하겠다고 공약했다. 기초연금액이 2024년 월 40만원으로 인상하는 것으로 가정할 경우, 기초연금 지출액은 2080년 384조원으로 늘고 GDP 대비 지출 비중은 4.4%로 증가한다. 연구진은 “인구구조 변화 상황을 고려하면 노인의 70%를 지급 대상으로 하는 현행 기초연금을 계속 유지하기는 어려운 것이 현실”이라며 “재정 안정성을 확보하는 게 시급하다”고 했다.기초연금은 65세 이상의 소득 하위 70% 노인에게 세금으로 마련한 재원으로 매달 일정 금액을 지급하는 제도다. 연금이라고 불리지만, 사실상 현금성 복지에 가깝다. 월 10만원 지급하던 기초노령연금이 기초연금으로 개편되며 2014년 20만원으로 증액됐다. 2021년부터는 월 30만원 수준을 지급하고 있다. 물가 상승이 반영돼 올해는 지급액은 월 32만2000원이다.올해는 만 65세 이상 노인 중 단독가구 기준으로 보유한 자산 등을 고려한 월 소득 인정액이 202만원 이하면 기초연금을 받는다. 부부가구는 323만2000원 이하면 기초연금을 받는다. 기초연금 선정 기준액은 지난해(단독가구 기준 180만원)보다 12.2% 높아졌다. 베이비붐 세대가 노인이 되면서 국민연금 수급자가 크게 증가한 영향이다. 기초연금 수급자는 665만명으로, 지난해 6월 말(612만명)보다 8.7% 증가했다.경제협력개발기구(OECD)는 지난해 9월 기초연금 제도에 대해 “고령 인구의 70%가 지원 대상인데 급여 수준은 OECD 회원국 중 가장 낮은 총 평균 소득의 8%”라며 “보다 선별적으로 지원 대상을 선정하는 것이 납세자 부담을 가중시키지 않으면서 저소득 고령층에게 더 높은 기초연금액을 제공할 수 있다”고 한국 정부에 권고했다. ]","['전국에 수만개의 좌파 시민단체들과 노조들 지원금만 폐지해도 충분히 줄수있다.', '중국인 먹튀 의료 보험료만 1000억이 넘는다더라. 이것만 중단해도 노인 기초수급 해결된다. 우선 기생충 좌파 단체들 지원금 모조리 중단하고.', '', '', '안그래도 노인빈국 1등인데...   경제강국이란 말을 하지나 말든가', '국내 암약 중국족,  조선족,  가지치기,  교통정리만 잘 해도\n대한민국 유토피아 된다.', '10년이상 연금액 꼬박꼬박 납부했어도 25만원 국민연금 수급자가 많다. 안내고도 40만원받는다면 국민연금은 매달 왜 납부하냐 ? 안내면 더 받을수 있는데 ...', '기초연금을 획기적으로 축소해라 그돈으로 술먹는 사람 엄청많다', '', '그럼 국민연금 해지하게 해주세요. 국가가 국민들 상대로 폰지사기하는 중인거잖아요.', 'OECD의 권고내용은 지극히 상식적입니다 무주택의 극빈층인 하위 20% 빼고 기초연금은 폐지가 맞습니다 이대로 가면 결국 노령연금까지 침식합니다', '', '성실히 연금 낸 국민을 역차별하는 기초연금 따위는 없애라..', '현행 기초연금 70%보다는 실질적으로 힘든 2~30%에게만 지급하는게 맞다싶다~', '80년생 이후로 태어나서 미혼인 애들 기초연금 안주면 되겠네 애들 키우다가 노후 준비 덜된 사람들만 지급하자', '사진설명이 잘못되었습니다.\n원각사 무료급식소가 아니라\n허경영 하늘궁 무료급식 현장입니다.\n매일 하루도 빠짐없이 무료급식을\n하고 있으니 현장에서 사진과 함께\n철저하게 대조해 보세요', '그냥없애라 애들이나줘라  젊을때 뭐했냐', '2080년이면 남북통일되었고. 중국은 패망하여 분리독립 되있고. 우리는 만주와북간도 회복해서 영토와 인구가 늘어나고 일본열도는 침몰해서 거의 사라질거고. 많은 산업들이 AI 로봇들이 대체하고 새로운 신산업이 나타날테니 걱정마라..3차대전 일어나서 모두 몰살된 상황일수도 있다. 걱정도 팔자라는게 이런거다..교육은 백년대계지만 산업은 30년만 내다보면 된다.', '70% 유지해라 역풍 맞는다', '좌파아니면 받으면 안되지 ㅋㅋ 싹 다 걷고\n낸 만큼만 줘라 좌파 우파 틀딱들 때문에 연금 바닥난다', '늙은이들 곧죽어도 애국을 위해서 없에잔 소리 안하네 역겹다', '', '312조 56년뒤에. 껌값이거만 당장 2년뒤에 경 단위쓸것같은데\n조단위 쓴것도 20년 안됐는데 그때는 초고등급 해단위 아닌가 ㅋㅂㄱ', '본인들이 표받을려고 싸놓은 x을. 왜 후세대가 감당하게 만드냐 말이다. 백번양보하고 열씸히 선량하게 일해서 자식뒷바라지하고 가진게 없다면 후세대자식들이 감당하겟지만 그러지도않고 탱자놀던 인간들에게 까지 퍼주는 니들표받은 놈들도에서 줘라.', '베이비붐세대의 노령화가 급속히 늘어나는데,,,,\n지금 우리나라는 초고령사회로 진입을했죠!\n향후 30년간은 계속 늘어날거니까 제도개선이 시급하다.\n선별지급내지 인상률축소를 검토해야한다.', '야임마😮한번에 다 결정하지 말고😮임마😮소득이 절박한 75세 이상 노인만 긴급적으로😮한시적으로 5년간 일단 지급을 해놓고 새판을 짜라😮임마😮', '국민연금 노인연금 지금 인구구조상 지속불가능하다. 폭탄 돌리기 그만하고 폐지나 대폭축소 해야한다. 기본적으로 본인들이 본인들 부모 봉양해야지, 국가가 다 책임질 필요 없다', '', '', '출산율 안올라가면 이민이라도 늘려야지 다인종국가 되는거임. 유럽이 그렇게 했음.', '이 모든걸 한번에 해결하는 방법이 인플레이션 을 일으키는 겁니다.  실질적으로 지급해야 할 실질돈이 줄어들죠.  전후 독일 일본 모두 이런 방법으로 해결했습니다.    연금 만 믿고 있다간. 폐지 줒어야 됩니다.', '', '', '정년폐지해 190세까지 일하게 지금100세면 10대는 200세시대온다 기초연금 달에5만원만 쥐어줘 일해서먹고살라고', '오 좋타 좌파밖에 모르는 80년대에 뇌기능이멈춰버린 영감님들 축하드립니다ㅋㅋㅋ 지화자 좋으다~', '짱캐들 건강보험  없애라', ""60년후 ' 기초연금을 걱정하나_-- 당장 내일도 모르는대 _--"", '', '', '', '국민연금 100만원도 안되는 수준으론 노인빈곤 절대 못벗어난다 ᆢ쓸데없는 세금낭비 하지말고 노인 전부에게 공평하게 기초연금 지급해라~', '고독사 당할 노인들 본인이 신청하면 병원에서 안락사 시켜줘라.ㅋ 그게 OECD 노인자살률, 노인빈곤율 1위 한국의 유사정부가 노인들에게 해 줄 수 있는 유일한 배려다.ㅋㅋ 물론 유교탈레반들이라 각자도생으로 방치하다 자식이 간병살인하거나 고독사하면 개인들 처벌하거나 사회안전망 확충, 부양의무자제도 개선, 지역사회 이웃의재발견 등 개드립이나 치고 끝남.ㅋ', 'AI를 일하게  하고  서민 피 빨아 먹는  족벌 언론들  지원 중단하고  졸부,   불로소득자 과세  만전하면  해결', '고령 2찍이들에게 연금 대신 마약을 나눠 주는 건 어떨까???\n고령층 한정 마약 합법화...\n즐거움 속에 천국으로 갈 수 있을 듯 한데...\n인생 뭐 있어???', '주지마라.  2번 찍어서 민폐 준다.', '']",http://www.edaily.co.kr/news/newspath.asp?newsid=01134886635644016,https://n.news.naver.com/mnews/article/366/0000913231?sid=102
2023.06.20.,데일리안언론사 선정,,"[2023 PERI-데일리안 심포지엄] ""韓 노인 빈곤 해결위해서는 주택연금 활성화...",,,https://www.dailian.co.kr/news/view/1245388/?sc=Naver,http://www.edaily.co.kr/
2023-06-21 05:01:01,메디컬투데이,경제,"노인 상대적 빈곤율 OECD 중 最高…""노후 의료비 대비 연금저축 충분히 적립해...","[ [PERI 심포지엄 2023]'빈곤·불평등 석학' 티모니 스미딩 美위스콘신대 교수 제언""아동 복지, 취약 지점인 한부모 가정에 집중하면 효과 클 것""저소득 노인 선별 기초연금·복지제도 성과평가 강화 제언도[이데일리 김형욱 황병서 기자] “한국의 전체 빈곤률은 그렇게 높지 않지만, 노인 빈곤율은 46%로 세계 최고 수준이다. 반면 70대 노인의 집 소유 비율도 70.4%로 매우 높은 편이다. 정부가 집을 가진 고령층에 대한 주택 자산을 활용한 연금 소득을 지원한다면 더 적은 비용을 들여 노인 빈곤 문제를 완화할 수 있다.”세계 각국의 소득·분배 자료를 비교 분석하는 룩셈부르크 소득조사(LIS)의 창시자로 유명한 티모시 스미딩 미국 위스콘신대 석좌교수는 20일 서울 강남구 코엑스 오디토리움에서 정책평가연구원(PERI) 주최로 열린 ‘정책평가, 새 지평을 열다’ 심포지엄에서 이같이 밝혔다.     [이데일리 이영훈 기자] 문형표 전 보건복지부 장관과 티모시 스미딩 위스콘신대학교 교수, 홍경준 성균관대 교수, 하석철 서울시복지재단 연구위원, 양재진 연세대 교수, 박민수 보건복지부 제2차관이 20일 오후 서울 삼성동 코엑스 오디토리움에서 열린 ‘’페리(PERI) 심포지움 2023‘에 참석하고 있다.◇“韓 노인 빈곤률 높지만 주택 자산 보유 많아”미국 빈곤문제연구소장 등을 역임하며 빈곤·불평등과 관련해 경제협력개발기구(OECD) 등에서 자문 활동을 해왔던 티모시 교수는 국가 간 데이터 비교를 통해 빈곤·불평등 정책의 실효성을 높일 수 있다고 제언했다. 특히 한국 노인의 상당수가 주택이라는 고가의 자산을 보유하고 있다는 점을 들어 주택 매매 또는 담보 대출 등과 연계해 연금을 받는 식으로 문제를 해결할 필요가 있다고 주장했다. 우리 정부도 한국주택금융공사를 통해 2007년부터 주택연금 제도를 운용, 작년까지 10만여 가구에 130조원 규모의 주택연금 보증을 공급하고 있다. 하지만 노인 빈곤률이 개선되지 않는 등 주택연금제도가 사회 전반에 만연해있는 노인 빈곤 문제 해결에는 역부족이라는 평가를 받고 있다. 그는 “아직 (한국의) 많은 노인들이 주택연금을 선호하지 않는 것 같지만, 정부가 보증하는 안전한 방식이라는 점에서 경쟁력 있는 해결책”이라고 강조했다. 토론자로 나선 양재진 연세대 교수(사회보장학회장)는 기초연금의 차등 지급 필요성을 강조했다. 그는 “한국의 노인 빈곤률 문제는 국민·퇴직·기초연금 등과 같은 연금 제도가 성숙하지 않아 나타난 현상”이라며 “지금의 40~50대가 노인이 되면 상황이 나아질 것”이라고 언급했다. 이어 “다만 현재의 기초연금은 많은 노인에게 소액(월 30만원)을 주는 비효율적인 방식이어서 다른 연금을 수령하지 못하는 저소득 노인을 선별해 기초연금을 강화할 필요가 있다”고 부연했다.    [이데일리 이영훈 기자] 티모시 스미딩 위스콘신대학교 교수가 20일 오후 서울 삼성동 코엑스 오디토리움에서 열린 ‘’페리(PERI) 심포지움 2023‘에 참석해 발언을 하고 있다.◇“한부모가정 중심 아동빈곤 문제 완화 노력해야”티모시 교수는 전체 통계로는 잘 드러나지 않는 한국의 아동빈곤 문제도 데이터 분석을 통해 보다 세심한 정책을 마련할 것을 주문했다. 그는 “한국의 아동 빈곤률은 OECD 평균보다 낮지만, 편부모 가정만 봤을 땐 아동 빈곤률은 21%로 양부모 가정의 빈곤률(5%)보다 네 베 이상 높다”며 “이들에게는 EITC(미국의 근로장려세제), 아동수당 같은 복지 제도를 적용해 사회적 계층 이동과 공평성을 높여야 할 것”이라고 강조했다. 양 교수도 동의했다. 그는 “윤석열정부가 올 들어 0세 아이 부모에게 월 100만원, 만 1세 땐 50만원을 주는 부모급여를 도입했다”며 “이 같은 지원이 더욱 확대돼 서유럽처럼 16세까지 이어진다면 아동빈곤 문제를 완화하고 저소득층의 결혼·출산으로 이어질 수 있을 것”이라고 부연했다 사회보장 정책의 경우 성과에 대한 평가가 쉽지 않은 만큼 선·후행적 평가 분석 방법에 대한 고민이 필요하다는 제언도 뒤따랐다. 홍경준 성균관대 교수(한국사회복지학회장)는 서울시 안심소득 시범사업을 사례로 들며 “지원 대상과 비대상 가구간 비교 분석 작업을 병행하고 있다”면서 “단순히 소득의 증감뿐 아니라 일과 고용, 삶의 태도 등 다차원적 데이터를 수집하고 있는데, 이번 연구가 한국 소득보장정책의 중요한 변곡점이 될 것”이라고 기대했다. 박민수 보건복지부 2차관은 “정부도 과학적 근거를 가진 복지정책을 추진하겠다”며 화답했다. 박 차관은 “정부 복지정책의 출발점은 한정된 국민의 세금 재원을 어떻게 더 효과적으로 쓸 것인가에 대한 고민에서 시작된다”며 “정부는 현재 운영 중인 수많은 복지 프로그램을 중복을 피해 단순화하면서 취약 계층에 집중하는 큰 흐름에 따라 정책을 추진해나가겠다”고 언급했다. ]","['그렇게 노인빈곤율이 높은 이유가 뭔지 아나?....연금 월 167만원만 받아도 건보료로 최소 15만원씩을 강탈해가는 국가 때문이지....꼴랑 집한채 있으면 재산세로 매년 두번씩 뜯어가, 건보료로 평생 일년열두달을 또 뜯어가...이러니 다른 수입도 없는 늙은이들이 빈곤을 면할수가 있냐?...주택연금으로 건보료내고 나머지로 목구멍에 풀칠하라고 배려랍시고 한듯...주택연금도 집값 떨어지면 그만큼 받는 돈이 준다...이것도 타이밍이 중요...지금은 최고점 찍을때보다 많이 줄어 신청하기가 쉽지않다. 노인들 등쳐먹는 지역건보료가 문제...', '여기저기서 세는 혈세만 잘 막아도 국민기본소득 가능하다.', '', '', '한정된세금? 과학적근거로 써? 까고있네 기업감세 부자감세 해주고 월급쟁이들 감면혜택 줄이고 세금올리고 하는게 과학적근거로 하는거냐', '', '', '', '']",https://mdtoday.co.kr/news/view/1065580982407002,https://n.news.naver.com/mnews/article/018/0005513136?sid=101
2023.06.12.,딜사이트,,"""퇴직 후에도 일하는 노인들…연금비중 절반도 안 돼""",,,https://dealsite.co.kr/articles/105097,http://www.dailian.co.kr/
2023-06-20 17:08:01,충청투데이,경제,은퇴 못하는 충청권 노인들… 아직은 미흡한 국내 연금제도 한 몫,"[ 20일 코엑스서 '2023 PERI-데일리안 심포지엄'…韓 복지제도 현주소 진단스미딩 교수 ""기초연금 인상 보다 주택연금 및 장기요양서비스 제도 활용 필요""""서울 안심소득 시범사업, 소득보장 정책실험…재정·노동유인 효과 면밀히 살펴야""    티모시 스미딩 위스콘신대학교 교수가 20일 서울 강남구 코엑스 오디토리움에서 열린 '정책평가, 새 지평을 열다!' PERI Symposium 2023에서 세션2 '복지정책 평가' 시간에 발제를 하고 있다. ⓒ데일리안 홍금표 기자[데일리안 = 조인영기자, 김성아 기자] 티모시 스미딩(Timothy Smeeding) 위스콘신대학교 교수는 20일 오전 서울 강남 코엑스에서 '정책평가, 새 지평을 열다'를 주제로 열린 '2023 PERI-데일리안 심포지엄'에서 노인 빈곤 해결을 위해 주택연금을 활성화할 필요가 있다고 밝혔다. 기초연금 보다 낮은 비용을 투입해 고령층 빈곤 문제를 해결할 수 있다는 주장이다.티모시 스미딩 교수는 이날 '복지정책 평가' 세션 주제발표인 '다국가 데이터와 분석을 이용한 빈곤정책과 그 효과에 대한 연구'에서 한국 고령층의 소득 빈곤율이 높은 수준이라고 진단했다. 그러면서 이들이 다량의 토지와 주택을 소유한 것도 특이점이라고 지적했다.스미딩 교수는 ""노인(60세 이상) 중에서 집을 갖고 있는 비중이 70%가 넘는다. 그럼에도 가난한 것은 금융자산인 집을 제대로 활용하지 못한 측면이 있다""고 했다. 이들의 빈곤 문제를 해결하기 위해서는 기초연금 인상 보다는 보유한 주택 자산을 담보로 대출을 허가하거나 장기 요양 서비스를 이용할 수 있는 제도를 도입하는 게 낫다고 제안했다.구체적으로 작은 집으로 이사해 남은 여분을 소득으로 관리하거나, 집을 팔고 판매 가격을 타 기관으로부터 월 수입 형태로 받거나, 집을 담보로 필요 시마다 한도 내에서 인출하는 상품(HELOC)을 활용하는 방안이 있다고 설명했다.노인 빈곤 뿐 아니라 특정 가구의 아동 빈곤도 한국이 해결해야 할 숙제라고 했다. 한국은 매우 낮은 아동 빈곤율(7~10%)을 기록하고 있지만 한부모 가구, 저소득층 가구의 아동 빈곤율은 높게 나타나고 있다는 지적이다.이를 위해서는 저소득층 가구 아동을 위한 월 아동수당을 지급하는 제도 도입이 필요하다고 봤다. 이를 통해 아동의 삶 수준을 개선하고, 동시에 한국 청년층에게 출산을 장려할 수 있다고 주장했다. 스미딩 교수는 ""OECD에서 부유한 국가들은 공통적으로 아동수당을 제시한다. 매달 예치금 형태로 제공하되 타깃을 중위 구간으로 폭넓게 잡고 있어 아동 빈곤을 예방하는 효과가 매우 컸다""고 설명했다.이 같은 정책으로 캐나다의 경우 빈곤율이 20%에서 14%대로 크게 떨어졌다고 스미딩 교수는 언급했다. 그는 ""아동 수당으로 일하는 근로층이 줄어들 것이라는 우려가 있기도 했지만, 결과적으로 일에 참여하는 부모가 늘어났다""며 ""장기적으로 볼 때 아동수당제는 한국에 큰 혜택을 가져올 것""이라고 말했다.그러면서 스미딩 교수는 LIS와 같은 비교가능한 다국가 데이터를 사용하면 한 국가가 빈곤 및 불평등 완화, 소득 이동성 개선 효과 등을 파악할 수 있어 정책 평가를 보다 과학적으로 할 수 있을 것으로 진단했다.    양재진 연세대학교 교수가 20일 서울 강남구 코엑스 오디토리움에서 열린 '정책평가, 새 지평을 열다!' PERI Symposium 2023에서 세션2 '복지정책 평가' 시간에 토론을 하고 있다. ⓒ데일리안 홍금표 기자이날 토론자로 참여한 양재진 연세대 교수는 현 세대 노인 빈곤은 연금이 제대로 성숙하지 못해 발생한 측면이 크다고 지적했다. 국민연금 등에 가입할 기회가 없었거나 가입하더라도 기간이 짧았기에 혜택이 적을 수 밖에 없다는 설명이다.또 현 세대 노인들을 위한 사회적 보장 정책들은 큰 효과를 발휘하지 못하는 상황이라고도 언급했다. 양 교수는 ""기초연금이 국민연금이 없고 소득이 낮은 노인들에게 지급이돼야 하는데 대선, 총선을 지나며 대상자가 늘어나면서 액수를 올리지 못하고 있다""면서 ""빈곤선을 40%선으로 축소하고 액수를 올린다면 빈곤 문제는 좀 더 완화될 것으로 본다""고 언급했다.한국 아동 빈곤율 수치가 낮은 것은 구조적 문제가 있다고 지적했다. 양 교수는 ""저소득층 결혼이 힘들다. 결혼을 하지 않고 아이를 낳지 않다보니 출산율이 떨어진다""면서 ""여기에 아이가 있는 가족 사회보장 정책은 잘 돼있지 않다""고 설명했다.현 제도에서는 1년간 0세 아이 부모에게 월 100만원까지, 1세 아이에는 50만원까지 지원한다. 양 교수는 ""남은 과제는 아동 기간""이라며 ""적어도 16세까지는 어느 정도 아동수당, 가족수당이 충분히 들어가 아동 빈곤 문제를 낮춰야 한다""고 말했다.이에 대해 스미딩 교수는 ""차세대 노인 계층이 연금에 돈을 더 많이 냈다고 하지만 참여자들의 비중도 짚어봐야 한다""며 ""정식 근로에 참여하지 못하는 이들은 여전히 취약층이기 때문에 노후를 어떻게 준비해야 할지 정책적 아이디어가 필요하다""고 답했다.그러면서 ""한국의 경우 저축률이 줄어들기 때문에 심각하게 접근할 필요가 있다""면서 ""스스로 노후를 어떻게 마련하느냐와 더불어 공공지출을 균형있게 배치하는 것이 중요하다""고 덧붙였다.토론자로 참석한 박민수 보건복지부 제2차관은 ""스미딩 교수의 주택연금 활성화 제안은 우리나라 특성에 맞게 활성화할 필요가 있다""면서 ""주택연금 제도가 있지만 금융기관에서 시장 베이스로 하고 있기 때문에 대도시나 일부 계층만 활용하고 있어 활성화할 필요가 있다""고 언급했다.    홍경준 성균관대학교 교수가 20일 서울 강남구 코엑스 오디토리움에서 열린 '정책평가, 새 지평을 열다!' PERI Symposium 2023에서 세션2 '복지정책 평가' 시간에 발제를 하고 있다. ⓒ데일리안 홍금표 기자두 번째 주제 발표를 맡은 홍경준 성균관대 교수(한국사회복지학회장), 하석철 서울시복지재단 연구위원은 '한국 소득보장제정책 평가 연구의 과거와 현재'를 주제로 서울 안심소득 시범사업 정책에 대해 설명하는 시간을 가졌다.홍 교수는 그간 한국 사회는 사회위험에 대응하기 위해 다양한 사회복지제도를 도입하고 확충해왔다면서 이에 대한 평가 작업은 여러가지 측면에서 매우 중요하다고 강조했다.그러면서 사후적(retrospective) 평가 연구를 보완하기 위한 사적(prospective) 정책평가의 일환으로 진행중인 '서울 안심소득 시범사업'을 소개했다. 이 사업은 기존의 복지 사각지대 문제를 해소하고, 새로운 사회적 위험에 대응하고자 서울시에서 추진중인 일종의 소득보장 정책실험이다.이 사업에서는 대상 가구의 소득평가액과 기준 중위소득 85%간 차액의 50%를 안심소득 급여로 지급한다. 가령, 소득이 없는 1인 가구는 월 최대 88만원씩 연간 1060만원을 지급받는 방식이다. 1단계와 2단계로 나눠, 3년간 지급된다.홍 교수는 서울시 안심소득 시범사업은 새로운 소득보장제도에 대한 정책실험의 성격을 갖는 것으로, 안심소득이 서울시민의 다양한 삶의 영역에 미치는 효과를 살피는 데 목적을 두고 있다고 설명했다.그러면서 효과성을 명확히 분석하기 위해서는 안정적인 사업 진행이 필요하며, 특히 재정적, 행정적 안정성은 그 중요성이 크다고 강조했다.    박민수 보건복지부 제2차관이 20일 서울 강남구 코엑스 오디토리움에서 열린 '정책평가, 새 지평을 열다!' PERI Symposium 2023에서 세션2 '복지정책 평가' 시간에 토론을 하고 있다. ⓒ데일리안 홍금표 기자이에 대해 양 교수는 서울 안심소득 시범사업에 대해 제대로 된 실험 결과를 도출하기 위해서는 호손효과(지켜보는 사람의 유무에 따라 행동 차이가 나타나는 현상), 재원 문제, 노동유인 평가 등을 유의해야 한다고 지적했다.양 교수는 특히 ""안심 소득은 다른 사회보장과 달리 막대한 돈이 들어간다. 정책 효과가 플러스가 있다고 하더라도 증세 때문에 생기는 마이너스 효과를 봐야 한다""고 언급했다.이어 ""안심소득은 빈곤선 이상 사람들에게도 지원하는 것이기 때문에 빈곤선 밖의 사람들의 노동의욕에 어떤 영향을 미칠까 보는 것이 중요하다""면서 ""가구원 중에 부업하는 이들에 대한 노동 시간, 노동 의욕을 살펴야 한다. 설문 보다는 행정데이터로 봐야 할 것""이라고 덧붙였다.박민수 2차관은 ""안심소득 보장정책 실험을 높이 평가한다""면서 ""올해 전 인구 20%에 해당하는 샘플을 모으는 작업을 하고 있고, 정부가 가진 데이터 연계를 통해 각종 정책에 활용하는 체계를 갖추게 될 것""이라고 설명했다.이어 ""결과가 매우 궁금한 상황인데 85% 대상이 너무 과하면 낮은 수준으로 프로그램을 수정하는 것도 논의해볼만 하다""고 말했다.이에 대해 하석철 연구위원은 ""안심소득에서는 다양한 행정데이터를 활용하고 있다. 근로소득 파악과 은행 입출금 내역 확인 등으로 완벽한 자연실험까지는 아니더라도 다차원적 접근을 하고 있다""면서 ""이번 사업이 전체 대상으로 확대되면 얼마나 재정이 소요될 것이냐에 대해서도 용역을 맡겨 진행하고 있고 다양한 시나리오별로 여러 논의가 있을 것이라 본다""고 답했다.끝으로 노동 유인 효과에 대해서는 ""연구진에서 그 부분을 인지하고 있고 50% 이하, 50~80% 사이 차상위계층 집단간 비교를 통해 안심소득 급여가 소득분이나 소득 상황에 따라 근로유인에 어떻게 나타날지 면밀히 확인하겠다""고 덧붙였다.    문형표 전 보건복지부 장관이 20일 서울 강남구 코엑스 오디토리움에서 열린 '정책평가, 새 지평을 열다!' PERI Symposium 2023에서 세션2 '복지정책 평가' 시간에 사회를 맡고 있다. ⓒ데일리안 홍금표 기자 ]",[],https://www.cctoday.co.kr/news/articleView.html?idxno=2179362,https://n.news.naver.com/mnews/article/119/0002723230?sid=101
2023.06.08.,쿠키뉴스,,전남 노인 빈곤 어쩌나…국민연금 수령액 전국 ‘꼴찌’,,,http://www.kukinews.com/newsView/kuk202306080091,http://www.mdtoday.co.kr
2023.06.07.,노컷뉴스,,전남 연금수령액 전국 최하위…노인빈곤문제 대책 마련 시급,,,https://www.nocutnews.co.kr/news/5955385,https://dealsite.co.kr/
2023.06.17.,제주MBC,,제주 노인 월평균 국민연금 수령액 전국 최하위 수준,,,https://jejumbc.com/article/8J0s35dibA,http://www.cctoday.co.kr
A12면 TOP,매일경제,,인천 받고 일산은 못받는 기초연금 손본다,,,https://www.mk.co.kr/article/10770600,http://www.kukinews.com
