Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.12.30.,한국경제,,"뉴로라이브, 우울증 치료제 'NR-0601' 임상 1상 진입",,,https://www.hankyung.com/finance/article/2021123040086,http://www.hankyung.com/
2021-12-30 10:19:02,테크월드,경제,"순천시, 미스터마인드와 '인공지능 돌봄로봇' 업무협약 통해 첨단 노인복지 혜...","[ 연구자주도임상시험도 함께 진행    바이오의약품 연구개발 전문 뉴로라이브가 우울증 치료제인 'NR-0601' 임상 1상에 진입했다고 30일 밝혔다. 뉴로라이브는 우울감 해소와 인지기능 향상에 초점을 둔 우울증 관련 파이프라인을 다수 보유하고 있다. 이번 'NR-0601'은 글루타메이트 수용체 작용제(NMDA)와 GSK 억제제(GSK inhibitor) 역할을 주로 한다. 최소 9개의 표적을 장악하는 다중신약재창출(Multi-drug repositioning)로 제작된 고정용량복합제(Fixed dose combination drug)이다.세계보건기구(WHO)는 우울증이 지금 우리를 가장 힘들게 하는 질환 3위이지만 2030년엔 1위가 될 것으로 예상하고 있다. 이러한 우울증 환자들의 치료에 기존의 항우울증제 보다 더 빠르게 우울감을 해소할 수 있는 차별화된 기전을 가진 약물을 절실히 필요로 하고 있다. 노인의 경우 우울증을 경험하면 인지기능이 떨어지고 알츠하이머성 치매의 위험이 증가하기도 한다. 이에 뉴로라이브는 자사의 우울증 치료제인 NR-0601의 임상 시험에 개발 능력을 집중한다는 전략이다.  뉴로라이브는 임상 1상과 동시에, 우울증 환자를 대상으로 연구자주도임상시험(IIT)도 함께 진행한다. 안전성과 약동학을 기본으로 유효성도 동시에 조사하여 개발 속도를 높인다는 계획이다.이번 IIT를 주도하는 성균관의대 삼성서울병원 정신건강의학과 전홍진 교수팀은 ""우울증은 삶의 질을 저하시키고 환자를 사회로부터 고립시키는 질환이다. 다양한 치료에도 반응하지 않는 난치성 환자가 전체 환자의 30%에 달한다""며 ""글루타메이트 수용체를 조절하는 방법은 새로운 치료 방법으로 신속한 효과와 우울감 개선 효과를 보일 수 있을 것으로 생각한다""고 말했다.이석찬 뉴로라이브 대표는 ""지난해 국내에서 한 해 동안 백만명이 우울증 치료를 받았고, 코로나19 장기화로 세계적으로 우울증 환자가 더 가파르게 증가하고 있다""며 ""이런 암울한 시기에 맞설 수 있는 우울증 치료제가 우리나라에서 나오기를 기대한다""고 전했다. ]","['부디 성공하여 우울증과 치매로 고통받고  있는 모든 분들께  치료될 수 있는 날이 왔으면 좋겠습니다.\n그 가족들도 환자 이상으로 교통의 나날을 보내고 있습니다.\n뉴로라이브 화이팅 입니다.', '임상도 성공적으로 진행되고 인간의 우울증을 조금이나마 억제하고 치유케 되는 계기가 되길 바래봅니다']",http://www.epnc.co.kr/news/articleView.html?idxno=218413,https://n.news.naver.com/mnews/article/015/0004646755?sid=101
3면 1단,헤럴드경제언론사 선정,,또 문 닫은 복지관…갈 곳 없는 노인들,,,http://news.heraldcorp.com/view.php?ud=20211222000382,http://www.epnc.co.kr
2021.12.28.,건강다이제스트,,[정현초의 건강시크릿] 우울증 약 대신 천연물질 활용법,,,http://www.ikunkang.com/news/articleView.html?idxno=35089,http://www.heraldbiz.com/
2021-12-22 11:08:05,헬스조선언론사 선정,사회,'이 영양소' 결핍되면 우울증 위험 ↑,"[ 거리두기 강화로 일부 시설 휴관, 거리 배회“확인증 지참 귀찮아서…식당·카페 안 가요”    최근 서울 종로 탑골공원 주변에 모여 있는 사람들. 대부분 노인들이다. 김빛나 기자“노인복지관? 안 가. 거기 가도 사람 없어. (사람 없으니) 재미도 없고….” 서울에 거주하는 황원목(82) 씨는 3차 접종완료자이지만 노인정이나 노인종합복지관에 가지 않는다. 대신 서울 종로구 일대를 걸어다니며 하루를 보낸다. 황씨는 “보건소에서 접종완료자라는 확인증을 인쇄해줬지만 들고 다니지 않는다. 귀찮게 확인증 들고 다니면서 카페나 음식점 가는 것보다 노인들 모여 있는 종로 거리에 있는 것이 편하다”고 말했다.쌀쌀한 겨울 날씨에도 거리를 배회하는 노인이 늘고 있다. 사회적 거리두기 장기화와 재강화로 각종 복지시설 출입이 어려워진 데다 방역패스 등 실내시설 출입에 진입장벽이 생겼기 때문이다. 신종 코로나바이러스 감염증(코로나19) 취약계층인 노인을 위한 세심한 정책이 필요하다는 의견이 나온다.22일 현재 서울 주요 노인종합복지관은 거리두기 강화로 한정적으로 운영되고 있다. 서대문노인종합복지관은 지난 20일부터 2주간 휴관에 들어갔다. 앞서 지난 2일에는 코로나 확산 방지를 위해 셔틀버스 운행도 중단했다. 해당 복지관 담당자는 “거리두기 조치로 모든 프로그램을 비대면으로 운용하게 됐다”고 말했다.다른 지역도 사정은 마찬가지다. 활동인원만 1000명이 넘는 양천·관악노인종합복지관은 일부 프로그램을 비대면으로 전환하거나 소수 인원으로 제한해 운용 중이다. 대면 프로그램의 정원은 4, 5명 수준인 것으로 알려졌다. 추첨을 통해 당첨된 사람들만 수업을 들을 수 있다. 구로노인종합복지관은 백신 3차 접종을 완료한 사람만 복지시설을 이용할 수 있다.반복되는 거리두기로 부대시설 이용·인적 교류마저 어려워졌다. 관악노인종합복지관은 경로식당을 방문하는 인원만 코로나19 사태 이전에는 하루 600~700명가량 됐지만 현재는 식당 운영을 중단한 상태다. 여기에 방역패스까지 확대되면서 노인들은 밖에 나와도 진입장벽을 만난다. QR코드와 같은 전자출입명부가 익숙지 않거나 방역패스정책에 대한 이해가 부족하기 때문이다. 기저질환 등 건강상 이유로 백신을 1차까지만 맞은 김모(86) 씨도 카페·음식점에 출입하지 않고 종로 거리를 배회하며 하루를 보낸다. 식당에서 혼자서 밥을 먹는 건 가능하다고 기자가 귀띔해도 “일일이 설명하기 귀찮다”며 “자주 가는 포장마차가게에서 국화빵을 사먹겠다”고 말했다.상황이 이렇자 노인·노숙자 이용자가 많은 원각사 무료급식소는 방역패스를 도입하지 않았다. 원각사 관계자는 “주민등록증도 안 들고 계시는 어르신이 많은데, 그런 사람들에게 어떻게 방역패스를 보여 달라 할 수 있겠냐”며 “음식을 들고 밖에 나가 드시는 분이 대부분”이라고 말했다.전문가들은 코로나19 상황이 길어지면서 노인 우울증이 사회문제로 떠오를 것을 우려한다. 김범중 중앙대 사회복지학부 교수는 “우리나라 노인가구는 홀몸노인이거나 노인부부 비중이 70% 이상”이라며 “복지시설 방문이 어려워 집에 머무는 시간이 늘면 소외감·우울감을 크게 느낄 수 있다”고 말했다.실제 올해 이화여대 사회복지연구소가 발간한 논문에 따르면 코로나19로 인한 생활 변화가 노인의 외로움을 가속화하는 것으로 나타났다. 논문 연구진에 따르면 코로나19로 인해 노인은 소득 감소·건강 악화·외로움 증가 중 외로움 증가가 가장 심각하다고 답했다. 김 교수는 “코로나19로 인한 노인 소외 현상은 현재 전 지구적 문제가 됐다”며 “다만 복지 수준에 따라 국가마다 그 정도 차이가 있는 만큼 우리나라도 원격 돌봄 등의 서비스가 확대돼야 한다”고 말했다.김빛나 기자 ]","['', '노인들도 코로나 노인수당 지급하라 ㆍ지급하라ㅡ']",https://health.chosun.com/site/data/html_dir/2021/12/16/2021121601169.html,https://n.news.naver.com/mnews/article/016/0001927884?sid=102
17면 1단,부산일보언론사 선정,,"노년기 우울증·건망증·불면증, 치매로 이어질 가능성 높아",,,http://www.busan.com/view/busan/view.php?code=2021122018572136003,http://kunkang.co.kr/
2021.12.28.,경상매일신문,,"대구 범물노인복지관, 독거노인 위한 사랑의 온도 나누기",,,http://www.ksmnews.co.kr/default/index_view_page.php?idx=363003&part_idx=266,http://health.chosun.com/
2021-12-16 20:31:01,로봇신문,생활/문화,재가노인복지서비스에 '스마트 돌봄서비스' 도입,"[     비타민 B12 결핍이 우울증을 유발할 수 있다는 연구 결과가 나왔다./사진=클립아트코리아비타민 B12 결핍이 우울증을 유발할 수 있다는 연구 결과가 나왔다.아일랜드 트리니티대 연구팀은 비타민 B12가 우울증에 얼마나 영향을 끼치는지 알아보기 위한 연구를 진행했다. 먼저 50세 이상의 아일랜드인 3849명을 혈중 비타민 B12 농도에 따라 네 그룹으로 나눴다. 혈중 비타민 B12 농도가 185pmol/L보다 낮으면 결핍, 185pmol/L에서 258pmol/L 사이면 낮음, 258pmol/L에서 601pmol/L 사이면 정상 601pmol/L 이상이면 높음으로 나눴다. 그리고 연구팀은 2년마다 참가자들의 혈액과 우울증 발병 여부를 검사했다. 그렇게 4년이 지난 뒤, 비타민 B12 결핍 그룹만 우울증을 겪을 가능성이 51% 증가했다. 이러한 결과는 연구팀이 신체 활동 정도나 항우울제 사용 여부와 같은 요인을 통제했을 때도 똑같이 나타났다.연구의 저자 이몬 레어드 박사는 ""아일랜드 노인들의 우울증 발병률이 높은 원인은 그동안 불분명했는데 이번 연구를 통해 비타민 B12 결핍이 영향을 미쳤다는 사실이 밝혀졌다""고 말했다.한편, 비타민 B12 결핍의 대표 증상은 황달이다. 비타민 B12는 적혈구의 기능과 관련이 많은데 결핍되면 혈액순환에 지장이 생겨 황달, 악성 빈혈 등을 겪을 수 있다. 이유 없이 피곤하거나 무기력하면 부족하다는 뜻일 수 있으므로 예방 차원에서 보충해줘야 한다.이번 연구 결과는 '영국 영양학 저널(British Journal of Nutrition)'에 최근 게재됐다. ]","['그래 B12가 뭘먹어야하냐고..', 'B12 영양소가 어떤종류가 있는지도 같이 기재해 줬으면 얼마나 좋은 기삿거리가 될텐데', '정부땜에 우울증걸린것도 연구좀 부탁합니다', '미친 정부때문에 우울함', '어디에 많은데?', '비타민 B12( 붉은 살코기, 조개류, 생선, 유제품, 우유 등에 풍부) 결핍이 우울증을 유발할 수 있다.', '비타민 B12 결핍이 우울증을 유발할 수 있다는 것을 처음 알게 되었습니다. 우울증이 생기지 않도록 비타민 B12를 적당량 섭취해야겠네요. 좋은 정보 감사합니다.', '난 매일 비타민B 한알먹고있음', '지식백과 찾아보니 소간에 픙부하대요...', '비타민 결핍도 우울증의 원인이군요...!', '본부장 비리때문레 우울합니다', '우울할때 비타민 B12를 찾아 먹어야겠어요!!', '우울할 때 찾는 음식 먹으란 얘기네.', '표고버섯, 김, 간, 영양제 등에 함유된 비타민12 섭취시 우울증에 도움되는군요.', 'B12 가 폭격기 이름아녀?', '']",http://www.irobotnews.com/news/articleView.html?idxno=27287,https://n.news.naver.com/mnews/article/346/0000046782?sid=103
2021.12.26.,뉴스경남,,김해시노인종합복지관 음악반 최종평가회 진행,,,http://www.newsgn.com/319457,http://www.busan.com/
2021-12-20 19:02:05,에너지플랫폼뉴스,생활/문화,"가스안전公, 어르신 우울증 치료지원 공로 감사패 받아","[ [톡! 한방] 치매 전조 증상    사진은 치매환자들이 미술치료를 받고 있는 모습. 부산일보DBB(65·여) 씨는 요즘 들어 물건을 챙기는 것을 깜빡하거나 단어가 생각나지 않는 일이 부쩍 잦아졌다. 심할 때는 우울한 기분까지 든다. 건망증이 심해진 것인가 하다가도, 혹시 치매 초기 증상이 아닐까 하는 생각에 불안하기만 하다. 이 같은 증상을 치매의 전조 증상으로 볼 수 있을까?치매는 후천적으로 기억력, 언어 능력, 판단력 등 여러 영역의 인지 기능이 감소해 일상생활을 제대로 수행하지 못하는 임상 증후군을 의미한다. 이에 비해 건망증은 기억력 저하를 호소하지만 지남력(시간 장소, 상황이나 환경 따위를 올바로 인식하는 능력)이나 판단력 등은 정상이어서 일상생활에 지장을 주지는 않는다. 건망증이 심해졌다고 해서 이것을 치매의 전조증상이라고 단정하기엔 무리가 있다.그렇다고 해서 아직 안심하기엔 이르다. 노화로 인한 건망증에서 치매로의 이행단계에 있는 경도인지장애(동일 연령에 비해 인지기능이 떨어져 있으나, 일상생활을 수행하는 능력은 보존되어 있는 상태)는 매년 꾸준한 증가 추세를 보이고 있다. 또한 65세 이후에 처음으로 우울증상이 나타나는 노인 우울증도 치매와 헷갈리기 쉽다. 그런데 우울증을 앓은 경험이 있는 노인이 그렇지 않은 노인에 비해 치매 발생률이 2~3배가량 높기도 하고 치매가 있으면 우울증상도 많이 나타나기 때문에 서로 상관관계가 있다고 볼 수 있다.이 뿐만 아니라 코로나19 팬데믹 이후 사회적 단절, 우울감, 불안감으로 인해 치매 환자들의 인지 능력이 급격히 저하되었다는 조사결과도 있다.불면증 또한 치매 발생률을 높이는 질환 중 하나이다. 하버드 의대와 보스턴 의대 연구팀은 서파수면(느린 뇌파 수면)을 하는 동안 치매를 유발하는 물질인 베타 아밀로이드가 제거된다는 사실을 밝혀냈다. 반면 하룻밤만 깊게 자지 못해도 베타 아밀로이드 수치가 30% 가까이 높아진다는 연구결과도 있다.치매는 아직 발생 기전이 불명확하고, 개발된 치료제도 부작용으로 퇴출되기를 반복하고 있는 실정이다. 이 때문에 평소 올바른 생활습관과 건강관리를 통해 예방을 하는 것이 무엇보다 중요하다.치매의 한의학적 원인으로는 정기부족(正氣不足), 담음(痰飮), 화열(火熱), 어혈(瘀血), 칠정(七情) 등이 있다. 같은 병이라도 원인이 다르기 때문에 한의원에 내원하여 전문가의 상담을 통해 개인별 맞춤탕약, 침 치료로 몸의 전반적인 건강 상태를 개선하는 것이 필요하다. 뇌 영양제의 역할을 하는 총명공진단, 총명음 등으로 뇌 건강을 지키는 것도 병행하면 도움이 된다.홍민재 태흥당한의원 하단점 원장     ]","['홍원장님 미남이세요^^', '홍원장님 짱👍 입니다.', '조심해야겠네요', '윤석열,김종인 둘이 손잡고 이거나 해라...', '']",http://www.e-platform.net/news/articleView.html?idxno=71043,https://n.news.naver.com/mnews/article/082/0001132761?sid=103
