Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
A18면 1단,한국경제언론사 선정,,"하이디어솔루션즈 ""수면·활동량 분석…노인 맞춤형 건강 관리""",,,https://www.hankyung.com/economy/article/2021033145781,http://www.hankyung.com/
2021-03-31 17:15:47,노컷뉴스,경제,충북에서도 75세 이상 노인 등 2분기 백신 접종 시작,"[ 강소기업 탐구'시니어 스마트케어' 국내 1위 집안 곳곳 24시간 감지 센서위급시 자동으로 119 등 통보특정 질병 등 빅데이터 활용대형병원·해외대학과 임상도헬스케어·보안 서비스도 진출    이승엽 하이디어솔루션즈 대표가 자사가 개발한 노인 스마트케어 장비를 소개하고 있다.  /김동현 기자고령화 시대에 접어들면서 노인 맞춤형 건강 관리 서비스산업이 주목받고 있다. 특히 독거노인 가구의 증가로 장기간 가정에서 요양이 필요하거나 수면 관리 등 규칙적인 건강 관리를 원하는 수요가 급증하는 추세다. 하이디어솔루션즈는 사물인터넷(IoT)과 빅데이터 기술을 활용해 이 같은 시니어(노인) 스마트케어 서비스를 제공하는 업체다. 시니어케어 서비스 시장을 국내에서 처음 개척해 독보적인 1위를 유지하고 있다. “수면 효율을 백분율로 표시”    하이디어의 ‘리본 스마트케어’ 구독 서비스를 신청하면 집 안 곳곳에 도어 센서, 레이더 센서, IoT 조명 등을 설치해 준다. 센서로부터 개인 활동량, 수면상태, 외출 패턴 등이 감지되고 관련 데이터는 실시간으로 전용 앱을 통해 보호자에게 전송된다. 만약 침실 센서에서 움직임 감지 반응이 계속 없다면 자동으로 응급 상태로 판단해 보호자나 119에 연락하는 등 고령자의 위급 상황을 미리 파악할 수 있도록 설계된 게 특징이다. 회사 모토도 ‘사전 돌봄(care in advance)’이다.이승엽 하이디어 대표는 “밤에 화장실을 자주 간다든지, 잠을 뒤척이는 것까지 모두 파악해 수면 효율을 백분율(%)로 표시해 준다”며 “이런 빅데이터를 바탕으로 사전에 노인이 긴급 상황에 빠지기 전 미리 대처 방안을 제시하는 게 목표”라고 설명했다.정보기술(IT)을 활용해 노인 건강을 챙기는 서비스를 먼저 시작했던 영국 툰스톨, 미국 ADT 등은 아직 신체에 센서 기기를 부착해 이상 징후를 파악하는 수준에 그치고 있다. 하이디어는 신체에 어떤 것도 부착하지 않고 예방·관리까지 할 수 있어 보다 진보된 케어 서비스로 평가받는다.회원의 빅데이터를 통해 국내외 유수 병원들과 특정 질병을 앓는 노인의 특이 증상을 밝히는 임상도 진행하고 있다. 삼성서울병원과 근골격계 환자 임상을, 스위스 로잔대와 파킨슨병 임상을 진행 중이다. 경희의료원에선 노인 우울증 환자를 대상으로 임상을 하고 있다. 이 대표는 “노인 우울증이 심해지면 주위가 추워도 난방을 하지 않는 등 특이 행동이 나타난다”며 “임상 연구를 통해 미리 패턴을 이해하면 증세가 본격적으로 나타나기 전에 위험을 예측할 수 있다”고 설명했다. “헬스케어 및 보안 서비스도 출시”고려대에서 기계공학을 전공한 이 대표는 박사 과정 중이던 2001년 창업 동아리 활동을 하면서 하이디어를 창업했다. 사업 초기에 무선 센서기술을 이용한 네트워크 장비를 만들다 2007년 본격 시니어 스마트케어산업에 진출했다.리본 스마트케어 서비스는 지난해 보건복지부가 선정한 독거노인 및 장애인을 위한 응급안전안심서비스 사업 대상자로 선정됐다. 전국 220여 개 지방자치단체에서 약 10만 가구가 구독자로 가입돼 서비스를 제공 중이다. 민간 구독 회원이 늘면서 매출도 점차 증가할 전망이다. 회사 측은 지난해 167억원이던 매출 규모가 올해 500억원, 내년 700억원까지 가능할 것으로 보고 있다.하이디어는 고령층 스마트케어 사업 외에도 헬스케어, 안전, 스마트홈 서비스까지 아우르는 기술을 개발하고 있다. 헬스케어 사업은 체온계, 혈압계, 혈당계 등의 기기로 측정된 데이터를 인공지능(AI) 알고리즘과 빅데이터 시스템을 통해 분석, 건강 관리 서비스를 제공하는 것이다.김동현 기자 3code@hankyung.com▶ 경제지 네이버 구독 첫 400만, 한국경제 받아보세요▶ 한경 고품격 뉴스레터, 원클릭으로 구독하세요▶ 한국경제신문과 WSJ, 모바일한경으로 보세요 ⓒ 한국경제 &amp; hankyung.com, 무단전재 및 재배포 금지   ]","['이런 서비스가 있었구나. 세상 좋아졌네요 !', '광고 기사 패스~ 기존에 있던 기술이고, 수입 많이 되어서 빅테이터 가지고 있는 회사들도 있고~']",https://www.nocutnews.co.kr/news/5527108,https://n.news.naver.com/mnews/article/015/0004522536?sid=101
2021.03.31.,NSP통신,,"화성시, 취약계층 노인 무릎인공관절 수술 지원",,,http://www.nspna.com/news/?mode=view&newsid=492547,http://www.nocutnews.co.kr
2021-03-31 18:43:25,세계일보,사회,"대구시, 4월부터 75세 이상 노인에 화이자 백신 접종","[ 도민 34만 7100여명 대상, 75세 이상 노인 79% 9만 9300여명 접종 동의[청주CBS 박현호 기자]    만 75세 이상 고령층과 노인시설 입소·종사자에 대한 신종 코로나바이러스 감염증(코로나19) 예방접종 시작을 하루 앞둔 31일 코로나19 예방접종센터에서 의료진이 접종 예행 연습을 하고 있다. 박종민 기자충북에서도 다음 달 1일부터 만 75세 이상 노인 등을 시작으로 모두 34만 71명에 대한 코로나19 2분기 접종이 시작된다. 충청북도는 31일 현재까지 도내 만 75세 이상 접종 대상자 12만 5700여명 가운데 79%인 9만 9300여명이 접종에 동의했다고 밝혔다. 이들을 시작으로 4월에는 노인시설 입소.종사자, 학교 보건교사, 어린이집 장애아 전문 교직원과 간호인력, 장애인시설 입소.종사자, 교정시설 종사자, 노인요양공동생활가정, 노숙인 거주(이용)시설 입소.종사자, 항공기 승무원, 장애인 돌봄 종사자, 만성질환자(투석환자), 의료기관.약국 종사자 등 16만 8600명이 백신을 맞는다. 5월은 65∼74세 노인 등 15만 8800여명, 6월은 노인 방문돌봄 종사자와 유치원.어린이집.초등학교(1∼2학년) 교사 등 1만 9600여명에 대한 접종이 순차적으로 진행된다. 우선 접종센터는 청주 상당구 스포츠센터와 충주체육관, 음성군체육관을 시작으로 6월까지 모두 14곳으로 늘려 화이자 백신을 접종한다. 75세 이상 노인, 노인시설 입소자와 종사자가 대상이다. 나머지 대상자는 도내 521곳의 위탁의료기관을 선정해 아스트라제네카 백신을 접종하게 된다. 도와 11개 시군은 34개팀 102명으로 구성된 현장방문 점검단을 통해 백신보관 상황을 모니터링할 예정이다. 전정애 충북도 보건복지국장은 ""차질 없는 코로나19 예방 접종과 감염 확산 차단을 위해 총력을 기울이겠다""며 ""도민들도 집단 면역이 형성되기 전까지는 마스크 착용, 사회적 거리두기 등 방역 수칙을 철저히 준수해 달라""고 당부했다. 한편 이시종 충청북도지사는 '지역재난안전대책본부장' 자격으로 다음 달 2일 청주 상당보건소에서 아스트라제네카 백신을 접종할 예정이다.▶ 코로나 백신 국내접종 관련기사 모음▶ 클릭 한 번이면 노컷뉴스 구독!▶ 보다 나은 세상, 노컷브이와 함께ckatnfl@cbs.co.kr저작권자 © CBS 노컷뉴스 무단전재 및 재배포 금지   ]",[],http://www.segye.com/content/html/2021/03/31/20210331506863.html?OutUrl=naver,https://n.news.naver.com/mnews/article/079/0003486731?sid=102
2021.03.31.,뉴스1,,4월1일부터 대전 노인시설 화이자 백신 접종(종합),,,https://www.news1.kr/articles/?4259667,http://www.nspna.com/
2021.03.30.,연합뉴스,,"75세 이상 노인 백신 접종, 목포·여수·순천부터",,,http://yna.kr/AKR20210330084900054?did=1195m,http://www.segye.com
2021-03-31 11:06:06,의학신문,사회,"충남대병원 노인보건의료센터, '건강강좌·건강체험터' 개최","[         지난 20일 오전 서울 중구 국립중앙의료원 중앙예방접종센터에서 의료진이 화이자 백신을 주사기에 소분 조제하고 있다. 뉴시스    대구시는 1일부터 75세 이상 고령층을 대상으로 신종 코로나바이러스 감염증(코로나19) 예방을 위해 화이자 백신 접종을 시작한다고 31일 밝혔다. 1946년 12월 31일 이전 출생자 16만4000여명이 접종 대상이다. 앞서 시는 접종 동의 여부를 확인한 8만7000여명 가운데 6만8000여명이 동의해 78.7%의 동의율을 기록했다. 이는 전국 평균 86.1%보다 7.4% 포인트 낮은 수치다.   시는 온라인 예약이 어렵고 거동이 불편한 노인이 많은 점을 고려해 백신 접종 동의서 접수, 접종센터 이동, 접종 후 모니터링을 지원한다. 또 접근성을 높이기 위해 구와 군별로 1개 이상 접종센터를 마련했다. 인구 50만명이 넘는 달서구에는 6월 중 1곳을 추가하는 등 모두 9개소를 운영한다. 접종에 동의한 대상자는 30분 전까지 지역별 접종센터를 방문하면 된다.   시는 스스로 이동이 어려운 노인에게 택시, 전세버스 등 별도 교통수단을 제공하고, 이를 이용하지 않는 노인에게는 1만원 상당 마스크를 제공한다. 접종 후 이상 반응에 대비해 접종을 마친 독거노인을 대상으로 1일 1회 이상 유무선 모니터링을 3일간 실시하는 것은 물론 소방?응급 의료기관과 연계한 응급의료기관 이송체계 및 핫라인을 구축할 계획이다. 채홍호 대구시 행정부시장은 “백신 접종은 집단면역 형성과 일상 회복을 위한 지름길”이라며 “가족과 이웃을 위해 빠짐없이 접종해 일상 회복을 앞당기는 데 동참해 달라”고 말했다. 한편 대구시재난안전대책본부장인 권영진 시장은 이날 오전 중구 보건소에서 아스트라제네카 백신을 접종할 예정이다.   대구=김덕용 기자 kimdy@segye.comⓒ 세상을 보는 눈, 세계일보 ]",['우리아버지도  이미늦었지만ㅜ\n불쌍한 우리아버지26일 돌아가셨습니다전날 AZ백신맞고 부검으로 인해 장례도 5일장되고대전인데..뉴스하나도 없고어느 무례한 놈이 직접 언론사에 이야기하면돼지 여기서 그러냐고ㅡㅜ 막장례치르고이런기사뜰때마다 힘듭니다백신은 고령자보단 우선 건강한 사람들부터AZ는 진짜 진실을 모르겠네요'],http://www.bosa.co.kr/news/articleView.html?idxno=2147481,https://n.news.naver.com/mnews/article/022/0003566578?sid=102
2021.03.30.,뉴시스,,"경기도, 4월부터 75세 이상 노인 등 75만6650명 백신 접종",,,http://www.newsis.com/view/?id=NISX20210330_0001388717&cID=10803&pID=14000,http://news1.kr/
2021-03-31 17:54:53,제민일보,사회,내일부터 75세 이상 노인 백신 접종,"[ 15일부터 유성구 이어 나머지 4개 구 접종 예정시 “75세 이상 노인 물량 공급계획은 알 수 없어”    75세 이상 어르신 4500여명에 대한 신종 코로나바이러스 감염증(코로나19) 화이자 백신 예방접종을 하루 앞두고 31일 오후 대전 유성구 예방접종센터에서 구청관계자들이 준비를 하고 있다. 2021.3.31/뉴스1 © News1 김기태 기자(대전=뉴스1) 송애진 기자 = 대전시는 4월 1일부터 노인시설 및 75세 이상 노인에 대한 화이자 코로나19 백신 예방접종을 순차적으로 진행한다.31일 대전시에 따르면 노인시설(주거복지, 주야간보호) 종사자 및 이용자 5012명 중 4542명(90.6%)이 백신 접종에 동의했다.이들은 유성접종센터에서 화이자 백신을 맞게 된다.앞서 지난 24일 유성접종센터에는 화이자 백신 4095명이 2회 맞을 수 있는 분량이 들어왔다.시는 1일부터 우선 노인시설 종사자 및 이용자에 대한 접종을 시작한 후 다음달 15일부터 유성을 제외한 4개구에 설치된 접종센터에서 75세 이상 노인에 대한 접종을 계속 진행할 계획이다.대전시 관계자는 ""유성접종센터에서 노인시설 종사자 및 이용자가 맞고 남은 백신으로 유성구에 거주하는 75세 이상 어르신이 접종을 하고, 나머지 4개 구에 거주하는 75세 이상 어르신에 대한 백신 물량은 아직 들어오지 않았지만, 계획된 시기에 접종할 수 있도록 준비중""이라고 밝혔다.그러면서 ""거동이 불편하신 분들을 위해 차량을 지원할 계획""이라며 ""백신 수급은 정부에서 통제하기 때문에 현재로서는 나머지 4개구에 들어올 백신 수송 일정은 알 수 없다""고 말했다.한편 지난 30일 기준 대전에서는 1차 백신 접종 대상자 3만9614명 중 3만3973명(요양병원시설, 고위험의료기관, 1차 코로나 대응요원, 코로나19 치료병원 종사자)이 동의를 했다. 이들 중 접종자는 2만6610명으로 78.3%의 접종률을 기록했다.대전시는 지난 2월 26일부터 1차 백신 접종을 시작했기 때문에 아스트라제네카 백신 접종자들은 10주 후인 5월 6일부터 2차 접종이 가능할 것으로 예상하고 있다.시는 1차 접종 후 남은 백신으로 2차 접종을 실시할 계획이다.thd21tprl@nate.com▶ 네이버 메인에서 [뉴스1] 구독하기!▶  뉴스1&amp;BBC 한글 뉴스 ▶  터닝포인트 2021 © 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지   ]",[],http://www.jemin.com/news/articleView.html?idxno=714499,https://n.news.naver.com/mnews/article/421/0005259112?sid=102
2021.03.30.,춘천MBC,,"춘천시, 노인 돌봄 서비스 강화",,,https://chmbc.co.kr/article/HveZDSZlSKARjE,https://www.yna.co.kr/
2021.03.30.,뉴스1,,"성동구 75세 이상 노인 백신 접종 동의율, 열흘 만에 82% 돌파",,,https://www.news1.kr/articles/?4257536,http://news1.kr/
