Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.08.31.,오피니언뉴스,,[일본 탐구] 노인을 위한 주택은 없다?...심각한 65세이상 '주택 난민',,,http://www.opinionnews.co.kr/news/articleView.html?idxno=54570,http://www.opinionnews.co.kr
2021.08.24.,아이뉴스24,,"원희룡 ""신혼부부에 주택자금 최대 3억 무이자 대출""",,,http://www.inews24.com/view/1398462,http://www.inews24.com/
2021-08-24 10:38:05,대한경제,정치,"천안시, 세대공감행복주택 및 쌍용1동 행정복지센터 복합사업 본격화","[     원희룡 전 제주지사. [사진=김성진 기자]'주택 국가찬스' 대선공약 발표청년 1인가구에 1.5억 저리 대출무주택 노인 대상 '공간연금' 도입국민의힘 대선주자인 원희룡 전 제주지사는 24일 신혼부부에게 주택자금 용도의 무이자 대출을 최대 3억원 보장하고 만 39세 이하 청년 1인가구에 최대 1억5천만원을 낮은 금리로 대출해주는 내용 등을 담은 '주택 국가찬스' 공약을 발표했다.원 전 지사는 이날 국회에서 기자회견을 열고 ""1인 가구와 주거취약계층을 위한 정책은 청년·노년층 수요가 다르다""며 ""각각 수요에 맞는 맞춤형 정책을 시행해야 한다""며 이같은 공약을 발표했다.그는 ""문재인 정부 이후 청년들에게 집은 살 수 없는 것이 돼버렸다. 내 집 마련의 부담으로 결혼과 출산도 미루고 있다""며 ""신혼부부 대상으로 '원더풀 무이자 대출'을 지원하겠다""고 했다.'원더풀 무이자 대출'을 통해 신혼부부는 2억원의 무이자 대출을 받을 수 있고 1자녀 출산 시 5천만원이 추가된다. 2자녀를 출산하면 5천만원을 더 추가할 수 있어 최대 3억원까지 대출이 가능하다.용도는 주택구입자금과 전월세보증금으로 한정되며 10년 후에 상환해야 한다. 원 전 지사는 시행 첫 해 약 1백만 가구가 혜택을 받을 경우 연간 4조원이 소요될 것으로 추산했다.원 전 지사는 저소득(소득 5분위 중 2분위 이하) 만19세 이상 만 39세 이하 1인가구를 대상으로 전월세보증금 최대 1억5천만원까지 저리로 대출할 수 있는 '청년 주거안정 주춧돌 사업' 공약도 내걸었다. 아울러 해당 사업을 이용 중인 청년이 결혼하면 그 시점부터 신혼부부 대상의 '원더풀 무이자 대출'을 적용받을 수 있도록 했다.원 전 지사는 ""사회에 첫 발걸음을 내딛는 청년과 사회초년생에게 국가가 안정적인 주거와 기초자산 형성을 지원하겠다""며 ""사회초년생부터 신혼부부, 나아가 그들이 3~4인의 가정을 이루기까지 안정적인 주거 기반 마련을 적극 지원하겠다""고 했다.주거가 불안정한 노년층 대상의 '실버하우스 공간연금사업'도 약속했다. 이 사업은 국민연금이 3기 신도시 내 택지를 조성 원가 이하로 구입, 무주택 노인가구가 원하면 연금 대신 제공하는 방식이다.원 전 지사는 ""현재 노인들의 노후대비 연금 수준은 국민연금을 포함해 월 65만원 수준인 반면 서울 아파트 평균 월세는 지난해 기준 118만원으로 턱없이 부족하다""며 ""노인가구는 월세 대비 적은 국민연금 수령액으로 쾌적한 환경에서 안정적인 노후생활을 할 수 있고, 국민연금은 주거라는 서비스로 연금을 대체할 수 있어 연금 지속가능성도 제고할 수 있다""고 설명했다.공간연금사업은 우선 3기 신도시에 시범사업으로 추진하고 성과에 따라 전국에 확대 추진할 계획이다.원 전 지사는 ""1인가구와 주거취약계층은 기존 주택문제와는 별도로 다뤄야 할 중요한 문제""라며 ""청년, 사회초년생, 노인가구 어느 계층도 소외받지 않도록 만들겠다""고 했다. ]","['대출보다 집값을 낮쳐야지', 'ㅋㅋㅋㅋ 아 ㅁ  ㅊ 인간들아 그냥 공짜로 준다고 해. 일 하지 않아도 매월 5백만원씩 기본 생활비 준다고 하고  아디들 보고도 힘들게 열심히 공부하지 말고 그냥 표만 주면 기본 소득에 기본 주택 준다고 해라. 에라이', '자기돈으로 빌려주는거죠? 나랏돈 은행돈 아니고', '', '정책발표 질 원희룡이 제일낫다~~~대통령 꼭 해라~~~', '우파의 이재명? 참 한심한 공약이네요 돈 퍼주기식 정책은 국민 모두가 골병드는 정책', '신혼부부 집 걱정은  덜 하도록    대통령당선돼서   공약 콕  지키세요 ~원희룡 화이팅~~!!', '']",https://www.dnews.co.kr/uhtml/view.jsp?idxno=202108171415196010449,https://n.news.naver.com/mnews/article/031/0000620122?sid=100
2021.08.24.,충남일보,,"野대선주자들, 잇달아 정책 공약 발표",,,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=619550,http://www.cnews.co.kr
2021.08.24.,아시아투데이,,"여야 대권 경쟁 치열…대선주자, 민심잡기 총력",,,https://www.asiatoday.co.kr/view.php?key=20210824010013346,http://www.chungnamilbo.co.kr
2021.08.25.,시사포커스,,"윤석열 ""코로나에서 국민 지키는 게 국정 1순위""",,,http://www.sisafocus.co.kr/news/articleView.html?idxno=264935,http://www.asiatoday.co.kr
2021.08.25.,경상일보,,[경상시론]로드맵(Road map)이 있는 나라,,,http://www.ksilbo.co.kr/news/articleView.html?idxno=910867,http://www.sisafocus.co.kr
2021.08.24.,대구신문,,"원희룡 '국가 찬스' 공약…""1인 가구에 최대 1억 5천만 원 전세자금 저리 대출...",,,https://www.idaegu.co.kr/news/articleView.html?idxno=356385,http://ksilbo.co.kr
2021.08.07.,단비뉴스,,"사회정책, 성장 신화와 작별할 때",,,http://www.danbinews.com/news/articleView.html?idxno=14761,http://www.idaegu.co.kr
2021.08.10.,이투데이,,[이투데이 말투데이] 이양역우(以羊易牛)/하우스 디바이드 (8월10일),,,https://www.etoday.co.kr/news/view/2052238,http://www.danbinews.com
