Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.03.28.,농민신문,,"농촌노인, 여생동안 살고 싶지만 살기 불편한 ‘농촌주택’",,,http://www.nongmin.com/article/ar_detail.htm?ar_id=613989,https://www.nongmin.com/
2022.03.11.,연합뉴스,,"전문가들 ""차기 정부, 도심 주택공급 확대하고 세금-대출규제 풀어야""",,,http://yna.kr/AKR20220311007900003?did=1195m,https://www.yna.co.kr/
2022-03-11 07:21:03,한국경제언론사 선정,정치,주택보급률 100%?…살고 싶은 집 공급해야 [더 머니이스트-심형석의 부동산정...,"[ 한국주택학회와 지상좌담회…""과도한 개입과 잘못된 진단이 시장 왜곡""정비사업 활성화하되 부작용 최소화해야…법 개정 위해 여야 협치 강조민간 임대시장 활성화 중요…집값 하락 대비한 '컨틴전시 플랜' 주문도  (서울=연합뉴스) 서미숙 기자 = 윤석열 국민의힘 후보가 제20대 대통령에 당선되면서 차기 정부에서 가장 큰 변화가 예상되는 부분 중 하나가 바로 부동산 정책이다.    5년 전 촛불 민심으로 들어선 문재인 정부가 정권 재창출에 실패한 가장 큰 원인으로 부동산 실정(失政)이 지목되는 만큼 '탈(脫) 문재인' 정책으로 차별화에 나설 것이라는 관측이 많다.    연합뉴스는 이에 대선 다음 날인 10일 주택 부문 최고 권위의 학회로 꼽히는 한국주택학회의 내로라하는 대학교수·연구진과 긴급 지상 좌담회를 진행했다.    전문가들은 윤 당선인의 공급 확대·규제완화 등의 공약에 대해 왜곡된 시장을 바로잡는다는 차원에서 대체로 긍정적으로 평가했지만, 일부 보완책도 필요하다고 조언했다.    좌담회에는 이용만 한성대 교수를 비롯해 지규현 한양사이버대 교수, 경기대 김진유 교수, 진미윤 LH 토지주택연구원 선임연구위원, 남영우 나사렛대 교수 등 5인이 참여했다.    [한국주택학회 제공. 재판매 및 DB 금지]-- 우리 사회의 주택 문제는 과거 역대 정권의 최우선 과제였지만 쉽게 해결되지 않는 난제다. 원인이 무엇인가.    ▲ 이용만(한성대 교수) = 현재 주택시장의 문제는 주택 자산으로부터 시작된 자산의 양극화와 주거 불안정이 커졌는데 과도한 대출 규제로 인해 이를 해결할 주거 사다리가 깨졌다는 점이다. 계속해서 저출산 고령화 문제에 주택부문이 충분히 대응하고 있지 못하고 있는 것도 문제 중의 하나다.    ▲ 지규현(한양사이버대 교수) = 그간 주택 경기가 위축될 때는 주택산업을 보호하는 정책을, 경기가 과열될 때는 주거불안 계층을 보호하기 위한 정책을 시행해왔는데 문재인 정부에서는 주택가격을 잡겠다며 규제만 고집해 주택시장의 기능을 왜곡시켰다.    ▲ 진미윤(토지주택연구원 선임연구위원) = 역대 정부에서 제때 해소되지 못한 문제들이 적체되면서 정작 필요한 때 집을 구할 수 없고, 제때 사고 팔지 못하는 교착상태에 빠졌다. 결국 집에 대한 조급증과 불안심리가 커지면서 시장을 더 어렵게 만드는 악순환이 되풀이됐다.    ▲ 김진유(경기대 교수) = 그동안 정확한 사실(fact)에 근거하기보다 정권의 생각과 직감에 의존해 정책이 수립돼 온 점도 반성해야 한다. 예컨대 주택 공급이 충분하다는 오해에 근거해 공급을 게을리했고, 다주택자 대부분을 투기자로 오해하면서 전월세 시장 불안을 초래한 것 등이다.    ▲ 남영우(나사렛대 교수) = 장기적인 문제를 5년 임기 동안 단기 내에 해결하려고 시도하다 보니 너무 많은 정책을 남발하고, 이로 인해 시장의 불확실성만 키운 것이 문제다.    서울 송파구 일대 아파트 모습 [연합뉴스 자료사진]-- 문재인 정부 들어 29번의 부동산 대책을 내놨지만 시장 안정에는 실패했다는 평가를 받는다. 그 원인은.    ▲ 이용만 = 잘못된 진단에 잘못된 처방을 했다. 재개발·재건축 규제는 수요 규제이면서 동시에 공급 규제다. 대도시 특히 서울에서 신규 주택을 공급할 수 있는 길은 재개발·재건축과 도심복합개발 뿐인데 문재인 정부 들어 그걸 막아버리자 공급이 줄어들 것이라는 우려에 집값이 뛰었다. 전월세 상한제, 계약갱신청구권 등 '임대차 2법' 시행에 따른 전셋값 폭등은 결국 집값을 더 끌어올렸고 월세 가속화로 세입자들도 힘들게 했다.    ▲ 지규현 = 집값 상승의 원인을 공급부족이 아니라 다주택자 투기수요 때문으로 규정하고 정권 초기에 공급을 소홀히 했다. 서울은 주택공급의 대부분이 정비사업을 통해 이뤄지는데 이를 억제하면서 서울의 PIR(연소득 대비 주택가격 비율)이 18배로 치솟았다. '6·17 대책'에서 민간 등록임대주택사업자 제도를 폐지(아파트)하고 혜택을 축소하면서 중산층의 주거불안을 완충할 수 있는 민간 임대주택 공급의 역할이 퇴보했다.    ▲ 진미윤 = 집값은 오르고 내리는 사이클이 있는데 문재인 정부는 가격 잡기에 너무 치중한 나머지 지나치게 잦은 대책을 내놨고, 이것이 시장의 변동성과 함께 내성을 키웠고 결국 불신으로 이어졌다. 다만 현 정부 들어 생애주기형 공공임대주택 확충, 주거급여 확대 등 주거복지 소셜 인프라를 구축한 것은 높이 평가받을 부분이라고 본다.    ▲ 김진유 = 주택 공급부족 문제를 제대로 파악하지 못하고 집값 상승의 원인을 다주택자, 투기자들에게서 찾고자 한 것이 문제였다. '공정·형평'만 지나치게 강조하면서 불로소득 차단에 주력했지만 이는 역으로 집값과 임대료를 올리는 요인으로 작용했다.-- 차기 정부가 최우선으로 해결해야 할 과제는.    ▲ 김진유 = 왜곡된 제도를 바로 잡는 것이다. 양도세 중과, 과도한 대출 규제 등 비합리적인 규제를 없애 시장에 매물이 자연스럽게 증가하고 거래가 될 수 있는 여건을 조성해야 재고주택을 최대한 효율적으로 사용할 수 있다.    ▲ 이용만 = 주택 공급이 충분히 이뤄질 것이라는 신호를 보내는 것, 부동산 조세를 조세 본연의 목적에 부합하게 운영하는 것, 주거 사다리가 가능하도록 지불 능력 한도내에서 주택 대출을 허용하는 것이 필요하다. 제도 개선을 위해 법 개정이 필요한 부분에서는 여야의 협치가 요구된다.    ▲ 남영우 = 안정적인 주택 공급을 위해 현 정부가 추진해온 3기 신도시 공급과 함께 재건축·재개발 사업, 1기 신도시 등 리모델링 사업을 활성화해야 한다.    ▲ 지규현 = 집값과 전셋값 상승에 따른 주거불안의 충격 여파를 흡수하기 위해 분양전환하지 않으면서 월세에 기반하는 선진 기업형 민간임대주택 사업을 활성화하고 지원해야 한다.    인사말하는 윤석열 당선인    (서울=연합뉴스) 이정훈 기자 = 윤석열 대통령 당선인이 10일 오후 서울 여의도 국회 도서관에서 열린 국민의힘 대선 선거대책본부 해단식에서 인사말을 하고 있다. 2022.3.10 [국회사진기자단] uwg806@yna.co.kr(끝)-- 윤석열 당선인의 부동산 공약들이 산재한 부동산 시장 문제를 해결할 수 있을까.    ▲ 이용만 = 도심 위주로 주택 250만호를 공급하겠다는 정책은 수요가 있는 곳에 주택을 공급하겠다는 신호를 시장에 줄 것으로 본다. 다만 정비사업 확대는 임대 시장 불안과 집값 상승으로 이어질 수 있어 부작용을 최소화하며 진행해야 한다.    ▲ 김진유 = 정비사업 규제 완화는 공급 확대를 통한 시장 안정을 기대할 수 있어 바람직하지만 용적률 상향에 대해서는 신중해야 한다. 500% 내외의 용적률을 단지형 아파트에 적용하면 주거환경과 경관에 부정적 영향이 커진다. 1기 신도시에도 마찬가지다. 제한적으로 특정한 지역(도심 역세권 등)에만 도입해야 한다.    ▲ 남영우 = 소형 아파트 등록임대사업자 제도를 부활하고 지원제도를 재정비하겠다는 공약은 임대차 시장 안정에 도움이 될 것으로 본다. 다만 임대차 3법은 시행 2년도 안 돼 지금 개정하면 시장이 혼란에 빠질 수 있어 신중해야 한다. 다만 일부 절차상 문제 등은 개선할 수 있을 것이다.    ▲ 진미윤 = 부동산 세제 개편은 주거정책의 종속적 수단이 아니라 사회의 재분배적 관점에서 접근하길 바란다. 임대차 3법 재검토 부분은 신중할 필요가 있다. 전월세 상한제의 5% 인상 제한은 시장 상황에 따라 조정할 수 있겠지만 전월세 신고제는 임대시장이 투명해지는 긍정적인 효과가 있다.-- 차기 정부에 바라거나 필요한 주택정책이 있다면.    ▲ 이용만 = 최근 기준금리가 세 차례 인상됐고 강력한 대출 규제로 인해 패닉바잉에 나섰던 '영끌족' 청년층이 대출 금리 인상으로 고통을 겪고 있다. 금리 인상, 집값 하락에 따른 채무조정에 대비해 '컨틴전시 플랜'(contingency plan)을 만들어야 한다.    ▲ 지규현 = 공공임대와 관련해 '대기자 명부'를 시행해야 한다. 현재 공공임대 물량이 나올 때마다 신청자가 매번 번거롭게 확인하고 지원해야 하는데 이 제도가 도입되면 1회 신청 후 대기하는 방식으로 전환돼 불필요한 행정업무를 줄일 수 있고 공공임대주택의 공급 규모와 사양도 조정할 수 있게 된다.    ▲ 김진유 = 청년이나 신혼부부에 비해 저소득 취약계층 노인에 대한 구체적인 공약이 보이지 않는다. 노인 빈곤율이 매우 높은데 소득이 급감한 노인들의 주거안정에 대한 구체적인 정책 대안이 필요하다.    ▲ 진미윤 = 부동산 정책이 아닌 '주거정책'을 내놔야 한다. 국민의 주거의 질을 높이는 것이 '목표'이고, 양질의 쾌적한 집을 많이 짓는 것은 '수단'이 돼야 한다. 주택 공급 목표는 순공급(net supply) 측면을 따져보길 바란다. 재건축·재개발 47만호 공급은 정비사업으로 멸실되는 주택을 고려할 때 순공급 관점에서 효과가 크지 않을 수 있다.    sms@yna.co.kr ]","['과도한 부동산 시장통제와 세금부과 그리고 대출규제로 시장의 자율경쟁기능을 마비시켰다. 즉, 문산당과 반대로만 하면된다', '좀더 나은 주거환경에서 살게끔 해야 하는데 박원순이 서울 재개발 재건축을 막아온 결과와 문죄인이 같이 여러 규제로 모든걸 막아온 결과 집값 폭등이라는 결과만 낳았다.  무지무능정권의 결과다', '요런  사이비 전문가 게너머 시키덜이 나라를 망치는구나   산이 높으면 골이 깊은법   순리를  어기다가는 나라가 골로  간다', '지금 대출을 풀겠다고? 정신 나갔나 ㅋㅋㅋㅋㅋㅋ', '소유를 제한하는 것보다, 소유하게 놔두고(재산 비례해서 세금 걷고), 공급량을 늘리고 수요자의 구입능력을 도와주는 게 더 나을 수 있다.', '', '그냥, 서울, 수도권 도합 1000만~2000만호 가자. 아주 핵폭탄급으로 주택공급가고 재계발 재건축 전부 허가 다 내주고 아파트로 가득찬 세상 만들어보는거야. 그리고, 인구감소는 가속화되고 이미, 1일 태생자보다 사망자가 휠씬 많은데, 갈수록 인구 줄어서 아파트 값 고민 없이 자유롭게 골라서 오고가게 하면 될 것을 ㅋㅋㅋ', '', '', '김현미 장관 때 누더기 규제가 쏟아져 나온 결과가 이번 선거까지 영향을 끼쳤구만~~', '몇년후에 집값 폭등하겠군. 준비!!']",https://www.hankyung.com/realestate/article/202203077975Q,https://n.news.naver.com/mnews/article/001/0013045148?sid=100
2022.03.08.,핸드메이커,,인도 벵골 지방의 주택 양식으로 시작한 방갈로,,,http://www.handmk.com/news/articleView.html?idxno=12146,http://www.hankyung.com/
2022-03-08 07:53:01,아시아경제,경제,황인식 전 서울시 행정국장 서초구청장 출마선언...보유세 등 해결 위한 전문...,"[ 한경닷컴 더 머니이스트공공임대주택 대부분 소형…공실로 이어져주거의 질 높이기에도 신경써야    사진=게티이미지뱅크매달 우리나라의 고용시장 현황을 알 수 있는 통계청의 ‘고용동향’ 지표가 발표됩니다. 이를 두고 정부와 경제학자들 간의 논쟁이 끊이지 않습니다. 고용동향을 해석하는 정부와 전문가들의 견해가 크게 갈라지고 있기 때문입니다. 비판을 통해 존재감을 드러내는 경제학자들이지만 최근 고용통계에 대한 점수는 박하기 이를 데 없습니다.핵심은 취업자 수는 역대 최대로 증가했지만 고용의 질은 전혀 개선되지 않았다는 지적입니다. 전일제환산(FTE: Full Time Equivalent) 취업자를 연구한 한 경제학자에 의하면 정부 발표보다 76만1000명이나 취업자 수가 줄어들었다고 합니다. 또 다른 경제학자는 국내총생산(GDP) 성장률이 1%포인트 증가할 때마다 일자리는 10만 개가 순증하는 연관성이 있는데, 정부가 홍보하는 것처럼 전년 대비 일자리가 100만 개씩 증가하는 상황은 사실상 불가능하다는 겁니다. 단기 아르바이트와 노인 일자리만 증가했다는 지적은 정부가 고용의 양적 개선에만 집중하는 것이 아닌가를 의심하게 됩니다.숫자 부풀리기가 되었건 양적 개선에만 신경을 썼던 정부의 정책지표가 숫자 늘리기에만 매몰되는 건 현 정부 들어 제기되는 가장 큰 문제입니다. 정책지표란 신뢰성과 타당성이 있어야 하며 실제 정책의 성과를 측정할 수 있는 공인된 지표가 되어야 합니다. 이를 통해 정책의 방향성과 효과를 검증할 수 있기 때문입니다. 특히 국민소득 3만 달러를 넘어선 현재는 삶의 질(Quality of Life)을 측정할 수 있는 지표개발이 중요합니다.부동산 부문에서도 마찬가지입니다. 2002년 말 주택보급률이 100%에 도달했다는 정부의 발표와 함께 시작된 주거의 질에 대한 지표개발이 현재도 계속되고 있습니다. 정부에서는 주거복지라고 표현하지만 단순하게는 주거의 안정성과 주거비 부담 정도로 이를 평가할 수 있습니다. 안타깝게도 이런 주거의 질에 대한 대통령을 포함한 정부 당국의 입장은 진정 주택수요자를 위하는 건지 의심됩니다.10여 평의 임대주택을 방문한 대통령은 4인 가족은 충분히 살 수 있겠다는 표현으로 국민들을 당혹하게 만들었고, 집권 여당의 의원들은 공공임대주택을 찾아 주거의 질이 눈에 띄게 좋아 보인다고 국민들의 쓰라린 가슴에 대못을 박았습니다. 본인들은 강남권역의 대형 신축아파트에 거주하면서 “아파트에 대한 환상을 버리면 임대주택으로도 주거의 질을 마련할 수 있겠다는 확신이 생겼다”는 내로남불의 발언도 마찬가지입니다. 이는 국민을 계몽시켜야 할 대상으로 여기며 정부의 일방통행식 정책을 참으라는 강요에 불과합니다. 여권 대선후보의 임대차3법에 대한 인식도 유사합니다. 문제가 있긴 하지만 제도를 다시 고치는 것보다 적응하는 것이 낫다라는 발언도 이런 일방통행식 정책에 기인한다고 봅니다.    사진=게티이미지뱅크정부의 일방통행식 주택정책에 의해 임대주택은 숫자 부풀리기의 희생양이 되고 있습니다. 주거의 질 개선이 최우선되어야 함에도 불구하고 임대주택에 대한 정부의 생각은 별로 바뀌지 않았습니다. 2020년 입주를 했음에도 불구하고 2021년 비어있는 공공임대주택 가운데 98%가 전용면적 50㎡(약 15평) 미만 소형주택으로 드러났습니다. 대통령이 방문해 홍보했던 동탄신도시의 임대주택도 1년이 지난 시점까지도 입주자를 찾지 못해 공실인 것으로 파악되었습니다. 정부는 소형주택 위주로 공급을 대폭 늘렸지만 정착 수요자들의 선호는 없었던 겁니다. 그럼에도 불구하고 정부는 공공임대주택을 목표치보다 초과 달성했다고 자화자찬합니다.전체 임대주택 공실은 3만3000 채가 넘는다고 합니다. 공공임대주택의 숫자 부풀리기가 가져온 참상입니다. 주택수요자들이 선호하는 주택을 100 채 공급하는 것이 아니라 쪼개고 또 쪼개서 150채의 원룸과 고시원 수준의 비선호 주택을 공급하는 겁니다. 공급물량 확대가 아니라 실제로 국민이 살고 싶은 집을 공급하는 것이 주거의 질을 개선하는 첫걸음인데도 말입니다.국민을 월세로 내몰고 있는 것은 더 심각합니다. ‘전세의 월세화’가 심화되면서 임차인들의 주거 여건은 열악해지고 있습니다. 서울의 월세 비중은 40%를 넘어섰으며 월세 가격은 1년 전과 비교하면 무려 10.5%나 올랐습니다. 강남권보다 강북권의 상승률이 3배나 높습니다. 중산층과 서민들의 피해가 불을 보듯 뻔합니다. 그나마 서울에서 이동하면 다행이지만 임대차 비용이 늘면서 경기도나 인천 등으로 탈서울하는 인구들도 늘어나는 중입니다. 작년 서울을 빠져나간 인구는 10만명이 넘습니다. 탈서울을 택한 수요자의 37.6%가 주택문제였습니다. 무주택자들이 점점 더 외곽으로 밀려나 자연스러운 인구 분산이 아닌 시장 불균형이 고착화되고 있습니다.공공임대주택은 임대료가 주변 시세보다 저렴합니다. 그럼에도 불구하고 소형주택이 공실인 이유는 주거의 질이 떨어지기 때문입니다. 최근 3기 신도시 사전분양 중 신혼희망타운에서 대거 미달사태가 발생한 것도 10년을 거주해야 하는데 방 2개의 소형주택은 선호하지 않는다는 방증입니다.주거의 질을 측정할 수 있는 복잡한 지표를 만들 필요가 없습니다. 주택수요자들이 원하는 주택을 원하는 지역에 공급하는 것이 최고의 주거복지 정책입니다. 숫자 늘리기에 매몰되고 국민을 계몽의 대상으로만 보는 시각으로는 절대로 주거복지 선진국을 만들 수 없습니다. 공공임대주택 비중을 OECD 평균으로 높이겠다는 것이 무슨 의미가 있겠습니까. 정부는 본인들도 살고 싶은 주택을 공급했으면 합니다.&lt;한경닷컴 The Moneyist&gt; 심형석 우대빵연구소 소장·美IAU 교수""외부 필진의 기고 내용은 본지의 편집 방향과 다를 수 있습니다.""독자 문의 : thepen@hankyung.com ]","['문재앙 정권의 주택 정책은 대부분 공공 임대, 월세에 초점이 맞춰져 있다. 집 사지 말고 정부에서 싸게 집 지어줄 테니 임대 셋방에 살며 민주당의 영원한 지지자들이 되라는 뜻. 정부는 집값 못 잡는 게 아니다. 안 잡고 있다는 게 맞다. 정부는 앞으로 떨어질 요인이 없다는 걸 잘 알기에 엄포만 놨다. 다주택자에겐 보유세 왕창 뜯어 팔지 못하게 막고있고, 세금만 계속 뜯고 있는 사악하고 교활한 민주당 건달 집단이다. 국민 대부분의 평생의 소원인 내 집 장만을 대출까지 막아 방해하는 교활한 정권은 내 살다 살다 처음본다.', '', '프랑켄 닮은 박주민은 2016년 초선 때부터 임대인의 횡포를 비판하며 임차인 보호에 목청 높여, 서민 주거안정을 위해 임대차법을 발의했다. 막상 본인은 임대차법 시행 몇 일전 세입자에게 월세 9% 올렸다가 언론에 딱 걸렸다. 자신의 아팟(84.95㎡)을 신규 세입자와 (1억/185만), 기존(3억/100만)에 계약을 맺으면서 약85만원의 월세를 올려 받았다. 박주민은 20년에 임대차법 대표발의, 임대차법 강행 통과시켜 하늘이 무너져도 5% 이상은 안 된다고 소리 높였던 자다. 청렴한 척, 깨끗한 척 하고있는 박주민을 사형시켜라.', '문재인 10평 임대주택 가서 4인 가족은 살겠다더니 정작 자기 집은 800평 ㅋㅋㅋㅋ 문재인식 논리면 노부부 2명 5평이 적당하지', '부동산 세금 더올려봤자 무주택 서민들만 더 괴롭다. 집주인들은 전월세 올리면 되거든.. 결국 부동산 세금은 무주택자들이 내는거다. 무주택 민주당 지지자들아 5년동안 잘봤잖아.. 제발 정신좀 차려라', '', '누군든 좋은 집 살고 깊다고.....', '문재앙 과  민주당  이놈들  주택 정책  복수하기\n\n위해  오늘  윤석열이 찍엇다', '민주당이 장기집권하면 공산주의국가로 바뀌는건 금방일 것이다 5년 집권했는데도 지금 나라꼴을 보시라', '부동산투기꾼의 의견을 전적으로 대변하는구나', '국회의원 및 공무원들은 무조건 임대주택 거주 하게 해야함', '그러한 정책을 한 대통령부터 들어가서 살아라', '', '', '재앙아 구치소 방에서도 4인가족에 개까지 데리고 살수있나보자', '', '한사람이 사는데 주거의 쾌적성은 건축학상  약 10평정도로 알고 있습니다  앞으로는 가족수에 따라 임대주탁 정책을 펼쳤으면 합니다']",https://view.asiae.co.kr/article/2022033018125635755,https://n.news.naver.com/mnews/article/015/0004671624?sid=101
2022.03.29.,공감신문,,"[6.1지방선거] 김진홍 동구청장 예비후보 ""젊은 동구 만들겠다"" 피력",,,https://www.gokorea.kr/news/articleView.html?idxno=721515,http://www.handmk.com/
2022.03.28.,아주경제,,"[기획-6.1 지방선거, 인터뷰]김진홍 부산 동구청장 예비후보, '북항-동구를 하...",,,https://www.ajunews.com/view/20220328114234319,https://www.asiae.co.kr/
2022-03-30 18:13:00,아시아투데이,사회,"문경시, 코로나 팬데믹 지속으로 '잠시멈춤운동' 대대적 전개","[ 서초구에서 공직 첫 발 11년간 기획·복지·행정분야 국·과장 역임과 서울시 주요 요직 경험과 노하우, 구정과 연계 시너지 효과 창출 추진...생산적인 미래도시, 문화관광도시, 따뜻한 복지도시 구현을 위한 공약 제시...보유세와 재건축·재개발 등 주택문제 해결 위한 전문가 특별TF팀 구성 운영    황인식 전 서울시 행정국장이 30일 서초구청장 출마를 공식 선언했다.국민의힘 황인식 서초구청장 예비후보는 이날 기자회견을 갖고 ""생애 첫 직업을 공직의 길로 선택하면서 서초에서 처음 터를 잡고 자랑스럽게 시작했다""며 "" 서초구 근무 11년간 6개 부서의 국·과장을 역임하면서 서초의 구석구석을 다니며 오직 서초 발전과 구민이 행복한 서초를 만들기 위해 최선을 다했다""고 말했다.또 ""서울시에서는 도시개발·복지·인사·예산 등 주요 요직을 두루 거치면서 시정 운영의 노하우와 다양한 경험을 키워왔으며,서울시에 근무하면서 단 하루도 저의 행정적 고향인 서초를 잊은 적이 없다""고 밝혔다.황 예비후보는 ""이런 서초구, 서울시의 다양한 행정 경험과 노하우를 연계, '더 좋은 서초구'를 위한 시너지 효과를 창출해 나가도록 하겠다""며 ""다양한 경험과 노하우를 바탕으로 서초구의 진면목을 잘 아는 행정전문가임을 자부하면서 공직과 행정의 고향인 서초를 위해 돌아온 연어의 심정으로 이번 6.1 지방선거에 서초구청장으로 출마하고자 한다""고 선언했다.이어 ""최근 코로나19로 인한 자영업자의 영업타격, 청년실업, 노인빈곤, 저출산 등 다양한 사회문제가 더욱 심화되고 있다""며 ""또 주택문제는 심각한 상황을 넘어 공황적 상황에 이르고 있다. 이런 어려운 상황에서 정부와 지자체는 이런 현안의 사회문제를 해결하려는 진정성 있는 고민과 근본적인 대책이 중요한 시점""이라고 강조했다.황 예비후보는 ""저는 이런 사회적 문제해결 노력을 중심으로 서초를 친환경산업 발굴과 일자리창출의 활성화를 추진하는 생산적인 도시 서초로, 문화와 예술의 훌륭한 자원을 관광 인프라와 연계한 문화 관광도시 서초로, 육아복지와 저출산 대책 등을 통한 따뜻한 복지도시 서초를 만들어 '힘차게 재도약하는 서초'를 열어 나가겠다""고 다짐했다.주요핵심공약으로 ▲경부 간선도로 입체화사업, 정보사 이전 부지 개발 ▲국회단지·성뒤마을·헌인마을 친환경 명품 주거단지 조성 ▲서초형 복합복지타운 건립 ▲반포종합운동장 복합체육시설 건립 ▲국·공립 어린이집 비율 상향 및 인프라 개선 등을 중심으로총 13개 공약을 차근히 추진해 나가겠다고 제시했다.또 서초구민의 가장 큰 관심사항인 재산세 등 보유세 문제와 재건축·재개발 등 주택문제 해결을 위해 전문가 중심 TF팀을 구성, 제가 단장이 돼 주민과 직접 소통, 세밀히 챙겨 나가도록 하겠다고 밝혔다.황 예비후보는 ""여기서 마련된 해결대안은 정부에 적극 개진, 서초의 뜻이 관철되도록 저의 모든 역할을 다하겠다""며 ""저는 구청장 임기 첫 날부터 바로 구정을 능숙히 운영할 수 있는 서초 행정전문가로 참여와 소통을 통해 더 좋은 따뜻한 서초를 힘차게 열어가도록 하겠다""고 지지를 호소했다.◆황인식 예비 후보자 약력  ▲서초구 행정지원국장·기획경영국장·생활복지국장 ·문화공보담당관 ▲(고시임용) ▲서울시 한강사업본부장(1급)▲행정국장, 대변인(2급) ▲서울역 일대 종합발전기획단장(3급) ▲전) 윤석열 대통령후보 정책본부 ▲자치분권특위 정책실장 ▲연세대 대학원 졸업(사회복지학 박사) ▲School of Social Work at University of Washington 졸업(사회복지학 석사) ▲연세대 졸업(법학사) ]",[],https://www.asiatoday.co.kr/view.php?key=20220321010011105,https://n.news.naver.com/mnews/article/277/0005066404?sid=102
2022.03.20.,국제뉴스,,"문경시, 코로나 팬데믹 지속...시민들과 함께 '잠시멈춤운동' 대대적 전개",,,https://www.gukjenews.com/news/articleView.html?idxno=2429634,http://gokorea.kr
2022.03.17.,브릿지경제,,[액티브 시니어] 저출산 문제 팔걷는 지자체,,,https://www.viva100.com/main/view.php?key=20220318010003724,http://www.ajunews.com
