Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2017.01.31.,국제뉴스,,"충북도, 독거노인 '고독사 예방' 조례 제정 ""시급""",,,http://www.gukjenews.com/news/articleView.html?idxno=641610,http://www.gukjenews.com/
2017.01.31.,매일신문,,[건강칼럼] 우울증은 신체적·정신적 영향 미치는 질병…약물치료 병행해야 8...,,,http://www.imaeil.com/sub_news/sub_news_view.php?news_id=4692&yy=2017,http://www.imaeil.com/
2017-01-31 05:00:38,머니S,사회,[인생2막 설계] 3대 질병에 중증 치매도 보장,"[     [장성만 경북대병원 정신건강의학과 교수] 노인이 우울해한다면? 많은 사람들은 “노인들은 으레 그런 법”이라고 말한다. 노인들이 실수가 많아지고 건망증이 심해지면 단순히 노화 과정으로 생기는 문제로 생각하는 경우가 많다. 이런 경우 치매 초기에 나타날 수 있는 우울증일 수도 있지만, 치매가 아닌 가성치매로 나타나는 우울증인 경우도 많이 있다. 우울증은 치료하면 기분과 함께 기억력이 회복된다는 점에서 제대로 된 진단과 치료가 중요하다. 우울증이라고 하면 단지 기분이 슬프거나 가라앉는 정도로만 생각하는 경우가 많다. 하지만 ‘우울증’은 우울한 기분이 하루 일과 중 대부분의 시간에 나타나며 오랜 기간 지속되는 경우를 말한다. 우울증은 단순히 기분만의 문제가 아니라 신체적`정신적으로 영향을 미치는 전신적인 질병이다. 우울증에 걸리면 기분이 가라앉고 공허하며 무언가 기억도 잘 안 나고 심지어 몸 여기저기 아프기도 하는 상태가 된다. 이런 상태는 누구든 일시적으로 겪을 수 있지만, 몇 주 이상 지속되면 정상이 아닐 수 있음을 생각해야 한다. 노인들은 우울감을 잘 표현하지 않는 경향이 있다. 대신 특별히 신체적 이상이 없음에도 자꾸 아프면서 불편하다고 말한다. 원인을 찾으러 여러 병원을 쇼핑하는 경우도 많다. 결국 정신건강의학과에 의뢰하게 되며 우울증에 준하는 치료를 받으면 좋아지는 경우가 많다. 노인은 우울감을 스스로 인지하지 못해 이를 신체적인 고통으로 표현하는 경우가 많기 때문이다. 환자들은 기분이 우울해지면 주변 사람들과 다양한 상담을 받으려 한다. 하지만 우울증은 상담만으로 해결될 수 있는 문제가 아니다. 전문가의 상담과 함께 약물치료를 병행해야 한다. 심각한 우울증이라 하더라도 80% 이상은 정상 수준으로 회복이 가능하다. 약물치료와 정신사회적 요법, 전기경련 요법 등과 같은 특수치료를 받으면 더 빠르게 회복될 수 있다. 우울증을 앓는 노인은 말로 표현하지 않아도 내적으로는 상상 이상의 고통을 경험하게 된다. 신체적 질병과 함께 증상이 오면 상태를 더 악화시킨다. 가장 심각한 경우에는 노인들이 우울증으로 스스로 목숨을 끊는다. 최근 급증하는 노인의 자살은 우울증과 깊은 관련이 있다. 노인들은 젊은 사람들보다 우울한 느낌을 잘 표현하지 않으며 가족에게 부담이 되는 것을 원하지 않는 경향이 있다. 홀몸노인 등 우울증에 취약한 노인들만이라도 조기에 치료할 수 있다면 자살률을 떨어뜨리는 데 도움이 될 것이다. 노인 우울증은 노인들의 신체 질환과도 연관이 있다. 심장질환, 당뇨병, 폐질환, 종양, 관절염 등의 만성적인 내과 질환과 뇌졸중, 알츠하이머병, 파킨슨병 등의 뇌신경 질환과 밀접한 관계가 있다. 이런 경우에는 우울증 치료만으로도 노인 환자들의 일차적 질병의 호전에 상당한 도움이 된다. 우울증은 의학적으로 중대한 질환일 뿐만 아니라, 보건경제적 관점에서도 심각한 사회적 문제이다. 우울증 환자와 보호자의 직간접적인 노동력 상실 비용을 추산한다면 우리나라 국민총생산의 약 0.5% 정도와 맞먹는다. 특히 노인 우울증은 다른 신체질환을 더 악화시켜 질병으로 인한 사망률을 증가시킨다. 조기에 진단받고 치료하는 것이 환자나 가족 모두에게 도움이 된다.ⓒ매일신문 - www.imaeil.com   ]",[],http://www.moneyweek.co.kr/news/mwView.php?type=1&no=2016092314258067949&outlink=1,https://n.news.naver.com/mnews/article/088/0000478287?sid=102
2017.01.30.,메디컬투데이,,한국인 사망원인 5위 폐렴…65세 이상 노인에게 특히 위험,,,http://www.mdtoday.co.kr/mdtoday/index.html?no=278274,https://www.moneys.co.kr/
2017-01-30 07:59:02,연합뉴스,경제,"""생명보험 올해 트렌드는 간편심사·질병보장 강화""","[  본문 이미지 영역    /사진=미래에셋생명미래에셋생명은 지난 4월 업계 최초로 고연령의 고혈압·당뇨 유병자도 암·급성심근경색증·뇌출혈 및 중증치매 등 4대 질병을 보장하는 ‘꽃보다건강보험’(갱신형)을 추천했다. 기존에 통용되는 3대 질병 보장에 더해 최근 노년층에서 발병이 높아진 중증치매 진단까지 보장하는 건강보험이다.이 상품은 61세부터 75세까지 가입 가능한 시니어 전용상품으로 최초계약 15년 이후 5년 단위로 갱신해 최대 100세까지 보장받을 수 있다. 기존 유사상품이 대부분 암 보장에만 국한되는 것과 달리 이 상품은 65세 이상 유병자의 3대 질병은 물론 중증치매까지 보장하는 첫 상품이다.또 65세 이상 노인의 가장 큰 사망원인으로 꼽히는 암·급성심근경색증·뇌출혈 진단을 100세까지 모두 보장하며 행복한 제2의 인생을 설계하는 데 도움을 준다. 인공관절치환수술특약과 청각장애보장특약을 활용해 노년층의 고질병인 관절 및 청각 질환도 보장받을 수 있다.이 상품의 가장 큰 장점은 간편심사제도를 도입해 고혈압과 당뇨병을 앓아 보험가입이 어려웠던 노년층도 쉽게 보험에 가입할 수 있다는 것이다. 고혈압과 당뇨가 없는 건강한 고객은 보험료를 5% 할인받을 수 있고 자녀가 부모를 위해 가입할 경우 2% 할인된다. 자동이체를 신청하면 1%의 추가할인으로 최대 8%까지 보험료 할인혜택을 받을 수 있어 건강한 고객의 경우 상대적으로 보험료 절감 효과를 크게 누릴 수 있다. 오은상 미래에셋생명 상품개발본부장은 “이 상품은 국내 65세 이상 노인 2명 중 1명이 고혈압을, 5명 중 1명이 당뇨병을 앓는 상황에서 부모의 건강을 생각하는 자녀라면 반드시 확인해야 할 필수상품”이라고 밝혔다.실시간 재테크 경제뉴스│창업정보의 모든 것 장효원 기자  &lt;저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지&gt;   ]",[],http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20170123087000002&did=1195m,https://n.news.naver.com/mnews/article/417/0000228444?sid=101
2017.01.25.,데일리안,,"한국야쿠르트, 설 맞아 홀몸노인에게 떡국 전달",,,http://www.dailian.co.kr/news/view/608738/?sc=naver,http://www.mdtoday.co.kr
2017.01.26.,대구일보,,노인성 질병 대상 복지서비스 제공,,,http://www.idaegu.com?c=6&uid=356860,https://www.yna.co.kr/
2017-01-23 12:00:11,대전일보,경제,대전 지역 내 노인장기요양보험 수급자 증가,"[      생명보험협회[연합뉴스TV 제공]생보협회 ""생활습관·건강상태에 따라 보장 차별화 상품 나올 것""(서울=연합뉴스) 구정모 기자 = 최근 고령화로 의료비가 크게 늘어남에 따라 생명보험업계가 간편심사를 늘리고 질병 보장을 강화하는 상품을 내놓을 것으로 예상된다.     생명보험협회는 이런 내용을 담은 올해 생명보험 상품 뉴 트렌드 자료를 23일 발표했다.     생보협회는 올해 추세로 간편심사와 건강집중 보험을 꼽았다.     간편심사는 5년 내 암진단 또는 암치료, 2년 내 입원 또는 수술, 3개월 내 의사의 입원·수술 등 검사소견의 여부만을 따지는 심사다.     주로 보험 가입을 하지 못하는 노인과 유병자를 대상으로 한 간편심사 보험이 최근 연달아 출시되고 있다.    또 생보사들은 사망보험금을 줄이는 대신 주요 질병에 대한 진단금이나 노후 생활자금을 보장하는 데 집중하고 있다.     중대질병(CI)이 아닌 일반질병(GI)으로 지급 여건을 완화하는 보험상품이 그 사례다.     생보협회는 경기불황에 따른 저해지환급·변액상품을 새 트렌드로 소개하기도 했다.     저해지환급상품은 동일한 보장을 하되 해지에 따른 환급금을 줄이는 만큼 보험료를 낮춘 상품이다.     또 투자수익률 실적과 상관없이 기존 생활자금의 보장을 받을 수 있게 최저보증옵션이 붙은 변액보험도 최근 부상하고 있다.     생보협회는 마지막으로 사후 치료(Cure)에서 건강관리(Care)로 전환을 생명보험의 새 트렌드로 지적했다.     보험사가 건강관리 서비스를 제공함으로써 계약자는 건강한 생활습관을 유지하고 보험사는 손해율을 개선하는 일거양득의 꾀한다는 것이다.     생보협회는 웨어러블 기기와 연동해 생활습관 및 건강상태에 따라 보장을 차별화하는 보험상품이 개발될 것으로 예상했다.     pseudojm@yna.co.kr #흥 먹고 입고 꾸미고(클릭하면 hot hot!) ]",[],http://www.daejonilbo.com/news/newsitem.asp?pk_no=1249130,https://n.news.naver.com/mnews/article/001/0008980498?sid=101
2017.01.10.,뉴스1,,서비스 질 떨어지는 노인돌봄 장기요양기관 '퇴출',,,http://news1.kr/articles/?2881135,http://www.dailian.co.kr/
2017-01-25 13:41:04,법률신문,경제,[판결] “위탁 노인 이동 중 골절… 치료비 등 요양시설 책임”,"[     한국야쿠르트가 2017 사랑의 떡국 나누기 행사를 가졌다.ⓒ한국야쿠르트한국야쿠르트가 설 명절을 앞두고 홀몸노인을 대상으로 사랑의 떡국 나누기 행사를 펼친다. 사랑의 떡국 나누기는 한국야쿠르트 사회봉사단 '사랑의 손길펴기회(이하 사손펴)'가 매년 설을 맞아 펼치고 있는 사회공헌활동이다. 서울, 부산, 대구, 광주 등 전국 16개 한국야쿠르트 사손펴 위원회 회원들이 각 지자체 사회복지단체와 협력해 지난 20일부터 다음달 4일까지 2000여 명의 홀몸노인을 대상으로 사랑의 떡국 나누기 행사를 가진다. 한국야쿠르트에 따르면 지난 2005년 행사를 시작한 이후 지난 12년간 야쿠르트 아줌마와 함께 끓여낸 떡국만 12만 5000여 그릇에 달한다. 설을 앞두고 홀몸 어르신을 직접 초청해 특별한 행사도 펼친다.  25일 한국야쿠르트 천안공장은 40여 명의 지역 홀몸 어르신을 모시고 떡국 식사와 함께 공장 견학, 단체 영화관람 등 다양한 행사를 연다. 행사에는 한국야쿠르트 사손펴 회원뿐만 아니라 천안시 국립의료원 의료진들도 참석한다. 의료진들은 현장에서 어르신들과 한 분 한 분 건강 상담을 통해 평소 궁금했던 질병에 대한 궁금증 해소는 물론, 겨울철 건강관리 노하우도 전할 예정이다.정동수 천안시 노인종합복지관 사회복지사는 ""정기적으로 야쿠르트 아줌마께서 홀몸노인 돌봄활동을 통해 어르신들의 건강과 안부를 챙겨 늘 감사하게 생각하고 있다""고 말했다.지난 1975년 결성된 사손펴는 한국야쿠르트 전 직원이 입사와 동시에 가입해 매월 급여 1%를 기부해 운영하는 사내 봉사단체다. 서울, 부산, 대구, 광주 등 전국 16개 위원회별로 매달 노인복지시설을 찾으며 지자체와 연계한 봉사활동을 꾸준히 펼치고 있다. 올해는 사랑의 떡국 나누기 행사뿐만 아니라 거동이 불편한 홀몸노인을 대상으로 가정방문, 생일잔치, 명절 인사, 도시락 전달 등 다양한 활동을 펼친다. 또 복지관 및 지역단체와 협업을 통해 생필품 지급, 노후주택 개선 등 노인들의 생활환경 개선은 물론, 나들이 동행, 영화관람 등의 문화활동을 지원해 삶의 만족도를 증가시키는 노력도 하고 있다. 권오근 한국야쿠르트 천안공장장은 ""보다 많은 분이 홀몸노인에 대한 관심과 사랑을 갖길 바란다""며 ""건강한 나눔으로 더 행복한 사회를 만들기 위해 다양한 사회공헌활동을 펼쳐나갈 것""이라고 말했다.데일리안 박지수 기자ⓒ (주)데일리안 - 무단전재, 변형, 무단배포 금지   ]",[],https://www.lawtimes.co.kr/Legal-News/Legal-News-View?serial=107645,https://n.news.naver.com/mnews/article/119/0002164303?sid=101
