Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
23면 1단,한국일보,,넷플릭스 K-드라마에는 혐오가 넘친다 [삶과 문화],,,https://hankookilbo.com/News/Read/A2022021109550000095?did=NA,http://www.hankookilbo.com/
2022-02-11 22:02:01,노컷뉴스,오피니언,"""노인 아니라 선배""…김해복지재단 어르신 자존감 위해 호칭부터","[     '지금 우리 학교는' 스틸컷. 넷플릭스 제공""X 같은 김치 냄새가 나.""아카데미 시상식에서 4관왕을 거머쥔 영화 '버드맨'에 나오는 대사다. 배우가 한국인이 운영하는 꽃집에서 나오면서 이렇게 말한다. 이 대사는 아시아 혐오라는 비판을 받았다. 나도 이 부분에서 멈칫했다. 누구나 그런 적이 있지 않은가. 낄낄거리면서 영화나 드라마를 보다가 내가 속한 집단에 대한 혐오의 말을 듣는 경험 말이다. 영화 '곡성'에서 어리숙한 촌사람처럼 표현된 곡성 사람들을 보고, 곡성 사람은 재밌어했을까? 대림동의 조선족 범죄 조직을 다룬 코미디 영화 '청년경찰'을 보고, 과연 조선족과 대림동 상인들도 웃었을까?재미있자고 보는 영상이다. 피곤한 하루를 마치고 영화나 드라마를 보며 좀 웃고 싶다면, 편안한 마음으로 봐야 한다. 언제, 어디서 나에 대한 혐오 발언이 나올지 모른다고 생각하면 조마조마해서 나오려던 웃음도 들어간다. 누군가를 조롱하거나 비하하지 않으면서 재밌는 드라마는 어디에 있는가?다행히 넷플릭스의 콘텐츠는 양성평등을 위해 노력한 작품이 많았고, 소수인종을 주인공으로 내세우는 콘텐츠도 꽤 찾아볼 수 있었다. 2018년 넷플릭스는 오리지널에 출연했던 아프리칸-아메리칸 배우를 모아 놓은 사진을 공개하며 'Strong Black Lead' 캠페인도 진행했다. 여성 교도소의 이야기를 그린 '오렌지 이즈 더 블랙', 노년의 우정을 그린 '그레이스 앤드 프랭키', 원작을 페미니즘적으로 재해석한 '빨간머리 앤' 등은 정치적으로도 올바르면서 성공적으로 흥행한 작품이다.그러나 최근 넷플릭스에서는 이런 기조와 무관한 작품들이 승승장구한다. 여성 혐오, 외국인 혐오, 노인 혐오, 가난 혐오까지. 모두 갖추고 있어도 잘나가는 작품 중엔 놀랍게도 한국 콘텐츠가 많다. '오징어 게임'은 국내 오리지널 작품 최초로 넷플릭스 1위 자리를 53일간 지켰고, 그 자리를 이제는 '지금 우리 학교는'이 차지했다. 한국인으로서 자랑스럽고 설레는 마음으로 드라마를 틀었다가, 찬물 한 바가지를 얻어맞은 것 같은 참담한 기분이 들었다. '오징어 게임'에서 한미녀는 생존을 위해 자신의 육체를 도구로 활용해 남성을 유혹한다. 위협적 상황에서 여성이 자신의 성을 도구로 남성을 이용할 것이라는 생각은 철저히 남성 중심적인 잘못된 판타지다. 더듬더듬 한국어로 '감사합니다'를 연발하는 알리는 외국인 노동자에 대한 편견을 강화한다. '지금 우리 학교는'은 어떠한가? 원작에도 없는 여고생의 출산을 넣어 느닷없이 모성애를 그리고, 학교폭력 가해자들이 피해 학생의 옷을 벗기고 그 장면을 촬영하는 장면은 지나치게 노골적이다. 좀비들이 몰려온 상황에서도 여학생들은 꺅꺅 소리만 지를 뿐, 남학생들이 싸우는 동안 누구 하나 앞서서 돕는 일이 없다. 보는 이들의 가슴을 답답하게 하는 민폐 캐릭터는 핑크색 카디건을 입은 여학생이고, 폭력적인 일진은 남학생으로 그려진다.서울신문은 지난 12월 러시아 관영방송 RT의 보도를 인용하며, 서구에서 정치적으로 올바른 미국의 영화 대신 한국 드라마에 끌린다는 기사를 냈다. 우리나라 콘텐츠가 PC(Political Correctness, 정치적 올바름)하지 않아 잘나간다는 것은 자랑할 만한 일이 전혀 아니다. 넷플릭스 직원들은 최근 성소수자 혐오를 개그 소재로 사용한 '더 클로저' 방영에 반대하며 일일 파업과 시위를 벌이기도 했다. K드라마는 왜 거꾸로 가고 있을까?    박초롱 딴짓 출판사 발행인 ]","['정말 편협하고 역겨운 기사다 .. 정신과 치료를 추천함', '야 박초롱 잘 들어봐. 지우학이 학교라는 주제로 좀비물을 찍었잖아. 지우학을보면 학교의 모든것이 다나와. 학생들이 학교에 등교하면서 가위바위보도하고 친구 어깨도 치고지나가고 담벼락도 넘고, 학교에서 꽃길에서 친구랑 손도잡고 가는씬도있고, 학교에 지각안할려고 뛰어가는장면도나오고, 학교에서는 친구들끼리 이불도 털고 청소하는장면도 나옴. 이런것만 나오고 좋은것만 보여주고 어두운면은 표현하지 말라는거냐? 박초롱 너는 생각이란것을하냐? 학교라는것을 표현할때 좋은것만표현하면 우리 세상이 좋아지냐? 니가 말해봐. 현실에 존재하는 학교폭력쓰지마?', '현실을 살아라 ㅉㅉ 저 장면들을 보고 다수의 사람들이 공감을 얻었으니까 인기가 있던거지. 니 혼자 뇌내망상으로 페미 세상에 사는게 현실인거냐?? 페미들의 가장 큰 모순은 아무도 안붙잡는데 치덕거리면서 애배배거린다는거다. 모순덩어리 기생충 그 자체.', '내가 필자 수준까지 잠깐 내려가서 한마디 해주자면, 지우학 전편 통틀어 가장 간지캐로 나온 게 여자(양궁선배)였어. 솔직히 작품은 다 보고 쓴거냐? 협잡질 도적질을 할려거든 성실하기라도 해라 좀.', '전 정말 PC에 아무런 반감 없는 사람인데요 반감을 가지는 사람들이 왜 그러는지 알 수 있는 기사네요', '다 맞는 말만 써있는데 댓글 광기 봐', '기사 너무 좋네요', '좋아하는 아이에게 먼저 고백하고, 리더십을 발휘하는 남온조,\n민폐캐릭터를 살리고 친구를 도우라고 희생하는 여성 담임선생님, 절비가 되어 친구를 지키는 반장... \n\n여성의 캐릭터를 하나로 가두지 않고, 다양하게 보여줬다고 봅니다. 왜 한 두 캐릭터를 가지고 정치적으로 올바르지 않다고 \n판단하는지 잘 모르겠습니다.', '이런 글이야말로 혐오를 부추기는 똥글이지.... 차라리 현실에서 화재현장에서 여소방관이 없음을 비판하며 영화에서도 그려지는 여성향을 개선하자라고 하던가;; 현실은 외면하고 영화를 저런 편협한 시선으로 불편해하네.. 지금 우리 학교는 에서 가장 주최적이고 멋있게 나온게 양궁여선배 아니냐?? 여자라 당했다란 마인드로 보니 그런건 눈에 안들어오고 다 불편하지;;; 글에 나온 영화들은 나름 사회 비판 영화라 혐오가 첨가된건데 이글은 진짜 앞뒤없이 혐오 부추기는 글임.. 더 혐오글이라는거!!!', '검열을 하지 못해 안달이 난 SJW는 상종을 하지 말아야 한다', '기사 잘 봤습니다.', '', '', 'ㅋㅋㅋ 드라마를 보다 말았나?\n양궁녀랑 tq민지는 자신들이 앞장서서 좀비 대가리 깨는데 그건 뭐라고 설명하는데?\n거기서 나온 뚱보는 하루 종일 찡찡거리고만 있는데 뭔 여혐만 가득한 드라마래 ㅋㅋㅋ', '지가 쓴 글 자체가 혐오인줄 자기만 모름.', '현실에 문제가 있으면 현실을 바로잡을 노오력을 해야지 현실을 표현하지 말라는건 정상이 아니다', '', '넷플릭스 다른 나라 드라마 영화 중 특정 집단의 혐오가 안들어있는게 뭐가 있나? 글쓴이는 대답좀 해보세요~~제발 무슨 말같지도..있음 애기해보솨~~~', '', 'PC따질거면 공중파 공익광고를 보지 왜 불편한 넷플릭스를 이악물고 보는건지 이해가 안되네. 장르물에 PC요구 하지말고 PC들만을 위한 장르를 만들던지.. 채식주의자들도 햄버거회사에 남들먹는 햄버거패티까지 전부 콩고기패티로 바꾸라는 황당한 요구는 하지않는데 PC충들은 대체...', '한국 드라마는 늘 불편해요 \n아무렇치 않게 뺨을 때리고 \n야구방망이로 차를 부수고\n물을 끼얹고..  형사고발 당할 짓을 잘 가르치는거 같아요~ 아이들과 볼 건전하고 더 다양한 소재 주제를 다루는 멋진 드라마가 없다는게 참 분명해요.', '좋은 기사 감사합니다', '잘봤습니다', '또 시작이군', '와................... 일상생활은 가능한가...........\n무섭다... 저런 사고를 가진 사람이 주변에 있다고 상상하면 정말 끔찍하다.', '', '당신의 시선이 혐오스럽다.......', '', '일기장에다 쓰시는게 사회에 여러모로 도움이 될듯합니다. 제발 아이들을 위해 다른 직업을 고려해 보세요..', '이 세상의 모든 창작물이 현실을 무시하고 이성적이고 아름답고 정의로운 이야기만 해야 된다는 말씀인가요? 성별 인종에 국한하지 않더라도 차별과 혐오는 우리생활에 만연하고 나역시 부지불식간에 누군가에겐 그러고 있는것이 현실입니다. 세상의 창작물들이 이런 현실을 무시하고 아름다운 이야기만 그려내면 세상이 좋아질까요? 제 짧은 생각엔 그것이야 말로 모래위에 쌓은 성처럼 부질없는 짓인데요..', '드라마나   영화는 그냥 픽션이야 스토리 하나하나 따짐  그게  영화고  드라마냐,', '으~ 프로불편러였구나 ㅋ', '', '', '', '지우학 1회만 보고 쓴 거예요? 뒤로 가면 여학생들도 좀비랑 적극적으로 싸워요 그리고 학폭은 실제로 그런 일들이 있으니 작가가 썼겠죠', '', '아니.... 혹시 일상생활 가능하세요 ?', '', 'ㅋㅋㅋ 참 나\n박초롱씨\n제발 댓글들 꼭 좀 읽어보세요\n그리고 다음건 이 댓글로 글 한번 써보세요\n나 진짜 뭐라 할지 님 뇌 속이 궁금해요', '리얼 아무도 공감안할 기사네 가족이랑 본인이 골라사귄 본인 성향에 맞는 친구들이나 맞다고 우기겠지', '무슨말인지 이해가안가네요 뭐가그리 불편한건지 모르것슴다;;;\n하나하나 의미 다 붙이면 인생피곤허지요 ㅠ', '피씨 범벅 되서 썩어 버린 외국 드라마 따라가자는 더러운 글이다', '', '문화적 소양이 부족한 사람들은 필연적으로 창작물의 개연성 또한 제대로 이해하지 못하는데 주말 드라마에 등장한 악역을 실제로 만나면 욕을 하는 경우가 대표적이 예이다. 안타까운 것은 이런 사람들 들이 오히려 지적인 우월감을 갖는 케이스가 요즘 들어 급격하게 늘어난다. 아시아인을 혐오하는 대사를 통해 캐릭터의 결여된 의식세계를 표현하거나 성으로 남자의 호의를 사려고 하는 행동을 통해 가진 것없는 여성의 절박함을 표현다는 개념을 이해하지 못한다. 모든 작품에 사상검증을 하고 SNS 유튜브를 금지하는 중국 북한의 접근과 같은 방식.', '', '또 공중파 드라마처럼 망치려고 나대는 인간들 있네. 니들은 그냥 공중파 드라마나 봐라.', '혐오 프레임을 씌우네 또 이것들이 한국일보 페미니스트화 되어가고 있구나', '넘쳐???축소한것같은데~~ㅋㅋㅋ', '좀비영화는 그럼 좀비혐오냐?', '뭐가 또 불편하신가 불편충 기자양반', '여기자의 한계', '이제 고만좀 설치자 솔직히 안챙피하나? 한국방송국이나 그렇게 통제하고 억악해라 다른나라 방송까지 이제는 참견하고 간섭하냐? 참 좀스럽고 우울하다 \n다른나라 드라마는 그렇게 간섭할수있는 배짱은 없지? 진짜 쨘하고 안스럽다 ㅋㅋㅋㅋ드라마 영화는 영화일뿐이다 한국에서 작품활동을 못하니깐 다른 국가꺼 작품활동하는것 까지 규제하고  통제하고싶냐?', '멍게소리야', '현실을 직시하시길..', '시진핑이 만든애국 영화나 보셈 수준이 딱그정도네', '하도 어이가 없어서 어떤 출판사인지 보니까 딴짓 출판사 ㅋㅋㅋㅋㅋㅋㅋㅋ\n닉값 진짜 적절하다; 드라마를 예고편만 보던가 아니면 스킵하면서 봤나보네.\n어떻게 보고 싶은 장면만 보고 나머지는 반대 장면은 쏙 빼버리고 자신 멋대로 소설을 하나 써재꼈네.\n혐오가 싫으면 제대로 똑바로 모든 요소를 고려해서 평등하게 적을 생각을 해야지 자신부터 불평등하게 기사를 적고 평등을 운운하는게 말이 된다고 생각함?', '세상을 노잼으로 만든 장본인들', '페미 탈출은 지능순~']",https://www.nocutnews.co.kr/news/5712132,https://n.news.naver.com/mnews/article/469/0000657755?sid=110
2022.02.16.,민중의소리,,"[사설] 올림픽은 올림픽일 뿐, 국가 간 혐오경쟁 경계해야",,,https://vop.co.kr/A00001608921.html,http://www.nocutnews.co.kr
2022-02-22 19:41:01,SBS언론사 선정,사회,뉴욕서 한국계 여성 '묻지마 피살'…혐오범죄 적용 안해,"[ 이달부터 오는 12월까지 아카데미 운영    김해복지재단 제공노인을 혐오하는 사회를 극복하기 위해 경남 김해시복지재단 서부노인종합복지관은 '선배시민아카데미'를 운영한다고 22일 밝혔다.'선배시민아카데미'는 어르신 대신 '선배'라 불리면서 긍정적 이미지를 형성하고 이들에 대한 소속감 고취와 노년기 삶의 질 향상을 위해 만들어졌다.이 아카데미는 1년 2학기제로 운영되며 이달부터 오는 12월까지 매주 목요일 오후 1시 30분부터 2시간씩 진행된다.교양강좌와 여가강좌, 테마강좌 등이 준비돼있다.임주택 대표이사 직무대리는 ""재단은 어르신들의 복지욕구를 충족시킬 수 있는 다양한 프로그램 개발과 도입을 추진하고 있다""고 말했다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : nocutnews@cbs.co.kr카카오톡 : @노컷뉴스 ]",[],https://news.sbs.co.kr/news/endPage.do?news_id=N1006640799&plink=ORI&cooper=NAVER,https://n.news.naver.com/mnews/article/079/0003612701?sid=102
2022.02.24.,새전북신문,,[삶의 향기]마음속에 나만의 네버랜드를 갖고 산다면...,,,http://sjbnews.com/news/news.php?number=737581,http://www.vop.co.kr
2022.02.09.,뉴스저널리즘,,"[인터뷰] 신기철 (주)천일솔루션 대표 ""음지에 있던 철거업, 양지로 끌어올리...",,,https://www.ngetnews.com/news/articleView.html?idxno=406085,http://news.sbs.co.kr/
2022-02-15 07:49:44,디지털타임스언론사 선정,세계,"김소연 변호사, ‘선택적 반페미’ 거론하며 이준석·이대남 맹폭…“무지성 ...","[    &lt;앵커&gt;미국 뉴욕 차이나타운에서 30대 한국계 여성이 묻지마 범행을 당해 숨졌습니다. 경찰은 현장에서 체포된 노숙자를 살인 혐의로 기소했는데 증오 범죄는 적용하지 않았습니다.뉴욕에서 김종원 특파원입니다.&lt;기자&gt;30대 한국계 여성 크리스티나 유나 리를 살해한 혐의로 체포된 노숙자 아사마드 내시가 경찰에 체포돼 이송됩니다.[아사마드 내시/피의자 : (왜 죽였습니까?) 아무도 안 죽였어요. (피해자가 아시안이라서 죽인 겁니까?) 난 아무도 안 죽였어요.]내시는 현지시간으로 오늘(15일) 새벽 4시 반쯤, 뉴욕 맨해튼 차이나타운 거리에서 귀가하는 피해자를 발견하고는 아파트까지 뒤쫓아갔습니다.피해자의 집 안까지 따라 들어가서는 흉기를 휘둘러 범행한 것으로 조사됐습니다.비명 소리를 들은 이웃이 경찰에 신고를 했고, 내시는 피해자 집에 숨어 있다가 경찰에 체포됐습니다.경찰은 내시를 살인 혐의로 기소했는데 혐오 범죄를 적용하진 않았습니다.내시는 지난해 9월에도 차이나타운 지하철역 근처에서 60대 노인을 폭행하는 등 지난해에만 4번이나 경찰에 체포된 것으로 알려졌습니다.차이나타운에서는 아시아인의 안전을 보장하라며 시위가 열렸습니다.[수잔 리/뉴욕 지하철역 '묻지마 폭행' 피해자 : 더 이상 참을 수 없는 수준이에요. 지자체장들이 행동에 나서야 해요. 또 다른 목숨을 잃기 전에 행동에 나서길 이렇게 빕니다. 너무 많은 사람이 희생됐어요.]뉴욕 맨해튼에서는 지난주 한국 유엔대표부에 근무하는 외교관이 귀갓길에 묻지마 폭행을 당하는 등 아시아계를 향한 범죄가 반복되고 있습니다.   ]","['', '', '블랙 사이언스.. 비추 특) 인권충, 선비질, 깨시민 코스프레,', '재수없어서 죽었군', '벌레', '한국인이 인종차별 주둥이 털었네 죽은 사람은 말이 없지 !! 한국인 이면 100%인종차별 말 뱉지!!! 그게 한국인 인성임 !', '와 사형시켜라', '저런 증거에도 안죽였다네?  깜둥이 지능 수준이  몇이냐?', '미쿡아 괜한사람 중공 오랑케 짱깨로 오인해 피해주지 말고 중공 오랑케 짱깨 차이나타운 불질러 없에고 짱깨들은 죄다 끌어다 태평양 한가운데에 수장시켜라. 중공 오랑케 짱깨 그냥 내비뒀다간 인간 생산공장 만들어 나중에 인해전술로 미쿡 작살낸다. 미쿡은 정신 바짝 차리거라.', '']",http://www.dt.co.kr/contents.html?article_no=2022020702109958079006&ref=naver,https://n.news.naver.com/mnews/article/055/0000953750?sid=104
A15면 1단,경향신문,,어느날 그들의 노동이 사라진다면[플랫],,,https://www.khan.co.kr/national/health-welfare/article/202202041424001,http://www.sjbnews.com/
2022.02.05.,한겨레언론사 선정,,"누구나 한때 어린이였고, 언젠가 노인이 된다",,,https://www.hani.co.kr/arti/society/society_general/1029835.html,http://www.ngetnews.com
2022.02.28.,경향신문,,"사전투표 앞둔 이재명, 서울·여성·노인 집중 공략···부동층 많고 열세인...",,,https://www.khan.co.kr/politics/election/article/202202281709011,http://www.dt.co.kr/
