Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.12.29.,뉴시스언론사 선정,,미국서 코로나19 펜데믹으로 노인 학대 사례 급증,,,http://www.newsis.com/view/?id=NISX20211229_0001705786&cID=10101&pID=10100,http://www.newsis.com
2021-12-29 12:26:22,쿠키뉴스,세계,“나이 많아 기분 안 나쁠 줄”...노인 두 번 울리는 성범죄,"[ 기사내용 요약무자격 요양보호사의 도난과 구타 늘고스트레스 쌓인 자식에 의한 학대도 빈발2배 늘어난 사례 만큼 학대 정도 심해져    [리버사이드=AP/뉴시스] 미국 정부는 신종 코로나바이러스 감염증(코로나19) 확산을 막기 위해 실시한 요양원 내 방문객 전면금지, 공동 배식 금지 조치 등을 단계적으로 완화할 계획이다. 관계자들은 성급한 개방으로 노약자의 희생이 이어질 수 있다며 우려를 표했다. 사진은 지난달 8일 미 캘리포니아 주 리버사이드의 한 요양원에서 코로나19 확진 판정을 받은 환자가 들것에 실려 나가는 모습. 2020.5.11.[서울=뉴시스] 강영진 기자 = 코로나19 팬데믹(전세계 대유행)이 전세계 모든 나라, 모든 계층의 사람들에게 큰 충격을 가하고 고통에 빠트린 것은 굳이 말로 하지 않아도 충분한 일이다. 그러나 팬데믹으로 어떤 계층의 사람은 덜 피해를 보거나 심지어 이득을 보는 경우도 있는 반면 고령자 등 취약계층이 받는 타격은 훨씬 크다. 미국 월스트리트저널(WSJ)은 28일(현지시간) 팬데믹으로 미국 노인층에 대한 학대가 증가했다는 기사를 실었다. 다음은 기사요약이다. 덴버시에서 강도혐의로 보호관찰을 받던 한 요양보호사가 코로나19 때문에 일손이 부족해진 장기요약원에 임시직으로 취직했다. 그는 코로나로 숨진 86세 바바라 거스트의 약혼반지와 신용카드를 훔쳤다.  마이애미에서는 80대의 셜리 깁슨이 수백년 동안 가문의 재산으로 보유한 토지를 세 사람이 훔쳤다. 토지문서의 서명을 위조해 화상거래를 통해 처분했다. 팬데믹으로 화상거래가 널리 이용되는 것을 노린 범죄다.  테네시 주도 멤피스에서는 알프레드 메이어스는 함께 사는 아들이 쇠막대기로 자신을 때리는 등 학대를 하자 자신의 방문에 자물쇠를 달았다. 떨어져 사는 가족은 팬데믹 때문에 다른 자녀들과 손자들이 자주 보러오지 못해 두 사람이 어떻게 지내는 지를 몰랐다고 했다. 이와 유사한 일들이 팬데믹 기간 동안 미 전역에서 벌어지고 있다. 노인층에 대한 학대가 급증하고 있다. 노인 학대는 60 이상인 사람들을 대상으로 신체적 정서적, 재정적으로 해를 가하는 고의 또는 무작위에 의한 행위로 규정된다. 미 연방수사국(FBI)의 인터넷 범죄 자료에 따르면 2019년~2020년 노인을 상대로 한 사기 행위가 55% 증가했다.지난 1월 발표된 예일 대학교 연구팀 자료에 따르면 주택 또는 아파트에 거주하는 노인 5명중 1명 이상이 지난해 4~5월 미국 전역에 자택 체류 명령이 내려진 동안 학대를 당한 것으로 밝혔다. 이는 팬데믹 이전보다 83.6%가 증가한 것이다. 멤피스 외곽 카운티의 지역검찰총장인 에이미 웨이리치는 자신이 운영하는 취약성인사건수사팀이 지난해 1월~9월 사이에 51건을 다뤘으며 그중에는 64세의 요양보호사가 자신이 보호하는 83세 여성 노인을 반복적으로 구타해 이가 부러지는 등으로 기소된 사건도 있다고 밝혔다. 2019년에 발생한 사건은 연간 전체로 12건도 안됐었다고 했다. 노인학대 사건은 최근 몇 년새 꾸준히 증가해왔으며 팬데믹이 끝난 뒤에도 증가할 것으로 예상된다. 노령화로 인해 요양보호사가 부족해지는 때문이다. 저임과 과로로 인해 자택 파견 요양보호사는 물론 요양시설의 요양보호사들이 대거 그만두고 있다. 팬데믹 아래 사회적 관계가 차단된 노인들은 관계를 복원하기가 힘들어져 고립이 더욱 심해진다. 고립이 바로 학대의 핵심이다. 노인학대 증가는 큰 비용을 초래한다. 우선 조기 사망을 증가시킨다. 가족을 파괴하고 재산상 복지를 파괴한다. 외출금지와 사회적 거리두기로 노인들은 고립되고 가족이든 요양보호사든 학대를 가하는 사람과 함께 있어야만 하는 경우가 늘었다. 가족은 돈을 주지 않으면 요양원으로 보내버리겠다고 협박하고 요양보호사는 얼굴을 향해 기침을 해댄다. 뉴욕 노인 정의 웨인버그센터 책임자 조이 솔로몬은 ""가해자들이 코로나를 무기로 삼고 있다""고 말했다. 학대 사례를 조사하는 자원봉사자들이 피해 노인들을 만나지도 못하고 있다. 일손이 부족한 장기요양원은 자격이 의심스러운 임시 요양보호사를 채용하고 있다. 범죄수사기관의 예산도 줄었다. 전국노인학대센터 책임자 겸 내과의사인 로라 모스케다는 학대 사례가 늘어난 것만이 아니라 학대의 정도가 심해진 것을 우려한다. 팬데믹으로 쌓인 스트레스를 노인들에게 풀기 때문이다. 모스케다는 ""욕설이 신체적 학대로 이어지는 건 한 순간""이라고 했다. 요양원에 있는 부모를 집으로 데려와 학대를 일삼는 자택 거주 요양보호사에게 맡겨두는 자식들도 있다. 반면 요양원에서 부모를 모셔올 형편이 못되는 사람들은 요양원을 자주 방문하지 못해 무슨 일이 벌어지는 지를 알 수 없게 됐다고 요양원에서 발생한 약혼반지 도난 사건을 담당했던 덴버시 검사보 제인 월시가 말했다. 또 학대 사례의 대부분이 가족 구성원이 가해자여서 추적하고 차단하기가 어렵다고 멤피스 노인학대공동대응연대 회원인 멜라니 켈러가 말했다. 멤피스연대가 취급한 신체적 학대 사례는 올해 1월~9월에 2019년 1월~9월 보다 두배로 늘었다고 켈러는 밝혔다. 켈러는 가족들이 학대 징후를 인식조차 못하거나 다른 가족 구성원이 학대할 것이라고 생각조차 못하는 경우가 많다고 했다. 팬데믹으로 사람들이 연로한 부모를 보러가지 못해 집안에서 무슨 일이 벌어지는지 알 지 못하는 것이다． ]",[],http://www.kukinews.com/newsView/kuk202112300027,https://n.news.naver.com/mnews/article/003/0010915441?sid=104
2021.12.30.,뉴스핌,,범죄-노후주택 해결...관악구 'EVERY 스마트도시 관악' 추진,,,http://www.newspim.com/news/view/20211230001107,http://www.kukinews.com
2021.12.26.,뉴스1,,올해도 '사회적 약자' 대상 범죄 기승…스토킹처벌법·정인이법 도입,,,https://www.news1.kr/articles/?4534462,http://www.newspim.com
2021.12.26.,전남일보,,"일주이슈 51-3> '노인범죄 예방' 주목한 전남경찰…현장 반응은 ""글쎄""",,,https://www.jnilbo.com/view/media/view?code=2021122615201105554,http://news1.kr/
2021-12-26 06:30:00,라디오코리아,사회,"조지 개스콘 LA 검사장, 청소년 범죄자 미처벌 논란","[ 신변보호 대상자·가족 살해에 시민 불안…제도 손보기도    13일 오전 정인이 사건' 공판 준비기일이 열리는 서울 서초구 서울고등법원 앞에서 대한아동학대방지협회 회원들이 진정서 접수 기자회견을 열고 정인이 양부모의 엄벌을 촉구하고 있다.  2021.8.13/뉴스1 © News1 이정후 기자(서울=뉴스1) 정혜민 기자 = 올해도 여성·아동 등 사회적 약자를 대상으로 한 범죄가 계속 발생하면서 많은 사람들을 경악하게 했다. 지능 범죄를 제외한 대부분의 범죄 발생이 줄어드는 추세지만 유독 사회적 약자 대상 범죄는 근절되지 않는 모습이다.하지만 사회적 약자 대상 범죄에 국민적 공분이 일면서 그때마다 새로운 제도가 도입됐고, '땜질식, 늦장 대응'이라는 비난을 피하지 못했다. 올해에는 아동학대 범죄에 대한 형량이 강화되고 스토킹처벌법 등이 도입됐다.◇반복되는 아동학대·데이트폭력…신변보호 대상자 가족도 살해26일 경찰청에 따르면 올해 1~11월 아동학대 검거건수는 1만588건으로 전년 전체(5551건)과 비교해 90.7% 늘었다. 신고인원도 올해 1~11월 2만3897건으로 전년 전체 대비 48% 증가했다.경찰 관계자는 ""과거에 비해 아동학대 범죄가 늘었다기보다는 정인이 사건 등으로 시민들의 아동학대에 대한 민감도가 높아지면서 기존에 대수롭지 않게 넘겼던 사건들도 많이 신고해주시고 있다""고 말했다.지난해 국민적 공분을 일으켰던 양천 16개월 입양아 학대 사망사건(일명 '정인이 사건') 이후 시민들은 아동학대 문제를 과거보다 더 심각하게 바라보고 있지만 여전히 잔혹한 아동학대 사건이 계속되고 있다.지난 6월 대전 대덕에서 양모씨(29)는 생후 20개월 된 의붓딸을 마구 때려 숨지게 했는데, 양씨가 이 아이를 성폭행하기도 한 사실이 알려졌다. 2월에는 경기 용인에서 이모 부부가 10살 조카에게 개똥을 먹이고 폭행과 욕설을 하며 장기간 학대하다가 손발을 묶은 뒤 물고문을 해 숨지게했다.연인 혹은 헤어진 연인 사이의 범죄(일명 데이트 폭력)는 올해 1~10월 8493건으로 집계됐다. 이 중 피해자가 여성인 경우가 65.3%, 남성인 경우는 13.4%, 쌍방인 경우는 21.1%로 집계됐다.특히 올해는 경찰의 신변보호 대상자들이 잇따라 범행의 대상이 되면서 시민들의 불안감이 높아졌다.지난달 김병찬(35)은 서울 중구에서 전 여자친구를 스토킹하다가 결국 살해했는데, 신변보호 대상자였던 피해자가 스마트워치의 긴급신고 버튼을 눌렀지만 위치값 오류로 경찰은 12분이 지나서야 도착했다. 그 사이 피해자는 사망했다.이달에는 이석준(25)이 서울 송파에서 전 여자친구의 어머니를 살해하고 남동생에게 중상을 입혔다. 전 여자친구 역시 신변보호 대상자로, 이씨로부터 감금과 성폭행을 당했다며 신고한 바 있었다.지난 7월에도 제주에서 백광석(48)이 옛 연인의 15살 아들을 살해했다. 당시 피해 여성은 가해자로부터 지속적인 폭행을 당해 경찰의 신변보호를 받고 있었으나 스마트워치를 지급받지는 못했다.    스토킹으로 신변보호를 받던 전 여자친구를 살해한 피의자 김병찬이 29일 오전 검찰 송치를 위해 서울 중구 남대문경찰서를 나서고 있다. 2021.11.29/뉴스1 © News1 이재명 기자◇올해 스토킹처벌법·정인이법 도입…아동학대 양형 강화사회적 약자 대상 범죄에 국민들이 민감하게 반응하면서 관련 보완 제도가 계속 생겼났다. 정인이 사건 이후 일명 '정인이법'(아동학대처벌법과 아동복지법 개정안)이 올해부터 시행됐다.이에 따라 1년에 2회 이상 아동학대 신고가 접수된 아동에 대해 재학대 발생 우려가 있는 경우 지방자치단체 장이 해당 아동을 가정에서 즉시 분리할 수 있게 됐다.올해 10월부터는 '스토킹처벌법'이 시행되면서 ""스토킹도 범죄""라는 인식이 사회에 자리 잡았다. 논란이 있긴 하지만 일명 'N번방 방지법'(전기통신사업법 및 정보통신망법 개정안)도 제정됐다.경찰청은 통계도 새로 손봤다. 연도별로만 공개하던 범죄 발생·검거 현황을 앞으로는 분기별로 즉각 공개할 방침이다. 데이트폭력 신고도 올해부터 112시스템 신고건수를 기준으로 일관적인 통계를 작성하고 있다.하지만 이 같은 노력에도 불구하고 사회적 약자를 대상으로 한 범죄가 반복되자 올해도 수사당국과 법원은 계속해서 개선책을 내놨다. 하지만 일각에서는 예방시스템은 여전히 부족하다고 지적한다.제주 중학교 피살 사건 이후 경찰은 스마트워치를 추가 확보해 보급하기로 했다. 경찰청은 사건 당시 2300대 수준이었던 스마트워치를 내년 1월에는 3700대로 확대하겠다고 밝혔다.서울경찰청은 지난 6일 여성과 아동, 노인 등 사회적 약자 대상 범죄를 맡는 '민감사건 전담대응반'을 신설해 민감한 내용이라고 판단되면 과장, 서장도 직접 현장에 대응하겠다고 발표했다.대법원 양형위원회는 아동학대 사망사건의 형량을 대폭 높이는 양형 기준을 마련했다. 고의로 아동을 학대해 숨지게 한 경우 무기징역 이상을, 살인의 고의를 입증하지 못하더라도 최대 징역 22년 6개월을 선고할 수 있도록 한 것이다.공혜정 대한아동학대방지협회 대표는 ""사후대책은 많지만 예방시스템은 아직 많이 부족하다""면서 ""아동학대 위험 가정을 미리 찾아서 지켜주는 지방자치단체의 '찾아가는 서비스'가 필요하다""고 강조했다.공 대표는 ""아직도 일상 속 아동학대에 대해서는 잘 모르는 사람들이 많다""며 ""아동학대를 근절하기 위해서는 법과 시스템, 인력과 예산, 담당 공무원의 사명감, 시민의 신고의식이 모두 뒷받침돼야 한다""고 강조했다.   ]","['제발 모두다 충분하다고 생각할만큼에 큰벌을 주세요ㅠㅜ 제 2의,제3의 사건을 만들지 않게 ㅠㅜ', 'ㄱㄱ 갑질인 집단괴롭힘 집단스토킹이 판을 치니까 그러지.', '이뻐서 살인 저질르사람 어딨냐? 정신이상자들 왕짜증나 와 살인이라 기가막혀 할말을 잃음', '노가다 남성이 여자검사를 스토킹하면.... 해당안되겠네????  설마 판검사 여성이 노가다 김씨보다 약자라는건 아니겠지?', '']",https://www.radiokorea.com/news/article.php?uid=378049,https://n.news.naver.com/mnews/article/421/0005805303?sid=102
2021.12.06.,더팩트,,"고위험 스토킹 범죄, 경찰서장이 직접 개입한다",,,http://news.tf.co.kr/read/life/1904016.htm,http://www.jnilbo.com
2021.12.02.,KBS,,"90대 노인 성폭력, 목격자·DNA 있는데 경찰은 사건 종결",,,https://news.kbs.co.kr/news/view.do?ncd=5338932&ref=A,http://www.radiokorea.com
2021.12.15.,연합뉴스,,[수원소식] 여성·노인 가구 등 3천가구에 안심벨 설치,,,http://yna.kr/AKR20211215139100061?did=1195m,http://www.tf.co.kr/
2021-12-06 13:54:02,시민일보,사회,"인천시 부평구, 부평1동 일대에 '범죄예방 안심디자인'","[     신변보호를 받던 여성을 살해한 '김병찬 사건'을 계기로 경찰이 위기감시체계를 도입해 중요한 사안에는 경찰서장이 신속히 개입해 대응하는 방안을 마련한다. /이새롬 기자경찰, 민감사건 전담대응반도 운영…종결된 사건도 다시 신변보호를 받던 여성을 살해한 '김병찬 사건'을 계기로 경찰이 위기감시체계를 도입해 중요한 사안에는 경찰서장이 신속히 개입해 대응하는 방안을 마련한다.최관호 서울경찰청장은 6일 서울 종로구 내자동 청사에서 열린 기자간담회에서 '스토킹범죄 대응개선 태스크포스(TF)'의 향후 방향에 대한 취재진 질문에 이같이 밝혔다.최 청장은 ""위기감시체계를 탑재해 사안의 경중과 위험의 정도에 따라 대응하고, 현장 출동 경찰 뿐만 아니라 사안이 중요하고 위험이 높은 사안은 서장과 과장이 현장에 신속히 대응하도록 하겠다""고 밝혔다.이어 ""신속하게 감지하는 '조기경보체제'를 가동해 스토킹범죄가 단계적으로 발생하는 '돌발형'에도 동시에 대응하도록 하겠다""며 ""방안은 마무리 정리 단계이며, 즉시 시행에 들어갈 수 있도록 할 예정""이라고 설명했다.경찰은 스토킹범죄 뿐만 아니라 사전에 위험 신호가 감지될 수 있는 '사회적 약자 대상 범죄' 전반에 걸쳐 조기경보체계를 도입할 방침이다. 사회적 약자 대상 범죄는 가정폭력, 아동학대, 노인과 여성 대상 범죄 등이다.경찰은 민감사건 전담대응반도 운영할 계획이다. 최 청장은 ""민감사건으로 들여다봐야 할 사건으로 판단되면 추가 대응 조치를 하는 형태로 조치가 이뤄지도록 하겠다""라고 밝혔다.민감사건에는 스토킹범죄 신변보호 대상자와 여성·아동 대상 범죄 등이 포함돼있다. 전담대응반은 반복 신고와 범죄 이력을 확인하고, 종결된 사건도 다시 모니터링할 예정이다.서울경찰청은 지난달 스토킹 피해로 신변보호를 받던 여성을 살해한 '김병찬 사건'에서 초동 조치가 미흡했다고 인정하고, 개선 TF를 꾸렸다. 개선 TF는 지난달 26일 스토킹 범죄 피해자·피의자 조사 전이라도 입건 처리를 하는 등 방안을 마련하겠다고 밝힌 바 있다.더팩트는 24시간 여러분의 제보를 기다립니다.▶카카오톡: '더팩트제보' 검색▶이메일: jebo@tf.co.kr▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write ]",[],https://www.siminilbo.co.kr/news/newsview.php?ncode=1160288500997168,https://n.news.naver.com/mnews/article/629/0000119977?sid=102
