Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.03.30.,뉴시스언론사 선정,,"울산시, 노후 산업단지 대개조 사업 속도 낸다",,,http://www.newsis.com/view/?id=NISX20220329_0001812604&cID=10814&pID=10800,http://www.newsis.com
2022-03-30 06:34:13,서울경제언론사 선정,사회,"[단독] “재건축 안전진단서 배관 노후도 평가 제외”…인수위, 검토 착수","[     [울산=뉴시스]유재형 기자 = 울산시는 미포국가산업단지와 매곡일반산업단지, 테크노일반산업단지 등 3개 산단이 정부의 ‘2022년 노후 거점 산업단지 경쟁력 강화사업지구’로 지정돼 산단 대개조 사업을 적극 추진한다고 30일 밝혔다.노후 거점 산업단지 경쟁력 강화사업은 착공 후 20년 이상 경과한 산업단지를 대상으로 산업공간의 효율적 개편, 연구개발 역량 강화 등을 통해 산단의 경쟁력을 강화하기 위한 사업이다.이 사업은 국토교통부와 산업통상자원부가 공동 개최한 '노후 거점 산업단지 경쟁력 강화추진위원회’ 심의를 거쳐 ‘경쟁력 강화사업지구’로 지정·의결됐다.그동안 시는 합동 공모사업에 예비 선정 후 2차례 걸친 중앙 컨설팅과 관계 기관 협의를 거쳐 사업 계획을 구체화하고, 수정·보완했다. 이어 주관 부처인 국토부와 지속적인 협의를 거쳤다.시는 향후 산업단지 관련 정부 합동 공모사업의 우선권과 추가 특전(인센티브) 제공 등으로 국비 지원이 용이해지고 각종 특례 또한 지원받게 된다.산단 대개조 사업(2022년~2024년)은 ‘탄소 중립 산단을 향한 에코모빌리티 혁신 스마트 클러스터 조성’을 비전으로 한다.일자리창출 1545명, 모빌리티 기업 72개 유치, 안전사고 제로화, 근로자 만족도 지수 80% 달성을 목표로 하고 있다.시는 주력 제조산업 모빌리티 산업 전환, 탄소중립 스마트산업단지 운영, QWL(Quality of Working Life) 향상 등 3대 중점과제와 27개 세부사업을 추진한다.세부사업은 미래자동차 전의장 및 전동부품 기술 전환 지원, 인공지능(AI)기반 모사형 자율용접 솔루션 구축 및 실증사업, 스마트에너지 플랫폼 구축, 작업장 안전 디자인 사업 등으로 구성됐다.사업비는 총 4900억원(국비 2400억원, 시비 800억원, 민자 등 700억원)이 투입된다.특히 산단 대개조 사업 원년인 올해 스마트그린산단 통합운영센터 구축 30억원, 스마트 편의시설 확충(물류플랫폼) 10억원, 스마트 제조 고급 인력 양성 60억원 등 1차연도 12개 사업에 국비 372억원을 확보해 적극 추진한다． ]",[],https://www.sedaily.com/NewsView/263MSAXR3T,https://n.news.naver.com/mnews/article/003/0011091424?sid=102
2022.03.31.,연합뉴스,,"국토안전관리원, 노후 기반시설 관리체계 구축한다",,,http://yna.kr/AKR20220331110100052?did=1195m,http://www.sedaily.com
2022-03-31 17:27:01,매일경제언론사 선정,경제,"배당 두둑, 주가 우상향…이 종목으로 노후대비하는 사람 많다는데","[ ""노후단지 교체 꺼려 주민불편 가중""인수위, 평가 항목서 제외방안 추진구조안전성 비중도 50%서 30%로↓문턱 낮춰 도심주택 공급 확대 의지    [서울경제] 대통령직인수위원회가 재건축 안전진단 평가 항목 중 ‘구조 안전성’ 비중 하향과 함께 평가 대상에서 ‘배관 노후도’ 항목을 제외하는 방안을 추진한다. 노후 단지들이 안전진단을 이유로 배관 교체를 꺼리면서 주민 불편이 가중되고 있다는 지적 때문이다.31일 인수위 등에 따르면 인수위 경제 2분과는 재건축 정밀안전진단 기준을 완화하는 방안을 검토 중이다. 이는 윤석열 대통령 당선인의 부동산 주요 공약 중 하나로 법 개정 없이 정부 의지만으로 가능하다는 점에서 윤석열 정부의 ‘부동산 규제 완화 1호’가 될 것으로 전망된다.인수위는 재건축 정밀안전진단 평가 항목의 가중치와 함께 항목별 세부 기준을 조정할 계획이다. 재건축 첫 관문인 안전진단 문턱을 낮춰 도심 주택 공급을 대폭 늘리겠다는 취지다. 구체적으로 구조 안전성 평가 항목의 가중치는 현행 50%에서 30%로 낮추는 대신 ‘주거 환경’ 항목의 가중치는 15%에서 30%로 개선하겠다는 것이다.‘건축 마감 및 설비 노후도’ 항목은 25%에서 30%로 조정한다. 해당 항목의 중점 평가 사항 중 하나인 배관 노후도 항목을 제외하는 방안도 검토한다. 배관 노후도 여부가 재건축 안전진단 판정에 영향을 미치면서 배관 교체를 꺼리는 노후 단지들이 늘고 있어서다.문제는 배관 노후화로 누수가 잦고 주민들이 녹물에 노출되는 등 각종 불편이 발생하는 점이다. 특히 배관 교체 여부를 두고 주민 간 찬반 의견이 갈리면서 갈등이 커진다는 지적도 있다.차기 정부와 정책 공조를 약속한 서울시도 제도 개선을 요구하고 있다. 서울시 상수도사업본부는 최근 정부에 ‘주택 내 노후 급수관 교체 관련 재건축 안전진단 기준 개정’을 건의했다. 지난해 4월 오세훈 서울시장이 취임 직후 정부에 재건축 안전진단 기준을 완화해달라고 요구한 데 이어 두 번째다.서울시 상수도사업본부 관계자는 “서울시에서는 2007년부터 시민들이 안심하고 마실 수 있는 환경 조성을 위해 주택 내 노후 급수관 교체 비용을 지원하고 있지만 재건축 안전진단을 이유로 거부하는 사례가 이어지고 있다”며 “재건축 추진 장기화로 공중위생이 저해되고 시민 생활의 불편함이 가중되고 있는 실정”이라고 말했다.이에 정부와 인수위는 재건축 안전진단 기준을 조정하기 위한 작업에 속도를 내고 있다. 25일 진행된 국토교통부의 인수위 업무 보고에서도 재건축 안전진단 기준을 완화하는 방안이 우선적으로 검토된 것으로 알려졌다. 국토부는 현재 안전진단 완화를 포함한 새 정부의 공약 이행 방안을 구체화하는 작업을 진행 중이다.전문가들도 배관 노후 여부를 안전진단 평가 항목에서 제외해야 한다고 지적한다. 고준석 제이에듀투자자문 대표는 “노원구 상계동의 주공아파트만 보더라도 재건축 추진을 이유로 노후 배관을 교체하지 않아 약 3만 가구 주민들이 불편을 겪고 있다”며 “새 정부가 규제 완화에 방점을 찍은 만큼 불합리한 부분에 대해서는 적극적으로 개선할 필요가 있다”고 말했다. ]","['', '재개발 잘되게 쓰잘데기 없는 규제 몽땅 풀어줘라 !!  정권이 바뀜을 실감 합니다 , 감사합니다 ~~~~', '', '정말 디테일하게 국민들의 삶을 관심갖고 살피며 정책을 수립하네요. 정말 진심으로 응원합니다', '엘리베이터도 제외해라', '섬세한 정책이네요  국민들 괴롭히기만 한 머저리 문정권과 참 비교되네요', '진짜  실생활에  필요한 정책.  서민 위한정책임 ..    전세가 싼  구축에 사는  서민들도  깨끗한 물 마셔야죠.', '정권바뀐거 진짜 실감. 좌빨규제, 국가 전체주의자들 치하 5년이 50년 같았다.', '인수위지만 정말 기대가되네요.', '녹물때문에 애들 아토피가 더 심해져요.국가가 선진국에 진입하면 뭐합니까? 국민들 사는 주거시설도 교체 못하게하면서!', '역쉬 석열이  형이 일을 시원하게 잘하네~~  죄명이 같았으면 주택가에 벽화타령이나 하고 있을껄~~', '수도권 최대 재건축  인천만수주공 재건축가즈아!!', '이번에 선거 잘하자 윤석렬 대통령  오세훈시장님 화이팅', '', '[단독] “재건축 안전진단서 배관 노후도 평가 제외”…인수위, 검토 착수ㅡ좋아요', '빨리해야 합니다.\n녹물 대단해요.필터도 당해내지 못하고 변기는 녹물이 들어서 닦아도 녹물색이에요.\n그물을 국민이 마시고 사니 건강에 치명적일 것입니다.', '재건축 규제완화하려거든… 토허제 5년, 조합원 지위양도 금지..이 두 개는 때려박고 시작하라. 특히 목동같은 곳은 전체 2만 세대중 80% 이상이 투기꾼이라 보면된다.', '', '지들이 살아봐야  알지  살아봐라 배관만 문제인지!', '욕먹지말고 해준다했음 과감하게 해줘라 \n말바꾸면 안된대이', '', '일 잘하네~', '콘크리트건물의 수명이 몇년이더라? 30년이구나, ㅎㅎㅎ', '조만간 집을 부수고 지을텐데 큰돈 들여서 수리하는게 맞나? 재건축 하지말란 말이가?', 'ㅎ 미쳐 돌아가는누나 ~\n얼마나 가나보자 ~퉤퉤퉤', '이것봐.. 교체를 해준다고 하도 재건축 기다리고 안한다는거자나.. 진짜 속이 너무보이지 않냐??  진짜  투기판이다', '녹물 나오는거 왜 검사 안해.\n맨날 씻고 쓰는 물인데 역행을 하네 아주. \n누가 재개발 하지말래? 기본 규제는 해야할거아냐.\n소방안전, 배수, 시공문제 등등.\n아파트는 배수공사 재개발할 때 제대로 관리 안하면 문제생길 때마다 보수 뗌방정도 밖에 못해서 노후 아파트는 녹물 근본적인 관리 안돼. 지자체에서 웬만큼 깨끗한 물 보내도 배관문제는 큰 공사할 때 같이 안하면 답이 없다.\n강남 노후아파트 먼저 할텐데 규제할 건 해라. 윤석이명박 정부들아', '윤재앙 감옥 잘가라', '기대감 전혀 없다.   태생과 가치관이 쉽게 바뀌냐?']",http://news.mk.co.kr/newsRead.php?no=290811&year=2022,https://n.news.naver.com/mnews/article/011/0004036737?sid=101
2022.03.31.,SBS Biz언론사 선정,,노후는 정권교체·신축은 원자재 급등…집값 다시 들썩,,,https://biz.sbs.co.kr/article_hub/20000056671?division=NAVER,https://www.yna.co.kr/
2022-03-31 14:10:16,더팩트,정치,"[전남 단신]담양군, 노후경유차 매연저감장치 부착 지원사업 추진 등","[ '기반시설 첨단관리 기술개발' 주관기관 선정, 5년간 291억 투입    교량 점검 이미지[국토안전관리원 제공. 재판매 및 DB 금지](진주=연합뉴스) 지성호 기자 = 국토안전관리원은 국비 291억이 투입되는 '기반시설 첨단관리 기술개발사업' 총괄 주관기관으로 선정됐다고 31일 밝혔다.    이번 사업은 급증하는 노후 기반시설의 안전 및 지속가능성을 극대화하기 위한 국가 연구개발 사업으로 올해 4월부터 5년간 추진한다.     자동·무인화 점검 및 진단, 신속·정밀 보수 및 보강, 성능 중심의 선제적 유지관리 기술 등을 개발하는 게 목표다.    관리원이 총괄 주관기관을 맡고 한국건설기술연구원, 한국도로공사, 서울시설공단 등 시설물 유지관리 분야의 대표 공공기관들이 참여한다.     관리원은 이 사업을 통해 기반시설의 성능평가와 미래성능 예측, 자산가치 평가 및 투자 우선순위 결정, 지자체가 활용할 첨단관리 시스템 등 기반시설의 선제적 유지관리 체계 도입 및 정착을 위한 기술 개발에 주력한다.     관리원은 '시설물의 안전 및 유지관리에 관한 특별법'(시설물안전법)에 근거해 운영 중인 시설물통합정보관리시스템(FMS)을 정부가 노후 기반시설 관리를 위해 구축 중인 '기반터'등과 연계하는 '유지관리 체계 일원화'도 구축한다.     사업 과정에 개발되는 기술은 종합 테스트베드를 통한 검증으로 실용성을 제고한다.    지자체용 첨단관리 시스템 검증을 위한 테스트베드 실증 지역은 올해 안에 전국 지자체를 대상으로 한 공모로 선정할 계획이다.    김일환 원장은 ""기반시설 유지관리 체계의 전환점을 마련할 수 있도록 사업 주관기관의 역할을 충실히 수행하겠다""고 말했다.     shchi@yna.co.kr ]",[],http://news.tf.co.kr/read/national/1928211.htm,https://n.news.naver.com/mnews/article/001/0013084847?sid=100
2022.03.31.,프레시안,,"속초시, 소상공인 노후 사업장 시설개선 지원",,,https://www.pressian.com/pages/articles/2022033117293597358?utm_source=naver&utm_medium=search,http://www.mk.co.kr/
2022-03-31 13:06:01,대전일보언론사 선정,경제,"노후 청사 외면한 곡교천·은행나무길 정비사업, 관광활성화 도움될까","[     [사진 출처 = 연합뉴스] 안정적인 주가 방어력과 고배당 매력을 동시에 지닌 맥쿼리인프라가 글로벌 증시 약세장에서도 강세를 띄고 있다. 국내 유일 사회간접자본(SOC) 인프라 펀드로 꾸준한 인컴(배당) 수익이 보장되고 차입금 비중도 낮아 금리 인상기 제격인 투자 종목으로 주목받고 있다.31일 한국거래소에 따르면 오전 12시 기준 맥쿼리인프라는 0.37% 상승한 1만3700원에 거래 중이다. 맥쿼리인프라의 주가 방어력은 국내 유가증권시장(코스피)에서 최고 수준으로 평가받는다. 지난해 11월 기록한 최고점 대비 4.5% 밖에 떨어지지 않았다. 국내 증시에선 흔치 않은 장기 우상향 종목으로도 손꼽힌다. 지난 2006년 상장 후 맥쿼리인프라 주가는 249% 상승했다. 맥쿼리인프라가 많은 투자자들의 사랑을 받는 이유로는 안정적인 고배당 매력이 거론된다. 맥쿼리인프라는 '사회기반시설에 대한 민간투자법'에 근거해 도로·항만·철도·가스 등 SOC에 투자하는 인프라 펀드로 안정적인 수익구조를 유지하고 있다. 최근 위드코로나(단계적 일상 회복) 기조에 따라 위축된 유료도로 통행량이 회복되면서 통행료 수입이 증가하는 모습도 보이고 있다.이경자 삼성증권 연구원은 ""지난해 하반기 인수한 2개 도시가스 자산은 도매단가 상승으로 3~10% 매출 증가율을 기록했다""며 ""올해부터 매출 증가와 이익 상승이 예상된다""고 밝혔다.맥쿼리인프라는 지난해 750원의 주당 배당금을 지급했는데 현 주가 기준 연 5.5%의 수익률로 높은 수준이다. 맥쿼리인프라의 연간 주당 배당금은 2017년(540원), 2018년(622원), 2019년(700원), 2020년(720원), 2021년(750원)으로 증가하고 있다. 꾸준한 배당 수익은 인플레이션 헷징(위험회피)을 위한 옵션으로 유익하다. 또 맥쿼리인프라는 금리 인상기에도 제격인 종목으로 거론된다. 이 연구원은 ""민간투자법상 차입금 한도는 자본금의 30%로 제한돼 낮은 차입비율을 유지할 수 있다""고 말했다. 금리 인상으로 인한 차입금 이자 부담이 크지 않은 셈이다. ]","['', '이거 주식보다는 펀드같은 종목. 우상향 한 건 맞으나 너무 장기간에 걸쳐 올랐다. 그만큼 이제 떨어질 리스크가 더 클 수 있다는 소리지. 이렇게 기사 뜨면 이미 늦었다는 소리니까 개미들 절대 조심하자', '맥쿼리 진짜 강추함 2주내내 외국인 기관이 팔아대는데도 100원정도 하락하고 다시 반등함 장점이자 단점이 변동성이 거의없고 고배당이라는것 적금 같은 주식을 원한다면 맥 쿼리 강추임', '맥쿼리 인프라  고배당최고 든든합니다']",http://www.daejonilbo.com/news/newsitem.asp?pk_no=1512555,https://n.news.naver.com/mnews/article/009/0004942883?sid=101
2022.03.31.,메디컬투데이,,'100세 시대' 건강한 노후 위한 폐경기 건강관리,,,https://mdtoday.co.kr/news/view/1065578966097796,https://biz.sbs.co.kr
2022-03-31 18:28:01,이투뉴스,경제,노후건물 100만호 저탄소건물로 리모델링,"[ 부동산 규제 완화 기대감에 전국 아파트 값이 6주 만에 하락세를 멈추고, 서울에서도 강남, 서초 노후 아파트 값이 크게 올랐습니다. 이런 가운데 원자재 값이 연일 급등하면서, 신규 아파트 분양가도 덩달아 뛸 것이란 전망이 나오고, 집값 불안 우려가 커지고 있습니다. 윤지혜 기자 나와 있습니다. 한국 부동산원 자료를 보니깐, 서울 집값은 지난주와 같은 마이너스 0.01%인데, 그럼에도 집값이 뛴 곳들이 있죠? 윤석열 당선인의 부동산 공약과 관련된 이슈나 지역, 아파트 값이 유독 오르고 있습니다.     재건축 완화 움직임에 서울 강남, 서초구가 노후 아파트를 중심으로 지난주와 이번 주 연속 0.01% 상승했습니다. 재건축 안전진단을 진행 중인 서초구 서초동 현대아파트 84㎡는 이달 중순 20억 5천만 원에 거래되면서 종전 신고가 20억 원을 갈아치웠습니다. 집무실 이전 이슈가 있는 용산도 집값이 심상치 않다고요? 지난주 0.01% 떨어졌던 용산구 아파트 값도 0.01% 상승, 7주 만에 올랐습니다. 대통령실 이전에, 국제업무지구 개발사업 등이 빨라질 것이란 기대감에 따른 것입니다. 동부이촌동, 한남동 일대 집주인들이 호가를 크게 높여 부른다는 게 현장 설명입니다. 반면 노도강으로 불리는 노원구, 도봉구, 강북구는 내림세가 계속돼, 대비를 이루고 있습니다. 이런 분위기 속에 전국 아파트 값은 6주 만에 하락세를 멈췄습니다. 이런 상황에서 새 아파트 분양가도 불안하다는 말이 있어요? 골재, 시멘트, 철근 등 아파트를 짓는데 필요한 원자재 값이 무섭게 치솟고 있기 때문입니다. 우선 모래와 자갈 등 골재가격, 최근 석 달에 10% 이상 오르면서, 1만 5천 원에 거래되고 있습니다. 시멘트는 작년 7월만 해도 7만 8천 원 선인데, 올 1월 9만 3천 원으로 뛰었고, 5월엔 11만 원에 육박할 것이란 전망이 나오고 있습니다. 철근 가격, 작년 3월에만 해도 톤당 72만 원 정도인데, 현재는 110만 원이 넘습니다. 시멘트, 골재 업체는 레미콘 업체에, 레미콘 업체는 건설사에, 자재값을 올려달라며 연일 압박을 가하고 있습니다. 이렇다 보니, 결국 전체 공사비를 올리는 방안, 민간 아파트는 분양가를 올려야 한다는 말이 나오고 있는 겁니다. 윤지혜 기자, 잘 들었습니다. ]","['', '건설사 대변인 같은 기사는 사절 ᆢ원자재하락할땐 분양가 내렸나 ? 대한민국에서 가장 냄새나는 썩인빠진 기업집단군은  건설사라고 단언한다ㆍ복마전같은 건설사들 청소하면 대한민국이 반절은 깨끗해질듯', '유능한이재명이당선되었어야\n\n나라가더선진국으로가는데 \n\n모든게아쉽다 \n우리국민은멍청한 바지대통령을뽑고', '', '', '버블의최정점의 거시경제 등 요인감안하면, 무리한영끌은 부동산 하락조정과 맞물려 조심할시기인듯', '', '', '예전부터 서울변두리 지역은 절라도 출신들이  많이 살아서 추미애같은 떨거지들이 국개 많이 진출했지', '', '', '원자재급등.웃기슨 기사쓰고 있네.\n토지값만 내려도 분양가 싸진다.\n광고그만해라', '인건비 자재비 폭등에 분양가 고공행진 불보듯하고 돈없으면  청약도 못하고 건설경기죽고 답나왔네', '', '', '', '윤석열이가되면 집값 잡을거같으냐? 웃기고있네! 대출조이고  금리오르면 잡는다 그러지않는이상 집값 잡기는힘들거다', '', '']",http://www.e2news.com/news/articleView.html?idxno=240828,https://n.news.naver.com/mnews/article/374/0000280728?sid=101
