Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
A18면 1단,경향신문,,"롯데건설, 독거노인·저소득층에 ‘사랑의 라면 나눔’",,,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202101312129015&code=920509,http://www.khan.co.kr/
2021-01-31 21:29:01,머니투데이,경제,"롯데건설, 독거노인·저소득 가정에 라면 2000박스 기증","[    [경향신문]     롯데건설은 서울과 부산 지역에서 지역사회 이웃을 돕기 위한 ‘사랑의 라면 나눔’ 사회공헌활동을 지난 28일 진행했다고 밝혔다. 롯데건설은 서울 중계동 104마을과 부산 동구 매축지마을의 독거노인 및 저소득 가정 등에 각각 라면 1000상자씩 총 2000상자를 전달했다.롯데건설은 사회공헌활동으로 저소득층의 노후된 주거시설을 보수하는 ‘사랑의 러브하우스’ 사업과 ‘사랑의 연탄 나눔’ 행사도 병행 중이다. 지난해 12월에는 서울연탄은행·부산연탄은행과 함께 서울·부산 지역에 연탄 6만장을 지원하는 연탄 나눔 행사를 진행한 바 있다.코로나19 확산 이후에는 저소득층 지원 목적의 비대면 기부활동을 벌이고 있다. 협력사 지원을 확대하기 위해 자금지원 프로그램인 ‘직접 대여금’과 동반성장펀드 금액을 최근 증액했다.▶ [인터랙티브] 그 법들은 어떻게 문턱을 넘지 못했나▶ 경향신문 바로가기▶ 경향신문 구독신청하기©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지 ]",[],http://news.mt.co.kr/mtview.php?no=2021012909082245371,https://n.news.naver.com/mnews/article/032/0003056960?sid=101
2021.01.29.,뉴시스,,[광주소식]서구 '노인 케어 안심 주택' 조성 등,,,http://www.newsis.com/view/?id=NISX20210129_0001323121&cID=10899&pID=10800,http://www.mt.co.kr/
2021-01-29 09:37:07,대구일보,경제,"대구동부소방서, 겨울철 노인가구 소방안전점검 시행","[    [머니투데이 방윤영 기자]      허기복 서울연탄은행 대표(왼쪽)와 롯데건설 관계자가 '사랑의 라면 나눔' 기념 촬영을 하고 있다. /사진=롯데건설롯데건설이 지난 28일 서울과 부산지역에서 '사랑의 라면 나눔' 사회공헌 활동을 펼쳤다고 밝혔다.롯데건설은 서울 중계동 104마을과 부산 동구 매축지마을에 각각 라면 1000박스씩 총 2000박스를 전달했다. 라면은 독거노인과 저소득 가정 등에 지원된다.롯데건설은 지역사회 발전과 저소득 가정 등에 도움을 주기 위해 사회공헌 활동을 이어오고 있다. 대표적으로 노후된 주거 시설을 보수하는 '사랑의 러브하우스', '사랑의 연탄 나눔' 등을 진행했다. 지난해부터는 코로나19(COVID-19)로 어려움을 겪는 이웃을 돕기 위해 걸음 기부 캠페인 등 비대면 활동도 늘려가고 있다.롯데건설 관계자는 ""앞으로도 기업의 사회적 책임을 다하기 위해 지속적으로 사회공헌 활동을 이어가겠다""고 말했다.방윤영 기자 byy@mt.co.kr▶부동산 투자는 [부릿지]▶조 변호사의 가정상담소▶줄리아 투자노트 &lt;저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지&gt;   ]",[],http://www.idaegu.com/newsView/idg202101300003,https://n.news.naver.com/mnews/article/008/0004536030?sid=101
2021.01.31.,충청일보,,노인들에게 힘을 불어 넣어 주자,,,http://www.ccdailynews.com/news/articleView.html?idxno=2032571,http://www.newsis.com
2021-01-29 15:15:05,프레시안,사회,"순천 박미경 작가, 소외계층 및 독거 어르신들 위해 따뜻한 마음 전해","[     [광주=뉴시스] 광주 서구청 전경. (사진=뉴시스DB) 2021.01.04.photo@newsis.com[광주=뉴시스] 변재훈 기자 = 광주 서구는 열악한 주거 환경 속에서 거주하고 있는 노인을 대상으로 '케어 안심 주택'을 조성하는 사업을 펼치고 있다고 29일 밝혔다.현재 서구는 LH(한국토지주택공사)·도시공사와 업무 협약을 맺고 쌍촌 주공아파트 104세대, 금호 시영아파트 10세대를 케어 안심 주택으로 지정, 운영하고 있다.지은 지 30년이 넘은 아파트여서 독거 노인들에게는 문턱이 높아 이동이 불편하고 화장실 낙상 위험이 있다.서구는 작업치료사를 세대에 파견, 건강 상태와 집안 장애물 등을 확인한다. 이어 거주 노인의 욕구를 반영해 집 수리를 추진한다.집 수리 지원 내역은 ▲문턱 제거 시공 ▲화장실 미끄럼 방지 타일 교체 ▲높낮이 조절 세면대 설치한다.한편 서구는 2020년 '케어 안심 주택' 조성·주거복지사업 활성화에 공헌한 점을 인정받아 지난해 잇단 대외 평가에서 우수한 평가를 받았다.◇서구 풍암동·한국야쿠르트, 독거 노인 문안 협약광주 서구 풍암동 행정복지센터는 29일 '한국야쿠르트' 금당점과 독거 노인 문안 사업 추진하고자 협약을 맺었다.이번 협약으로 한국야쿠르트는 올해 말까지 안부 확인이 필요한 관내 독거 노인 60세대에 건강 음료를 지원한다.건강 음료는 주 2회(매달 8회) 배달되며, 배달원들은 노인들의 안부를 확인하고 건강 상태 등을 복지 공무원과 공유한다.한편, 풍암동 행정복지센터는 '설 명절 사랑나누기', '긴급 복지 지원', '희망드림 반찬배달' 등 관내 어려운 이웃을 위한 사업을 추진한다.☞공감언론 뉴시스 wisdom21@newsis.com▶ 네이버에서 뉴시스 구독하기▶ K-Artprice, 유명 미술작품 가격 공개▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기&lt;ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지&gt;   ]",[],https://www.pressian.com/pages/articles/2021013016461052835?utm_source=naver&utm_medium=search,https://n.news.naver.com/mnews/article/003/0010320355?sid=102
2021.01.29.,한국정경신문,,"롯데건설, '사랑의 라면 나눔' 사회공헌..독거노인·저소득가정에 라면 2000박...",,,http://kpenews.com/View.aspx?No=1428653,http://www.idaegu.com
2021.01.30.,시민일보,,"시흥시 대야-신천행정복지센터, 독거노인 가정 방문해 밑반찬 전달",,,http://www.siminilbo.co.kr/news/newsview.php?ncode=1065568740587173,http://ccdailynews.com
2021.01.29.,한국농어촌방송,,"완주군치매안심센터 ""치매환자"" 40%이상 치매독거노인, 맞춤형 돌봄서비스 시...",,,http://www.newskr.kr/news/articleView.html?idxno=57853,http://www.pressian.com/
2021-01-30 16:50:40,경향신문,사회,인천 독거노인 고독사 예방 ‘돌봄플러그’ 설치,"[ 낙안면, 별량면, 외서면 등소외된 마을을 찾아 시 낭송과 함께하는 어르신들을 위한 문화콘서트를 진행해 오고 있다.[김동언 기자(kde3200@daum.net)]시인이며 화가인 박미경 작가는 코로나 19로 인해 생활고와 추위를 하루하루 견디고 있는 순천시 관내 사회적 약자에게 마음의 위로를 주기 위해 자신의 그림과 시를 넣어 만든 탁상달력을 자비로 제작해 전달했다. 박미경 작가는 “코로나 19로 인해 사회적 약자에 대한 관심이 줄어들었다”면서 “소소한 탁상달력이지만 달력 속 그림과 잠언을 통해 위로를 받고 희망의 꽃을 피웠으면 좋겠다”는 마음을 피력하며 “어떻게 보면 의미 없는 하찮은 선물인 것 같지만, 작은 마음들이 모여서 세상을 따스하게 변화시키는 나비효과가 나오길 기대한다”고 소감을 말했다.     ▲박미경 작가가 관내 독거노인들이 그림을 통해서 추운 겨울 가슴이 따뜻해지기를 바라는 마음으로 노인들에게 탁상달력을 전달하기 위해 송광면사무소를 찾아 윤영현 면장에게 전하고 있다 ⓒ박 미경작가 박 작가는 그동안 낙안면, 별량면, 외서면 등 문화예술이 소외된 마을에 ‘찾아가는 시 낭송과 함께하는 어르신들을 위한 문화콘서트’를 진행해 오고 있다. 또한 면사무소와 마을 앞마당에서 어르신들을 위한 잔치로 점심 식사를 위한 음식이 준비했으며, 시 낭송과 한국무용, 대금과 장구, 섹소폰, 오카리나 연주, 마술쇼 등을 연주해 어르신들과 함께 노래와 춤이 어우러진 흥겨운 축제 한마당을 펼쳐오고 있다.     ▲박미경 작가가 전남지적발달장애인복지협회를 방문해 탁상달력을 전달하고 있다 ⓒ박미경 작가  그동안 여러 가지 사정으과 코로나 19로 인해 계속해서어르신들을 위한 문화콘서트가 이어지지 못한 아쉬움을 따뜻한 온정으로 보답하고자 2021년 신축년 독거 노인들에게 탁상달력을 전달하면서 박 작가의 새해 작은 소망을 이뤄가고 있다. 박 작가는 지난 1월 22일(금) 순천시 소재 전남 지적발달장애인 복지협회에 탁상달력 전달을 시작으로 1월 25일(월)에는 승주읍과 송광면의 사회복지팀을 통해 독거 노인들에게 전달되었다. 박 작가는 이미 지난 2016년도에도 송광면 이읍 중학교 전교생에게 송광면 낙수리 수몰지구 관련 역사적 사료가 담긴 문예지를 전달하는 등 지역사회를 위해 공헌하고 있다. 한편 박 작가는 지난해 대한민국 미술대전(국전)에서 특선을 수상할 정도로 재기가 넘친 화가이면서도 시인으로 활동하고 있다. 올해 5월 전시회를 준비중인 것으로 알려지고 있으며 시사일보 문화면에 시를 연재 중이다.[김동언 기자(kde3200@daum.net)]▶프레시안 CMS 정기후원▶네이버 프레시안 채널 구독 ▶프레시안 기사제보Copyrightsⓒ PRESSian.com 무단전재 및 재배포금지 ]","['마음이 천사같은 분이네요 정말 코로나19로 추운겨울철 온정에 손길마저 끊긴 사각지대에 계신분들을 찿아서 도움 주시는 분들이 많은 세상이  왔으면 좋겠어요 정부나 사회단체 지자체등이 해야할 일들은 탁상행정 하지말고 발로 찿아가는 행정을 했으면 합니다 동사무소에 찿아갔는데 지금은 전산화 또 공익요원 있기때문에  바쁘지 않아요', '정말 마음이 따뜻하신분이네요 달력을 받우신분들이 달력을 받고 감동을 받으시고 고마워하실 것 같아요 이 따뜻한 마음 저도 본받고 싶네요']",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202101281429001&code=620104,https://n.news.naver.com/mnews/article/002/0002171057?sid=102
