Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.08.31.,연합뉴스,,"""아이돌봄서비스 향상 위해 본인분담금 지원 확대 필요""",,,https://www.yna.co.kr/view/AKR20220831105800052?input=1195m,https://www.yna.co.kr/
2022-08-31 14:07:19,KBS,사회,지역사회 치매돌봄 개선 위한 협의체 발족…치매안심병원 추가 지정,"[ 창원시정연구원 제안…""한부모 등 취약집단에는 별도 지원해야""    아이 (CG)[연합뉴스TV 제공](창원=연합뉴스) 김선경 기자 = 경남 창원시의 아이돌봄 수요를 충족하기 위해서는 분권형 서비스 체계를 구축해야 한다는 지적이 나왔다.    창원시정연구원은 '창원특례시 아이돌봄서비스 향상 방안'을 주제로 최근 발행한 '창원정책 브리프'에 이러한 내용을 담았다고 31일 밝혔다.    아이돌봄서비스는 부모가 신청하면 정부가 공적으로 관리되는 아이돌보미를 각 가정으로 파견해 아이돌봄을 수행하도록 하는 서비스다.    연구원은 ""현행 아이돌봄서비스는 중앙정부 제도규칙에 전적으로 의존하고 있지만, 아이돌봄서비스는 지역 공동체의 수요에 유연하게 대응해야 하는 대표적 사회서비스""라며 ""현실적 수요와 그 변화에 민감하게 대응할 수 있는 분권형 아이돌봄서비스 체계를 구축하는 것이 필요하다""고 밝혔다.    이를 위해서는 본인부담금에 대한 지원을 확대하는 것이 필요하다고 조언했다.    연구원은 ""밀양시는 2020년부터 시비를 투입해 본인부담금에 대한 지원을 확대했는데, 그 결과 타 도시에 비해 현저한 이용률 증가가 나타났다""며 ""창원시가 (본인부담금의) 10%를 추가 지원할 경우 가구당 주 3.1시간, 20% 추가 지원 시에는 가구당 주 6.4시간 서비스를 더 이용할 것""으로 예상했다.    연구원이 지난 3월 창원지역 부모 700명을 상대로 시행한 아이돌봄서비스 이용실태 조사 중 개선사항에 관한 질문에도 '정부지원금 증액'이 필요하다는 응답이 가장 많은 26.3%를 차지한 바 있다.     연구원은 ""본인부담금 지원에 더해 한부모·장애부모·청소년부모 등 아이돌봄 취약집단의 돌봄공백을 메우기 위한 별도의 지원도 필요하다""고 설명했다.    또 창원 아이돌보미 교육기관에서 인증된 영아돌봄 전문교육을 이수한 사람에 대해서는 3세 이하 영아를 대상으로 한 돌봄서비스 신청이 들어올 때 우선 연계하는 방안도 서비스 향상 방안으로 제시했다.    아울러 현행 광역지원기관의 기능 일부를 창원의 조건에 맞게 수행하면서 분권적 아이돌봄서비스 운영의 토대가 될 '창원시 아이돌봄 지원기구' 설립 필요성도 제안했다.    ksk@yna.co.kr ]",[],https://news.kbs.co.kr/news/view.do?ncd=5545692&ref=A,https://n.news.naver.com/mnews/article/001/0013409961?sid=102
2022.08.31.,뉴스1,,"세종시교육청, 순회 초등돌봄전담사제 시범 운영",,,https://www.news1.kr/articles/4788804,http://news.kbs.co.kr/
2022-08-31 10:24:55,머니투데이,사회,"돌봄로봇 어르신들께..로보케어·로봇산업진흥원 ""로봇복지 실증""","[     지역사회에서 치매 어르신을 돌볼 수 있는 시스템을 강화하기 위한 논의가 시작됐습니다. 보건복지부는 '치매돌봄서비스 개선 협의체'를 발족하고, 오늘(31일) 제1차 회의를 개최했다고 밝혔습니다. '치매돌봄서비스 개선 협의체'는 지역사회 기반 치매돌봄서비스를 고도화하기 위한 구체적인 방안을 마련하기 위하여 학계, 의료계, 수요자(치매환자 가족) 단체, 돌봄·복지 전문가 등으로 구성됐습니다. 이번 회의에서는 치매돌봄서비스 강화를 위해 그간 추진한 사항을 보고하고 발전협의체 운영방안과 논의 안건에 대한 의견을 수렴했습니다. 이후 협의체는 치매 돌봄과 치매 의료 분과로 나누어 세부적인 논의를 이어나갈 예정입니다. 치매 돌봄 분과에서는 치매안심센터의 사례관리 기능 강화, 치매 친화 환경조성에 대한 구체적 방안을 논의하며, 치매 의료 분과에서는 치매안심병원 시범사업 및 치매안심주치의 운영 모델 개발 등에 대한 방안을 논의합니다. 한편, 보건복지부는 인천 시립노인치매요양병원과 제2시립노인치매요양병원을 치매안심병원으로 추가 지정했습니다. 치매안심병원은 중증 치매 환자를 집중적으로 치료·관리할 수 있는 시설과 인력, 장비를 갖춘 병원으로, 보건복지부 장관이 지정합니다. 이로써 치매안심병원은 ▲인천광역시시립노인치매요양병원 ▲인천제2시립노인치매요양병원 ▲경상북도립안동노인전문요양병원 ▲경상북도립경산노인전문요양병원 ▲경상북도립김천노인전문요양병원 ▲대전광역시립제1노인전문요양병원 ▲광주시립제1요양병원 ▲청풍호노인사랑병원 ▲제주의료원부속요양병원 등 9곳으로 늘었습니다. 복지부는 ""협의체에서 돌봄서비스 강화를 위한 다양한 방안을 논의하는 동시에 치매 환자에게 양질의 의료서비스를 제공할 수 있는 치매안심병원을 지속적으로 확충해 나가겠다""고 강조했습니다.[사진 출처 : 게티이미지]■ 제보하기▷ 카카오톡 : 'KBS제보' 검색▷ 전화 : 02-781-1234▷ 이메일 : kbs1234@kbs.co.kr▷ 뉴스홈페이지 : https://goo.gl/4bWbkG ]",[],http://news.mt.co.kr/mtview.php?no=2022083009281884645,https://n.news.naver.com/mnews/article/056/0011330676?sid=102
2022.08.31.,충청일보,,예산군노인종합복지관 노인맞춤돌봄서비스,,,https://www.ccdailynews.com/news/articleView.html?idxno=2151450,http://news1.kr/
2022-08-31 10:47:06,연합뉴스,사회,"""미래형 교실이네""…경남 초교 거점통합 돌봄센터 '늘봄 2호'","[ 대체인력 지원해 내실 있는 돌봄교실 운영 지원    세종 초등돌봄교실 운영 모습./뉴스1(세종=뉴스1) 이성기 기자 = 세종특별자치시교육청은 2학기부터 '순회 초등돌봄전담사제'를 시범 운영한다고 31일 밝혔다.각급 학교 소속 초등 돌봄전담사의 병가, 연가, 공가, 특별휴가 등에 따른 인력 공백 때도 내실 있는 초등돌봄교실을 제공하기 위해서다.세종시교육청은 올해 세종시 초등학교 52개교 223실의 초등돌봄교실에서 맞벌이, 저소득층, 한부모 가정 등 돌봄을 희망하는 학생 전원(2022년 8월 기준 4591명)을 수용하고 있다.세종시교육청 교육협력과 소속 순회 초등돌봄전담사는 총 3명으로 최소 1일부터 최대 10일까지 학교 초등돌봄교실을 지원한다.순회 초등돌봄전담사가 필요한 학교는 세종방과후학교지원센터 누리집을 통해 3일 전까지 신청하면 된다.세종시교육청은 앞으로 순회 초등돌봄전담사를 이용하는 데 어려움은 없는지 현장의 의견을 모니터링해 지원이 필요한 부분은 내년도 사업에 반영할 예정이다.이재택 교육협력과장은 ""학교 현장 맞춤형 대체인력 지원으로 초등돌봄교실 운영을 내실화해 안전하고 행복한 돌봄서비스를 지원하겠다""라고 했다.세종시교육청은 △초등돌봄교실 실무 길라잡이 개발‧보급 △초등돌봄교실 과일 간식 지원 △초등돌봄교실 증실‧시설환경 개선 △방과후학교 연계 돌봄프로그램 운영 등 초등돌봄교실 운영 내실화에 힘쓰고 있다.   ]",[],https://www.yna.co.kr/view/AKR20220831122100052?input=1195m,https://n.news.naver.com/mnews/article/421/0006307737?sid=102
2022.08.30.,한겨레언론사 선정,,"여가부, 아이돌봄 지원가구·시간 늘린다…관련 예산 40% 늘려",,,https://www.hani.co.kr/arti/society/women/1056713.html,http://www.mt.co.kr/
2022-08-31 17:35:54,TBS,경제,"서울에 '공립 대안학교' 만든다…유·초 돌봄, 저녁 8시까지 확대","[     (사진 맨 왼쪽부터)△전동억 성남시 분당구청장 △판교노인종합복지관장 일운스님△김덕준 로보케어 대표 △김서중 성남시 분당(갑)구 안철수 국회의원 사무국장 △차광승 성남시 스마트도시과장이 보미2 전달식에서 기념사진을 찍고 있다 /사진제공=로보케어""약 드실 시간이에요"" -오전 8시""저와 함께 신나게 움직여봐요"" - 오후 3시""이제 잘 시간이에요. 내일 봐요""- 밤 9시 30분  노인들을 24시간 밀착 케어하는 AI(인공지능) 돌봄 로봇 '보미2'는 다양한 표정을 지으면서 손자 역할도 독톡히 해낸다. 특히 인지 재활 훈련 기능을 탑재해 치매 예방 활동을 돕는다. 고령자 모니터링 활동으로 응급상황 발생 시 각종 알림이 가능하다. 이 로봇 20여대가 실제 어른들의 품으로 향한다. 30일 오전 판교노인종합복지관에서 열린 '보미2' 전달식이 열렸다. 이는 한국로봇산업진흥원의 '2022년 수요기반 맞춤형 서비스 로봇 개발·보급 사업' 지원 과제 중 'AI 돌봄 로봇을 통한 복지서비스의 효과성·안전성 검증' 과제 공모에 로보케어가 주관기업으로 선정되면서 이뤄졌다. '보미2'는 이 과정에서 탄생했다. 로보케어가 수요기관인 성남시·판교노인종합복지관과 컨소시엄을 구성, 개발에 성공해서다. 이 로봇은 재가 어르신 스무 가정에 보급될 계획이다. 실증 운영을 통해 로봇 복지 서비스의 유효성과 안정성을 입증하겠다는 계획이다. 보급 사업을 성공적으로 수행하면 모션 인식 기반의 위급 상황 알림과 같을 기능을 고도화할 계획이라고 로보케어 측은 설명했다. 소리 인식 기반의 호출·마중 등의 사용자 밀착 케어 반려 서비스도 업그레이드할 예정이다.전달식에는 전동억 분당구청장을 비롯해 김덕준 로보케어 대표, 일운 판교노인복지관장 스님, 성남시청 스마트도시과 관계자 등이 참석했다. 이날 보미2 시연 등도 진행됐다.  김덕준 로보케어 대표는 ""이번 보급 사업으로 보미-2의 다양한 돌봄 서비스를 독거 어르신들께 제공하게 됐다""며 ""신체·일상·정서, 3가지 영역 통합 돌봄을 실현하겠다""고 말했다. 이어 ""고독감 해소, 치매 예방 등의 사회적 현안 문제를 해결하고 AI 기반 신 디지털 복지 서비스 도 함께 이룰 것""이라며 ""이를 통해 가정용 돌봄 로봇 시장을 본격 창출하고 타 시도 내 수요처 보급 확산도 기대한다""고 말했다.한국과학기술연구원(KIST) 1호 기술 출자회사인 로보케어는 휴머노이드 로봇에 주력하는 회사다. 고령화시대 노인 치매 예방로봇, 일상돌봄 로봇, 발달장애 아동 선별 교육 로봇 등 사회적 약자를 위한 로봇 등을 개발 중이다. 업체에 따르면 보미2는 인지 훈련이 가능한 국내 최초의 자율주행 기반 가정용 데일리 케어 로봇이다. ]",[],http://tbs.seoul.kr/news/newsView.do?typ_800=7&idx_800=3477116&seq_800=20469782,https://n.news.naver.com/mnews/article/008/0004789703?sid=101
2022.08.31.,뉴스핌,,대전 동구 '인공지능 마을돌봄서비스' 10월부터 개시,,,http://www.newspim.com/news/view/20220831000967,http://ccdailynews.com
2022.08.30.,지디넷코리아언론사 선정,,"한국시니어연구소-서남돌봄종사자센터, 돌봄 종사자 지원 맞손",,,https://zdnet.co.kr/view/?no=20220830110350,https://www.yna.co.kr/
