Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.10.31.,경남일보,,[경일춘추]진실의 반대는 망각이다,,,http://www.gnnews.co.kr/news/articleView.html?idxno=513437,http://gnnews.co.kr
2022.10.31.,더스쿠프,,[데스크와 현장의 관점] 2022년 자영업의 초상 … 망각과 오류,,,https://www.thescoop.co.kr/news/articleView.html?idxno=55733,https://www.thescoop.co.kr/
A19면 1단,세계일보,,[박일호의미술여행] 인간은 망각의 동물인가,,,http://www.segye.com/content/html/2022/10/28/20221028512104.html?OutUrl=naver,http://www.segye.com
2022-10-28 23:04:05,TBS,오피니언,"국민의힘 ""민주당이 공당 책무 망각한 채 이재명만 외쳐""","[    1937년 4월26일 스페인의 작은 도시 게르니카에 나치 콘도르 군단이 수만 발의 무차별 폭격을 퍼부었다. 도시는 쑥대밭이 됐고, 1654명의 사망자와 889명의 부상자가 발생했다. 나치가 스페인공화국에 대항하는 프란시스코 프랑코의 반란군을 지원한다는 명분을 내세웠지만, 실제 목적은 폭탄과 전투기의 성능을 시험하기 위한 것이었다.  이 충격적인 비극을 전해 듣고, 파블로 피카소가 ‘게르니카’에 분노의 감정을 담았다. 왼쪽 위 황소를 두 눈과 콧구멍이 기형적으로 삐뚤어진 괴물처럼 만들어 나치의 실체를 묘사했고, 귀를 날카로운 단검 형태로 그려 나치의 포악함을 상징했다. 그 아래로 죽은 아이를 안고 절규하는 여인이 있고, 반대편에는 몸이 잘린 채 이 비극에 대한 하늘의 답을 구하듯 절규하는 여인이 있다.         파블로 피카소, ‘게르니카’(1937)    창에 찔려 죽으며 괴성을 지르는 말은 몸통과 꼬리와 하반신이 산산이 부서져 형체를 알아볼 수 없을 정도다. 바닥에 쓰러져 고통스럽게 죽어가는 사람, 한이 맺힌 영혼처럼 떠도는 사람 얼굴이 도시 전체를 배회하듯 화면 여기저기에 있다. 피카소는 화면 중앙 위에 전구를 품은 태양을 그려 넣어 나치의 이 만행과 잔혹함을 지켜보는 신의 눈을 상징했다.  ‘게르니카’가 당시 참상을 우리에게 더욱 진실하게 전하는 것은 입체파 방식으로 그렸기 때문이다. 한 장면을 사실적으로 나타낸 그림보다 전후좌우 다양한 각도에서 본 참상의 부분들을 분석하고 해체한 후 재구성한 입체파 방식이 실감을 더한다. 피카소가 길을 연 입체파는 하나의 시점에서 바라본 모습으로는 물체나 사건의 실체적 모습을 완전하게 나타낼 수 없다고 생각했는데 설득력이 있다. 단색조로 구성된 색이 엄숙하고 장엄한 비극적 분위기를 만들어놓고 세로 3.5m, 가로 8m에 가까운 거대한 크기도 당시의 생생한 느낌을 울림 있게 전달한다.  나치의 이런 만행에 대한 반성의 시간은 아직도 계속되고 있다. 하지만 지금도 곳곳에서 전쟁과 폭력의 광기가 나타나는 걸 보면 인간은 정말 망각의 동물인 것 같다. ]",['피카소는 빨갱이인데?'],http://tbs.seoul.kr/news/newsView.do?typ_800=9&idx_800=3481468&seq_800=20474145,https://n.news.naver.com/mnews/article/022/0003748973?sid=110
2022.10.25.,마이데일리,,영웅들에겐 ‘망각의 힘’ 있었다…이정후·김혜성·불펜까지 ‘오늘의 히어로...,,,http://www.mydaily.co.kr/new_yk/html/read.php?newsid=202210252305277817&ext=na&utm_campaign=naver_news&utm_source=naver&utm_medium=related_news,http://tbs.seoul.kr/news/index.do
2022.10.24.,머니투데이,,"정무위 국감 파행 …與 ""'이재명 일병 구하기'로 국회 의무 망각""",,,http://news.mt.co.kr/mtview.php?no=2022102411481721968,http://www.mydaily.co.kr/
None,이데일리,,"과방위 국감 재개…與 ""정청래 소임 망각""vs野 ""억지 주장""[2022국감]",[],[],http://www.edaily.co.kr/news/newspath.asp?newsid=03093046632496200,https://sports.news.naver.com/news.nhn?oid=117&aid=0003661108
2022.10.20.,KBS,,홍준표 국민의힘 상임고문 위촉…“본분 망각 행위”,,,https://news.kbs.co.kr/news/view.do?ncd=5583346&ref=A,http://www.mt.co.kr/
2022-10-24 12:05:05,부산일보,정치,[사설] 국회 품격 망각한 야 대통령 시정연설 보이콧,"[    [[[the300][국정감사]]]    사진= 머니투데이 김하늬 기자 24일 국회 정무위원회 국정감사가 야당인 더불어민주당의 반발로 파행을 맞았다. 민주당은 이날 오전 검찰의 민주당사 압수수색과 관련해 용산 대통령실을 항의 방문키로 하면서 위원장을 비롯해 간사와 모든 위원이 정무위원회 전체회의장에 모습을 나타내지 않았다.국회 정무위는 이날 오전 11시20분에서야 오전 파행을 공식화했다. 윤한홍 국민의힘 간사는 ""오전 종합국감을 개의하지 못하게 됐다""며 ""야당인 민주당이 오후 2시를 통보했다. 그 때 개의토록 하겠다""고 밝혔다.당초 10시부터 금융위원회, 금융감독원에 대한 종합감사를 진행할 예정이었지만 민주당이 긴급의원총회를 이유로 한 시간 미뤘다. 국민의힘 의원들만 입장한 상황에서 개의되지 못한 채 시간이 지연되자 국민의힘 의원들 사이에서는 민주당의 태도에 대한 비판의 목소리가 이어졌다. 강민국 국민의힘 의원은 ""이렇게 국감을 파행 시킬 수 있는 것인가, 사전통보도 없이 너무 무책임 한 것 아니냐""며 ""우리는 앉아 있겠다""고 국감 진행 의지를 보였다. 이어 ""다른날짜를 잡든지, 시간을 정하든지(해야지) 정부부처, 금융위, 금감원을 비롯해서 금융기관이 나와있는데 증시, 금융 모든것이 위기인 상황에서 무기한 대기해라는 무책임한 태도""라며 ""도대체 야당에 민생과 국민이 있기는 한 것인가. 안타까운 내로남불""이라며 비판했다.     24일 정무위원회 오전 파행/사진=김하늬 기자최승재 국민의힘 의원은 ""(민주당이) 국회 본연의 의무는 망각하고 '라이언 일병 구하기'처럼 이재명만 구하기 나서며 국민들을 힘들게 하고 뭐 하자는 건지 모르겠다""며 민주당 의원들의 불참에 대해 ""이건 말도 안된다. 국민과의 약속이 중요하다""고 비판했다. 그러면서 ""국감 파행은 명백하게 민주당이 원인을 제공했다""며 ""당대표 구하기라는 본인들의 정치적 목적을 위한 행위에 국민들이 가만히 있지 않을 것""이라고 책임을 물었다. 같은 당 송석준 의원도 민주당 의원들의 보이콧에 대해 ""무슨 정확한 사유가 있나. 국감이 표류하고 있고 국민들에 대한 도리가 아니다""라고 강조했다. 이에 정무위 여당 간사인 윤한홍 국민의힘 의원이 ""민주당에서 11시에 (국감을)하자고 했다가 다시 또 일방파기했다""며 ""2시 (개의하기로) 예정하고 준비해 달라""고 공지했다. 한편 서울중앙지검 반부패수사3부(부장검사 강백신)는 이날 오전 서울 여의도 더불어민주당 중앙당사 8층에 있는 민주연구원에 검사와 수사관을 보내 자료 확보를 시도하고 있다. 검찰은 지난 19일 김 부원장의 근무지인 민주연구원을 압수수색하려고 했지만 민주당 당직자와 의원들이 막아서 무산됐다. 이날 압수수색 재시도에 나선 검찰은 당사 8층에 진입했고, 민주당 측에서 변호인의 압수수색 입회를 요구해 기다리는 상황이 이어졌다. 민주당은 이날 긴급 의원총회를 열고 국감 오전 일정을 잠정 연기하는 한편, 용산 대통령실 앞에서 항의 기자회견을 하기로 결정했다. 이에 주요 상임위 곳곳에서 민주당 의원들 없이 단독 개의되거나 파행을 맞았다.  ]","['ㅋㅋㅋ 기사제목이 개돼지들만 속을만한 제목이네 ㅋㅋㅋㅋ', '개돼지들은 신나겠노?ㅋㅋㅋㅋㅋㅋㅋㅋ 본인이 싫어하는 사람을 잡아간다니 ㅋㅋㅋㅋ 싫어하면 범죄자 되는 세상 아니노? 그게 독재지 ㅋㅋㅋㅋ 자유를 외치지만 독재를 수호한 정당. 아직도 그들의 피는 못 속인다... 나도 경북출신인데 대구경북사람들보면 참 부끄럽고 한심스럽다.', '부정부패 이재명 감옥, 무능무식퇴행 윤석열 퇴출~!!']",https://www.busan.com/view/busan/view.php?code=2022102518393431209,https://n.news.naver.com/mnews/article/008/0004809245?sid=100
2022.10.26.,통일뉴스,,"한민족 정체성의 목탁, 『한국혼』",,,http://www.tongilnews.com/news/articleView.html?idxno=206481,http://www.edaily.co.kr/
