Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.07.30.,뉴스1,,"이브자리 출연 '백합문화재단', 아동미술 공모전 개최",,,https://www.news1.kr/articles/?4388629,http://news1.kr/
2021-07-30 10:21:07,뉴시스,경제,"스마일게이트, 국제백신연구소와 백신 보급 지원 협약","[ '함께 이겨내요! 코로나19' 주제…시상식 8월 25일윤종웅 이사장 ""문화예술분야 본격 지원할 것""    (자료제공=백합문화재단, 이브자리)© 뉴스1(서울=뉴스1) 조현기 기자 = 이브자리는 아동 및 청소년의 문화·예술·체육활동을 지원하는 '백합문화재단' 발족 이후 첫 활동으로 아동미술 공모전을 개최한다고 30일 밝혔다. 접수는 오는 8월 18일까지 진행된다.이번 아동미술 공모전은 '함께 이겨내요! 코로나19'를 주제로 한다. 가족, 의료진, 이웃 등에 코로나19 극복을 위한 감사메시지를 전달하는 내용이다. 참가 대상은 Δ유치부(3~7세) Δ초등 저학년부(8~10세) Δ초등 고학년부(11~13세) 등 3개 부문이다.접수는 다음달 18일까지 이메일 혹은 인스타그램 해시태그를 통해 가능하다. 시상식은 오는 8월 25일이다. 각 부문별 최우수상(1명), 우수상(3명), 입선(20명)을 발표하고 상장과 포상을 수여한다.수상작은 다음달 31일부터 9월 8일까지 서울 강남구 삼성동 백합문화재단 이브갤러리(이브자리 코디센 5층)와 공식 인스타그램을 통해 전시된다. 각 부문 최우수상 중 선정한 최종 대상 작품은 마스크 키트로도 제작할 예정이다.윤종웅 백합문화재단 이사장은 ""백합문화재단은 이브자리의 문화예술분야 지원을 본격화한다는 의지가 담겨 있다""며 ""그 첫 단추로 어린이들의 잠재된 끼와 재능을 발견하고 꿈을 응원하는 활동을 펼칠 계획""이라고 말했다.한편 백합문화재단은 Δ아동 및 청소년 대상 문화·예술·체육활동 후원 Δ인재 발굴 및 양성 Δ문화예술단체 지원 Δ갤러리 대관 및 전시회 지원 등을 주요 사업 추진을 목표로 하고 있다. 이브자리는 백합문화재단 설립에 출연했다.   ]",[],http://www.newsis.com/view/?id=NISX20210730_0001532688&cID=13001&pID=13000,https://n.news.naver.com/mnews/article/421/0005511908?sid=101
2021.07.30.,아시아경제언론사 선정,,"여가부 ""셧다운제 국회 논의 지원…과몰입 보호방안 마련""",,,https://view.asiae.co.kr/article/2021073017135701882,http://www.newsis.com
2021-07-30 15:12:29,한국경제언론사 선정,경제,'유령 직원' 위조해 지원금 4억 부정수급…신고자 덕에 환수,"[     [서울=뉴시스] 오동현 기자 = 스마일게이트 희망스튜디오는 국제백신연구소(International Vaccine Institute, 이하 IVI)와 함께 백신 보급 지원을 위한 협약을 체결했다고 30일 밝혔다.IVI는 세계 보건을 위한 백신 개발과 보급을 목적으로 UN개발계획 주도하에 설립된 비영리국제기구다. 아프리카와 아시아 개발도상국들을 대상으로 콜레라와 장티푸스 등 각종 전염병 예방을 위한 백신의 보급 활동을 펼쳐왔다.희망스튜디오는 미래세대의 행복을 지향하고, 함께 참여하고 성장하는 즐거운 기부문화를 확산한다는 재단 운영 철학을 바탕으로 이번 협약을 체결했다. 이번 협약으로 IVI가 진행하는 저개발국가 대상 백신 보급 활동을 지원해 아동 생존율을 높이고, 감염병 발생으로 인한 사회적 비용을 절감하는 데 기여할 것으로 기대된다.이번 협약을 통해 조성될 후원금은 스마일게이트 모바일 RPG 게임 ‘에픽세븐’이 진행하는 기부 캠페인의 일환으로 마련된다. 지난해 스마일게이트 메가포트와 개발사 슈퍼크리에이티브, 글로벌 파트너사 요스타 등이 동참해 남아시아 저개발국가 아동, 청소년들의 교육 격차 해소를 위한 캠페인을 추진해 게임 패키지 판매 수익금 전액을 유네스코 한국위원회에 기부한 바 있다.제롬 김 IVI 사무총장은 “IVI 는 스마일게이트 희망스튜디오와의 창의적인 파트너십을 적극 환영하며, 이는 IVI 가 개발도상국 사람들에게 백신을 보급하고 글로벌 백신 형평성을 개선하는 데 기여할 것”이라며 “이와 같은 친숙한 접근방법을 통해 전세계 사람들의 삶을 개선하는 백신의 잠재력을 게임 유저들에게 널리 알릴 수 있기를 바란다”고 밝혔다.ㄱ권연주 스마일게이트 희망스튜디오 실장은 “이번 협약으로 미래세대의 행복 추구를 위해 취약한 보건 상황에 처한 저개발국가 아이들의 건강권 증진에 기여할 수 있게 돼 기쁘다”며 “게임 유저들의 공감과 참여로 이루어지는 기부가 지속적으로 이어져 즐거운 기부문화가 확산되는 계기가 되기를 바란다”고 말했다. ]",[],https://www.hankyung.com/politics/article/202107296846i,https://n.news.naver.com/mnews/article/003/0010638799?sid=101
2021.07.30.,연합뉴스,,고교에 '통합해양' 선택과목 도입 추진…해양문화 전문인력 양성,,,http://yna.kr/AKR20210729172100530?did=1195m,https://www.asiae.co.kr/
2021-07-30 17:12:25,파이낸셜뉴스언론사 선정,사회,파주시 청렴 공직사회 조성 ‘탄력’…노조지원,"[ 여가부, 자체규제개혁위원회 열어 셧다운제 개선 논의관계부처 합동 '청소년 게임 과몰입 예방·보호 방안' 마련    여성가족부가 국회에서 셧다운제 개정안 논의를 적극 지원하고 청소년 과몰입 예방·보호방안을 마련하기로 했다. 30일 여가부는 자체규제개혁위원회를 열어 규제챌린지 과제인 셧다운제 개선과 게임 과몰입으로부터 청소년 보호 방안을 논의했다. 이날 회의에는김경선 차관과 게임산업협회, 이현숙 탁틴내일 대표, 유홍식 중앙대 교수와 문화체육관광부 관계자가 참석했다.여가부는 현재 셧다운제 폐지, 부모선택제 등 국회에 발의된 법안에 대한 국회 논의를 적극 지원하기로 했다.앞서 권인숙 더불어민주당 의원은 셧다운제 폐지와 함께 청소년과 친권자가 자율적으로 게임을 통제하도록 상담·교육 서비스를 받을 수 있는 청소년보호법 개정안을, 허은아 국민의힘 의원은 ‘인터넷게임 중독’을 ‘과몰입’으로 용어를 개선하고 심야 이용시간 제한 조항을 폐지하는 개정안을 각각 발의했다. 강훈식 의원은 친권자 등이 요청한 경우 16세 미만 청소년에 대한 셧다운제 적용을 제외하는 일명 '부모선택제'에 대해 발의했다.여가부는 문화체육관광부 등과 관계부처 합동으로 '청소년 게임 과몰입 예방·보호방안'도 만들기로 했다. 이날 회의에서 셧다운제 개선과 더불어 청소년 보호 방안이 필요하다는 의견을 반영한 것이다.청소년과 학부모가 자율적으로 게임 이용시간을 조절하는 ‘게임시간 선택제’의 실효성을 높이고 부모에 대한 게임정보 제공을 강화해야 한다는 의견이 나왔다. 청소년이 게임을 건강하게 이용할 수 있도록 학부모, 교사, 청소년 대상 교육을 확대하고 업계의 사회적 책임 강화가 필요하다는 의견도 제기됐다.셧다운제는 0시부터 새벽 6시까지 만 16세 미만 청소년의 인터넷 게임 접속을 제한하는 제도다. 셧다운제 논란은 10대들이 즐기는 '마인크래프트' 운영사인 MS가 계정 통합 과정에서 16세 미만 이용자에게 셧다운제를 적용하기로 한 것이 발단이었다. 2011년 도입된 후 여러 차례 폐지 논란이 일었고 2014년에는 헌법재판소도 합헌 결론을 내려 현재까지 유지돼왔다. ]","['남녀갈등 조장하는 여가부는 진짜 없애야한다.\n북한 바라기 통일부도 같이 없애라!!', '변질된 한국형 페미와 싸우는 이준석 유승민 하태경 홍준연(민주당 구의원하다가 성매매여성들은 탈세범이라며 묻지마 2천만원 지급하는 현정권 정책 비판하다 제명당한 분) 응원합니다', '폐지나 해라!!!', '']",http://www.fnnews.com/news/202107311041066272,https://n.news.naver.com/mnews/article/277/0004946435?sid=102
2021.07.30.,스타뉴스,,"골프존, 고용노동부 주관 '노사문화 우수기업' 선정",,,http://star.mt.co.kr/stview.php?no=2021073010545187515,http://www.hankyung.com/
2021-07-29 10:01:04,이데일리,정치,"KT&G, 청년창업 지원 '2021 상상마당 코코챌린지' 시상식","[ 국민권익위, 부패·공익신고자 25명에 보상·포상금 약 3억 지급올 상반기 총 346건 신고에 23억 지급… 회복액은 220억원 달해    사진=뉴스1국민권익위원회(위원장 전현희)는 허위 세금계산서를 발급하는 수법이나 실제 근무하지도 않은 직원들을 근무한 것처럼 속여 정부의 문화예술 지원사업비를 부정수급한 업체를 제보한 부패신고자 덕분에 4억2000여만원을 환수결정했다. 해당 신고자에겐 4704만원이 보상금으로 돌아갔다.국민권익위원회는 지난 19일 전원위원회를 열고 부패‧공익신고자 25명에게 총 2억9230만원의 보상·포상금을 지급했다고 29일 발표했다. 이들의 신고 덕에 공공기관이 회복한 수입금액은 12억1000여만원이다. 부패신고 보상금을 지급받은 사례는 다양했다. 빚을 면제해 주는 대가로 뇌물을 받은 공공기관 직원에 대해선 추징금 7500만원이 선고됐고, 해당 신고자에게 보상금 2250만원을 지급했다.정부에 납품하기 위한 입찰 과정에서 허위 거래 실적을 만들어 전투용안경 계약을 낙찰 받은 B업체에 대해선 계약보증금 8억여원을 환수했다. 공공기관의 재산상 손실을 방지하고 공익증진에 기여한 해당 신고자에겐 포상금 3000만원이 지급됐다. 공익신고 보상금의 경우 중국에서 수입한 태양전지 모듈을 국내에서 제조한 것처럼 속여 공급한 업체에 과징금 4100여만원이 부과됐고, 신고자는 보상금 826만원을 받았다.의약품을 판매할 수 없는 자들에게 의약품을 판매하고 약국개설자가 아닌데도 의약품을 판매한 행위 등에 대한 신고로는 벌금 4000만원이 부과됐다. 신고자에게는 보상금 800만원이 돌아갔다. 김기선 국민권익위 심사보호국장은 “올해 상반기에 부패․공익신고 보상금 지급신청 등 346건에 대해 23억 1960만 원의 보상금 등을 지급했고, 공공기관이 회복한 수입금액은 220억여원에 달한다”며 “신고로 인해 부패‧공익침해행위가 적발되고, 부정한 이익을 환수해 공공재정의 회복‧증대에도 크게 기여하고 있는 만큼 신고자 보호‧보상을 더욱 철저히 하겠다”고 말했다. ]","['문화예술지원사업비 같은 쓰레기 제도 좀 없애라', '유치원생도 하지 않는 그림자 놀이로 1억원 부정수급한 문준용을 고발합니다.', '가족들 회사 다니지도 않는데 직원으로 올려 놓고  비용 처리해서 세금 덜 내고 법인카드로  개인비용 처리하는거 다반사입니다.\n일괄 전수조사 해야 합니다.\n월급쟁이들 유리지갑인데  소득도 많으면서 이리저리 비용처리해서 세금 한푼 안내고  심각합니다.', '아빠가 대통령이라는 이유로 돈받은 사람 아는데 신고하면 나도 포상금 받을수있나?', '세자저하께서 받으신 내용도 확인부탁드립니다.', '고의적  사기꾼들은 중징계로', '안걸린 사람이 훨신많다 그것도 신고가있었으니 혈세로 막퍼주고 관리도 안되고', '문준용이 싫어하겠디ㅡ', '세금내기가  싫네요']",http://www.edaily.co.kr/news/newspath.asp?newsid=03148806629119440,https://n.news.naver.com/mnews/article/015/0004585020?sid=100
4면 1단,서울신문언론사 선정,,秋 “2000억 기금으로 남북 청년 교류 지원”,,,https://www.seoul.co.kr/news/newsView.php?id=20210730004027&wlog_tag3=naver,https://www.yna.co.kr/
2021-07-30 06:00:04,국제뉴스,생활/문화,대구 '2021 달성 생활문화동호회 프로젝트' 회원 모집,"[ 해수부 '해양 교육문화 강화·산업 생태계 조성' 기본계획 마련    제1차 해양교육 및 해양문화 활성화 기본계획[해양수산부 제공. 재판매 및 DB금지](서울=연합뉴스) 오예진 기자 = 해양수산부는 2025년까지 해양교육과 해양문화를 활성화하고 관련 산업 생태계를 조성하는 사업을 추진한다고 30일 밝혔다.    해수부는 이런 내용의 '제1차 해양교육 및 해양문화 활성화 기본계획'(2021∼2025년)을 이날 공개했다.    해수부는 우선 2025년 고교학점제 도입 등에 대비해 고등학교에 '통합 해양' 과목이 선택과목으로 개설되도록 할 예정이다.    전체 국민을 대상으로는 세대별, 계층별 수요를 고려해 생애주기 맞춤형 교육체계를 마련한다.    아울러 중앙과 지방에 해양교육센터를 설치해 해양교육 전문 인력을 길러낼 예정이다.    등대체험, 국토 끝 섬, 남·북극 극지체험 등 5대 해양문화체험 프로그램도 운영한다.    해양수산 창업기업에는 성장단계에 따라 신규시장 진출 전략을 마련하도록 돕고, 해양문화 콘텐츠 산업이 지역의 국공립 해양문화시설을 활용할 수 있도록 할 예정이다.    이를 통해 지역 특색을 살린 해양교육문화 상품 개발, 전시·판매, 창업교육과 등을 진행한다는 계획이다.    해양문화예술 활동이나 관련 창작활동을 지원하는 교육기관을 지정해 전문 인력도 양성한다.    이와 함께 인천에는 인천해양박물관을, 충북 청주에는 미래해양과학관을 각각 건립해 전국에 모두 5개의 거점 해양문화시설을 구축한다.    해수부는 앞서 경북 울진 국립해양과학관, 충남 서천 해양생물자원관, 부산 영도 해양박물관을 차례로 개관해 운영하고 있다.    김창균 해수부 해양정책관은 ""이번 제1차 기본계획은 바다를 통해 국민들이 더욱 행복한 삶을 누릴 수 있도록 큰 기틀 아래 다양한 정책방향을 제시했다""면서 ""지자체, 유관기관 등과 적극 협력해 계획을 더욱 구체화해 나갈 계획""이라고 말했다.    경북 울진에 국립해양과학관 개관(서울=연합뉴스) 지난해 7월 31일 경북 울진군 죽변면에 국립 해양과학관이 개관했다. 사진은 해양과학관 모습. 2021.7.30.[연합뉴스 자료사진. 재판매 및 DB금지] photo@yna.co.kr    ohyes@yna.co.kr ]",[],http://www.gukjenews.com/news/articleView.html?idxno=2278216,https://n.news.naver.com/mnews/article/001/0012564191?sid=103
