Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
A24면 1단,중앙일보,,[시선2035] ‘마처 세대’ 새로운 가족주의의 탄생,,,https://www.joongang.co.kr/article/25170755,https://www.joongang.co.kr
2023-06-19 00:30:00,대전일보,오피니언,"논산시가족센터, '세대공감 희망나누기' 전개","[       박태인 정치부 기자           서울 강남의 ‘○○가든’을 가면 ‘완벽한 가족’을 엿볼 수 있다. 고급 국산차를 탄 노부부와 그 뒤를 따라 중형 외제차에서 내린 자녀 부부가 오순도순 대화를 나눈다. 양념갈비를 뜯으며 열리는 손자 손녀의 생일잔치. 계산은 할아버지의 신용카드가 한다. 특별한 날 아내를 위해 큰맘 먹고 찾은 ‘○○가든’ 풍경이 머릿속을 오래 맴돈다.      ‘판교 신혼부부’란 말이 있다. 부유한 양가의 지원 속에 판교에 자기 집을 마련한 젊은 부부를 가리킨다. ‘판교’를 서울 다른 지역으로 바꿔도 큰 차이는 없다. ‘OO가든’에는 그런 가족이 많아 보였다. 다른 식당보다 노부부의 발언권이 셌다는 점도 인상 깊었다. 서비스에 대한 평가와 항의도 그들의 몫이었다.          지난해 6월 수원시 노인 일자리 채용 행사에서 한 어르신이 휴대전화로 관련 자료를 찍고 있다. [연합뉴스]           ‘완벽한 가족’은 이제 특권이란 주장이 있다. 효와 가족주의가 거래와 부의 대물림 수단으로 전락했다는 것이다. 한 칼럼에서 ‘과도한 가족주의’ 논란을 제기한 전상인 서울대 명예교수는 기자에게 “앞으로 가족주의와 효를 감당할 계층은 굉장히 국한될 것”이라고 했다. 자녀를 평생 부양할 수 있는 부유한 부모만이 치사랑을 받는다는 말이다.      ‘○○가든’에서 내려와 주변을 둘러보니 꼭 그렇지만도 않은 듯하다. 대한민국의 부모 대부분은 계층의 높낮이와 상관없이 전력을 다해 자녀를 부양하고 있었다. 그래서 더 서글프다.      돌봄 시간이 늘어나 여성 경력단절의 최대 위기라 불리는 이른바 ‘초1 절벽’. 이른 오후에 하교하는 아이를 맞으려면 조부모의 등판이 절실하다. 그걸 대신할 이모님은 월 300 수준이다.      초등학교 앞에서 손녀를 기다리는 할아버지의 구슬픈 얼굴. 버릇없는 손주와 엘리베이터를 탄 이웃 할머니의 소리 없는 탄식은 우리를 처연하게 한다. 그들이 꿈꿨던 노후가 이런 모습이었을까. 은퇴 자금을 털어 자녀를 돕고, 증여세를 피하려 건네는 이자를 용돈이라 자랑하는 부모는 또 한둘일까. 알면서도 모른 척, 국가는 출생부터 양육, 돌봄과 교육까지 삶의 모든 주기를 방치하며 가족주의에 외주하고 있다.      은퇴 뒤에도 자녀를 부양하는 베이비부머는 자신을 ‘마처 세대’라 부른다. 마지막으로 부모를 부양하고, 처음으로 자녀에게 부양받지 못하는 세대란 뜻이다. 통계청에 따르면 지난해 4분기 60대 이상 근로자 수는 337만5000명이었다. 사상 처음으로 20대 이하(322만3000명)를 앞질렀다. 불안한 노후에 전력하는 부모 세대의 절실함이 담긴 숫자일 테다. 아비를 위해 인당수에 몸을 던진 심청이의 나라라지만, 요즘은 그 반대 양상이다. 은퇴한 부모가 장성한 자녀와 또 그의 자녀까지 부양하는 시대. 아비와 어미가 공양미 삼백석을 바치고 심청이를 위해 몸을 던지는 시대. 바야흐로 신(新) 가족주의의 탄생이다.   ]","['절대 공감을 합니다', '근데 조선때도 원래 노비계층은 후손 봐봐야 더러운꼴 보는건 똑같아서 효개념이 양반에 비해 엄청약한게 진실이라고 하더라고 지금이랑 결국 별차이 없는듯 인생운빨에 팔자 무섭지 ㅋㅋ', '먹고살만한 부모세대들은 그렇겠지.그러나 연금도 없이 노약한 나이든 부모는 자녀를 찾아 볼 수도 얼굴을 볼 수도 없다.슬픈 게 노년이 되어가는 세상.쩐이 없다면 고려장 신세. 나이 들어선 입은 닫고 주머니는 열라 그랬는데 주머니 털고 난 후엔 정말 길바닥에 나앉거나 고려장을 당해야할 그런 사회로 간다.누가 어떤 복지정책이 노년의 삶을 위로할 것인지 여야는 당쟁에 몰두하지 말고 대책을 내는 일에 머리를 싸매거랏.']",http://www.daejonilbo.com/news/articleView.html?idxno=2068867,https://n.news.naver.com/mnews/article/025/0003287679?sid=110
2023.06.11.,국민일보,,무학가족 MZ세대 주남저수지서 생태문화탐방,,,https://news.kmib.co.kr/article/view.asp?arcid=0018350418&code=61121111&cp=nv,http://www.daejonilbo.com/
2023-06-13 20:13:43,충청타임즈,사회,괴산군 가족센터 결혼이민 세대 취업역량 강화,"[ 조부모 집단상담·손자녀 나들이 활동 전개    '세대공감 희망나누기'프로그램 중 멘토와 떠나는 조손자녀 나들이 기념촬영 장면 사진=논산시가족센터 제공[논산]논산시가족센터(센터장 건양대 이진 교수)는 지난 4월부터 논산시에 거주하는 조손가족을 위한 '세대공감 희망나누기'프로그램을 진행해오고 있다. '세대공감 희망나누기'프로그램은 세대 간 친밀감 향상과 정서지원을 돕도록 기획·운영되는 사업으로 전년도에는 코로나로 인해 각 가정에서의 독후 활동과 조부모, 손자녀가 집 안에서 함께 하는 콩나물 키우기, 콩나물 반찬 만들어 먹기, 레몬리스 만들기, 편백 커플 베개 만들기와 가족 접시 만들기 등의 비대면 활동으로 진행됐다. 올해에는 외부 활동이 있었으면 하는 대상자들의 의견을 적극 반영해 첫 회기는 조부모들간 마음껏 속풀이를 할 수 있는 집단상담으로 운영돼 손자녀에게 서운했던 점과 세대차에 대해 이해하는 시간을 가졌고, 두 번째 회기는 멘토와 떠나는 손자녀 나들이 활동으로 지난 10일 무주 반디랜드로 여행을 떠났다. 마지막 회기는 조부모와 손자녀가 함께하는 물놀이·온천 체험으로 7월 중 진행 될 예정이다. 그 동안 코로나19와 이동의 제약이 따르는 가정환경으로 인해 이전보다 길어진 집 안에서의 시간으로 조부모의 손자녀 양육에 높아진 스트레스와 손자녀들 또한 답답함으로 서로 간 지쳐있었던 상황에서 올해의 세대공감 희망나누기 프로그램이 조금이나마 조손가족의 긍정적인 가족관계에 도움을 준 것으로 보인다 조부모 집단상담에 참여한 한 어르신은 ""혼자 손자 키우며 힘들었던 이야기를 다른 사람들과 대화해 나누니 답답한 마음이 조금 수그러졌다""며 ""점토로 손자 밥상을 만드는 시간이 손자를 이해하는데 도움이 됐다""고 말했다. 또 나들이에 참여한 한 학생은 ""다양한 곤충들과 동물들을 보니 신기하고 재미있었다""며 소감을 전했다. 논산시가족센터 이진 센터장(건양대학교 교수)은 ""앞으로 조부모 자조모임, 손자녀의 문화체험과 학습 등의 다양한 서비스를 제공하여 조부모의 육아스트레스 경감과 손자녀의 자존감 및 사회성 발달에 도움을 주어 세대 간 이해와 조손가족의 관계 증진에 힘쓰겠다""고 말했다. 논산시가족센터(센터장 : 건양대 이진 교수)는 학교법인 건양학원이 위탁운영하고 있는 가족지원 서비스 전문기관으로 논산시가족들의 행복과 건강한 삶을 위해 다양한 문화체험 행사 등 건강한 가족을 위한 지원과 활동을 지속적으로 실시하고 있다. 자세한 문의는 논산시가족센터 ☎041)733-7860~2 및 홈페이지 https://nonsan.familynet.or.kr를 통해 할 수 있다.     '세대공감 희망나누기'프로그램 중 조부모 집단상담 프로그램 진행 장면 사진=논산시가족센터 제공 ]",[],http://www.cctimes.kr/news/articleView.html?idxno=755254,https://n.news.naver.com/mnews/article/656/0000053824?sid=102
2023.06.16.,데일리안,,"[D:현장] ""세대 초월한 가족 영화""…'인디아나 존스: 운명의 다이얼', 화려한...",,,https://www.dailian.co.kr/news/view/1244210/?sc=Naver,http://www.kmib.co.kr/
2023-06-11 15:53:01,머니투데이언론사 선정,사회,"""중국 여행? 별로…대신 몽골 가요"" MZ세대 사로잡은 비결은","[ MZ세대 무학가족 주남저수지 탐방로 걸으며 자연의 소중함 느껴2008년 람사르 총회 개최 기념…회사 상징 두루미 보호 활동 펼쳐    10일 주남저수지 걷기에 참석한 무학그룹 최재호 회장과 MZ세대 무학가족이 주남돌다리에서 기념 촬영을 하고 있다. 무학 제공진한 초록으로 변신한 6월의 주남저수지에서 MZ세대 ㈜무학 가족들이 주남저수지 생태문화탐방에 나섰다.지난 10일 무학그룹 최재호 회장과 MZ세대 무학가족이 주남저수지 탐방로를 걸으며 자연의 소중함과 그동안 다양한 활동들의 점검하는 시간을 가졌다. 철새도래지 주남저수지가 있는 창원에 본사를 두고 있는 무학은 2008년 람사르 총회 개최를 기념하고 회사의 상징인 두루미를 보호하기 위한 다양한 활동을 펼쳐왔다.그동안 무학은 주남저수지에서 월동하고 있는 재두루미의 안정적인 월동을 위해 해마다 재두루미 먹이나눔을 실천해 2008년 당시 재두루미가 100여마리가 월동 했지만 지난 겨울 2200여 마리로 늘어났다.또 무학은 산새들의 안전한 번식을 돕기 위해 인공새집달기와 저수지인근 마을 벽화 그리기, 지난해는 주남저수지 환경사진공모전을 개최해 주남저수지의 생태적 가치를 높이는 데도 노력하고 있다.이날 생태문화탐방은 MZ세대 젊은 직원들이 직접 땀 흘리며 저수지 탐방로를 걷고 자연의 소중함을 깨닫는 계기를 마련하기 위해 열려 주남저수지 탐방로 걷기에 이어 경남도 문화재 225호 주남돌다리에서 탐방행사를 마무리 했다.이번 행사를 주관한 최재호 회장은 “철새와 인간이 함께 공존할 수 있는 주남저수지에서 임직원들이 자연과 함께 공존하는 삶을 느낄 수 있기를 바란다”고 말했다.MZ세대 무학가족 김은예 매니저는 “자연경관과 잘 어우러진 탐방로를 산책하기도 좋고 다양한 여름철새까지 탐조하는 재미가 있어 가족과 함께 다시 찾고 싶다”고 말했다.   ]",[''],http://news.mt.co.kr/mtview.php?no=2023062314233927147,https://n.news.naver.com/mnews/article/005/0001615057?sid=102
2023.06.27.,인사이트,,이태원 유족이 아들 아이폰 잠금 해제 푼다고 하니까 MZ세대들이 보인 현실 반...,,,https://www.insight.co.kr/news/442647,http://www.cctimes.kr
2023.06.29.,매일신문,,온 가족이 텐트 안에서 도란도란… '한여름 밤 가족캠프' 3일부터 선착순 모집,,,https://news.imaeil.com/page/view/2023062912430795523,http://www.dailian.co.kr/
2023-06-16 14:21:00,매일경제언론사 선정,,"""정전 70년은 전쟁경험 세대의 퇴장을 의미""",[],[],https://www.mk.co.kr/article/10768681,https://n.news.naver.com/mnews/article/119/0002722166?sid=106
2023.06.15.,제주매일,,道공직사회 베이비부머세대 퇴장 세대교체 본격화,,,http://www.jejumaeil.net/news/articleView.html?idxno=327291,http://www.mt.co.kr/
2023.06.29.,매일신문,,온 가족이 텐트 안에서 도란도란… '한여름 밤 가족캠프' 3일부터 선착순 모집,,,https://news.imaeil.com/page/view/2023062912430795523,http://www.imaeil.com/
2023-06-29 12:44:01,매일경제언론사 선정,사회,"""정전 70년은 전쟁경험 세대의 퇴장을 의미""","[ 대구교육팔공산수련원, '2023년 한여름 밤 가족캠프' 운영3일 오전 9시부터 100가족 선착순 모집시교육청 통합예약시스템(www.dge.go.kr/yeyak/main.do)에서 신청    지난 2022년 진행된 '한여름 밤 가족캠프'에 참가한 가족들이 촛불의식 프로그램에 참여하고 있다. 대구시교육청 제공대구교육팔공산수련원은 여름방학 기간을 맞아 야영장을 개방해 가족들에게 팔공산 숲 속에서의 건강한 휴식 시간을 제공하는 '2023년 한여름 밤 가족캠프'를 운영한다.오는 7월 22일부터 7월 30일까지 초등학생 동반 100가족을 대상으로 1박 2일의 가족 캠프를 통해 가족 간 사랑과 자연 사랑을 실천하고 일상에서 지친 몸과 마음을 치유할 수 있는 프로그램으로 운영된다.수련원에선 행사에 참여하는 가족들이 편안하게 캠핑을 즐길 수 있도록 캠핑장 및 부대시설을 개방하고, 가족당 2~3동의 데크와 텐트, 매트리스를 제공한다.또한, 다양한 연령대의 가족이 함께 참여하는 행사인 만큼 모든 세대가 두루 즐길 수 있는 ▷안전체험 ▷전통놀이 ▷마음 명상 ▷레크레이션 ▷숲 체험 등 다양한 프로그램과 ▷장난감 ▷휴대용 선풍기 ▷텀블러 등 풍성한 선물도 제공한다.    2022년 한여름 밤 가족캠프 중 하강탈출 프로그램 운영 모습. 대구시교육청 제공특히 이번 캠프는 많은 가족들이 참여할 수 있도록 7월 셋째 주와 넷째 주 주말에 2회차(1회차 : 50가족, 2회차 : 50가족)로 운영되고, 각 회차당 5가족은 장애인 포함 가족을 우선 배정한다.행사에 참가할 가족은 오는 7월 3일 오전 9시부터 대구시교육청 통합예약시스템(www.dge.go.kr/yeyak/main.do)을 통해 신청하면 된다. 모집은 선착순으로 진행된다.신청 대상은 대구 지역 초등학교에 재학 중인 초등학생을 동반한 가족이며, 세대공감을 위한 1회차 행사에는 조부모, 부모, 손자녀의 3세대 가족의 참여가 필수적이다.조부모 세대의 참여가 어려운 가족의 경우, 2회차를 선택해 신청하면 되고, 장애인 포함 가족의 경우에는 조부모 세대의 참여 여부와 관계없이 신청 가능하다.캠프 관련 기타 자세한 사항은 수련원 운영부(☎053-231-1515)로 문의하면 된다.현상환 대구교육팔공산수련원 원장은 ""지난 봄, 세대공감 가족캠프에 참여해주신 가족들의 뜨거운 호응에 힘입어 이번 여름 행사도 알차게 준비했다""며 ""그러니 여름방학과 휴가를 맞이하는 많은 가족들이 팔공산의 맑은 공기를 마시며 지친 몸과 마음을 치유하고, 가족 간 사랑을 키울 수 있는 시간을 가지길 바란다""고 말했다. ]",[],https://www.mk.co.kr/article/10768681,https://n.news.naver.com/mnews/article/088/0000822427?sid=102
2023.06.29.,뉴스프리존,,"대전동부교육청, '사랑이음 행복이음 인성교육 프로그램' 3대 가족사진 촬영 ...",,,http://www.newsfreezone.co.kr/news/articleView.html?idxno=481523,http://www.mk.co.kr/
2023-06-25 17:22:13,제주매일,사회,道공직사회 베이비부머세대 퇴장 세대교체 본격화,"[ 권헌익 케임브리지대 석좌교수한국전·베트남전 등아시아 냉전사 연구 대가'학살, 그 이후' 등 저작120년 英 학술원 문턱 넘은최초의 한국인·한국학 학자    ""6·25전쟁 정전 70년은 세상이 무너지는 전쟁을 경험해 본 이들이 사라진다는 걸 의미합니다. 전쟁 경험자들이 존재하지 않을 때 남은 사람들이 전쟁을 어떻게 기억하는지에 따라 한국 사회가 달라질 겁니다.""지난 20일 한국에서 매일경제신문과 만난 권헌익 영국 케임브리지대 트리니티칼리지 석좌교수(61·사진)는 전쟁문화사 연구자들이 생각하는 70년의 의미를 이같이 설명했다. 권 교수는 ""70년이 지났다는 건 역사적 사건을 겪은 한 세대와 그 세대와 가족을 이룬 또 한 세대를 포함한 두 세대의 소멸을 의미한다""며 ""기억하는 자들이 사라지고, 기록하는 자들만 남는 시대가 된 것""이라고 말했다.그는 한국전쟁과 베트남전쟁 연구로 아시아 냉전사 연구의 대가 입지를 구축했다. 민간인 학살이 일어난 베트남이나 한국의 마을, 그중에서도 가족 또는 친족이라는 영역 안에서 전쟁 폭력이 남긴 유산을 연구해왔다. 그는 연구가 학계의 주목을 받으면서 인류학의 주요한 상을 휩쓸어왔다. 베트남전 당시 민간인이 당한 폭력을 종교 인류학적으로 접근해 연구한 후 펴낸 저작 '학살, 그 이후'로 2007년 '인류학의 노벨상'으로 불리는 미국인류학회에서 수여하는 기어츠상을 받았다. 2009년엔 인류학계의 또 다른 영예인 조지 카힌상을, 2019년엔 저명한 프랑스 구조주의 인류학자의 이름을 딴 클로드 레비스트로스상을 받았다.지난해엔 영국 학술원(British Academy)의 회원(Fellow)으로 선발돼 120년 역사의 학술원 문턱을 넘은 유일한 한국인이자 한국학 연구자로 기록되기도 했다. 1902년 설립된 영국 학술원은 약 1400명의 세계적인 학자를 회원으로 보유하고 있다. 회원이 되면 인문학과 사회과학 분야의 영국 국가 연구비를 배분하는 일을 맡게 된다. 기존 회원들의 추천과 엄격한 심사 과정을 거쳐야 회원으로 뽑힐 수 있다.권 교수가 인류학에 천착하게 된 건 현장에 직접 들어가 '사람 사는 모습'을 들여다볼 수 있다는 매력에 이끌려서다. 철학에서 정치학으로, 정치학에서 인류학으로 변해가는 그의 학문 여정도 사람 사는 모습을 보고 싶다는 호기심의 발로다. 대구 출신인 그는 1981년 서울대 철학과에 입학했지만, 2년 만에 중퇴하고 미국으로 유학을 떠났다. 권 교수는 ""당시 학내에서는 사회주의 국가에 대한 관심이 컸다""며 ""그 국가들이 어떻게 사는지를 모르고는 사회주의를 논할 수 없다고 생각했다""고 말했다. 1982년 미국 미시간대 정치학과에 입학한 그는 비교공산주의 공부부터 시작했다.권 교수는 새롭게 선택한 정치학에서도 그가 보고 싶었던 사람 사는 모습을 발견하지 못했다. 그때 그의 눈에 들어온 게 인류학이었다. 권 교수는 1988년 케임브리지대 인류학과 석사과정에 진학해 1989년 학위를 받았다. 1993년 4월 같은 대학원에서 4년 만에 박사학위를 취득했다.1989년 권 교수는 순록을 치는 퉁구스족을 관찰하기 위해 시베리아로 떠나 그곳에서 1년6개월가량 살았다. 1995년 베트남전쟁 연구를 위해 현장에 뛰어들어 3년간 베트남에 머물기도 했다. 이를 위해 1993년 당시 31세에 얻은 맨체스터대 교수 자리도 던졌다. 베트남 민간인 학살 현장을 취재하다 보니, 별의별 일을 다 겪었다. 지방 경찰에게 여권을 뺏기고 구금되기도 했다. 말라리아에 걸려 죽을 고비를 넘긴 적도 있다. 권 교수와 인터뷰했다는 이유로 현지인들은 고초를 겪었다.권 교수는 현재 영국 학술원의 21개 분과 중 인류학, 아시아학, 현대사 등 3개 분과에서 활동하고 있다. 회원이 되고 나서 9개월간 학술원으로 들어온 인문사회학자들의 연구 계획서를 심사하고 국비를 지원하는 일로 바쁜 나날을 보냈다. 그는 ""여러 학문의 학자들이 참여한 대규모 집단 연구도 좋지만, 나처럼 관심이 적은 분야일지라도 홀로 치열하게 파고드는, 고독하고 젊은 인문사회학자들을 적극 밀어주고 싶다""고 말했다.[이효석 기자 / 사진 이승환 기자] ]","['공산당의 무서움을 아는 세대의 퇴장이다 큰 걱정이다.  우리나라 좌파들은 공산주의를 피로 막은 세대를 학살자로 만들기에 열중인데. 이게 젊은층에게 잘 먹히고 있다', '이스라엘이 왜  멘탈이 강하고 우수한 민족일까?  ㅡ전쟁을 기억하고  전쟁을 대비하고 기꺼이 참여하는 젊은이를 길러내기때문이다.  ㅡ한국은 6.25때 북괴군출신 아비를 둔  넘이  지난 5년간 나라를 말아먹고  친중매국노 당이  나라를  갖다바치려했다.', '경험한 세대는 세월이 흘렀지만 북괴군의 전쟁범죄 잊지 않겠습니다.', '아직 북한군과 싸운시대 안 지났는데... 연평해전, 천안함 시대가 끝나야지.']",http://www.jejumaeil.net/news/articleView.html?idxno=327291,https://n.news.naver.com/mnews/article/009/0005149075?sid=102
2023.06.26.,에이블뉴스,,우리 가족은 3세대 스포츠 게이트볼로 함께 운동해요,,,https://www.ablenews.co.kr/news/articleView.html?idxno=204966,http://www.newsfreezone.co.kr/
2023.06.30.,브레이크뉴스,,서울K-가족축제 ‘널리 가족을 이롭게 하자’ 주제로 개최,,,http://www.breaknews.com/973783,http://www.jejumaeil.net
