Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2017.11.23.,세계일보,,"송영무 국방, 김관진 석방에 ""참 다행이다""고 했다가 與 질책 받자 ""인간적 소...",,,http://www.segye.com/content/html/2017/11/23/20171123005828.html?OutUrl=naver,http://www.segye.com
2017-11-23 18:08:22,TV리포트,정치,"유아인, 4년 SNS 운영 소회 “수고했다, 할 수 있는 만큼 했다”","[     송영무 국방부 장관은 23일 국회 법제사법위원회 답변에서 김관진 전 국방장관이 구속적부심을 통해 풀려난 것에 대해 ""참 다행이다고 생각한다""고 말했다가 더불어민주당 의원 등으로부터 질타를 받았다.  이날 송 장관은 자유한국당 김진태 의원이 ""김관진 전 장관이 석방된 데 소회가 어떠냐""고 묻자 이같이 답했다. 그러자 국민의당 박지원 의원이 ""국방부 장관이 다행이라고 말하는 것은 국민 정서와 맞지 않다""고 지적하자 송 장관은 ""같이 근무하고 생활한 사람으로서 인간적인 입장을 이야기한 것""이라고 설명했다. 이에 민주당 박범계 의원이 ""인간적인 소회를 묻는 것이 아니라 과거 국방부가 잘못된 길을 간 것에 대한 질문인데 적절하지 않은 답변이다""고 질책했다. 그제서야 송 장관은 ""여러 가지 안타깝지만 같은 군인이고 동시대 같은 사무실에서 근무한 사람으로서 다행이라는 소회를 말한 것인데 적절한 표현은 아니었다 생각한다""며 한 발짝 물러섰다.박태훈 기자 buckbak@segye.comⓒ 세상을 보는 눈, 글로벌 미디어 세계일보 ]",['김명수는 촛불민심을 받들어 사법부를 개혁할 의지가 없다면 당장 사퇴하라. 개혁하라고 힘을 실어 주고 있는데 혼자서 고고한 선비인 척 한다면 자격미달이다.'],http://www.tvreport.co.kr/?c=news&m=newsview&idx=1023030,https://n.news.naver.com/mnews/article/022/0003227862?sid=100
2017.11.20.,신아일보,,"서산태안 성일종 의원, 국정감사 소회 피력",,,http://www.shinailbo.co.kr/news/articleView.html?idxno=1016982,http://www.tvreport.co.kr
2017-11-24 17:01:00,국제신문,,"전도연, 영화 데뷔 20주년 맞은 소회와 17편의 필모그래피",[],[],http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0500&key=20171119.99099008675,https://n.news.naver.com/mnews/article/213/0001002515?sid=106
2017.11.17.,서울신문,,영화 데뷔 20주년 ‘칸의 여왕’ 전도연이 전한 남다른 소회,,,http://en.seoul.co.kr/news/newsView.php?id=20171117500097&wlog_tag3=naver,http://www.shinailbo.co.kr/
2017.11.13.,SBS,,"[더저널리스트] ""어제는 뽀뽀 오늘은 탈당""…바른정당 취재기자가 전하는 씁쓸...",,,http://news.sbs.co.kr/news/endPage.do?news_id=N1004481714&plink=ORI&cooper=NAVER,http://www.kookje.co.kr/
2017.11.10.,뉴시스,,소회 밝히는 이승훈 전 청주시장,,,http://www.newsis.com/view/?id=NISI20171110_0000066351,https://www.seoul.co.kr
2017-11-17 14:51:00,업다운뉴스,,사기 혐의 1심 무죄 박근령…언니 박근혜 향한 소회와 남편 신동욱의 촌평,[],[],http://www.updownnews.co.kr/news/articleView.html?idxno=75798,https://n.news.naver.com/mnews/article/081/0002870174?sid=106
2017.11.29.,뉴스1,,"유승민 ""TK 민심, 홍준표 인정 안 해""…대구 방문 소회",,,http://news1.kr/articles/?3166246,http://news.sbs.co.kr/
2017-11-13 13:36:09,뉴시스,정치,소회 밝히는 차범근 전 감독,"[    ※SBS 뉴스가 '더 저널리스트(THE JOURNALIST)' 시리즈로 시청자 여러분을 찾아갑니다. 이번 순서는 김무성 의원 등 8명의 '바른정당 탈당파' 의원들이 자유한국당에 재입당하는 과정을 취재한 정치부 이세영 기자입니다. &lt;편집자 주&gt;■ 이번 주 가장 뜨거웠던 정치권 소식이었죠. '바른정당 탈당파'가 결국 자유한국당에 재입당했습니다.네, 바른정당의 이른바 '탈당파'라고 하죠. 8명의 의원들이 어제 입당식을 갖고 자유한국당으로 공식 복귀했습니다. 김무성, 강길호, 김영우, 김영태, 이종구, 황영철, 홍철호, 정양석 이렇게 여덟 명의 의원들입니다. 그 동안 ""자유한국당과 합쳐야 한다"" 이렇게 주장해 왔던 의원들인데요. 이 분들 이제 바른정당 의원이라고 부르면 안 됩니다. 자유한국당 의원이라고 불러야 합니다. 어제 이 여덟 명의 의원들을 포함해 당협위원장 그리고 각 시군구의 어떤 기초의원들을 포함해서 모두 106명이 자유한국당으로 돌아갔습니다.■ 말 그대로 반 토막이 났습니다. 창당 직후 많은 기대를 모았던 바른정당인데요.10달의 역사가 참 다사다난했습니다. 바른정당이 어떻게 시작했는지 시청자들께서 기억하실까 모르겠는데요. 올해 1월 24일 김무성 의원 등을 포함해 새누리당에서 탈당한 33명의 의원들이 창당식에서 무릎을 꿇었습니다. 그리고 또 큰절도 했습니다. 박근혜 최순실 국정농단 사태에 대해서 사죄의 뜻으로 그렇게 무릎까지 꿇은 겁니다. 이후에 개혁보수, 진짜 보수, 따뜻한 보수 이런 기치들을 내걸었습니다. 이 당시에는 20~30대 그리고 중도층으로 부터 많은 지지를 받지 않겠냐 이런 기대가 있었는데요. 기대와는 다르게 지지율이 좀처럼 오르지 않습니다. 그래서 대선을 앞두고 13명의 의원들이 집단 탈당하는 사태가 벌어졌습니다. 대선에서의 패배가 불 보듯 뻔했기 때문인데요. 그래도 바른정당 20명만 남은 상황에서 꿋꿋이 잘 버텼습니다. 원내교섭단체를 구성할 수 있는 요건이 의원 20명인데요. 한 명이라도 탈당을 하게 되면 원내교섭단체 지위를 잃기 때문에 똘똘 뭉쳐서 활동을 했습니다.■ 이런 상황에서 또 집단 탈당이 이뤄지면서 바른정당이 정말 '사면초가'에 놓인 셈이네요.이제 바른정당에 남은 의원들 11명입니다. 군소정당으로 전락한 건데요. 이렇게 되면 당장 경제적으로 어려워집니다. 원내교섭단체라는 지위를 상실하게 되면요. 정당보조금도 줄어들고 또 국회와 의원회관에 있는 사무실도 줄여야 합니다. 각종 의사일정 협의 대상에서도 제외되고요. 상임위원회에서 간사도 맡을 수 없게 됩니다. 한 마디로 목소리를 내기 어렵게 된 겁니다.■ 바른정당 탈당파 의원들이 말하고 있는 탈당 그리고 재입당의 이유는 뭔가요?탈당한 의원 8명이 탈당 전에 기자회견을 가졌습니다. 성명서를 냈는데 어떻게 얘기 했냐면 '보수 세력이 중심을 잡지 못하고 갈팡질팡 하면서 문재인 정부의 폭주를 막지 못하고 있다. 이유여하를 불문하고 하나가 돼야 한다' 이렇게 말을 했고요. 또 어떤 엄중한 국가 위기 상황 속에서 바른정당을 창당을 했는데 '국민들의 지지를 받지를 못하고 보수분열의 책임만 남았다' 거창하게 말을 했습니다. 다시 말해서 보수대통합을 탈당의 명분으로 삼은 건데요. 하지만 조금 더 속내를 들여다 볼 필요가 있습니다.■ 표면상으로는 보수대통합을 말하고 있지만 속내는 다른 곳에 있다는 말인가요?결국 내년 지방선거 때문입니다. '당장 20석 가지고 선거를 치를 수가 있겠냐' 이런 생각인 건데요. '기호 4번으로 나가서 과연 선거에서 이길 수가 있냐' 이런 생각들이 굉장히 많았습니다. 당장 지금 우리 정치 상황만 보더라도 여당과 제1야당인 자유한국당 이렇게 양강 구도로 진행이 되고 있는데요. 3당인 국민의당도 참 어렵게 싸우고 있는데 네 번째 4당인 바른정당이 어떻게 싸울 수 있겠냐 이런 자조적인 목소리들이 많았습니다. 그리고 또 탈당한 의원 분들과 이런저런 이야기를 나눠봤을 때 어떤 부분에서 가장 힘들어 했었냐고 하면 본인이 각 지역구에 가서 지역구에 가서 인사를 할 때 '너 왜 아직 바른정당에 있냐. 빨리 자유한국당으로 돌아가라' 이런 얘기들을 굉장히 지지자들로부터 많이 받고 있다고 하거든요. 그리고 또 선거 당시에 자신을 도와줬던 도의원, 시의원, 구의원들이 자기 하나 바라보고 당을 탈당을 했는데 이제 당장은 '내년 지방선거에서 다 같이 죽게 생겼으니깐 지금 자유한국당으로 돌아갈 수밖에 없었다' 이런 얘기들을 하고 있습니다. 물론 보수대통합이라는 가치도 중요하지만 결국에는 '실리를 택한 선택이었다' 이렇게밖에 볼 수 없을 것 같습니다.■ 유승민 의원은 남고 김무성 의원은 떠났네요. 애증의 15년을 뒤로하고 제 갈 길을 가게 됐습니다.유승민 김무성 의원 이 두 사람의 사이를 어떻게 표현해야 할까요. 같은 배를 타고 있었지만 늘 두 사람 사이는 위태로웠습니다. 마치 섞일 수 없는 물과 기름이라고 할까요? 두 사람의 역사를 살펴보면 2006년 박근혜 캠프에서 한솥밥을 같이 먹었던 사이였습니다. 이후에는 친박계 핵심에서는 조금 떨어졌어요. 김무성 의원이 당시 새누리당의 대표 그리고 유승민 의원이 당시 새누리당의 원내대표를 맡았었습니다. 두 사람이 본격적으로 갈라지기 시작한 게 2015년 7월 이른바 '국회법 파동' 당시였죠. 박 전 대통령이 유승민 의원을 콕 찍어서 배신자라고 낙인찍었던 그 때였습니다. 그 때 김무성 의원이 유승민 의원을 지켜 줬으면 좋았을 텐데 김무성 의원도 '우리가 어떻게 하다 이렇게 됐냐' 하면서 의원총회에서 유승민 의원이 원내대표에서 물러나라고 결정이 내려졌는데 그 결정을 유승민 의원에게 직접 전달했습니다. 결국 이 때부터 두 의원 사이에 갈등의 골이 깊어졌다 이렇게 볼 수 있을 것 같습니다.이후에 두 사람이 바른정당 창당을 통해서 손을 잡았는데요. 이 역시 오래가지 못했습니다. 김무성 의원은 당시에 반기문 전 유엔 사무총장을 강력한 대선후보로 밀고 싶었거든요. 하지만 잘 되지 못했죠. 반면 유승민 의원은 끝까지 자강론을 내세우면서 대선 완주 의지를 보였습니다. 그래서 당시에 보면 선거유세활동을 할 때 김무성 의원이 일주일 정도 자리를 비운 적도 많았었거든요. 유승민 의원 혼자 나 홀로 유세 활동을 하면서 두 사람의 사이는 점점 더 멀어졌습니다.■ 두 의원은 얼마 전 '뽀뽀'를 하는 등 화기애애한 장면을 연출해 화제가 되기도 했었는데요.'뽀뽀사건'. 사건이라고 불러야 할까요. 정말 큰 화제가 됐었죠. 당시에 바른정당 이혜훈 대표가 금품수수 의혹으로 사퇴를 하면서 바로 이후에 이어진 만찬회동에서 두 사람이 뽀뽀를 합니다. 뽀뽀라기엔 좀 진한 뽀뽀를 했었는데요. 이 한 장의 장면이 정말 큰 화제가 됐었습니다. 이 사진 하나로 '그 동안 분열됐던 바른정당이 다시 뭉치는 거 아니냐' 이런 의견이 많았었는데요. 결국 이것도 오래가지 못했습니다. 보수통합을 외치는 김무성 의원과 안 된다며 끝까지 자강론을 외치는 유승민 의원 둘이 서로 간의 이견을 좁히지 못하고 결국 당이 갈라졌습니다.■ 여론은 좋지 않아 보입니다. '철새' '박쥐' 등의 수식어가 바른정당 탈당파에 붙고 있는데요.저도 이 탈당파들의 기사를 계속 쓰고 있는데 가장 많이 달리는 댓글이 '철새 정치인 나가라. 염치가 없다. 박쥐 아니냐' 이런 댓글들이 참 많이 달리고 있습니다. 가장 큰 비판은 명분이 없는 탈당이라는 겁니다. 지금 탈당한 8명의 의원들이 과거에 새누리당을 탈당할 때 어떤 이유로 탈당을 했냐면 '새누리당은 박근혜 최순실 국정농단의 공범이다' 이렇게 표현하면서 탈당을 했거든요. 박근혜 전 대통령 그리고 친박계와는 더 이상 같이 할 수 없다는 건데 그러면 지금 '그 당이 다시 돌아갈 만큼 많이 비꼈느냐' 여기에 회의적인 시각들이 많습니다. 통합파들은 처음에는 '친박청산이 제대로 끝나야 어떤 통합을 고민해보겠다' 이런 태도였는데요. 마지막에는 그 조건이 전제조건들이 점점 더 완화됐습니다. 박근혜 전 대통령만 정리하면 들어갈 수 있다 이렇게 몸을 낮춘 건데요. 결국 지금 바른정당이 공범으로 지목했던 친박계 의원들은 그대로 남아있습니다. 결국 크게 달라진 것이 없는 상황에서 다시 당을 돌아간다는 비판이 나올 수밖에 없는 겁니다.■ 탈당파의 수장 격인 김무성 의원의 반응은 어떤가요? 지난해 '옥새파동'부터 얼마 전 '노룩패스', 그리고 탈당에 재입당까지 참 여러 일을 겪고 있는데요.이번 탈당에 대해서도 다수의 국민들이 '명분이 없다 잘못 됐다' 이렇게 조치하는 시각으로 바라보는 시각이 많은 것 같습니다. 탈당파 8명의 의원들도 자신들에게 쏟아지는 비난을 너무나 잘 알고 있습니다. 당시 기자회견, 탈당기자회견을 할 때 기자들이 김무성 의원에게 물었거든요. '책임정치에 어긋나는 행동 아니냐' 이렇게 물었는데 김무성 의원이 굳은 표정으로 '자신에게 쏟아지는 모든 비난을 감수하고서라도 문재인 정부의 독주를 막는 게 더 중요한 가치라고 생각했다' 이렇게 얘기 했습니다. 그리고 황영철 의원도 한 언론과의 인터뷰에서 '철새 아니냐'라는 질문에 이렇게 답 했습니다. '국민의 뜻을 받드는 철새라면 언제든지 다시 철새가 되겠다' 이렇게 말하기도 했습니다.■ 홍준표 자유한국당 대표의 입장도 궁금한데요. 우선은 환영한다는 뜻을 밝혔는데 입당식에는 지각을 했다면서요?자유한국당사에서 입당식이 열렸는데요. 정말 취재열기가 뜨거웠습니다. 제가 자유한국당을 취재한 이래 가장 많은 취재진들이 몰렸다고 해도 과언이 아닐 것 같은데요. 그때 10시 30분에 입당식이 시작됐는데 바른정당의 탈당파 8명의 의원들은 먼저 와서 자리에 앉아있었습니다. 근데 바로 시작될 줄 알았는데 10분이 지나도록 홍준표 대표가 오지 않았거든요. 사실은 오전에 다른 어떤 일정이 있었던 것도 아니고 바로 옆에 당 대표실에 있었는데 10분 동안 자리를 비우고 오지 않았습니다. 그래서 결국에 정말 어색한 분위기가 연출 되었는데요. 탈당한 8명의 의원들은 정말 굳은 표정으로 물만 마시고 침만 꼴딱꼴딱 삼키면서 10분을 그대로 보내는 상황이 연출 되었습니다.■ 김무성 의원이 자신의 자리에 앉았다며 홍준표 대표가 지적해 눈길을 끌기도 했죠.제가 당시에 하도 자리가 없어서 문 바로 옆에 앉아있었거든요. 그래서 한 10분 정도 기다리고 있는데 '대표님 오십니다' 이런 소리가 들리더니 홍준표 대표의 목소리가 들렸습니다. 근데 어떻게 말을 했냐면 '왜 자리를 바꿨노. 저기 내 자린데' 이렇게 말 한 겁니다. 상황이 뭐냐면 그 때 당시의 사무실에서 김무성 의원이 가운데 앉아있었거든요. 그래서 홍준표 대표가 '저기 내 자린데 왜 김무성이를 앉혔노' 이런 맥락에서 말을 했습니다. 아마 그 얘기를 탈당파 8명의 의원들도 들었을 텐데요. 초반부터 기선제압에 나선 거 아니냐 이런 분석이 있습니다. 입당식이라고 하면 화기애애한 분위기 속에 꽃다발도 오고 가는데 그 흔한 꽃다발조차 없었습니다. 그리고 홍준표 대표도 같이 힘을 모아서 문재인 정부의 독주를 막자면서도 '정치적 앙금이 남아있다' 이런 식으로 뼈 있는 환영사를 건냈습니다. 이게 신경이 쓰였는지 김무성 의원도 공개된 모두발언에서 한 마디를 한 뒤에 비공개 회동에서는 단 한마디도 하지 않았다고 합니다.■ 남은 사람들의 이야기를 해보죠. 지금 바른정당과 유승민 의원은 고심이 클 것 같은데요.바른정당에서는 탈당 직후 또 다시 6명 정도의 의원이 추가 탈당할 수 있다는 소문이 급격하게 돌기 시작했습니다. 이 6명의 의원들 '자유한국당과 통합전당대회를 꾸리자 그러기 위해서 바른정당의 전당대회를 조금만 늦추자' 이렇게 유승민 의원에게 지속적으로 요구했던 의원들인데요. 유승민 의원이 받아들이지 않자 '더 이상은 우리도 못 참겠다. 우리도 나가는 수가 있다' 이렇게 탈당설이 퍼진 겁니다. 그러자 유승민 의원이 급격하게 진화에 나섰습니다. 어떻게 진화에 나섰냐면 바른정당을 중심으로 보수 그리고 중도 대통합을 이뤄내겠다. 자유한국당뿐만이 아니라 국민의당까지 바른정당이 중심이 돼서 통합을 이뤄내겠다 한 발 물러서 입장을 보였습니다. '12월까지 가시적인 성과를 내겠다' 이렇게 기존에 강경했던 자강론의 입장에서 한 발 물러났는데요. 이것도 쉽지 않아 보입니다. 홍준표 대표가 페이스북에 이렇게 글을 올렸거든요. 바른정당 8명의 의원이 탈당하고 나서 이렇게 글을 올렸는데 '문을 닫고 내부 화합에 주력하겠다' 한 마디로 더 이상 바른정당 의원들을 받지 않겠다 이렇게 선언을 한 거거든요. 그래서 유승민 의원이 뒤늦게 마음을 돌렸지만 실제로 보수 중도를 아우르는 통합이 이뤄질지는 미지수입니다.■ 바른정당 출입기자로서 지금의 사태를 보는 소회가 남다를 것 같습니다.바른정당에 대해서 출입기자들이 느끼는 감정이 각별할 겁니다. 자신의 정치적 성향과 맞냐 아니냐를 떠나서 그들이 처음에 내걸었던 가치에 대해서는 공감하는 사람들이 많을 건데요. 개혁적인 보수, 낡은 보수가 아니라 새로운 보수, 따뜻한 보수, 젊은 사람들이 공감할 수 있는 보수 세력을 키운다는 것에 대해서 많은 사람들이 공감했고 성공하기를 바랐을 겁니다. 결국에는 현실의 무게를 이기지 못한 거 아니냐는 아쉬움이 있습니다. 아직은 우리 정치가 대의나 명분도 실리 앞에서는 작아질 수 밖에 없다를 실감하는 장면이어서 씁쓸하기도 했습니다.◆ 이세영 기자    SBS 이세영입니다. 사회부 사건팀을 거쳐 지금은 정치부에서 자유한국당과 바른정당을 취재하고 있습니다. 따뜻하고 다정한, 만나서 이야기 나누고픈 기자가 되고 싶습니다.(기획 : 정윤식 / 촬영 : 주범, 김태훈 / 디자인 : 안준석, 정혜연 / 편집 : 김보희,한수아/ 내용정리 : 정자형)      정윤식 기자(jys@sbs.co.kr)☞[나도펀딩] 연탄기부 참여하기☞[마부작침] 청와대에 침투한 공포의 존재…그의 이름 '꽃매미'※ © SBS &amp; SBS I&amp;M. : 무단복제 및 재배포 금지   ]","['기자들이 젤 좋아하는 국회의원이 유승민.', '보수의 재편은 끝난건가? 작년 촛불집회에 참여하면서, 보수세력이 일신하기를 그렇게 빌었건만.']",http://www.newsis.com/view/?id=NISI20171129_0013602298,https://n.news.naver.com/mnews/article/055/0000585258?sid=100
