Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.03.31.,경남일보,,함안군 전국 최고 말 산업 중심지로 부상,,,http://www.gnnews.co.kr/news/articleView.html?idxno=497093,http://gnnews.co.kr
2022.03.28.,파이낸셜뉴스,,"애경산업 루나, '라이팅 업 포뮬라 팟' 출시",,,http://www.fnnews.com/news/202203280934168067,http://www.fnnews.com/
2022-03-28 09:37:04,한국경제언론사 선정,경제,"""150조 실버산업 잡아라""…롯데, 마곡에 시니어타운","[            [파이낸셜뉴스] 애경산업은 메이크업 전문 브랜드 루나에서 다채로운 반짝임으로 눈화장을 완성해주는 '라이팅 업 포뮬라 팟'을 출시했다고 28일 밝혔다.   이번 신제품은 원하는 룩에 따라 다양한 아이 메이크업을 연출해주는 팟 타입의 글리터이다. 미세 펄부터 유리조각 빛 글리터까지 다양한 입자 크기의 글리터 펄이 입체적인 반짝임을 연출해준다. 텁텁함 없이 맑게 발색돼 덧바를수록 컬러감이 풍성해져 다양한 연출이 가능하며 눈두덩이, 애교살, 눈 앞머리 등 원하는 곳에 자유롭게 사용할 수 있다.   원하는 제형에 따라 선택할 수 있도록 △피부에 부드럽게 녹아드는 멜팅 제형의 '쉬머링' △부드러운 크림 파우더 제형의 '대즐링' △워터젤 제형의 '빅 파츠' 등 총 3가지 타입으로 구성돼 각 2가지 색상 총 6종으로 출시됐다.   타입별로 '쉬머링' 타입은 △누드톤 베이스에 실버 색상의 미세 펄이 함유된 '베어' △베이비 핑크 베이스에 블루와 퍼플 색상의 미세 펄이 함유된 '하이틴' 등 2가지 색상으로 구성됐다. '대즐링' 타입은 △샴페인 골드 베이스에 오팔 펄이 함유된 '샴페인' △퍼플 핑크 베이스에 오팔 펄이 함유된 '미스틱' 등 2가지 색상으로 선보인다. '빅 파츠' 타입은 △화이트 계열 베이스의 '글림 온' △코랄 핑크 베이스의 '로즈 쿼츠' 등 2가지 색상으로 구성됐다.   루나 담당자는 ""마스크 착용이 장기화되면서 아이 메이크업에 관심을 갖는 소비자들이 더욱 많아졌다""며 ""루나 라이팅 업 포뮬라 팟은 마스크 착용에도 다양한 포인트 메이크업을 손쉽게 연출할 수 있을 것""이라고 말했다.   ]",[],https://www.hankyung.com/economy/article/2022032073521,https://n.news.naver.com/mnews/article/014/0004809965?sid=101
2022.03.28.,헬스경향,,"일동제약, '2022 한국산업의 브랜드파워'에서 9년 연속 1위",,,http://www.k-health.com/news/articleView.html?idxno=58729,http://www.hankyung.com/
2022-03-20 17:36:02,국제신문,경제,산업도시 울산마저 고령사회 초읽기,"[ 그룹 미래 먹거리 육성 위해'시니어 빅데이터' 전초기지로    2024년 완공될 부산 'VL 오시리아' 조감도롯데가 실버산업을 미래 먹거리로 낙점하고 본격 뛰어든다. 부산 기장군 오시리아에 이어 서울 마곡에 ‘5성급’ 실버타운을 짓는다. 롯데는 실버타운을 ‘시니어 빅데이터’ 전초기지로 삼아 사물인터넷(IoT) 시장에 진출하는 등 ‘실버케어’ 비즈니스를 그룹의 핵심 미래 먹거리로 키운다는 전략이다. 20일 지방자치단체와 건설업계 등에 따르면 서울시는 롯데 ‘VL 마곡’의 건축심의를 진행 중이다. VL은 롯데가 최근 확정한 실버타운 전용 브랜드다. 782가구 규모로 2025년 7월 완공이 목표다. 롯데 관계자는 “입주자 공간을 좀 더 넓히라는 심의위원회의 권고에 따라 계획안을 수정 중”이라며 “착공 일정에는 변동이 없다”고 말했다.롯데는 오시리아, 마곡에 이어 경기 용인 등 수도권에도 실버타운 건립을 추진하고 있다. 대기업 중 실버타운사업에 본격 뛰어든 것은 롯데가 처음이다. 롯데 외엔 삼성생명공익재단이 용인에 조성한 삼성노블카운티가 유일하다.신동빈 롯데 회장은 실버케어를 “롯데가 가장 잘할 수 있는 일”이라며 전 계열사에 총동원령을 내린 것으로 알려졌다. 호텔을 주축으로 쇼핑·식품·정보기술(IT) 등 전 계열사를 연합군으로 구성해 신사업을 개척하라는 주문이다.2020년 기준 국내 실버산업은 149조원 규모에 달하지만 실버주거산업은 아직 초입 단계다. 관련 산업 규모는 국내총생산(GDP)의 0.63%로 고령화가 한발 빠른 일본의 2.37%에 비해 크게 낮아 성장성이 높은 분야로 꼽힌다. 지난 10년(2011~2020년)간 한국의 고령 인구는 연평균 4.2% 증가해 고령화 속도가 일본(2.1%)보다 빠르다. ]","['자식들 믿지마라!!\n실버타운이 답이다^^\n\n나도 혼자인데 실버타운 생각한다 ^^\n사람을 믿지않음 자식도 마찬가지 ㅋㅋ 오로지 돈이 해결한다 ^^ 그리고 남은돈으로 자식들 물려준다 일단 나부터 챙기고 자식들 재산주고 모실걸 같냐? ㅋㅋ 1년 유효기간 끝나면 ( 1년 동안은 잘하겠지 ^^ ) 다음은 줄것 없어지면 서서히 팽 당하고 무시한다 ㅋ\n실버타운은 체육시설 및 사우나 의료 모든것 갖춰져있다\n노인정과 차원이 틀림 ㅋ. 그래서 돈이 많아야 됨', '', '저런 돈 많은 실버들이 입주하는 타운도 좋지만 일반 서민용 실버타운도 건축 좀 하시죠', '지방에 오래된 아파트들 리모델링해서 서민용 실버타운 으로 하면 좋겠다 식사와 의료 케어까지 체계화 하면 일자리 창출도 되고 좋을텐데.', '', '실버 타운이라는 이름을 빼라.... 고급 주택을 지어놓고 왜...  마치 노인 요양원같은 인식을 주는지 모르겠네...  요즘 혼자사는 사람들이 얼마나 많은가...  나이를 불문하고 누구나 필요한 사람이 들어가서 살도록하면 되는 것이지...  왜 실버라는 이름을 넣어서 노인들만 모여사는 곳으로 인식하게 만드는지...  브랜드의 값어치를 떨어뜨리는 짓을 하지 말고...  좋은 이름을 지어 누구든지 필요한 사람들이 들어가서 살도록 해야 한다고 본다....실버타운 이라는 이름  자체를 노인들도 싫어한다.  요즘 노인은 노인이 아니거든...', '중산층을 위한 실버 타운도 필요한데..', '민주당 처럼 돈의 흐름을 막거나 끊으면 국민들이 힘들어지는거다. 국힘당처럼 규제 풀어서 돈의 흐름을 강화시켜야 경제가 살아난다.', '요즘아파트에 휘트니스 ,골프, 수영장 다있고 경로당 가면 친구 다있는데. 궂이  집앞에 가정의학과 다있고..쩝. 아파서 잘 못움직이면 요양원을가야지.. 쩝..', '롯데가 이제 생각이란 걸 좀 하는 듯. 계열에 바이오나 병원이 없는 게 단점이지만 최근 행보중 가장 기대됨.', '실버타운의 주인이 어떤 마인드로 운영하는가에 따라 그곳에 입주한 입주자의 만족도가 많이 차이가 날것입니다 부산오시리아의 경우 롯데는 운영만 맡고 있는 위탁경영업체 입니다 만약 주체측에서 이익만 추구한다면 문제점이 발생합니다 그리고 한번 입주하면 장기적으로체류를 목적으로 합니다. 그래서 더욱 신중해야합니다. 아쉬운점이 있다면 실버타운은 공공성에 목적을두고 지자제나 국립병원 국가가 운영하는 쪽에서 운영하는 실버타운건립이 절실히 필요합니다', '', '', '너무 비싸다! 혼자사는 사람에겐 아니다!', '', '', '노인들은 노인들끼리 몰아넣는 실버타운을 누가 좋아하지? 쩝.', '내 미래는 남편이나 자식이아니라 내돈이 책임져준다.... 자식에게 기대하고 애낳지마세요.', '돈이 효자다.  자식에 기대하고 의지하면 노후가 불행해진다. 바라지 않으면 섭섭하지도 않다. 내자식 불효자식 만들지 않고 내 앞가름 내가 하며 사는게 잘사는 거다.', '', '', '늙으면늙을수록 돈있어야사람대접받는다 한달일년은길어도 10년은짧다명심해라', '앞으로 실버산업은 국립으로 많이 전환 될텐데~', '', '차별화 최고급이면 먹힌다. 중간은 망한다', '', '이글보니  노년 사회가  빨리 온다는것처럼  느껴지고  ~  나이들면서   병원가는 비용도  만만치 않던데 ~~', '우아 ! 예쁘다', '나중엔 거품빠진 망한 신도시들은 실버타운될듯', '', '', '바가지 상술로 돈벌 궁리만하는 버릇 정말 한심하다', '광고다 광고...', '놋데의 IT역량이라……\n롯정??? 월급가지고 장난치는 회사란거 알고는 계시나…\n다들 탈출러쉬던데 요즘…', '중산층을 위한 가성비 좋은 실버타운?  있었으면 좋겠어요 운동도 하며 식사제공되는 정도로요~~\n뭐 취미생활할수 있는 문센과 도서관도 있음 좋겠구요\n국가 차원에서 해 주면 좋은데 기업에서  로비받아 아마도 천천히 하겠죠?', '서민용 실버타운을 만들어서 식사 의료를 체계화 하라는 댓글이 있는데 서민들한테 받을 월 금액 정도로 택도 없음 그래서 고급 실버타운민 존재하는거지', '내미래. 실버타운. 저기못들어가서 난리임. 대기번호받고 기다려야할걸요', '결국 부자들을 위한 사업이네요\n폐지 주우면서 병원도 잘못가는 노인들이 얼마나 많은데', '실버타운이 요양원 아녀요 노년에 거동하거나 약한 일부 비거동이죠', '서울에 실버타운 피붙은  것 보셨나요 분양한 것에는 경매로 자주 나오고 응찰자 없어 바닥인데 롯데는 어떻게 한다는 것인지 내용을 봐야 쉽지는 않을 거요 고비용의  실버타운 같은 실버끼리 집단생활  선호 비선호 여러분은 ?', '내 미래. ..?? ㅠㅠ', '2018년 2월 롯데엑셀러레이터 사내 공모에 내가 제안한 그룹 신규사업이네.“시니어들 위한 상품개발-롯데타운” 하!~~ 개인적으로 씁슬하지만 잘되기 바란다!', '요양병원을 가느냐 실버타운을 가느냐. 결국 돈이지 뭐', '부산롯데타워 건설문제를 해결하라 사업성이 없는지 다른 건설사업보다 진척이 없다 의지가 없다면 서로 합의하에 헤어지는것이 맞다', '가격 괜찮은데', '롯데가 한다니 가고싶다가도\n안가고 싶네요  믿음이 없는 장사꾼\n제가 롯데 아파트사고 부실  하자에\n지난15년을 고생했읍니다\n저는 롯데백 롯데리아 로데시네마 롯데마트 롯데는 이제 안가요\n옛날 내 지인들이 롯데 칠성사이다도\n안먹는다고해서 이해가 안되었는데\n지금은 이해가 되고 홍보하고싶읍니다  국민을 개돼지로아는 이런곳이  \n있다니  제 친구는 롯데에 납품하고\n부도가 나서 신용불량이  되어있고\n아이고 이젠 실버들 돈 까지\n에라이  좃데', '', '너무고가 ㅉ.ㅉ', '늦게 죽을수록 죽음마저 추해진다', '', '효과 .이익이 있겠죠 없는데 아무생각없이 옮기는게 아니겠지 부작용도 생각하고 뭐가 이익인지도 생각하고 옮기겠죠 그냥 보요 주기식이 아닌길 바람', 'OECD 기준. 우리나라 노인빈곤층 세계1위 국가 인데 월세 3백-5백만원 주고 들어갈 노인들이 얼마나 있겠나 ..용인에 실버타운도 분양이 안되어 텅텅 비어있는데. 한경기자 돈 받고 롯데 광고 해주는 뻘 짓 뻔하다.', '롯데가 신사업 선택은 잘못한것 같다.\n노인층만 입주해서 산다는건 더 안좋은 삶이고, 향후 신규 주택은 갈수록 IoT를 기반으로 하는 주거단지로 진화하는데 롯데가 구상하는 실버타운은 메리트가 없어 보인다.', '실버타운은 말그대로 국영체제로 운영되어야지 안그러면 지금의 요양원처럼 되어버린다고본다.노인들을 볼모로 그야말로 비참한 나날을 보낸다. 70세가되면 적정한 보증금만으로 희망자에 한해 월 무료로 생활하는 실버타운으로 여생을 케어받도록하는 제도가 되어야된다고봅니다.그렇지않으면 모두가 힘들어짐!', '국가 경제에 생산적인 일을 좀 하세요.', '', '늣데는 질에비해 가격 덤탱이 씌우는데는 일가견있지', '나는 마지막 순간까지 집에서 조용히 숨 거두고 싶음...  말만 뻔드르 하지 사실상 요양원....;;;;', '과연 들어가 살수있는분이 얼마나 될까요', '서울 땅에 굳이 실버타운을? \n젊은 노동인구도 서울에 다 수용이 안되는데 굳이…\n롯데건설 맘에 안든다', '롯데는 제와적  실버타운이  아니라 서민용 실버타운도 지어라  너무 돈벌이 치우치지 말고  삼성처럼 기부도 하고   그저 돈독에만  눈뜨지 말구', '그랜드틀니타운']",http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20220324.99099006416,https://n.news.naver.com/mnews/article/015/0004675873?sid=101
2022.03.29.,포인트데일리,,"롯데지주, '바이오·헬스케어' 미래산업 점찍고 글로벌 시장 진출한다",,,http://www.thekpm.com/news/articleView.html?idxno=113557,http://www.k-health.com/
2022.03.25.,세계일보,,"산업 수도 울산, 2022년 고령사회 진입 전망",,,http://www.segye.com/content/html/2022/03/24/20220324508963.html?OutUrl=naver,http://www.kookje.co.kr/
2022-03-24 16:44:03,연합뉴스,사회,마트에 '실버카페' 생긴다…정부-기업 '시니어지원사업' 협업,"[ 작년 노인인구 비율 13.6%… 올해중 진입 전망우리나라 최대 산업도시로 한때 비 고령 인구가 가장 많았던 울산이 올해부터 노인인구 비율이 14%가 넘는 ‘고령사회’에 접어들 것으로 전망된다.24일 울산시가 발표한 울산 노인인구(만 65세 이상 내국인) 통계 분석 결과에 따르면 2021년 기준 울산 노인인구는 15만2916명으로 전체 인구의 13.6%를 차지했다. 2011년 노인인구 비율이 7%를 초과하는 고령화 사회에 진입한 이후, 10년 만에 고령사회 기준에 육박한 것이다.    울산 노인인구 증가 추이최근 10년간 연평균 약 7%씩 증가한 노인인구 증가세를 고려할 때, 올해는 고령사회에 진입할 것으로 예측된다. 다만 전국적으로는 울산 노인인구 비율은 여전히 낮은 것으로 나타났다. 지난해 전국 노인인구 비율은 17.1%로, 울산보다 3.5%포인트 높았다. 지역별로 보면 울산은 세종(10.1%)에 이어 전국에서 두 번째로 노인인구 비율이 낮았다.울산 노인인구 성비는 여자 8만2927명(54.2%), 남자 7만34명(45.8%)으로 여자가 더 많았다. 고령화에 따른 기대수명도 점차 늘어나는 추세다. 2020년 기준 울산시민 기대수명은 82.7세로, 2011년의 79.6세보다 3.1세 늘었다. 성별로는 여자 85.1세, 남자 80.4세로 여자가 4.7세 더 많았다.기대수명이 늘고 고학력 퇴직자가 많아지면서, 은퇴 후 새로운 일자리를 찾는 실버세대도 늘고 있다. 베이비붐 세대가 은퇴를 시작한 2020년 울산의 노인 구직신청 건수는 6862건으로, 전년도 5052건보다 35.8%(1810건)이나 증가한 수준을 보였다.지난해 울산의 노인가구는 8만2543가구로, 울산 전체 가구(44만4087가구)의 18.6%를 차지했다. 노인가구 가구원 수를 보면 ‘2인 가구’가 3만8696가구(46.9%)로 가장 많았다. 이어 ‘1인 가구’ 2만7387가구(33.2%), ‘3인 이상 가구’가 1만6460가구(19.9%) 순이었다.시 관계자는 “기대수명 증가, 출생인구 감소, 베이비붐 세대의 노인 편입 등 고령층 증가에 대비한 맞춤형 정책 요구가 커지고 있다”며 “통계자료를 바탕으로 시민 수요에 맞는 정책을 펴도록 노력하겠다”고 말했다.   ]",[],http://yna.kr/AKR20220317036900001?did=1195m,https://n.news.naver.com/mnews/article/658/0000005171?sid=102
2022.03.24.,디지털타임스,,"비투엔-광주시, AI산업 생태계 조성 협력",,,http://www.dt.co.kr/contents.html?article_no=2022032402109931650005&ref=naver,http://www.thekpm.com/
2022.03.17.,지디넷코리아언론사 선정,,이마트 카페마을 1호점 오픈…국내 첫 민관 실버카페 사업 눈길,,,https://zdnet.co.kr/view/?no=20220317133704,http://www.segye.com
