Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2023.02.23.,소셜밸류,,초고령사회 코앞까지 온 대한민국…미래 먹거리로 ‘각광’ 디지털 실버케어 ...,,,https://www.socialvalue.kr/news/view/1065598094371919,http://www.socialvalue.kr/
2023.02.28.,부산일보,,"부산 주력산업, 초정밀부품·저온고압에너지저장·실버케어테크로 재편된다",,,https://www.busan.com/view/busan/view.php?code=2023022810354155204,http://www.busan.com/
2023-02-28 10:37:01,서울경제TV,경제,"한양사이버대학교, 2023학년도 1학기 실버산업학과 신·편입생 추가모집","[ 중기부·부산시, 2023 지역산업진흥계획4개 사업서 3개 주력산업으로 조정전력반도체, 수소 저장·운송은 미래 신산업    부산시가 미래 신산업으로 전력반도체와 수소 저장·운송 산업을 꼽았다. 사진은 국내 한 기업에 설치돼 있는 전력반도체 생산시설 모습. 부산일보DB부산 주력산업이 4개 산업에서 실버케어 테크를 비롯한 3개 산업으로 재편된다. 전력반도체와 수소 저장·운송 산업은 아직 성숙 단계는 아니지만, 부산의 미래 먹거리를 가져올 미래 신산업으로 새롭게 지정됐다.부산시는 중소벤처기업부 고시에 따라 ‘2023년도 부산지역산업진흥계획’을 수립하고 △초정밀 소재부품 △저온고압 에너지 저장 공급시스템 △ 실버케어 테크를 부산 주축산업으로 조정했다고 28일 밝혔다.세부적으로는 초정밀 소재부품 산업에서 천연·인공소재, 탭과 밸브, 금형을 비롯한 공정 부품, 동력전달부품, 공정제어 분야를 지원한다. 저온고압 에너지 저장 공급시스템 산업에서는 연료용 가스 혼합분리, 저장 용기·부품, 연료이송장치 분야를 지원하기로 했다. 실버케어 테크 산업에서는 진단치료기기, 생체신호 측정·제어장치, 재활보조기기, 고령친화용품 분야의 지원을 확대한다.부산시는 앞서 첨단기계융합부품, 친환경미래에너지, 라이프케어, 지능정보서비스 등 4개 산업을 주력산업으로 지정하고 육성해왔는데, 이를 기술 성숙도가 높고 지역에 산업 기반을 갖춘 산업 3개를 주축산업으로 조정했다.또 아직 부산 내 산업 기반은 부족하지만 향후 새로운 성장동력이 될 수 있는 전력반도체와 수소 저장·운송 산업을 미래 신산업으로 새롭게 지정하고 지원을 확대한다.이를 위해 올해 205억 원의 예산을 투입해 유형별 대표 기업군을 중심으로 R&amp;D(연구·개발), 사업화 지원을 중점 지원한다. 또 지역별 여건과 특성을 고려해 부산지역산업 성장단계별 맞춤형 지원 사업을 새롭게 시작한다. 인구감소지역 내 중소기업의 지역 연고 자원을 발굴해 지역소멸 위기에도 대응한다는 방침이다.부산시 신창호 미래산업국장은 “2023년 지역산업진흥계획을 바탕으로 주축산업과 미래 신산업을 함께 육성하여 기업과 기업이 함께 성장하는 지역혁신성장 생태계를 구축하는 데 최선을 다하겠다”고 말했다. ]",[],http://www.sentv.co.kr/news/view/645946,https://n.news.naver.com/mnews/article/082/0001200159?sid=101
2023.02.10.,경상일보,,"한양사이버대학교 실버산업학과, 2023학년도 1학기 신·편입생 추가모집 실시",,,http://www.ksilbo.co.kr/news/articleView.html?idxno=961256,http://www.sentv.co.kr
2023.02.27.,에너지경제,,초고령화에 대비하자…실버산업에 뛰어드는 건설업계,,,https://www.ekn.kr/web/view.php?key=20230227010006373,http://ksilbo.co.kr
2023.02.13.,토큰포스트,,"親 암호화폐 은행 실버게이트, 월가 주식 중 '공매도' 두 번째로 많아",,,https://www.tokenpost.kr/article-122380,http://www.ekn.kr
2023.02.12.,파이낸셜뉴스언론사 선정,,보험사 실버타운 부지 마련 나서.. 규제 풀어준 공공임대는 외면,,,http://www.fnnews.com/news/202302081452422120,https://www.tokenpost.kr
2023.02.09.,경상일보,,"한양사이버대 실버산업학과, 1학기 신·편입생 추가모집",,,http://www.ksilbo.co.kr/news/articleView.html?idxno=961126,http://www.fnnews.com/
2023-02-12 14:53:02,코메디닷컴,경제,[동정]실버산업전문가포럼 회장에 이상용 엠씨텍 대표,"[ 신한라이프와 KB손해보험 앞장서 실버타운 사업에 진출...실버 서비스 모색 차원     장기요양보험 신청자 수 및 인정자        [파이낸셜뉴스]신한라이프와 KB손해보험이 서울과 수도권, 광역도시 등에 실버타운(노인요양시설) 설립을 위해 부지 선정 작업에 나섰다.   신한라이프는 조만간 부지 선정을 마치고 본격 사업을 시작할 것으로 알려졌다. 그러나 정부가 노인요양시설을 공공임차로 할 수 있도록 규제를 풀어줬지만 보험사들은 당장 공공임차보다는 부지 및 건물 매입을 선호하고 있다. 공공임차로 이용할 수 있는 노인요양 시설이 제한적이기 때문이다.   12일 관련 업계에 따르면 일부 보험사들은 노인요양시설 마련에 적극 나서고 있다. 신한라이프는 서울을 중심으로 수도권에 일부 부지를 놓고 막판 검토 중인 것으로 알려졌다.   업계 관계자는 ""부지 및 건물 매입 등으로 서울 강남권 등에서 가시적인 성과가 곧 나올 것""이라며 ""공공임차보다는 직접 매입쪽으로 가닥을 잡는 것으로 알고 있다""고 전했다. 신한라이프 관계자는 ""몇 곳의 부지를 놓고 검토 중""이라며 ""아직 최종 결론은 나지 않았다""고 전했다.   KB손해보험 역시 수도권과 주요 광역시를 중심으로 노인요양시설 설립을 추진하고 있다.   KB손보는 이미 2017년 서울 강동구에 주야간보호시설인 강동케어센터를 만들었으며 이후 위례, 서초에 'KB골든라이프케어'를 만들었다. 서울 은평구에는 올해 말 개설을 목표로 현재 건물을 올리고 있다. KB손보가 만드는 노인요양시설은 100여명이 입주할 수 있는 고급 실버타운이다.   이처럼 보험사들이 인구의 고령화로 실버 서비스를 새로운 사업으로 모색하고 있다.   한국보건산업진흥원에 따르면 국내 실버산업 시장 규모는 2020년 72조원에서 2030년 168조원 규모로의 성장이 예상된다.   하나금융경영연구소 조사 결과 노인장기요양보험 지급액은 2015년 약 4조 5000억원에서 2021년 11조1000억원으로 6년 만에 2배 이상 증가했다. 반면 시설 운영은 영세한 사업자 위주로 형성되고 있다. 보건복지부의 2019년 조사에 따르면 노인요양시설 운영 주체는 75% 이상이 개인사업자다.   보험사들은 최근 몇 년동안 노인요양시설 설립의 규제를 풀어달라고 정부에 요청했다. 그동안 노인요양시설을 마련하기 위해서는 사업의 안정성과 노인들의 복지를 위해 사업자가 토지, 건물을 소유해야 했다. 그러나 보험사들은 임대도 허용해달라고 건의했고 정부는 지난해 3월 폐교나 공공부지에 대한 임대는 허용해줬다.   최근에는 금융당국이 폐교를 활용해 노인요양시설 마련을 보험회사 권유하고 있지만 보험사들은 외면하고 있는 상황이다. 보험사들은 주로 서울이나 수도권 등 인구 밀집 지역에 고품격 노인요양시설을 만들고 싶어한다.   보험업계 관계자는 ""보험사들이 추진하는 실버타운은 고품격을 지향한다""며 ""문화시설, 쇼핑, 의료가 갖춰진 대도시 고령화를 타깃으로 한 것""이라고 전했다.   ]",['실버타운 투자는 괜찮은 판단이다. 지금 빈곤한 노인들도 많지만 상대적으로  부를 움켜쥐고 있는 노인들이 훨씬 많다. 이 사람들이 앞으로 돈을 어디에 풀 것인가. 자식에게 물려주는 것도 아니고 오직 여생을 잘 살다가 가는 것이다. 그래서 실버 산업이 번창하게 되어 있다. 젊어서 흥청망청하다가 늙어서 빈곤하게 되고 외롭게 되는 것이다. 그러니까 지금 청년들도 미래 대비 안 하면 결국 외로운 노인 빈공층으로 떨어지게 되어 있다.'],https://kormedi.com/?p=1566002,https://n.news.naver.com/mnews/article/014/0004967832?sid=101
2023.02.08.,더파워,,"한양사이버대학교 실버산업학과, 2023학년도 1학기 신·편입생 추가모집",,,http://www.thepowernews.co.kr/view.php?ud=2023020810552186516cf2d78c68_7,http://ksilbo.co.kr
