Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.10.31.,일요신문,,"'다큐프라임' 일정기간 입양되지 않으면 안락사되는 유기동물, 대책은",,,https://ilyo.co.kr/?ac=article_view&entry_id=439746,http://www.ilyo.co.kr
2022.10.31.,뉴시스,,"[인터뷰]이준익의 '욘더' 세계…""불멸은 인간의 이기심에서 비롯""",,,http://www.newsis.com/view/?id=NISX20221031_0002067118&cID=10601&pID=10600,http://www.newsis.com
2022-10-31 08:00:00,크리스천투데이,,“안규백 의원 조력존엄사 입법? 안락사일 뿐”,[],[],https://www.christiantoday.co.kr/news/350734,https://n.news.naver.com/mnews/article/003/0011506702?sid=106
2022.10.28.,한국일보언론사 선정,,"[애니청원] ""멀쩡한 반려동물 안락사 알선행위 금지시켜 주세요""",,,https://hankookilbo.com/News/Read/A2022102715470004753?did=NA,http://www.chtoday.co.kr/
2022.10.30.,비즈엔터,,'다큐프라임' 다양한 입양 동물의 이야기,,,http://enter.etoday.co.kr/view/news_view.php?varAtcId=232264,http://www.hankookilbo.com/
2022-10-28 11:01:03,위키트리,생활/문화,“남한산성 꼭대기에서 '누더기견'을 발견했습니다” (+사연) [함께할개],"[ &lt;43&gt; 반려동물 안락사 알선행위 막아달라는 몰티즈 '버트'편집자주문재인 정부 시절 '국민이 물으면 정부가 답한다'는 철학으로 시작된 청와대 국민청원은 많은 시민들이 동참하면서 공론의 장으로 자리 잡았다는 평가를 받았습니다. 하지만 말 못하는 동물은 어디에 어떻게 억울함을 호소해야 할까요. 이에 동물들의 목소리를 대신해 의견을 내는 애니청원 코너를 운영합니다.    올해 1월 경기 남양주시 일패동 불법 번식장에서 구조된 몰티즈 ‘버트’. 카라 제공저는 올해 1월 경기 남양주시 일패동 불법 번식장에서 구조된 몰티즈 '버트'(9세) 입니다. 비닐하우스 안 분뇨와 악취가 가득한 철창에서 번식에 동원되다 구조됐지요. 제대로 된 돌봄을 받지 못해 저를 포함한 개들은 심장사상충, 슬개골 탈구, 척추 협착 등 각종 질환에 노출되어 있었습니다.개들이 열악한 환경에서 번식에 동원되는 건 이른바 '품종견'을 구매하려는 수요가 있어서입니다. 동물을 쉽게 입양하다 보니 그만큼 쉽게 버리기도 하는데요. 최근 이사 간다고, 노령인데 발작증세와 입질이 있다는 등의 이유로 키우던 반려동물을 안락사 시키려는 사람들을 겨냥해 안락사 시켜주는 수의사나 장묘업체를 알선하는 업체들이 생겨나고 있다고 합니다.    건강한 반려견을 사정상 키울 수 없게 돼 안락사 가능 여부를 문의한 글에 안락사 알선 업체는 개들만 데려다가도 안락사가 가능하다고 답하고 있다. 카라 제공    안락사 알선업체 게시판에 안락사 가능 여부를 문의한 글에 해당 업체가 가능하다고 답한 내용의 글이 올라와 있다. 카라 제공동물권행동 카라는 이달 초 ""건강한 동물을 안락사 시키려는 반려인에게 안락사를 행하는 동물병원 수의사와 장묘업체를 알선해주는 업체가 있다는 정보를 접하고 실체를 확인했다""고 밝혔는데요. 해당 업체 홈페이지 게시판을 가보니 안락사 가능여부를 문의하는 질문에 ""모두 가능하다""는 식으로 답변이 올라와 있습니다. 카라의 안락사 문의에도 ""날짜와 시간을 정하면 언제든 가능하다""고 답했는데요.카라는 해당 알선업체와 동물병원 수의사를 동물보호법 위반 혐의로 13일 경찰에 고발했습니다. 동물보호법 제8조 제1항 제4호는 수의학적 처치의 필요, 동물로 인한 사람의 생명∙신체∙재산의 피해 등 농림축산식품부령으로 정하는 정당한 사유 없이 죽음에 이르게 하는 행위를 동물학대로 보고 엄격히 금지하고 있습니다. 즉 수의학적 처치의 필요 등 정당한 사유 없이 동물을 죽음에 이르게 했다는 겁니다.신주운 카라 정책팀장은 ""수의사는 동물의 진료와 질병 예방업무를 담당하며 건강을 증진해야 하는 의무가 있다""며 ""업체의 소개로 안락사를 실행한 수의사는 본연의 책무를 저버렸다""고 주장했습니다.    카라는 안락사를 수의사에게 알선한 알선업체와 안락사를 시행한 수의사를 동물보호법 위반으로 경찰에 고발했다. 카라 제공동물을 소유물로 여겨 필요 없어졌다고 함부로 안락사를 시키는 반려인, 수의사, 알선업체도 문제지만 안락사를 알선한 홍보업체를 처벌할 근거가 마땅치 않다는 점도 개선돼야 한다는 지적이 나옵니다. 현행 수의사법에 따르면, 알선행위자를 처벌할 조항은 없습니다. 반면 의료법은 영리를 목적으로 환자를 알선한 자를 3년 이하의 징역이나 3,000만 원 이하의 벌금에 처하고 있지요.동물권 연구단체 피앤알(PNR) 대표인 서국화 변호사는 ""의사와 약사, 변호사에게 환자나 의뢰인을 알선하는 행위를 법으로 금지하고 있지만 수의사법에서는 대상이 동물이라는 이유로 알선행위자를 처벌할 조항이 없는 게 문제""라고 지적합니다. 동물법 전문 한재언 변호사도 ""반려동물도 이제 가족의 구성원으로 인정받고 있는 만큼 수의사도 의료인 수준의 공공성을 갖춰야 한다""며 ""수의사에게 진료를 알선하는 행위를 금지하는 입법이 필요하다""고 강조했습니다.반려동물 안락사 알선행위를 허용한다면 결국 동물이 가장 큰 피해를 보게 됩니다. 멀쩡한 반려동물을 쉽게 안락사 시키는 데 악용될 수 있는 반려동물 안락사 알선행위를 금지시켜 주세요. 나아가 책임감을 갖고 반려동물을 기르는 문화가 확산되길 바랍니다.반려동물 안락사 알선행위를 금지시켜 달라는 '버트'가 낸 청원에 동의하시면 포털 사이트 하단 '좋아요'를 클릭하거나 기사 원문 한국일보닷컴 기사 아래 공감 버튼을 눌러 주세요. 기사 게재 후 1주일 이내 500명 이상이 동의할 경우 해당 전문가들로부터 답변이나 조언, 자문을 전달해 드립니다. ]","['반려동물산업이 없어져야함', '불법개농장 없애라!!!!!!!', '', '멀쩡한 동물 버리지 말아주세요 .아프다고 버리지 말아주세요 .\n동물공장 없애주세요 . 짖는다고 성대수술 하지 말아주세요', '반려동물 입양하는 곳에서 바로 칩등록하는 제도 들여야한다.', '혐오와 증오와 차별을 무기로 선전선동해 후원금 모금해 갈취하는 개빠 동물보호단체는 조직범죄 집단입니다', '참 지들 마음대로 죽인다는거지 감정노동자로 쓰다가 버리는거지. \n그것도 법적으로 수의사만이 안락사용 약물을 이용할수있는거 아닌가요?? 이런짓 하려고 수의사 되는지 \n이미 의료윤리쪽 과실이나 약물유통법같은 문제가 있을텐데 따로 금지한다고 크게 달라질거라고 생각하진 않지만 그것도 규정을 정해야된다고 몇년 시간 끌겠지 하지만.그래도. 금지하는게 맞다고 생각한다 \n주변은 벌로 없지만 이 기사가 꼭 500명 이상의 동의를 위해 공유하도록한다', '진짜 화난다..동물병원장이라는 직업을가지고도 안락사를 시키다니..ㅠ', '일명 개공장을 없에던지 줄이던지해야', '안락사하는 행위를 금지기키고 불법 개농장규제를 더 강화해야하는거 아닙니까? 제발 안락사 알선행위는 금지시켜야합니다!!!', '끝까지 책임지지 않을거면 애초에 데려오지마세요', '그럼 카라에서. ㅡ모든. 안락사.개들. 받아 주던가. 진짜.  대책도.  없이. 저러는거. 보면.  뭐하자는건지.   반려견이. 가족. ㆍㆍㆍ', '안아픈데 죽르만큼 큰 병에 걸랴서 생사를 오고간것이 아닌데 안락사한다 그것도 동물병원에서 그런것들은 자격박탈시키고 강력ㅈ역처벌받게해야죠 에전에 동물농자에서 견주가 몇살안된 개를 안락사 해달고해서 그건 동물학대라고한것 같은되 세상엔 ㅂㅂㄹㅈ 인간말종 해충같은것들 많아요 그런것들 지들이 바퀴벌레 모기 같은부류라고 생각도 못한 모지리들이죠 그런니 그런  파렴악랄 사악짓하죠', '동물에게 더이상 고통이 없었으면 합니다...아이들은 살려고 하고 살고싶어하는데 인간이 죽일 권리는 없다고 생각합니다', '당연히 금지시키고 관련자들은 모조리 강력하게 처벌해야합니다~', '어이상실', '개소리다. 카라가 그럼 전국에서 고령, 장애, 경제적 파산, 사망 등의 이유로 더 개를 기를 수 없는 형편의 사람들 개를 다 받아서 길러 줄 건가? 실제로 일선 관공서에는 이런 문의가 수시로 들어온다. 관공서엔 그럴 예산도 인력도 없고. 결국 수의사와 협의해 안락사를 하는 게 현실적으로 가능한 마지막 선택지지. 아니면 유기하라고 해야 하는데 그것도 결국은 안락사다. 니들이 돈 내서 전국의 유기견 다 돌볼 거 아니면 헛소리하지 말고 현실을 봐라.', '동물 목숨 파리 목숨으로 아는것들은 다 사형시킨다는 기사가 나오는 날이 오길!', '동의합니다!!', '귀찮다고  안락사시켜달라고  동물병원에  갖다놓는인간들진짜로 봤다  원장님이  착해서  그냥 키우더라  그런것들 죽을때 절대 온전히 못죽을거다', '감사합니다. 이런 기사 자주 써주세요', '금지시켜야합니다. 금지시켜야 개생명을 소중히 여길 것입니다. 금지시키면 보호소에서 관리해야하는 개들이 많아지겠죠. 그러면 나라에서도 반려견 입양 정책에 대해 생각해보고 결론내지 않을까요? 무턱대고 버리는 사람들은 개를 데리고 오면 안되는 사람들이었으니까요.  반려견 학대와 무턱대고 버리는 행동에 대한 형벌이 강화되지 않을까요? 개를 단순히 귀엽다고 데리고 올 수 있는 우리나라.. 안락사라도 금지시켜야 사태를 깨달을 것입니다. 이미 세상에 태어난 수많은 생명이 왜 마땅한 이유없이 죽어나가야하는지 저는 잘 모르겠네요…', '저도 반려견 세마리 키우며 행복할 때도 있고 힘들때도 있습니다..그래서 개성이 강하고 거친 아이는 버림을 받는 것도 어느정도는 이해합니다..그래서 버려진 아이들은 보호시설로 가서 시간이 지나면 안락사 대상이 됩니다ㅠㅠ...\n그런데 생각을 달리 해보면 버린 반려견은 늘고, 그  반려견은 안락사 하지 말라고 하고...그럼 어떻게 해야 할까요?', '정부에서 병들거나 늙거나 못키울것같은 동물은 정부에서 책임을져야 함 다 이나라 인간 동물이니까  쓰레기 도 이나라 쓰레기 잖아', '', '기사 너무 충격...... 동물은 물건이 아니라는 민법부터 개정이 되길 바랍니다', '안락사금지 되면 편법이 또 생기고 비용만 더 부풀듯 안락사를 금지시키는게 아니라 못키우면 입양보낼수있게  이용편리하도록 기관이나 사이트를 운영해라', '대한민국이 더욱 선진화가 되기 위해서는\n동물권에 대한 국가와 시민의식의 변화가 필요합니다.\n동의합니다. 안락사 멈춰주세요\n이제는 달라져야할때입니다!!!!!!', '안락사멈춰주세요 제발', '안락사 멈춰주세요', '나쁜 사람들', '소중하지 않은 생명은 없어요\n인간들이 제대로 지켜주지 않으면 \n언젠간 꼭 되돌려 받을거라 생각합니다\n제발 생각이란걸 하고 살았음 좋겠네요\n꼭 법으로라도 막아주시길 간절히 바랍니다', '', '', '금지시켜주세요', '금지시켜주세요ㅠ 충분히 사랑받을자격있습니다!!', '🙏', '금지시켜야합니다.', '진짜 사람아닌것들 너무많다\n사는동안 고통이란 고통 다받고 쓰레기만도 못하게 버려지길.. \n이런일들이 계속 반복되고 기형적으로 나타나는건 동물보호법이 너무너무 약하고 체벌도 처벌도 솜방망이니까. 제발강화좀 해주세요.\n물건이아니라 살아있는 생명이에요.', '🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻', '수의사새키들이 나서서 안락사를 권장하다니 개소리하는 댓글들은 말할것도없고 동물을 진정으로 생각한다면 공장견,묘 펫샵 금지하고 유기할시 법적 처벌 받게하고 정말 무슨 사정상 못키우게될시 보호 재입양 받게하는 시설이 필요하다 쓰레기같은것들아 니들이 인간으로 태어난걸 다행으로알아 아니였음 니들도 저렇게 동물로 태어나 죽임 당했을지 어찌아냐?', '🐶🐕🦮🐕\u200d🦺🐶🐶', '생명보다 돈 한심한 인간들이고 욕할 가치가 없네요', '제발   제대로된 동보법좀  ..  지겹다', '솔직하게 같은 반려인의 입장으로서 안락사가 주는 부정적인 면을 너무나도 싫어합니다. 최소한 책임라도 있으면 좀 더 신중하게 생각해주세요.', '법의 테두리 안에서 금지가 될수 잇게 되길요', '그게 동물을 다루는 수의사 뿐일까?인간 의사는?돈이면 환장하는것들 수두룩', '에라이', '', '', '안락사가 안되니 길거리에 개들이 널려있지....\n규제를 하면 어딘가....구멍이 생기기 마련.\n그 대책을 법으로 해야는데....국회의원들이 1년에 반 이상을 놀고 있으니...\n민생 법을 만들 수 있나....', '멀쩡한 강아지 안락사 시키는 놈들...........지옥에 떨어져라.', '제발 이 나라 생명을 존중하는 선진국이 되길 바랍니다. 국민 의식 수준이 높아지길..... 개백정 동물학대, 모피도 끝내고 케이지에서 평생사는 난각번호 3,4번 계란 좀 먹지 맙시다.', '못키우거나  불편하면 자살도 하는데 안락사정도는 해야지', '동물의 생명이 소중하지 않다는게 아니라 사람이 천하 모든 것 보다 소중합니다 사람을 사랑합시다', '개장수에 팔면 되지. 안락사는 낭비다. 개체수 조절은 필요악이다.']",https://www.wikitree.co.kr/articles/801583,https://n.news.naver.com/mnews/article/469/0000704530?sid=103
2022.10.29.,헤럴드경제,,'다큐프라임' 반려동물 입양 어떻게 생각하시나요?,,,http://news.heraldcorp.com/view.php?ud=20221029000100,http://bizenter.co.kr
2022.10.26.,마이데일리,,"'욘더' 이준익 ""안락사는 나의 문제…죽음은 아름다운 이별"" [MD인터뷰](종합...",,,http://www.mydaily.co.kr/new_yk/html/read.php?newsid=202210251832761757&ext=na&utm_campaign=naver_news&utm_source=naver&utm_medium=related_news,http://www.wikitree.co.kr
2022.10.26.,YTN,,"[Y터뷰] '욘더' 이준익 감독 ""안락사 찬성해… 고통 없이 이별하고 싶다""①",,,https://star.ytn.co.kr/_sn/0117_202210260800139865,http://www.heraldbiz.com/
2022-10-29 23:05:01,SK브로드밴드,생활/문화,[B tv 수원뉴스] [숫자로 보는 세상] '10' - 반려동물과 유기동물,"[     [헤럴드경제 = 서병기 선임기자]MBC ‘다큐프라임’ 30일 방송에서는 반려동물 양육 인구수 1,500만 명 시대, 반려견과 함께 살아갈 준비가 얼마나 되어 있는지 동물 복지에 대해 심도 있게 알아보는 시간을 마련하였다.2016년 2만 1,679마리, 2020년 2만 6,931마리, 2021년 2만 3,832마리. 매년 버려지는 유기 동물 숫자이다. 2021년에 조금 줄어드는 듯했으나, 코로나19로 인한 사회적 거리두기가 해제된 시점을 기준으로 다시 늘어나고 있다. 삶과 죽음을 함께 하는 반려동물을 버린다는 것이 쉽게 이해되지 않지만, 동물의 학대와 유기는 크게 줄어들고 있지 않다.- 반려동물 1,500만 시대, 심각한 유기 동물 실태농림축산식품부의 2021년 동물보호 국민의식조사 결과, 반려동물 양육자는 평균 2.83 마리를 키우는 것으로 나타났고, 반려동물 산업은 양육인구 증가로 사료, 미용, 약품, 건강관리 등 다양한 분야에서 시장 규모가 커지고 있다. 바로 ‘펫코노미(Petconomy) 시대이다.반려동물 양육 인구수는 증가했지만 ‘2021 유실·유기동물 보고서’에 따르면 지난해에만 약 11만 6,984건의 동물 유실·유기 건수가 발생했다. 매년 유기동물들이 조금씩 감소하고는 있지만, 일정 기간 입양이 되지 않으면 안락사되어야 하는 것이 유기동물의 운명이다.전북 군산에서 만난 백구는 덫에 걸려 절단된 한쪽 다리를 이끌고 간신히 생명을 이어가고 있었다. 동물 구조대와 자원봉사자들은 백구 구조를 위해 밤을 새워가며 백구를 기다렸다. 오랜 기다림 끝에 포획망 안에 들어 온 백구를 향해 환호했지만 포획망의 한쪽 면이 열리면서 1차 구조에 실패했다. 3주 후 전주에서 들려온 반가운 소식. 백구가 구조활동가의 도움으로 구조됐다는 것이다. 과연, 백구의 건강 상태는 어떨까?- 반려동물 천국 독일의 획기적 유기동물 입양제도반려동물에 대한 문화와 인식 수준이 선진화된 독일은 유기 동물 안락사가 없는 나라로 유명하다. 또한 세계 최대 ‘안락사율 제로’의 동물보호소 ‘티어하임’도 갖추고 있는데, ‘동물(Tier)의 집(heim)’이란 뜻의 ‘티어하임(Tierheim)’. 면적은 축구장 22개와 맞먹는 18만 5,000㎡에 달한다. 이곳엔 다양한 종류의 유기 동물이 관리되고 있으며, 개는 물론이고 고양이, 파충류까지 보호되고 있다. 시설의 쾌적함도 유럽 최고로 정평이 나 있다.또한 독일은 1990년 ‘동물은 물건이 아니다’라는 조문을 민법에 명시해 동물에게 사람과 물건 사이의 제3의 지위를 부여한 국가인 만큼, 네덜란드, 벨기에, 프랑스 등 11개 유럽 국가와 마찬가지로 동물당을 보유하고 있다. 독일 티어하임은 유럽 최대 규모의 동물 보호시설로서, 유럽 각지에서 입양된 유기견들을 받아 입양을 원하는 주인의 상황을 엄격하게 체크한 후 입양을 하고 있다.- ‘사지 말고 입양하세요’ 우리의 유기동물 입양 방법은?유실·유기된 동물들은 구조된 후 지자체 동물보호센터로 옮겨진다. 고통과 절망 속에서 지내던 유기 동물들에게 새로운 희망을 안겨주는 ‘입양’. 고양시 동물보호센터는 유실·유기 동물의 건강 체크와 예방접종을 한 후, 임시 보호와 관리를 하는데, 관리한 후 10일 동안 보호 공고를 게시한 후 소유자를 찾아주거나 새로운 가정으로 입양을 보내고 있고, 임시 보호나 입양 외에도 다양한 지원을 진행하고 있다.반려동물을 가족으로 맞을 때는 충분한 고민을 거듭하고 입양 결정을 하게 된다. 동물보호센터를 통해 입양하면 병원비, 미용비 등의 입양지원이 이루어진다. ‘보리’는 처음엔 사람만 보면 의자 밑으로 숨거나 피해 다니는 등 두려움을 호소했던 아이였다. 하지만 보리를 입양한 젊은 부부는 이런 보리의 아픔까지 보듬어주고 있었다. 상처가 깊기에 다른 강아지보다 변화되는 시간이 걸리긴 하지만 ‘보리’의 존재만으로 느껴지는 행복감은 말로 표현하기 어려울 정도라며 벅찬 마음을 전했다.임시보호를 하던 중 끝까지 가족으로 함께 하고 싶다는 생각으로 입양을 결정한 경우도 있다. 평소 유기견 입양에 관한 깊은 고민을 하다가 스스로 끝까지 책임질 수 있을지에 대한 답을 먼저 확인하고 싶었던 박열매 씨. 박 씨는 임시보호를 진행 후 ‘봉구’를 입양했고, 지금은 누구보다 귀엽고 듬직한 ‘봉구’의 매력에 푹 빠져 있다.동물선진국 독일의 다양한 입양 동물 사례와 경기도 동물보호센터를 통해 이루어지는 다양한 입양 동물의 이야기를 MBC '다큐프라임'에서 만나본다. ]","['내가 받은 사랑을 다른 대상에게도 베풀고자 하는 마음의 여유, 타자에 대한 배려, 생명에 대한 존중심 그런 내면의 문제인 것 같아요...', '']",http://ch1.skbroadband.com/content/view?parent_no=24&content_no=61&p_no=147817,https://n.news.naver.com/mnews/article/016/0002058797?sid=103
