Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2017.09.29.,코메디닷컴,,알츠하이머 외의 치매 종류 4가지,,,http://www.kormedi.com/news/article/1224786_2892.html,https://www.kormedi.com/
2017-09-29 13:51:05,한국경제TV,생활/문화,"치매, 약물 치료 시대 열리나…아리바이오 알츠하이머 치료제 FDA 임상","[     보통 치매하면 알츠하이머병을 떠올릴 만큼 알츠하이머는 치매의 대명사가 됐다. 그런데 알츠하이머병은 치매 원인의 60~80% 정도를 차지하고, 나머지는 다른 유형의 치매가 차지한다. 알츠하이머병은 베타 아밀로이드 단백질이 뇌에 침착하면서 생기는 플라크나 타우 단백질의 염증 반응 혹은 산화적 손상 등으로 생긴다. 전형적인 증상은 이름을 비롯한 신상 정보, 최근 나눈 대화나 사건들을 기억하지 못하는 증상이다. 증상이 악화될수록 점점 정상적인 대화가 어려워지고 판단 능력을 상실하며 걷기 힘들어지는 거동 장애가 수반된다. 일부 알츠하이머병과 다른 유형의 치매들은 유전적 요인에 의해 발병하기도 한다. 다행히 정상적인 체중과 혈압, 금연, 건강한 식단 등을 유지하면 인지능력이 감퇴하는 시기를 늦출 수 있으므로 건강한 생활습관을 유지하는 것이 무엇보다 중요하다. 그렇다면 알츠하이머병을 제외한 또 다른 유형의 치매로는 어떤 것들이 있을까. 미국 알츠하이머협회의 자료를 참고해 알아본다. 1. 혈관성 치매 치매의 10% 정도는 뇌졸중, 뇌경색, 뇌출혈 등으로 뇌에 공급되는 혈류량이 감소하면서 나타나는 혈관성 치매다. 혈관성 치매는 증상이 급격히 나빠지고 안면마비, 시력 손실, 보행 장애 등의 신경학적 증상이 초창기부터 나타는 경우가 많다. 모든 치매가 그렇듯 심장 건강을 최우선시해야 한다. 혈류 흐름이 원활하도록 건강한 식단과 운동을 지키고, 콜레스테롤과 혈압 수치를 안정적으로 유지해야 한다. 혈관성 치매는 다른 치매들보다 예방 가능성이 높다는 점에서 반드시 건강한 생활습관을 실천해야 한다. 2. 파킨슨 치매 파킨슨병에 걸려 움직임이 느려지고 불수의적인 떨림이 나타나면 결국 치매로 이어질 수 있다. 파킨슨 환자의 50~80%가 파킨슨 치매를 겪는다. 만약 인지 변화가 나타나기 전 파킨슨병이 몇 년간 지속됐다면 파킨슨 치매로 진단될 확률이 높고, 파킨슨으로 인한 신체징후가 나타난 지 1년 이내에 인지감퇴가 나타나면 루이소체 치매로 진단될 가능성이 높다. 파킨슨병과 치매의 인과관계에 대해서는 아직 많이 연구된 바가 없어 이를 예방하는 방법은 제대로 알려지지 않은 상태다. 3. 전두측두엽 치매 이 치매는 전두엽이나 측두엽의 신경세포가 퇴보했을 때 나타난다. 전두측두엽 치매는 전체 치매 환자의 10% 정도에 해당하며 성격이 변하는 유형, 행동이 달라지는 유형, 의사소통 능력이 떨어지는 유형으로 나뉜다. 가령 성격 변화 유형은 점잖던 사람이 충동적인 사람으로 바뀌는 등의 변화가 일어난다. 아직 이 치매에 대해서는 증상을 완화는 약이 없다. 단, 인지기능을 촉진하는 등 건강한 생활습관을 유지하는 것이 가장 좋은 방법으로 권장되고 있다. 4. 루이소체 치매 세계적인 배우 로빈 윌리엄스의 자살 원인 중 하나로 루이소체 치매가 꼽힌다. 루이소체는 알파시누클레인이라고 불리는 단백질 무리가 뇌의 피질영역에 쌓이면서 기억력 손상을 일으킨다. 하지만 수면장애, 환각, 근경직과 같은 증상이 나타난다는 점은 알츠하이머병과 다른 차이점이다. 문제는 이 치매는 치료가 쉽지 않다는 점이다. 환각을 위한 치료는 파킨슨병을 유발할 가능성을 높이고, 다른 신체 증상들에 대한 치료는 인지기능 감퇴를 악화시킬 염려가 있다. 평소 뇌를 자극하는 취미를 갖고 교육을 꾸준히 학습할수록 증상이 나타나는 것을 지연시키는데 유리하다. [사진=Pressmaster/shutterstock]권순일 기자  (kstt77@kormedi.com)▶[퀴즈]나는 ‘관계 중독’일까?▶[헬스스낵]9월에 꼭 먹어야 할 슈퍼 푸드 5  저작권ⓒ  '건강을 위한 정직한 지식' 코메디닷컴(kormedi.com) / 무단전재-재배포 금지   ]","['치매이야기(고령사회) 밴드\nhttp://band.us/@dementia', '심리상담비용 40%줄이는법 전문상담사선택&gt;상담실공유&gt;전문상담사 직거래 목동역 코지스전문심리상담공간 www.cozys.modoo.at', '스쿠알렌이 짱임~ \n탈모,수족냉증.숙취해소,간 해독,손발톱무좀 갈라지는것.\n피부노화.당뇨.혈액순환 \n치매.뇌혈액순환.피로회복.빈혈.안구건조.중년우울증,\n뇌속초미세먼지,,페경.지방간.감기 절대 안걸림~면역력에 최고임,\n혈액정화로 독소배출.몸속염증,혈소판증가,수업집중력향상 \n진짜 속는셈치고 먹어도 됨,\n세모껀 먹으면 안됨 인도네시아서 만들고 다단계로 팔아 비싸면서 효과도 별로임.\n호주것이 최고임 호주가 원산지에 청정임 \n검색해 보면 가격도 엄청 저렴~\n오메가3 이런거 백날 먹어봐야 필요없음\n건강해도 암예방 차원에서~꼭 먹어야함']",http://www.wowtv.co.kr/newscenter/news/view.asp?bcode=T30001000&artid=A201709280341,https://n.news.naver.com/mnews/article/296/0000033306?sid=103
2017.09.27.,메디파나뉴스,,악소반트 알츠하이머 치료물질 개발 실패,,,http://medipana.com/news/news_viewer.asp?NewsNum=207405&MainKind=A&NewsKind=5&vCount=12&vKind=1,http://www.wowtv.co.kr/
2017-09-28 16:16:30,디지털타임스,생활/문화,"알츠하이머 사망자, 10년새 두 배 급증","[ [한국경제TV 고정호 기자]    대한민국이 고령화 시대에 접어들면서 치매 인구도 늘어나고 있다. 이에 정부가 '치매 국가책임제'를 내세우며 제도적 관리에 나서겠다고 밝힌 가운데, 국내 한 벤처기업의 알츠하이머 치료제 개발에 성과가 나타나고 있어 귀추가 주목된다.치매는 나이가 들어감에 따라 노의 인지 능력이 점차 저하되는 현상을 일컫는다. 기억력이 떨어지는 것뿐만 아니라 이로 인해 다양한 사고를 유발할 수 있어 가족 및 공동체의 각별한 관심이 필요한 질병이다.국내 치매 환자는 증가 추세다. 분당서울대병원의 치매 유병률 조사에 따르면 2017년 65세 이상 노인 인구는 72만5000명에 달하는 것으로 나타났다. 10명 중 1명은 치매를 앓고 있는 셈이다. 이에 복지부는 치매안심센터, 치매안심요양병원, 요양시설 등 인프로 구축과 운영에 힘을 쏟고 있으며, 이에 내년에만 약 5000억원의 예산이 투입될 것으로 추정된다.이러한 가운데 신기술 바이오 벤처기업 아리바이오(대표이사 성수현)가 개발 중인 알츠하이머 치료제 'AR1001'의 임상 2상 IND(임상시험계획서)를 미국 FDA에 제출한 것으로 밝혀져 이목을 끌고 있다.그간 급증하는 치매 발병률에도 불구하고 관련 신약은 2003년 '에빅사' 이후 14년간 개발되지 않고 있는 실정이다. 이번 아리바이오의 치매치료제 'AR1001'이 FDA의 IND 승인을 얻어 치매치료의 새로운 지평을 열게 될 것으로 기대된다.'AR1001'은 신경세포 생존과 시냅스 손상에 관여하는 효소를 억제하여 인지기능 및 기억력을 개선하는 메커니즘의 약물로서, 치매치료에서는 이례적으로 'PDE-5(Phosphodiesterase 5)'를 억제하여 뇌신경 생장인자인 BDNF(Brain-derived neurotrophic factor)의 증가를 유도하는 알츠하이머 치료제이다.이와 같은 'AR1001'의 약리기전은 베타아밀로이드(Beta-amyloid)의 감소를 목표로 하는 기존 신약개발 연구와는 전혀 다른 메커니즘에 기초한 것으로, 연구 초기부터 관련업계의 이목을 집중시킨바 있다.FDA의 IND 승인 시 아리바이오는 아리조나 의대 배너 알츠하이머 연구소(Banner Alzheimer's Institute)의 Tailot 교수를 중심으로 미국 내 12개 기관에서 55세 이상의 알츠하이머 환자 210명을 대상으로 유효성 및 안전성을 확인할 예정이며, 국내 식품의약품안전처에도 혈관성 치매에 관한 임상시험 승인신청서를 제출할 것이라고 밝혔다.아리바이오 신약연구소장 김문환 박사는 ""'AR1001'은 이미 동물모델에서 인지기능 및 기억력 증가효능이 증명되었고, 임상시험에서도 약물 안정성이 확보된바 있다. 뿐만 아니라 미국에서 수행할 임상 2상 시험계획에 관하여도 이미 FDA 사전검토 승인을 받았기 때문에 이번 IND 승인에 큰 어려움은 없을 것으로 기대된다""고 전했다.한편, 아리바이오는 의학연구개발 분야에 관한 뛰어난 기술력을 바탕으로 신약개발 및 가치 있는 신제품 개발에 앞장서는 바이오 기업으로서, 이번 'AR1001' IND 신청과 더불어 폐혈증 치료제인 'AR1003'의 개발도 동시에 진행 중인 것으로 알려져 있다. 폐혈증 치료제 'AR1003'은 2018년 초 FDA 임상 1상 승인을 위한 IND를 신청할 것으로 예상된다.고정호기자 jhkoh@wowtv.co.krⓒ 한국경제TV, 무단 전재 및 재배포 금지   ]","['스쿠알렌이 짱임~ \n탈모,수족냉증.숙취해소,간 해독,손발톱무좀 갈라지는것.\n피부노화.당뇨.혈액순환 \n치매.뇌혈액순환.피로회복.빈혈.안구건조.중년우울증,\n뇌속초미세먼지,,페경.지방간.감기 절대 안걸림~면역력에 최고임,\n혈액정화로 독소배출.몸속염증,혈소판증가,수업집중력향상 \n진짜 속는셈치고 먹어도 됨,\n세모껀 먹으면 안됨 인도네시아서 만들고 다단계로 팔아 비싸면서 효과도 별로임.\n호주것이 최고임 호주가 원산지에 청정임 \n검색해 보면 가격도 엄청 저렴~\n오메가3 이런거 백날 먹어봐야 필요없음\n건강해도 암예방 차원에서~꼭 먹어야함']",http://www.dt.co.kr/contents.html?article_no=2017092602109951051001&ref=naver,https://n.news.naver.com/mnews/article/215/0000575706?sid=103
2017.09.26.,데일리시큐,,인공 지능 데이터 재현성을 통해 알츠하이머 연구 가능성 기대,,,http://www.dailysecu.com/?mod=news&act=articleView&idxno=24286,http://www.medipana.com
2017.09.24.,크리스천투데이,,영혼이 있는데... 알츠하이머병은 왜 찾아오는가?,,,http://www.christiantoday.co.kr/news/304259,http://www.dt.co.kr/
2017-09-26 15:51:52,메디컬투데이,경제,'ApoE' 표적 치료 알츠하이머질환 멈추게 할 수 있다,"[ 서구식 식습관 보편화 영향급속한 고령화 영향으로 치매 사망자 수가 최근 10년 동안 두 배 가까이 급증한 것으로 파악됐다. 또 치매 가운데 알츠하이머병을 앓다가 사망하는 이도 크게 늘어 치매 환자에 대한 복지 정책을 확대해야 한다는 목소리가 높아지고 있다.26일 디지털타임스가 통계청의 '2016년 사망원인통계'를 분석한 결과에 따르면 인구 10만명 당 2006년 치매 사망자는 8.8명이었으나 2016년에는 17.9명으로 증가했다.매년 1~2명이 늘어 2008년 처음으로 10명대를 넘어 12.6명에 달했고, 2015년은 통계 작성 이래 최대치인 18.6명까지 치솟았다. 성별로는 기대수명의 차이로 여성 치매 사망자가 훨씬 많았는데, 여성은 2006년 12.5명에서 2016년 24.7명으로 급증했다. 남성은 같은 기간 5.0명에서 11.2명으로 늘었다.특히 알츠하이머 환자 비중이 눈에 띄게 증가했다. 2006년 8.8명의 치매 사망자 중 알츠하이머병이 사망 원인인 숫자는  2.5명이었으나, 2016년에 이르러서는 17.9명 가운데 9.4명으로 늘어났다. 정부 관계자는 ""평균 수명 증가와 함께 의료 기술도 발전해 치매 판명을 받는 환자가 크게 늘었고, 알츠하이머병은 서구식 식습관이 보편화 되면서 자연스럽게 증가한 것으로 보인다""고 말했다.한편 자살로 생을 마감하는 연령대를 보면 10대와 20대에서는 꾸준히 증가했지만, 최근 들어 30대 이상에서는 감소하는 경향을 보였다. 10대의 경우 2006년 인구 10만명 당 3.4명이 자살했는데 2015년 4.2명에서 2016년에는 4.9명으로 뛰었다. 20대는 2015년과 2016년 모두 16.4명을 기록했다. 반면 같은 기간 30대는 25.1명에서 24.6명으로 줄었고, 50대도 34.3명에서 32.5명으로 감소했다. 80대 이상은 83.7명에서 78.1명으로 큰 폭으로 하락했다. 즉 전반적인 자살자 수는 10대와 20대가 다른 연령대보다 상대적으로 적지만 학업 스트레스나 교우관계 그리고 취업난 등이 원인으로 꼽히는 청년층 자살률은 해당 연령대의 전반적인 인구 감소에도 불구하고 늘고 있는 셈이다.  세종=권대경기자 kwon213@                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             디지털타임스 홈페이지 바로가기/SNS 바로가기확바뀐 디지털타임스 연예·스포츠 섹션 바로가기권대경   ]",[],http://www.mdtoday.co.kr/mdtoday/index.html?no=296241,https://n.news.naver.com/mnews/article/029/0002424471?sid=101
2017.09.19.,데일리시큐,,알츠하이머 조기 발견하는 인공지능 개발,,,http://www.dailysecu.com/?mod=news&act=articleView&idxno=24052,http://www.dailysecu.com
2017.09.19.,메디컬투데이,,알츠하이머질환 연관 새로운 유전자 규명,,,http://www.mdtoday.co.kr/mdtoday/index.html?no=296011,http://www.chtoday.co.kr/
2017.09.18.,정신의학신문,,수면 결핍이 알츠하이머 치매 위험 높인다 - 뇌에 필요한 휴식을 주는 3가지 ...,,,http://www.psychiatricnews.net/news/articleView.html?idxno=6246,http://www.mdtoday.co.kr
