Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.03.31.,광주드림,,국민행복카드 하나로 통합한다,,,http://www.gjdream.com/news/articleView.html?idxno=606817,http://www.gjdream.com
2021.03.31.,라이센스뉴스,,"식약처, '다이옥신류 및 중금속' 통합위해성평가 결과...""지속적인 감소추세""",,,http://www.lcnews.co.kr/news/articleView.html?idxno=15404,http://www.lcnews.co.kr
2021.03.31.,영남일보,,"구미혜당학교, 2021 발달장애인·비장애인 통합스포츠단 운영 기관 선정",,,https://www.yeongnam.com/web/view.php?key=20210331010004926,http://www.yeongnam.com
2021.03.30.,데일리팜,,"PEET, 8월15일 시험…통합 6년제에 '남은 기회는 2번'",,,http://www.dailypharm.com/Users/News/NewsView.html?ID=274825&REFERER=NP,http://www.dailypharm.com
2021.03.23.,머니투데이,,"'기질 분석부터 성교육까지'…그로잉맘, 육아 상담 통합 서비스",,,http://news.mt.co.kr/mtview.php?no=2021032315440648855,http://www.mt.co.kr/
2021-03-23 16:20:12,베리타스알파,경제,고명외식고 기간제교원(통합과학) 채용.. 접수 26일까지,"[    [머니투데이 이민하 기자]     그로잉맘은 부모를 위한 온라인 육아 분석·상담 서비스를 통합 플랫폼을 전면 개편했다고 23일 밝혔다.이번 서비스 개편은 육아하는 부모의 필요를 채워주는 데 초점을 맞췄다. 주력 서비스인 온라인 육아 상담은 세분화했다. 서비스를 '한 달 상담'과 '언어 상담'으로 나누고, 일상적인 육아 고민부터 오프라인 센터 방문 없이도 앱을 통해 전문가의 도움을 받을 수 있도록 고도화 했다. 또 36개월 이상 아이와 부모를 위한 '가족 기질 분석'과 36개월 미만 아이를 둔 부모를 위한 기질 분석 서비스를 신설했다.그동안 공동 구매로만 판매했던 아이 기질별 맞춤(큐레이션) 상품은 앱에서 상시 구매할 수 있도록 개선했다. 기질별 큐레이션 상품은 보통 연령·발달 시기별 그림책·교구·보드 게임 등을 아이의 기질 특성에 맞게 추천한다. 부모와 아이의 상호 작용이 더 활발하게 발생할 수 있도록 기질별 활용 가이드를 제작했다.성교육 상품도 새로 갖췄다. '대화로 시작하는 성교육 패키지'는 기존 성교육 도서의 약점을 보완했다는 설명이다. 아이들 나이가 아닌 호기심과 관심 수준에 맞게 그림책을 활용해 구성했다. 성교육이 어려운 부모를 위한 섬세한 가이드북도 만들었다.또 외부 협력 전문가를 대폭 늘려 정보 수준을 높였다. △헤이 마마 △위커넥트 △어니스트 플라워 △먼슬리씽 △네스트포넥스트 △평범한 엄마, 아빠의 일상 등 칼럼 필진을 섭외했다. 이다랑 그로잉맘 대표는 ""이번 개편으로 부모들을 위한 육아 정보, 교육부터 라이프 스타일까지 제공하는 ‘손 안의 육아 전문가’로  거듭났다""며 ""앞으로도 부모들이 가장 가까운 곳에서 가장 편리하게 육아 도움을 받을 수 있도록 서비스를 개선해 나갈 것""이라고 말했다.이민하 기자 minhari@mt.co.kr▶부동산 투자는 [부릿지]▶조 변호사의 가정상담소▶줄리아 투자노트 &lt;저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지&gt;   ]",[],http://www.veritas-a.com/news/articleView.html?idxno=361742,https://n.news.naver.com/mnews/article/008/0004561560?sid=101
2021.03.14.,뉴스1,,"국회 국민통합위 ""전문가 89%, 韓분열 심각…주요 원인은 정치""",,,https://www.news1.kr/articles/?4240208,http://www.veritas-a.com
2021.03.26.,메디컬투데이,,"HPV 감염, 지난해 1만929건 발생…""예방접종 대상 성별·연령 확대해야""",,,http://www.mdtoday.co.kr/mdtoday/index.html?no=416951,http://news1.kr/
2021-03-14 11:17:25,뉴데일리,정치,"""다양한 연령대 잡아라""… 카드사, 신규 카드 출시 '봇물'","[ ""2030세대는 주 원인으로 '경제' 꼽아"" ""40·50대는 '분배·사회안전망 강화', 청년·60대 이상은 경제성장 중시""    서삼석 더불어민주당 의원이 5일 오후 서울 여의도 국회 본회의장에서 열린 제384회국회(임시회) 제5차 본회의에서 홍남기 경제부총리 겸 기획재정부 장관에게 경제에 관한 질문을 하고 있다. 2021.2.5/뉴스1 © News1 신웅수 기자(서울=뉴스1) 정연주 기자 = 정치·사회·경제 등 각계 전문가 89%는 한국 사회의 분열과 갈등을 심각하게 인식하는 것으로 조사됐다. 한국 사회 분열 원인으로 '정치적 원인'을 꼽은 전문가가 63.1%로 압도적이었다. 다만, 2030 청년세대 전문가는 경제를 가장 큰 원인으로 꼽아 세대별 온도 차가 나타났다.14일 박병석 국회의장 직속 자문기구인 국회국민통합위원회 경제분과위원회(분과위원장 김광림 전 국회의원)에 따르면, 경제분과위는 지난 2일부터 6일까지 국회도서관 데이터베이스(DB) 등록 전문가 1801명을 대상으로 국민통합을 위한 경제분야 의제에 관해 설문조사를 실시했다.설문에 응답한 전문가 중 89%가 한국사회 분열과 갈등이 심각하다고 봤고(매우 그렇다 49.2%, 그렇다 39.8%), 9.7%가 '보통'이라고 답했다. '그렇지 않다'는 1.4%(그렇지 않다 1.1%, 전혀 그렇지 않다 0.3%)에 불과했다. 포스트 코로나 시대에 이러한 갈등이 더 심각해질 것인지를 묻는 질문에 80.9%는 '그렇다'고 응답했다. '보통' 응답자는 11.9%, '그렇지 않다'고 보는 응답자는 6.8%였다.전문가들은 한국사회의 분열과 갈등의 주요 원인으로 정치적 원인(63.1%)을 가장 많이 꼽았다. 다음으로 경제적 원인(30.9%)을 지목했다.연령별로는 고연령층일수록 정치적 문제를 갈등의 주요 원인으로 봤다. 연령이 낮을수록 경제문제를 주요 원인으로 지목했다. 특히, 응답자 중 2030세대는 정치(42.3%)보다 경제가(49.7%) 우리 사회의 분열·갈등에 더 주요한 원인이라고 응답했다.'국민통합을 위해 경제 분야에서 논의가 필요하다고 생각되는 주제 3가지(복수응답)'에 대해 전문가 50% 이상은 '공정한 경제질서 확립(57.2%)', '소득·자산 등의 불평등 완화(55%)','지속 가능한 경제성장(51.1%)'이 우선 논의돼야 한다고 답했다.'경제적 양극화 해소를 위해 중요도·시의성 등을 고려해 국회 국민통합위원회에서 논의가 필요하다고 생각하는 주제 3가지(복수응답)'에 대해서는 응답자 44%가 '부동산 등 자산불평등 완화'를 꼽았다.단, 20·30대(47.2%)와 40대(47.5%) 응답자 다수는 '부동산 등 자산불평등 완화'를 우선시한 반면, 60대 이상에서는 '지속적 경제성장(50.7%)'을 '부동산 문제(40.9%)' 보다 더 많이 선택했다.'공정한 포용경제 실현을 위한 논의 주제 3가지(복수응답)'에 대해 응답자의 53.9%가 '공정한 경제질서 확립'에 대한 논의가 시급하다고 답했으며, 다음으로 '경제성장을 통한 고용 및 소득 제고(42.1%)', '기본소득 등 소득안전망 구축(35.7%)', '사회안전망 강화(34.5%)' 순으로 응답했다.'기본소득 등 소득안전망 구축'에 대해서는 40대(41.2%)와 50대(37.7%)가 상대적으로 높은 비율의 긍정 응답을 보였다.'국민통합의 동력인 지속가능 성장을 담보하기 위해 논의가 필요한 과제 3가지(복수응답)'에 대해선 응답자의 절반 이상은 '미래 지향적 인재양성 및 인적자본 투자 강화(51.1%)'가 시급하다고 응답했다. 이어 '연구개발 활성화 및 지식재산 보호를 통한 지식기반 경제 강화(40.1%)', '규제개혁을 통한 경제활력 제고(38.8%)', '민간주도의 혁신이 이루어지는 혁신생태계 조성(32.6%)' 순이었다.국민통합위 경제분과위는 ""전문가 설문방식으로 진행된 이번 조사에서는 각 의제에 대한 답변이 세대에 따라 다르게 나타나는 특징을 보였는데 특히 40·50대 응답자는 분배 및 사회안전망 강화를, 청년 및 60대 이상은 경제성장과 생산성 이슈를 더 중요시했다""고 설명했다.이번 조사는 국회도서관 전문가 정보 DB에 등록된 정치·사회·경제 등 다양한 분야 전문가를 대상으로 이메일 조사 방식으로 실시했다. 응답률은 6.6%.국민통합위 경제분과위는 오는 7월까지 경제 분야 국민통합 방안을 도출할 예정이다.jyj@news1.kr▶ 네이버 메인에서 [뉴스1] 구독하기!▶  뉴스1&amp;BBC 한글 뉴스 ▶  터닝포인트 2021 © 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지   ]","['재앙이들 문재앙 이재앙이 있는한 대한민국은 분열될 수 밖에 없다ㅋㅋㅋ 안그럼 중국 속국이 되거든', '다 문죄인의 불통 독재 똥고집 때문에 나라가 이렇게 됐다.', '국민들을 분열시켜야 부패정권을 계속 유지할 수 있거든....', '사기탄핵에 조작정권의  최후는 좌빠들 전재산몰수하고 극형에 처해야한다. 나라망친대가는 꼭 받아내서 다시는 좌빠들이 정치에 끼는일 없게 쓸어서 제거해야한다.', '', ""취임사에서 국민통합을 내걸었던 문재인이 임기중 통합을 우선시했는지, 갈라치기를 더 우선시했는지는 명백하다! 문재인 정부가 추진한 정책과 특히 민주당에서 군사작전하듯이 밀어부친 입법사항들은 국민분열을 부추겼다. 특히나 강성 대깨문들은 집권세력중에 다른 목소리를 내는 정치인들은 세를 과시하며 무차별 공격하며 중간지대의 싹을 완전히 자르고 있다. 이 모든 것이 문빠들의 잘못된 행태를 바로잡으려고 하기는 커녕 '양념'이라면 비위 맞추기에 급급한 문재인의 공로이다!"", '']",http://biz.newdaily.co.kr/site/data/html/2021/03/09/2021030900150.html,https://n.news.naver.com/mnews/article/421/0005220574?sid=100
2021.03.14.,베이비타임즈,,"저출산고령사회위원회, '제2차 연령통합·세대연대 정책포럼' 개최",,,http://www.babytimes.co.kr/news/articleView.html?idxno=44130,http://www.mdtoday.co.kr
