Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.07.31.,서울신문언론사 선정,,고령화에 민간에선 경로 우대 기준 상향 ···“공공으로 확대될까” 은퇴자...,,,https://www.seoul.co.kr/news/newsView.php?id=20220731500084&wlog_tag3=naver,https://www.seoul.co.kr
2022-07-31 17:42:01,이코노믹리뷰,,[실버세대 재테크 리포트]① 은퇴 후 소득공백기 대비하라,"[ 만 65세 이상 고령화 급속화민간에선 경로 우대 기준 상향 움직임은퇴한 노인들 “경제 어려운데 반갑지 않아”공공영역까지 확대될까 우려도    서울 종로구 탑골공원에서 노인들이 무료 급식을 위해 대기하고 있다. 2022.6.22 연합뉴스지난해 총인구 감소에도 65세 이상 노인 인구는 증가하는 등 고령화 속도가 빨라지면서 ‘경로 우대’ 등 혜택을 받는 나이 기준도 점차 올라가고 있다. 아직은 민간 부문에서만 이런 움직임이 목격되고 있지만 고물가로 인한 타격이 큰 노인들은 “공공으로 확대되는 것 아니냐”며 우려하고 있다.5년 전 은퇴하고 초등학생 돌보미로 일하는 유모(62)씨는 31일 “코로나와 고물가로 국민 전체가 어려운 상황에서 경로 우대 기준 연령을 올리는 것은 반갑지 않다”며 “주변에서도 경제적으로 여유가 없어 은퇴 후 요양보호사, 직업상담사 등 제2의 직업을 갖는 친구가 많은데 고령화라고 해서 일방적으로 노인 연령 기준을 올리면 지금보다 더 살기 힘들어지는 노인이 많을 것”이라고 우려했다.민간에서는 경로 우대 혜택 기준을 만 70세로 올리고 있다. 대한불교조계종은 지난 1월부터 전국 3000여개 사찰 중 문화재 관람료를 내는 58개 사찰에 대해 경로 우대 기준 연령을 65세에서 70세로 상향했다.조계종 관계자는 “만 65세 기준은 노인복지법에 근거해 국가에서 운영하는 공공시설에 한해 적용돼 사찰은 적용되지 않는다”며 “사립 수목원이나 박물관 등은 거의 경로 우대 무료 입장이 없지만 문화재 사찰은 경로자에 대한 배려와 존중으로 시행하고 있던 것”이라고 말했다.노인들은 이런 변화가 공공기관까지 확대될 가능성에 우려하고 있다. 은퇴 후 서울 중구 필동에서 아내와 식당을 하고 있는 한모(68)씨는 “몇 년 전부터 지하철이 적자라며 경로 우대 적용하는 노인 연령이 늘 논란이 돼왔는데 불국사 등 민간에서부터 하나 둘 바뀌기 시작하면 곧 국가 기준까지 확대되지 않을까 싶다”고 말했다.정순돌 이화여대 사회복지학과 교수는 “노인 빈곤이 심각하고 사회적 합의가 완료되지 않았기 때문에 노인 연령 기준을 한 번에 70세로 올리는 것은 파장이 클 것”이라며 “인구 고령화 때문에 점차 연령 기준을 높여야 한다는 방향이 필요하다면 두살씩 나눠서 올리는 등의 점진적인 절차가 필요하다”고 조언했다.   ]","['노령연금은 70세이상으로 모두에게 드리자ㆍ', '민간에서 공공기관까지 고령화로 경로우대를 늘린다면 정년퇴직도 늘려야 하지 않을까요?', '절과 문화재는 우리 세금으로 유지되지 않는가?\n많은 스님들이 중생을 위해 공부하고, 득도하고자 하는데 반해 편안하게 사찰에 몸을 기탁하는 땡초들과 조계종 지휘부는 자기자신을 위해 입장료를 인상하고 있으니,지자제와정부는 이를 시정하여야 한다.\n어떤이의 말씀대로 스님들도 사바세계에 나오면 입장료를 내어야한다', '조계종은  웃기는  종교집단이다\n지들 맘대로 70세로 올리는게 말이되냐?\n대한민국에서 조계종은 떠나라\n지들맘대로 법을 바꾸다니 웃겨요', '', '인구가 줄면 모두가 힘들다. 노인분들도 힘들어지고, 젊은이들도 힘들어지고. 전쟁 나도 나라를 위해 나가 싸울 사람도 없을테니까. 살기힘든 (출산율 약 0.7 국내 최저) 서울로 인구유입을 막고, 지역으로 인구분산을 위해 온 국민이 지혜를 짜내야 한다.', '노인 존중해야 제대로된 복지국가. 젊은표 얻으려고 유치원생지원할 돈 노인에게 써야.', '', '에고정부혜택이나받아보고 죽것나', '', '노령연령이 윤 찍었는데 배신??', '경로우디ㅢ제도는없애라.쪽팔린다..우대안해도살수있다..세금낭비..', '']",http://www.econovill.com/news/articleView.html?idxno=583644,https://n.news.naver.com/mnews/article/081/0003291193?sid=004
2022.07.27.,브라보마이라이프,,"美 시니어 여성 절반 연령차별 겪어, 건강에도 악영향",,,https://bravo.etoday.co.kr/view/atc_view.php?varAtcId=13785,http://www.econovill.com/
2022.07.27.,이투데이,,가장 좋아하는 수산물 '오징어ㆍ광어회'…10명 중 3명 은퇴 후 귀어ㆍ귀촌,,,https://www.etoday.co.kr/news/view/2157715,http://bravo.etoday.co.kr
2022.07.22.,뉴스핌,,중국 베이비붐 세대 은퇴 시작...부양부담 본격화,,,http://www.newspim.com/news/view/20220722000343,http://www.etoday.co.kr
2022.07.26.,톱스타뉴스,,"'PD수첩' ""월급의 50%까지 삭감"" 임금피크제…""대교, 정년 은퇴 직원이 한 명...",,,http://www.topstarnews.net/news/articleView.html?idxno=14711537,http://www.newspim.com
2022.07.22.,의협신문,,2020 전국의사조사 선생님은 몇 살에 은퇴하시겠습니까?,,,http://www.doctorsnews.co.kr/news/articleView.html?idxno=145380,http://www.TopStarNews.Net
2022.07.26.,미주한국일보,,“벌어야 산다”… 은퇴자들 복귀 증가,,,http://www.koreatimes.com/article/1425572,http://www.kmatimes.com
2022.07.26.,에너지경제,,"""은퇴는 왔지만 ‘어쩔 수 없이’ 일하고 싶다""? 말 많은 국민연금, 수령액 까...",,,https://www.ekn.kr/web/view.php?key=20220726010004464,http://www.koreatimes.com
2022.07.20.,이데일리,,"내년 아시안컵 '한국 개최 유력', 손흥민 국대 은퇴 무대될까",,,"http://www.edaily.co.kr/news/newspath.asp?newsid=03040566632396488&snapkey=76382,손흥민,국가대표,아시안컵,월드컵,카",http://www.ekn.kr
