Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2023.06.29.,투데이신문,,"""폐업 소상공인 재취업 돕는다""…중기부, 민간과 채용 연계 업무협약",,,http://www.ntoday.co.kr/news/articleView.html?idxno=98306,http://www.ntoday.co.kr
2023.06.28.,아시아투데이,,폐업 소상공인 약 540명 재취업 특화교육 지원,,,https://www.asiatoday.co.kr/view.php?key=20230628010014517,http://www.asiatoday.co.kr
2023.06.22.,경인매일,,"[이준호의 N잡러칼럼] 재취업 멘토링, 40희망퇴직 50조기퇴직 62정년 퇴직의 ...",,,https://www.kmaeil.com/news/articleView.html?idxno=404043,http://www.kmaeil.com/
2023.06.19.,세이프타임즈,,"김한규 의원 ""농협·수협 임원도 징계 받으면 재취업 못한다""",,,http://www.safetimes.co.kr/news/articleView.html?idxno=205317,http://www.safetimes.co.kr/
2023.06.27.,충청타임즈,,재취업 준비하는 중장년의 놀이터 '청춘문화공간' 운영,,,http://www.cctimes.kr/news/articleView.html?idxno=757124,http://www.cctimes.kr
2023.06.27.,CNB뉴스,,"동부산 폴리텍, 여성재취업 아동요리지도자과정 수료식 개최",,,https://www.cnbnews.com/news/article.html?no=607825,http://www.cnbnews.com
2023.06.16.,아주경제,,농협·수협 징계 임직원 금융사 재취업 제동 걸릴까...법안 발의,,,https://www.ajunews.com/view/20230616175444618,http://www.ajunews.com
2023.06.16.,미디어펜,,"의정부시 '100세 시대, 재취업 준비 교육' 운영",,,http://www.mediapen.com/news/view/828401,http://www.mediapen.com
2023.06.15.,머니투데이,,부산TP 해운 등 기업 재취업 인력 인건비 지원 확대,,,http://news.mt.co.kr/mtview.php?no=2023061515144439227,http://www.mt.co.kr/
2023-06-15 15:48:36,광주드림,사회,광산구 인생이모작지원센터 재취업 설계 교육,"[ 사업 대상 부산·경남·전남으로 확대 61억 지원    해운·항만·물류 기업 재취업 지원사업 안내도./제공=부산TP부산테크노파크(부산TP)가 해운·항만·물류 기업 일자리창출과 경쟁력 강화를 위해 추진 중인 '해운·항만·물류 산업 재취업 일자리 지원사업'을 확대한다고 15일 밝혔다.부산TP는 지난 3년간 재취업 일자리 지원사업을 추진해 93개사 138명의 인건비를 지원했고 올해부터 2025년까지 2단계 사업을 펼친다.모두 61억원을 지원하며 지원 대상 지역도 부산과 경남, 전남으로 확대했다.재취업 일자리 지원사업은 해운·항만·물류산업과 선박수리업종 기업 대상으로 해당 분야 1년 이상 경력자 채용 시 채용인력 1인당 최대 월 200만원의 인건비와 최대 연간 500만원의 사업화 지원비를 주는 사업이다. 미취업자 대상 해운·항만·물류분야 특화 교육, 취업 정보제공, 구인·구직 만남의 날 운영 등 다양한 취업연계 서비스도 제공하고 있다.앞으로 해양 및 고용 분야 관계기관과 구축한 네트워크를 통해 기업 인건비와 사업화를 지원, 구인·구직 미스매칭을 해결하고 퇴직자에게는 재취업을 위한 교육과 채용연계 서비스도 지원할 계획이다. 김형균 부산TP 원장은 ""퇴직자의 인생 이모작을 위한 재취업 기회를 제공하고 기업에는 인건비 부담 완화와 사업화 지원으로 성장 기회를 제공할 것""이라고 말했다. ]",[],http://www.gjdream.com/news/articleView.html?idxno=629273,https://n.news.naver.com/mnews/article/008/0004899850?sid=102
2023.06.13.,매일경제,,한국보훈복지의료공단 “23년 상반기 재취업지원 진로설계 교육” 성료,,,https://www.mk.co.kr/article/10758393,http://www.mk.co.kr/
