Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.04.30.,헤모필리아라이프,,"파킨슨병과 파킨슨증후군, 비슷해보이지만 달라…원인은 무엇일까?",,,http://www.hemophilia.co.kr/news/articleView.html?idxno=19127,http://www.hemophilia.co.kr
2021.04.29.,이코노믹리뷰,,"부광약품, 파킨슨병 이상운동증 치료제 미국 2상 투약 개시",,,https://www.econovill.com/news/articleView.html?idxno=529997,http://www.econovill.com/
2021.04.27.,대구일보,,건강인-스트레스가 파킨슨병의 원인,,,http://www.idaegu.com/newsView/idg202104260085,http://www.idaegu.com
2021.04.26.,위키트리,,[건강]스트레스가 파킨슨병의 원인이 된다,,,https://www.wikitree.co.kr/articles/642738,http://www.wikitree.co.kr
2021.04.25.,메디컬투데이,,"코로나19ㆍ파킨슨병, 잇따른 연관성 보고",,,http://www.mdtoday.co.kr/mdtoday/index.html?no=419028,http://www.mdtoday.co.kr
2021.04.24.,메디컬투데이,,"美연구팀 신경회로 분석, 파킨슨병 완치 가능할까",,,http://www.mdtoday.co.kr/mdtoday/index.html?no=418945,http://www.mdtoday.co.kr
2021.04.23.,Queen,,"[EBS 명의] 나도 모르게 떨림, 파킨슨병…이필휴 교수의 진단·치료·운동 예...",,,http://www.queen.co.kr/news/articleView.html?idxno=357822,http://www.queen.co.kr
2021.04.22.,세계일보언론사 선정,,펜실베이니아대 “수면 중 심한 잠꼬대나 발버둥 파킨슨병 위험 증가”,,,http://www.segye.com/content/html/2021/04/22/20210422509789.html?OutUrl=naver,http://www.segye.com
2021-04-22 13:18:55,세종의 소리,생활/문화,"세종시장애인복지관, 파킨슨병 지연할 자조활동 프로그램 진행","[ 미국 연구팀 “렘수면 행동장애, 파킨슨병·몽유병 위험요인”“파킨슨병 위험 6배, 몽유병 4배, 두 가지 겹치면 8배 증가”        잠을 자면서 잠꼬대를 심하게 하거나 발버둥을 치거나 한다면 파킨슨병 위험이 6배나 커진다는 연구 결과가 나왔다.   이같은 행동은 파킨슨병 뿐만 아니라 몽유병 위험도 높이는 것으로 조사됐다.   21일 헬스데이 뉴스(HealthDay News)에 따르면 미국 펜실베이니아대 영양역학연구실의 가오샹 박사 연구팀은 렘수면 행동장애, 몽유병 같은 이른바 사건수면(parasomnia)이 파킨슨병의 위험요인일 수 있다는 연구 결과를 발표했다.   렘수면은 수면의 단계 중 안구가 수차례 빠르게 움직이는 것이 관찰되는 단계를 말한다. 잠이 들었지만 뇌파의 소견이 깨어 있을 때와 유사해 ‘역설수면’(paradoxial sleep)이라고도 한다. 사람은 수면시간 동안 보통 5~7차례의 렘수면을 겪는다.   정상인은 렘수면 동안 우리 몸의 근육 긴장도가 없어져서 꿈을 꿔도 몸의 행동이 없지만, 파킨슨병 환자들은 렘수면 동안 몸의 근육 긴장도가 어느 정도 유지돼 꿈을 꾸면서 잠꼬대를 하거나 헛손질이나 발길질 등을 한다. 심지어 침대에서 뛰어내리기도 한다.    이같은 현상을 ‘렘수면 행동장애’라고 한다. 특히 렘수면 장애가 심할 경우 낙상으로 인해 골절이 발생할 수 있기 때문에 적절한 약물 치료가 필요하다.      연구팀은 미국 ‘보건 전문요원 건강 후속연구’에 참가한 평균연령 76세 남성 약 2만6000명의 조사 자료를 분석한 결과 이 같은 사실이 나타났다고 밝혔다. 이 중 11%는 렘수면 행동장애, 약 1%는 몽유병이 있었고 1%는 파킨슨병 환자였다.   렘수면 행동장애는 파킨슨병 위험 6배, 몽유병은 4배, 이 두 가지가 겹치면 8배 증가와 연관이 있는 것으로 나타났다.   이 결과는 연령, 흡연, 카페인 섭취, 만성 질환, 기타 수면장애 등 다른 변수들을 고려한 것이라고 연구팀은 설명했다.   여성도 마찬가지인지는 알 수 없다고 연구팀은 덧붙였다.   하지만 이 결과는 렘수면 행동장애나 몽유병이 파킨슨병의 원인이라는 증거는 될 수 없으며 다만 연관이 있다는 의미라고 연구팀은 설명했다.   이 연관성을 이해하기 위해서는 연구가 더 필요하며 특히 이러한 수면장애가 파킨슨병 발병에 앞서 나타나는 것인지 아니면 파킨슨병 환자에게 이러한 수면장애가 잘 나타나는 것인지를 확인할 필요가 있다고 연구팀은 강조했다.   이 연구 결과는 ‘미국 의사협회 저널 네트워크 오픈’(JAMA Network Open) 온라인판에 발표됐다.   이승구 온라인 뉴스 기자 lee_owl@segye.comⓒ 세상을 보는 눈, 세계일보 ]",[],http://www.sjsori.com/news/articleView.html?idxno=50290,https://n.news.naver.com/mnews/article/022/0003573916?sid=103
2021.04.21.,메디컬투데이,,신경질적인 성격일수록 파킨슨병 위험 증가,,,http://www.mdtoday.co.kr/mdtoday/index.html?no=418766,http://www.sjsori.com/
