Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2023.06.30.,아시아투데이,[],"""전통적 가족 문화·지혜로 저출산·고령화 극복해야""",[],[],https://www.asiatoday.co.kr/view.php?key=20230630010016686,http://www.asiatoday.co.kr
2023-06-30 05:02:04,경기일보언론사 선정,['사회'],‘꿈의 신도시’ 옛말… 인구 유출·고령화 가속도 [무너진 1기 신도시 中],"[ 노년층 증가세·시설 노후화 ‘극심’... 잇단 사고로 주민 불안도 커져가삶의 질 저하… ‘도시 몰락’ 우려 “지속가능한 도시 청사진 마련해야”         군포시 산본 도시 전경. 김시범기자       ‘꿈의 신도시’라 불리며 경기도민의 생활 터전이 돼 온 1기 신도시에서 인구유출 및 고령화 현상이 나타나고 있다. 더욱이 기반시설 노후화가 각종 사고의 온상으로 떠오르면서 슬럼화 현상에 대한 대책 마련이 시급하다는 지적이다.    29일 경기도와 각 시·군에 따르면 최근 3년간 1기 신도시(분당·일산·평촌·중동·산본)에선 고령화가 급속도로 진행되고 있다.    올해 5월 기준 1기 신도시 일대에 살고 있는 153만1천349명 중 65세 이상 고령인구는 22만5천606명으로, 고령화율은 14.7%다. 이는 2022년 같은기간 고령화율(13.6%)과 비교하면 0.8%, 2021년(12.8%)과 비교하면 1.1%까지 노년층 비중이 늘어나고 있는 셈이다.    더욱이 노년층의 비중 증가와 함께 1기 신도시 주민들이 도시를 떠나는 인구 감소 현상도 두드러졌다. 중동 신도시의 경우 2021년 5월 17만1천871명에 달했던 인구가 현재는 16만8천814명으로 줄었다. 산본 신도시 역시 같은 기간 17만9천500명이었던 인구가 최근 들어 17만2천178명으로 1만명 가까이 감소했다.   이 같은 상황은 1기 신도시 전반에 걸친 극심한 노후화 진행이 주된 원인으로 꼽힌다. 당장 3년 뒤면 순차적으로 들어섰던 1기 신도시의 주택 28만1천가구가 30년 이상된 노후주택이 된다. 게다가 각종 시설들 역시 오래 전 조성해뒀던 터라 이미 노후화한지 오래다. 여기에 최근에는 다른 시설들에 비해 뒤늦게 설치한 편에 속하는 ‘수내역 에스컬레이터’ 등에서까지 역주행 사고가 나는 등 참사가 이어지면서 주민들의 불안은 극에 달한 상황이다.    특히 지자체는 이들 시설에 대해 1년에 2회 정기적으로 안전점검을 하고 있는데, ‘이상이 없다’는 점검 결과에도 참사는 비일비재한 실정이다.    이처럼 고령화 및 인구 유출 현상이 지속될 경우 삶의 질이 저하되고 쇠퇴하는 등 도시 슬럼화가 급격히 진행되며 결국 도시 전체를 몰락시키는 결과를 초래할 수 있다는 지적이다.    전문가들은 1기 신도시를 어떻게 지속가능한 도시로 만들어 나갈지에 대한 청사진 등을 통해 슬럼화 현상을 막아야 한다고 입을 모은다.    고준호 한양대 도시공학과 교수는 “1기 신도시는 30년이라는 시간이 흐른 만큼 노후화 됐으며 주민들의 불편을 가중시키고 있다”며 “시대 상황을 고려한 도시 계획 지표를 점검하고 청사진을 마련해야 한다”고 말했다. 그러면서 “신도시라는 이름에 걸맞게 자족 기능을 갖춰야 한다. 인프라와 안전성 구축은 물론 내부 일자리를 창출할 수 있는 산업 및 고용 등 신도시만의 특성을 살려 타 지역으로 이주하는 현상을 막아야 한다”고 강조했다. ]","['구도심이 공동화 현상을 보이는것과 같은맥락.\n1신도시가 고층 아파트라 재건축도 쉽지않고 인구감소와 새로운 신도시 개발로 1기신도시가 외면받는건 당연한 현상이다.', '경기일보 의심스럽다...1기 신도시 부정적인 기사를  왜 자꾸 쓸까 ...???', '노인화 고령화 집은 몇십억', '건축비 폭등으로 재건축 불가 빠른 탈출이 답', '그래도 지방 소도시보다 몇배나 좋은 인프라 갖추고 있다.\n목포만 봐도 하당신도시 아파트 모두 30년이상 되었다.\n그래도 구도시보다 새것이니 구도시 사는 사람들에겐 그것도 비싸고 좋은 아파트라는 인식이 높다.\n군포에 비하면 여긴 그야말로 빈민촌이다.\n지역 균형발전에 관한 기사, 지방 소멸 기사가 더 시급한 거 아닌가?\n배부른 소리 하는 거밖에 안된다.', '분당 ? 한번 가봐라 / 집은 50평대 20억을  넘나들어도 노인층이 너무 많다 / 정자역 근처나 젊은 직장인들 보기 쉽지 / 서현근처 백화점 / 수내동 백화점/한번 가봤나 ? 기사 내용 이 틀리지 않는다 / 밥먹으러 갔다가 그냥 왔다 / 나도 기운이 빠지는것 같아서 /', '', '기자양반 1기신도시에 악감정 있나봐.. \n저것도 기자라고 ㅎㅎ \n경기일보는 저런 기자를 왜 대리고 일하냐..', '지금 건설현장  중소기업산업현장에 60-70대가 없으면  멈춘다.  근데  앞으로  10년후면  지금 주력들이 물러날때면  대체할 사람이 없다.  젊은애들   힘들고 기름때 묻는일은  배우려 하지 않는다.', '살기좋은 오산으로 오세요']",https://www.kyeonggi.com/article/20230629580268,https://n.news.naver.com/mnews/article/666/0000015018?sid=102
2023-06-29 14:31:01,아이뉴스24언론사 선정,['사회'],"""고령화 가속화, 혈액 부족 사태 빚어져"" 인구전문가의 '경고'","[    저출산·고령화 사회가 가속화되면 혈액을 공급해야 하는 젊은층이 적어져 병원에서 혈액 공급 부족사태가 빚어질 것이라는 우려가 제기됐다.    인구정책연구가 이상림씨가 ""고령화 사회가 진행되면 혈액이 부족할 것이다""라고 주장했다. [사진=픽사베이]인구정책연구가 이상림 박사(한국보건사회연구원 연구위원)는 유튜브 '부모님 연구소'에 출연해 ""혈액은 인공적으로 만들 수 없다""며 ""노인이 많아질 수록 수술을 받아야 하는 사람은 증가하는데 피를 수혈해줄 젊은 층은 줄어든다. 극단적으로 피가 모자라서 의료시스템에 과부화가 올 수 있고 건강에 대한 보건적 문제가 생길 것""이라고 주장했다.이런 문제가 빚어지는 이유에 대해 이 박사는 ""고령화 문제는 저출산이 누적돼서 생긴 결과""라며 ""1971년에 100만명이 태어났는데 작년에는 25만명 선이 무너졌다. 50년도 안되는 시기에 출생아 수가 크게 감소했다. 베이비붐 이후 연령들이 노인으로 접어들고 청년인구는 급등적으로 줄기 시작해서 한국의 고령화 속도는 현재 세계에서 가장 빠르다""고 말했다.베이비붐 세대란 1955년부터 1974년까지 출생아 수가 한 해 90만명이 넘던 시기를 뜻한다. 그는 ""25년 정도가 지나면 일본을 제치고 세계에서 가장 나이든 나라가 될 것이다. 노인 비율은 약 40% 될 것""이라고 밝혔다.    인구정책연구가 이상림씨가 ""고령화 사회가 진행되면 혈액이 부족할 것이다""라고 주장했다. [사진=유튜브 '부모님 연구소']이어 ""서울대학교 인구정책연구소에 결과에 따르면 100년 후에는 우리나라 인구가 2천만명으로 줄어든다. 고령화 수준도 굉장히 높아질 것""이라며 ""숫자에만 주목하는 인식은 틀렸다. 노동력 부족, 재정적 문제 말고도 생활에서 많은 일들이 일어날 것""이라고 말했다.실제로 우리나라 헌혈인구는 10~20대가 약 66%를 차지한다. 그러나 저출산·고령화로 인한 급격한 인구구조 변화로 1020 인구는 감소하고 수혈을 필요로 하는 50대 이상 연령층은 증가해 중장기적으로 혈액 수급의 어려움이 가중될 것으로 전망된다.때문에 안정적인 헌혈자원 확보를 위해서는 현재 1020세대에 편중된 헌혈자 구조를 개선해 30대 이상 중장년층 헌혈자 확보를 통해 헌혈인구를 다변화 할 필요성이 제기되고 있다.지난 22일 서울시의회 보건복지위원회 소속 김영옥 의원이 '서울특별시 헌혈장려 및 지원에 관한 조례' 일부개정조례안을 발의했다.    지난 22일 서울시의회 보건복지위원회 소속 김영옥 의원이 대표가 '서울특별시 헌혈장려 및 지원에 관한 조례' 일부개정조례안을 발의했다. [사진=서울시의회]김 의원은 중장년층 헌혈 활성화를 위해 ""현행 '국가공무원 복무규정', '지방공무원 복무규정'에서 헌혈 시 공가 처리할 수 있도록 규정하고 있으나 사회적 분위기, 홍보 부족 등으로 실제 재직 공무원의 헌혈 공가 사용률이 저조해 개정안을 발의하게 됐다""고 설명했다.이어 ""헌혈은 응급상황 시 소중한 시민의 생명을 좌우하는 아주 중요한 문제이기 때문에 반드시 안정적으로 헌혈자원을 확보할 필요가 있다. 이번 개정안은 지방정부 차원에서 지원책을 고민한 결과""라며 ""개정안으로 공무원, 공공기관 종사자부터 헌혈 참여를 활성화하여 헌혈에 적극적인 사회 분위기 조성을 위해 노력하겠다""고 강조했다. ]","['우리나라 기득권층 자식들 다 미국국적으로 바꿔놓고 \n나라 망하든 말든 알빠노ㅋㅋㅋ', '', '나이쳐먹고 젊은애들 피빨아가면서까지 목숨연명하진맙시다', '규모작은 병원들보면 수혈대상자 기준이 있는데도 쓸데없이 하는 수혈들도 엄청 많음… 그런거 볼때마다 헌혈하는게 아까워짐', '인구 줄어도 됩니다  인구 많아요', '', '앞으로 자식 손주들이 자기 아버지 할아버지에게만  헌혈할 것 ㆍ 백신으로 깨큿한 피는 부르는게 값일테고', '때되면 인공혈액 나옴. 노걱정', '우리나라는 현대국가로서는 광복후 지금의 기조로 건국된지 75해째라 아직 100년도 안된 신생에 가깝다. 너무 급속도로 빠르게 성장하면서 그동안 너무 요점만 추려서 앞만보고 달려온 결과 유례없이 빠른 발전을 했지만 반대로 주변에 놓치고 발전한 부분이 너무도 많다. 그러다보니 아직 국가 시스템적으로 경험미숙이 너무도 많다. 예로들어 마치 시험을 앞두고 개념원리에 대한 이해는 재껴두고 출제요점만 벼락치기로 전교성적 상위(UN가입기준 192개국중 경제규모 10위)의 부국에 올랐지만 결국 심화적인 문제에서 대응대처를 하지 못 하는 것과 같다', '헌혈이 모자라면 인공적으로 혈액 만들어서 보충하자. 우리나라에도 연구 업체가 있는걸로 아는데?', '헌혈합시다']",http://www.inews24.com/view/1607521,https://n.news.naver.com/mnews/article/031/0000755396?sid=102
2023.06.29.,불교신문,[],"사회복지재단, 저출산·고령화 대응 교육 실시",[],[],http://www.ibulgyo.com/news/articleView.html?idxno=403880,http://www.ibulgyo.com
2023.06.28.,MTN,[],코스닥도 고령화 시대... 커지는 세대교체 고민,[],[],https://news.mtn.co.kr/news-detail/2023062816500144977,http://mtn.mt.co.kr
2023.06.27.,BBS NEWS,[],"조계종 사회복지재단, 미혼남녀 60여명 교육...""저출산 고령화 대응""",[],[],https://news.bbsi.co.kr/news/articleView.html?idxno=3115774,http://www.bbsfm.co.kr/
2023.06.27.,경상일보,[],"[사설]저출산·고령화 위기, 광역시 소멸 처방책 시급하다",[],[],https://www.ksilbo.co.kr/news/articleView.html?idxno=973390,http://ksilbo.co.kr
2023-06-26 15:09:00,한국경제,['사회'],"정부, 고령화 등 '사회문제 해결 R&D'에 1조7400억 투자","[     사진=연합뉴스정부가 고령화와 미세먼지 등 사회문제 해결을 위한 연구개발(R&amp;D)과제에 올해 1조7391억원을 투자한다.과학기술정보통신부는 26일 국가과학기술자문회의 제51회 운영위원회를 열고 이 같은 내용을 담은 '제3차 과학기술 기반 사회문제해결 종합계획(2023~2027)'을 심의 의결했다.과기정통부 관계자는 ""국민 수요 조사 등 데이터 분석 결과를 반영해 사회문제 영역을 10대 분야 43개 영역으로 조정 개편했다""며 ""이들 사회문제 영역에 대한 상시 관리체계를 구축하고 해결 방안을 제시하는 플랫폼을 장기적으로 만들 계획""이라고 밝혔다.10대 분야는 건강, 환경, 문화 여가, 생활 안전, 재난 재해, 에너지, 주거 교통, 가족, 교육, 사회통합이다. 이들 분야에 대한 사회문제해결 R&amp;D 예산은 2018년 1조2300억원에서 매년 꾸준히 증가해 작년 1조7800억원에 이르렀다. 유형별로는 재난재해(49.2%), 환경(11.4%), 건강(10.5%), 생활안전(8.3%)순이었다. 부처별 예산은 과기정통부(26.8%)가 가장 많고 보건복지부(17.1%), 산업통상자원부(8.1%) 순이었다.투자하는 돈은 계속 늘어났지만 성과는 미흡했다는 것이 과기정통부의 자체 판단이다. 과기정통부 관계자는 ""사회문제해결이라는 임무와 맞지 않는 연구목표를 설정하거나 현장 수요와 연계되지 않는 사업이 많았다""며 ""공급자 중심 R&amp;D를 수요자 중심으로 전환하고, R&amp;D 전반의 기획-관리-평가체계가 필요한 시점""이라고 설명했다.올해 3차 종합계획엔 생활소음(환경), 보이스피싱(생활안전), 1인가구 소외(가족), 사회양극화(사회통합) 영역을 추가했다. 고령화, 저출산, 디지털 격차, 사이버 범죄, 일자리 부족도 새로 포함시켰다.43개 영역 가운데 앞으로 가장 집중해야 할 5대 핵심 분야는 고령화, 사이버범죄, 미세먼지, 미세플라스틱, 생활폐기물로 좁혀졌다. 고령화 분야에선 보행 안전, 사고 예측, 디지털 격차 해소를 목표로 기술을 개발한다. 사이버 범죄는 피싱 등 사기와 디지털 성범죄자 추적 대응 역량을 높이는 데 주력한다.과기정통부 관계자는 ""3차 종합계획에서 제시한 사회문제 중 올해는 고령화, 사이버범죄 두 가지 분야에 대한 '임무지향 범부처 플래그십 사업'을 기획하겠다""며 ""내년 예산을 요청해 2025년 사업 시작이 목표""라고 밝혔다. 미세먼지와 미세플라스틱, 생활폐기물 문제 해결 방안은 내년 기획에 착수한다. ]",[],https://www.hankyung.com/it/article/202306264576i,https://n.news.naver.com/mnews/article/015/0004860707?sid=102
2023-06-26 11:14:01,헤럴드경제,['사회'],[헤럴드포럼] 고령화로 신음하는 한국 경제,"[     한국이 급속히 늙어가고 있다.한국은 2025년 노인인구 비율이 20.6%에 달해 초고령국가에 진입한다. 경제협력개발기구(OECD) 회원국 중 11개 국가가 이미 초고령국가다. 거센 인구쓰나미 극복에 한국의 미래가 달려 있다.최고경영자 100인을 대상으로 한 경제신문 설문조사에 따르면 세계경제 침체와 저성장 위기보다 저출산과 고령화를 한국 경제의 최대 위협 요인으로 인식하고 있다.급속한 고령화는 심각한 생산인구 부족 문제를 초래한다.우리나라 생산인구는 2022년 3667만 명에서 2050년 2481만명으로 급감할 전망이다. OECD 연구에 따르면 노인인구가 1%포인트 증가하면 연평균 성장률은 0.38%포인트 감소한다고 한다. 생산인구 감소와 생산성 하락 등에 따라 성장잠재력이 약화되기 때문이다.생산인구 감소는 노령 인구에 대한 젊은층의 부담을 가중시킨다. 생산인구 100명 당 노년인구 부양비가 2022년 24.6명에서 2036년 50명으로 급증할 전망이다. 노년부양비는 2022년 56위에서 2070년 100.6명으로 세계 1위가 될 것으로 예측된다.한국경제연구원 분석에 의하면 생산인구가 1% 감소하면 국내총생산(GDP)는 0.59% 줄어드는 것으로 나타났다. 2050년 생산인구가 현재보다 34% 줄어들고 GDP는 28% 줄어드는 것으로 예측된다. 이에 대한 대책으로 노동생산성 증대, 외국인 근로자 고용 확대, 규제 완화, 고용시장의 유연성 확대 등을 제안했다.인구고령화가 국가 신용등급을 결정하는 핵심 변수가 되고 있다. 파이낸셜타임스(FT)는 인구고령화가 주요국의 신용 등급에 심각한 타격을 주고 있다고 보도했다. 세계 3대 신용평가사는 과거에는 간접적인 영향 정도를 고려했는데 이제는 고령화지표를 국가신용등급 평가 시 직접적인 영향 변수로 간주하고 있다. 디트마르 흐르눙 무디스 부대표는 “이제 고령화는 신용 등급에 직접적이고 단기적인 영향을 미치는 현실적인 변수가 됐다”고 강조했다.노인 빈곤 문제도 심각한 상황이다. 노인빈곤율은 2014년 46%를 정점으로 감소하는 추세를 보여주지만 2020년 40.4%로 여전히 높은 수준이다. OECD 회원국 가운데 가장 높은 층에 속한다. 66세 이상 빈곤층 비율이 65세 이하 빈곤층 비율의 3.6배나 돼 OECD 회원국 가운데 가장 격차가 크다.기아 노조가 정년을 현행 60세에서 62세로 올리는 단체교섭안을 대의원회의에 올린다. 고령화에 따른 정년 연장이 커다란 노동 현안으로 떠오르고 있다.재계는 정년 연장의 필요성에는 원칙적으로 공감하지만 예상되는 부작용을 우려하고 있다. 정년 연장에 따른 인건비 추가 부담 문제가 크다.정년 연장이 이루어질 경우 청년층 신규고용 억제 문제도 간단치 않다. 청년 실업 문제를 더욱 악화시킬 가능성이 크다.고령층의 근로 희망 연령이 높아졌다. 나이 들어서도 계속 일하려는 의지가 강하다. 베이비부머의 대거 퇴직에 따른 산업 현장의 인력 공백 문제도 무시할 수 없다. 기업의 70%는 65세로의 정년 연장에 부정적이다. 16조원의 추가 인건비 부담이 예상되기 때문이다.55~79세 연령층의 약 70%가 일하기를 희망한다. 정년 연장은 인생 이모작을 가능케 하는 방법이다. 이에 수반되는 사회적 비용이 문제다. 단기간에 해법을 찾는 방식이 아니라 사회적 합의를 유도해 사회적 갈등을 최소화해야 한다. 바쁠수록 돌아가는 지혜가 필요하다.데이비드 웨일 브라운대 교수는 인구고령화는 향후 한국 경제의 지속 성장에 역풍으로 작용할 것이라고 경고했다.고령화의 흐름을 막을 수는 없다. 사회적 비용과 갈등을 최소화하는 데레 정책의 역 량을 집중해야 한다. 노인대국 일본은 세계 최고 수준의 국가채무비율을 기록하고 있다. 고령화는 한국 경제의 지속 성장에 커다란 도전이다.박종구 초당대 총장 ]","['해결해주어야 할 정치권 그 누구도 이 문제에 적극적이지 않고 오직 패권싸움, 즉 정쟁에만 몰입하고 있는 모습에서 대한민국이 몰락중임을 실감하고 있다. 국민들이라도 정신차려야 하지만 그들도 진영으로 나뉘어 헛짓들만 하고 있지 아니한가? 우리 후손들이 불쌍하다.']",http://news.heraldcorp.com/view.php?ud=20230626000375,https://n.news.naver.com/mnews/article/016/0002161074?sid=102
2023-06-25 15:09:01,시사저널,['사회'],"""청년 인구 유입으로 초고령화·인구 감소 정면돌파""","[ [인터뷰] 조재구 대구 남구청장 ""모든 사업, '지방 소멸 대응'에 초점""""앞산공원 복합문화공간으로 개발, 젊은 도시 견인""고령화와 낮은 재정자립도, 인구 감소. 대구광역시 남구를 관통하는 고질적 문제이자 극복해야 할 숙원이다. 조재구 남구청장은 2018년 취임 이후 2022년 재선으로 구정(區政) 5년째를 맞은 현재까지 세 가지 숙제 해결을 위해 전진하고 있다. 이미 초고령화로 접어든 대구 남구에 젊은 피 수혈을 위해 앞산의 관광벨트화와 재개발·재건축 등 정주 여건 개선에 속도를 붙이고 있다. 특히 '관계 인구' 개념을 도입해 스치는 인연을 정착인구로 전환하기 위한 다양한 시도를 하고 있다. 관계 인구란 실거주와 관계없이 상품 구매, 관광, 출장 등으로 남구 지역과 인연을 맺고 있는 인구를 말한다.세수 증대 등 재정 확충을 위한 행보도 눈에 띈다. 조 구청장은 재선 남구의원에서 대구시의원을 거쳐 재선 남구청장에 당선된 풀뿌리 행정가다. 밖으로는 대한민국 시장·군수·구청장 협의회 대표회장으로 '지방시대'를 열기 위한 지역의 목소리를 대변하고 있다. 시사저널은 6월12일 젊은 남구 건설에 매진하고 있는 조재구 구청장을 찾았다.     조재구 대구 남구청장 ⓒ대구 남구청""앞산은 남구에 젊은 피 불어넣는 중요 자원""재선 1년을 포함해 구청장으로 5년을 보냈다. 지난 임기를 돌아본다면""재선 첫 달 앞산 빨래터공원과 하늘다리 준공을 시작으로 민선 8기의 지난 1년도 힘껏 달려왔다. 남구의 고질적인 취약점이었던 고령화와 인구 감소 문제의 실마리가 잡히고 있다. 한때 남구 인구가 30만 명을 넘던 시절도 있었다. 하지만 도심 외곽 개발이 시작되면서 인구는 15만 명 아래로 곤두박질쳤다. 이 문제는 먼저 재개발·재건축을 통해 해결 방안을 모색 중이다. 초선이던 2018년부터 지금까지 총 5360세대에 대한 공사가 완료돼 입주를 마쳤다. 내년 말까지는 2626세대가 입주할 예정이다. 여기에 현재 86곳에서 진행 중인 재개발·재건축이 끝나면 정주 여건이 개선된 약 1만5000세대가 추가될 것으로 보고 있다. 당연히 인구도 증가하리라고 본다.""고령화는 남구만의 문제는 아닌 것 같다. 차별화 정책이 있는지.""통계청 자료를 보면 우리나라의 지난해 65세 이상 노인 인구는 전체의 17.5%다. 20% 이상이면 초고령화사회로 진입한 걸로 본다. 남구는 노인 인구가 이미 25%를 넘어 대구시 8개 구·군 가운데 서구와 1·2위를 다투는 현실이다. 2022년 기준 전국 평균이 18.43%라는 통계로 심각성을 대변하겠다. 우선 세대별 맞춤형 복지와 문화관광 사업과 연계한 '노인일자리사업'을 추진 중이다. 점차 늘어나는 1인 노인가구에 맞춰 '일사천리 복지기동단'을 가동해 노인 우울감에 대응하고 있다. 지난해 옛 달성군 교육지원청 자리에 총사업비 70억원을 들여 '시니어행복센터'도 문을 열었다. 센터에서는 어르신들이 스마트폰과 키오스크 등을 배운다. 특히 시니어 공유형 일자리, 바리스타 체험관 등을 통해 다양한 일자리도 마련해 드리고 있다.""최근 남구가 다양한 볼거리로 전국적인 주목을 받고 있다.""지난해 앞산공원이 '한국관광 100선'에 선정됐다. 지난 5월 대구 엑스코에서 열린 영남권 최대 캠핑 전문 박람회 '2023 대한민국 캠핑대전'에서는 남구의 관광지가 ′최우수 콘텐츠상'을 받았다. 새 단장을 한 앞산의 전망대와 해넘이전망대, 하늘다리뿐만 아니라 반려견 놀이터와 함께 곧 개장할 해넘이캠핑장 등이 그것이다. 또 앞산의 동과 서를 이을 앞산관광모노레일은 대구 도심 속 힐링의 장소이자 전국적인 관광 명소가 될 것이다. 특히 앞산 문화·관광 일자리 플랫폼을 통해 앞산권을 중심으로 분포돼 있는 관광자원의 벨트화를 추진할 계획이다. 또 이곳을 대구 최고 시설을 갖춘 공연장과 가변형 컨벤션, 대형 전시장과 주차공간 등을 두루 갖춘 복합문화공간으로 조성할 계획도 있다. 앞산은 인구 감소와 초고령화로 어려움을 겪고 있는 남구에 젊은 피를 불어넣는 중요한 자원이다.""캠프워크·캠프조지 등 미군기지 반환이 지역의 큰 관심사인데. ""남구에 미군기지가 특히 많다. 캠프 워커·조지·헨리가 앞산과 함께 차지하는 면적은 남구 전체 면적의 거의 절반이다. 지난 70여 년간 이곳 미군부대로 인해 남구 발전에 많은 제약이 있었다. 실제로 2년 전, 100년 만에 캠프워커 담장을 허물었다. 이를 통해 오랫동안 시간이 멈춰있던 대구3차순환도로의 캠프워커 동서편 담장 1300여m에 대한 완전개통이 가시화됐다. 현재 공사가 한창 진행 중이다. 또 이곳에 대구 대표 도서관도 지어 문화 인프라를 강화할 생각이다. 캠프조지 등 다른 미군 부지 반환 문제는 남구만의 문제가 아니라 대구시와 국방부, 지역 국회의원, 주한미군이 함께 풀어야 할 숙제이기도 하다.""노후한 구청 청사 건립이 속도를 내지 못하는 분위기다.""남구청 청사는 협소하기도 하지만 60년 가까이 지난 학교 건물이어서 노후화가 매우 심각한 상태다. 16년 전에 보수와 보강을 거치긴 했지만 지금도 공무원들이 불편하고 불안한 공간에서 일을 하고 있다. 속도를 내지 못하는 것은 아니고 현재 건립기금도 720여억원 정도 조성돼 있는 만큼 최대한 빠른 시일 내에 신청사가 건립될 수 있도록 노력하겠다.""     2022년 10월1일 열린 ‘제27회 대덕제 대구 앞산축제’ 개막식 ⓒ대구 남구청""기초 지방정부 목소리 대변에 최선 다할 터""""도와주십시오."" 조 구청장이 2020년 대통령에게 재정의 어려움을 호소한 발언은 지금도 회자되고 있다. 현재 남구의 살림살이는 어떤가.""올해 남구의 재정자립도는 10.63%로 2018년 9.48%에 비해 미미하게 증가했지만 여전히 전국 최하위 수준이다. 구청장으로서 현재 재건축 등 개발사업을 통해 세수를 높이려고 노력하고 있다. 하지만 남구는 열악한 재정에도 부채가 하나도 없는 지자체다. 노력 여하에 따라 성과가 바로 건전한 살림에 반영된다는 의미다. 지방교부세율을 현행 19.24%에서 22% 이상으로 올리는 데도 힘을 쏟겠다. 특히 자치구에는 지방교부세 직접 교부, 사회복지비 국고 보조율 확대 등에 노력하겠다.""대한민국 시장·군수·구청장 협의회 대표회장이다. '지방시대'를 여는 책임이 남다를 것 같다.""지난 한 해 전국적으로 인구가 12만 명이나 줄었다. 이 상황에서 국토 면적의 11.8%인 수도권에 우리나라 인구의 절반이 살고 있다. 수도권에 대기업 본사와 계열사 75%가 있고, 카드결제의 72%가 이뤄지고 있다. 젊은 청년들은 결혼과 출산도 기피하고 서울로 향한다. 대한민국의 지방은 지금 전 세계에서 유례를 찾아볼 수 없는 위기에 처해 있다. 진정한 '지방시대'를 위해 우선 저출산·고령화로 인한 지방 소멸 위기와 열악한 재정 상태에 처해 있는 기초지방정부의 목소리를 대변하는 데 최선을 다하겠다.""민선 8기 임기 동안 꼭 이뤄야 할 과제가 있다면.""이번 민선 8기 모든 사업이 '지방 소멸 대응'에 초점을 두고 있다. 이는 모든 지자체가 안고 있는 고민이기도 하다. 기존 인구정책 패러다임의 전환이 필요하다고 본다. 남구는 '관계 인구' 개념에 주목하고 있다. 관계 인구가 결국 '정착 인구'로 귀결될 수 있다고 본다. 이를 위해 앞산의 관광벨트화를 추진하고 있다. 또 초역세권 아파트, 행정복합타운, 복합문화공간 조성 등으로 거주 여건을 획기적으로 바꿔 나가겠다. 한국매니페스토운동본부 공약 이행률 평가에서 3년 연속 최우수 SA등급을 받았다. 앞으로도 약속을 잘 지키는 구청장이 되겠다. 구민들에게 약속한 사업을 잘 챙겨 대구 남구를 전국에서도 가장 살기 좋은 구로 만드는 데 700여 공무원과 함께 혼신의 노력을 다하겠다.""  ]",[],http://www.sisajournal.com/news/articleView.html?idxno=266048,https://n.news.naver.com/mnews/article/586/0000060003?sid=102
