Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2023-08-31 11:19:15,뉴시스언론사 선정,['사회'],"지적장애 女 2명 성폭행한 장애인복지시설 50대 직원, 2심도 징역 8년","[     [대구=뉴시스]이무열 기자 = 대구 수성구 범어동 대구지방법원 전경사진. 2021.04.23. lmy@newsis.com *재판매 및 DB 금지[대구=뉴시스] 김정화 기자 = 취침 시간 이후 여성 장애인 생활관에 몰래 들어가 성폭행한 혐의로 재판에 넘겨진 50대에게 2심도 징역 8년을 선고했다.대구고법 제1형사부(부장판사 진성철)는 31일 성폭력범죄의 처벌 등에 관한 특례법 위반(장애인 피보호자 강간 등) 등 혐의로 구속기소 된 A(53)씨 항소심에서 ""피고인의 항소를 기각한다""며 원심과 같이 징역 8년을 선고했다.재판부는 ""피고인은 장애인복지시설에 근무하는 종사자로서 장애인을 특별히 보호해야 한다""며 ""피해자가 용서하지 않은 점, 지적장애 정도가 심한 이들을 상대로 범행을 저지른 점 등을 종합하면 공탁했다고 해서 1심 파기할 만한 것은 아닌 것 같다""며 기각의 사유를 설명했다.A씨는 지난해 9월26일 영천시의 한 장애인복지시설에서 여성 장애인 2명을 성폭행한 혐의를 받고 있다.취침 시간 이후 장애인복지시설의 여성 생활관에 비상문을 통해 몰래 들어가 지적장애 2급인 여성 장애인들을 상대로 강간 및 강제 추행했다는 조사 결과가 나왔다. 범행 발각 이후 A씨는 연락을 끊고 잠적하던 중 약 5개월이 지나 경찰에 검거됐다.1심은 ""성적 욕구를 해소할 목적으로 범행을 저지른 것으로 죄질이 좋지 않고 죄책이 무겁다""며 ""피해자가 정신적으로 큰 충격을 받은 점, 피해자로부터 용서받지 못했고 엄벌을 탄원하는 점, 피고인이 자백하는 점 등을 종합했다""며 징역 8년을 선고하고 성폭력 치료프로그램 80시간 이수, 보호관찰 5년, 아동·청소년 관련 기관 및 장애인 관련 기관 취업제한 10년을 각 명령했다． ]","['2명을 성폭행 했는데 고작 8년이라니요.\n것도 자기 의견도 제대로 표현할줄 모르는 장애여성인데.\n죄질은 너무 불량한데 형벌은 너무 짧군요.\n8년 뒤에 다시 나와 또 무슨 짓을 할런지.', '2명이나 성폭을했는데 고작 8년... 이런 성범죄자들은 최소 20년이상에 물리적거세를 시켜야한다.', '또 대구인가.  강간의 왕국. 친형수님을 강간한 그곳 경상북도 국회의원', '판사 또라인가?? 양형없이 15~20년은 때려야지..사법부야~~망신은 당해도 쪽 팔리면 안되는거 아니냐?? 이건 피해자를 두번 죽이는거 알고는 있니?! 하긴...석렬이 같은 돼지도 대통령이 되는 한심한 나라인디..씁', '', '성범죄자들 거세부터시키고 신상,얼굴 범죄자죽는 순간까지 매일 공개해라', '겨쌍도 고담대구? 나라말아먹는 대똥 만들고 그것도  모자라 힘없는  여성들을 성폭행! 이참에 분리 시켜서 독립 시키자', '징역 1개월만 하고 거세를 하세요', '2명 강간하고 8년이냐 이스랙이들아..니네들이 대신 들어가 무기징역해라', '징역 8년,,,,,,  이게 뭐여????    이런것은 최소25년이상은 되야 죄값을 치르는것이다,,,,   판사들아!!!!!', '진심 경상도사람들은 거르는게 답인것인가?\n뭔사건만 생겼다하면 경상도네~~\n하긴~~', '지적장애인인데 진짜 성폭행인자, 좋아서 했는지 어떻게 확인 했을까!?! 궁금하다. 장애인도 사랑할 권리가 있다. 장애인이라고 수도승 이 될 이유는 없다고 본다. 잘 판단 했기를 바란다.']",http://www.newsis.com/view/?id=NISX20230831_0002432920&cID=10810&pID=10800,https://n.news.naver.com/mnews/article/003/0012061105?sid=102
None,연합뉴스,[[]],"한국마사회, 과천시와 5천만원 규모 복지사업 연내 추진",[],[],https://www.yna.co.kr/view/AKR20230831107000007?input=1195m,https://sports.news.naver.com/news.nhn?oid=001&aid=0014163458
2023-08-31 14:14:00,KBS언론사 선정,['경제'],국민연금 ‘소득재분배’는 공정한가요?…월급쟁이에 의존하는 연금복지 [국민...,"[ [연속기획] 국민연금에 ‘국가’는 없다[국민연금]① 국민연금 고갈 위기라면서…정부는 왜 쌈짓돈처럼 빼쓰나https://news.kbs.co.kr/news/view.do?ncd=7749434[국민연금]② ‘국민연금 크레딧’은 빛 좋은 개살구? 정부가 미래에 떠넘긴 빚https://news.kbs.co.kr/news/view.do?ncd=7750345[국민연금]③ “국민연금 100년 이상 끄떡없다”…‘3-1-1.5’ 개혁안, 내용은?https://news.kbs.co.kr/news/view.do?ncd=7751360[국민연금]④ 공무원연금에는 국고 5조 원 투입…국민연금엔?https://news.kbs.co.kr/news/view.do?ncd=7757050[국민연금]⑤ 국민연금 ‘소득재분배’는 공정한가요?…월급쟁이에 의존하는 연금복지https://news.kbs.co.kr/news/view.do?ncd=7762226[국민연금]⑥ 국민연금 1,000조 원 시대…최고 부자 나라에 사는 가장 가난한 노인들https://news.kbs.co.kr/news/view.do?ncd=7764605[국민연금]⑦ 정치가 키운 기초연금이 국민연금을 위협한다고?https://news.kbs.co.kr/news/pc/view/view.do?ncd=7775665    국민연금 제도는 소득재분배 기능이 꽤 크다. 소득과 연금 수령액을 따져보면 평균 소득 이상의 가입자들이 자기 몫의 약 25%를 저소득층에게 넘겨주는 식으로 제도가 설계되어 있다. 이 액수가 지난해 연간 8.5조 원으로 추산된다. 반면 정부가 저소득층 가입자를 위해 연금재정에 기여하는 예산은 1조 원에 불과하다. 공무원연금 적자를 메우는 데 한 해 5조 원을 쓴다.소득재분배는 사회보험의 순기능이지만 한 걸음 들어가면 구조적인 문제가 보인다. 소득을 넘겨주는 가입자는 대부분 월급생활자이고 소득을 넘겨받는 가입자의 상당수는 자영업자와 주부들이다. 그런데 혜택을 받는 사람이 주는 사람보다 실제로는 형편이 더 나은 처지라면?  애초 잘못된 설계로 국민연금 재정을 악화시키고 국민에게 부담시키는 꼴은 아닌지 면밀하게 살펴 보자.■ 국민연금 소득재분배 효과를 부자가 누린다?   국민연금 급여 = 1.2 (A+B)(1+0.05n)※ A = 전체 가입자 평균소득 / B = 가입자 소득 /n =가입 기간    국민연금 가입자가 받을 연금액 계산식이다. 연금 급여는 자기의 소득(B값)과 전체 가입자의 평균소득(A값), 이 두 가지와 연동되어 결정된다.  따라서 자기 소득이 평균보다 높으면 소득에 비해 적게 돌려받고, 평균보다 낮으면 많이 돌려받는 구조이다. 예를 들어 국민연금 기준소득 상한선인 월 530만 원인 최고 소득자는 퇴직 후 월 연금액에서 약 58만 원을 저소득자에게 넘겨주는 셈이다. 자기 소득에만 비례해 받을 경우 212만 원을 받을 수 있는 연금을 154만 원만 받는다. 이는 연간 700만 원, 평균 수명(84.3세)까지 산다고 가정하면 한 명이 총 1억 3천만 원이 넘는 소득을 저소득자에게 주는 결과가 된다.    자료: 국민연금공단 통계 이용 자체 계산소득재분배 효과는 공동체의 연대를 강화하는 사회보험의 순기능이다. 그러나 소득재분배 효과가 정작 저소득층이 아니라 오히려 부자인 사람에게 돌아간다면 문제가 아닐 수 없다. 국민연금의 경우   월 1백만 원 소득 수준에 매우 많은 가입자가 몰려 있는데, 이 중 절반 이상은 지역가입자(주로 자영업자)와 임의가입자(주로 주부), 임의계속가입자(60세 이후 계속 근로소득이 있는 사람)들이다.      자료:국민연금공단 홈페이지먼저, 자영업자 중에는 소득 파악이 제대로 안 되는 경우가 많다. 4인 미만의 직원을 가진 사업주 중에는 평균적인 월급생활자보다 소득이 많은 사람이 섞여 있을 가능성이 있다.    자료:국민연금연구원 연구보고서 발췌국민연금에 가입할 의무가 없는데도 자발적으로 가입하는 임의가입자 중에는 가정주부가 많다. 이들은 대부분 공적연금 가입자의 배우자라고 국민연금연구원 조사를 통해 밝혀진 바 있다. 만 27세 미만인데도 보험료를 내고 있는 임의가입자, 만 60세 이후에도 계속 보험료를 내는 임의계속가입자들도 국민연금의 평균소득자보다 경제적 사정이 나쁘지 않고 오히려 좋을 가능성마저 있다.    자료: 국민연금연구원 연구보고서 발췌 그렇다면 이들은, 국민연금을 꼭 필요한 노후보장 때문이 아니라 수익률 높은 금융상품처럼 이용하는 셈이다. 성실한 근로소득자들이 이들을 공연히 지원하고 있는 꼴이다. 이러한 소득재분배 혜택이 공정하다고 볼 수 있을까? 자영업자와 임의가입자를 국민연금에 편입한 주체는 분명 정부이다.  제도 설계의 맹점에서 부실이 발생한다면, 그 해결 책임도 정부에 있다.■ 국민연금 개편 4대 위원회...위원장들은 모두 국민연금 가입자가 아니다올해는 5년에 한 번 하는 국민연금 재정 추계를 실시한 해이기 때문에 보건복지부가 연금 개편안을 만들어 10월 말까지 국회에 보고하고 개편안을 확정해야 하는 해이다. 국민연금 개편안을 만들기 위해 보건복지부 산하의 여러 조직이 움직이고 있고, 국회 연금특위와 민간자문위원회도 열리고 있다.그런데 국민연금 관련 4대 주요 위원회(국회 연금특위, 민간자문위원회, 기금운용위원회, 재정계산위원회)의 위원장 4명 중에 국민연금 가입자는 한 명도 없다. 각각 공무원연금 가입자 2명, 사학연금 가입자 2명이다. 4대 위원회의 위원들은 총 68명인데 이 중 국민연금 가입자는 정확하게 50%인 34명에 불과했다. 이 가운데 국민 대표로 참여하고 있는 국회 연금특위 위원들 13명을 제외하면, 나머지 55명 위원 중에 국민연금 가입자는 23명으로 절반에 못 미친다. 현 국민연금공단 이사장도 공무원연금 가입자이다.    자료:공적연금강화 국민행동이러한 구성은 각 위원회에 당연직으로 참가하는 정부 관료들이 공무원연금 대상자이고, 민간 전문가 자격으로 참여하는 위원 대부분이 대학의 교수들로 사학연금 대상자이기 때문이다. 이들의 연금 가입 형태가 의사 결정에 영향을 미치진 않겠지만, 이들이 과연 국민연금 가입자의 입장에서 판단할 대표성이 있는지는 의문이다. 국민연금 개편 논의에 국민연금 가입자의 생각이 충분히 반영되기 어려운 구조라는 지적은 단순한 기우가 아니다. 2015년 공무원연금 개편 논의 때에는 정부 관료를 포함해 공무원과 교사 등 상당수 이해관계자가 대거 참여한 바 있다.■ 평균 연금액, 국민연금 58만 원 vs 공무원연금 250만 원2015년  공무원연금 개혁으로 국민연금과 공무원연금의 차이가 크게 좁혀졌다고 한다. 퇴직금이 연금에  포함돼 있는 공무원연금의 특수성도 고려해야 할 일이다. 그러나 여전히  평균 연금액은 국민연금이 58만 원, 공무원연금이 250만 원으로 4배 넘게 차이가 난다.공무원들은 일반 직장인들이 많이 가입하는 개인연금에 많이 가입하지 않는다. 노후소득이 어느 정도 확보됐기 때문이다. 공무원들은 보험료를 두 배나 많이 낸다고 하소연하지만, 수익비가 1을 훨씬 넘는 상황에선 산술적으로 많이 내는 게 결국 이득이다. 게다가 공무원연금 보험료 18%의 절반은 사업주인 정부가 내고 있기에 체감 수익률은 더 높아진다. 공무원연금과 국민연금은 성격이 많이 다르다는 주장도 있지만, 국민연금 내에서 월급생활자와 자영업자(또는 주부)의 차이만큼 심하다고 보기도 힘들다.    자료:국민연금연구원 정책보고서(공적연금 제도 간 격차와 해소방안 중 발췌)국민연금 개편에 맞춰 공무원과 사학, 군인 등 공적연금의 통합 논의도 나오길 기대한다. 전 세계에서 국민연금과 완전히 분리된 공무원연금을 유지하는 나라는 한국을 빼면 독일과 프랑스, 벨기에 등 세 나라에 불과하다.  OECD도 보험료율과 지급률에서 큰 차이를 보이고 있는 국민연금과 공무원연금을 통합해야 한다고 조언했다. 여기에 더해 공무원연금의 적자를 국민연금 기금으로 메워서는 안 된다고도 했다.공무원연금의 소득재분배 기능은 국민연금에 비해 훨씬 적다.  또 소득 편차가 적은 공무원사회 안에서 재분배 효과가 일부 나타날 뿐, 일반 국민들과는 담을 쌓아 놓고 있다. 국민연금 개편은 정부와 전문가들이 주도하고 있는데 이들 대부분은 국민연금 가입자가 아니라는 사실. 국민연금 제도를 건강하게 유지할 책임을 다하지 못한 정부가 그동안 '인구 고령화' 타령만 하다가, '더 내고 덜 받고 더 늦게 받으라'는 주문만 하니 국민 여론이 좋을 리가 없다.■ 제보하기▷ 전화 : 02-781-1234, 4444▷ 이메일 : kbs1234@kbs.co.kr▷ 카카오톡 : 'KBS제보' 검색, 채널 추가▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요! ]","['평생을 직장에서 뭐빠지게 일하면서 연금을 넣은 사람하고, 그냥 대충대충 살아온 놈하고 평균하지마라...', '국민연금 받는다고 기초연금 못받는게 말이됨? \n국민연금은 내돈 넣어논건데?? \n기초연금 수급대상 산정할때 국민연금은 빼야지 상식적으로', '', '연금에 건보료  소득세 왜 띠어가냐', '지금까지 납부한거 돌려주고 폐지하자', '기초연금은 금액을 낮춰서라도 전부 다 지급해야하고, 국민연금은 각자 낸 만큼 지급해야 한다. 그리고 저소득층은 기초생활수급이나 생계지원비 등으로 복지차원에서 지원하는 것이 맞지. 세금으로 지원하는 것이랑 연금을 왜 연관시키냐고.', '', '공무원연금적자충당부채 939조7000억원. 군인연금적자충당부채 241조6000억원 적자인데도 국민세금으로 월240만원주는  특혜부터 개혁하세요.  국민연금  무직자들 0원지원 직직인들 4.5%지원 공무원연금 9%지원 이것도 특혜다. 국민연금도 지원해라', '', '구구절절 옳은 말이다. 더 먹고 살만한 사람들도 안하는 소득재분배를 왜 국민연금 가입한 월급쟁이들만 해야하는가?', '국민의 5%공무원연금 받는자에게 올해5조원 지원하고 95%국민연금 받는 사람에겐\n1조지원 한다니, 공무원과 일반 국민 지원액\n차이가 95배나 차이, 특혜가 왕족수준', '공무원연금 적자를 국민연금 기금으로 메꾸고 국민연금 적자는 더내고 덜받고 늦게 받는거로 메꾸려하다니~', '이렇게되면 이게연금이냐? 세금이지 무슨 공산당도 아니구 강제로 징수하고 받을때는늦게주고 조금주고 세금또떼고 이게뭐니?', '국민연금을 건보료 산정시 빼라', '', '그럼 공부해서 어렵게 공무원되고 월170 받으며 월세내고 사회생활 시작하는데 연금혜택도 배아파?', '공산주의 같은 사고는 나라를 망친다. 소득재분배는 생산성을 떨어지게 하고 일안해도 먹고 살 수  있다는 사고를 심어준다', '소득은 소득이지 그걸 왜 강제로 재분배 하냐? 그럼 소득이 무슨 소용 걍 분배 받으면 되지', '진작 국민연금가입 선택권주고. 지가낸돈 지가타먹게 햇어야하는데.  연금으로 돈놀음 해서 까먹고 카드돌려막기처럼 젊은애들돈으로 노인들 연금주니 이젠 젊은애들도 부족해서 돈나올 구멍은 없어지고.\n지금 가입 선택권줬다간 재정  작살난다. 그래도 선택권주고 연금유지할사람만하자.', '소득분배라 떠들어대지만.  언제는 가난한사람 모하는 나라라고.  난리떨때는 언제고. 민주당에 가물어바라. 먼말하는지', '내 유리지갑 뜯어다가 탐욕인플레이션에 중독된 자영업자 주는구나 . .', '공무원연금 하나 믿고 머리 싸메고 고시 공부한 공 원이 어느 순간 국민연금 보다 더 받으니 니들도 줄여 받으라고 하는게 맞니? 그러면 니 평생 소득과 공무원 평생 소득도 비교해서 보정해야 하는 것 아니니? 니가 고시 붙은 공무원 보다 똑똑했니? 공부를 더 잘했었니? 내가 공무원 하고 아무 상관 없지만 니 주장에는 구역질이 나려한다. 통합은 공무원 연금 규정을 바꾸고 신규 지원한 사람들에게만 적용하는 것이 맞다. 그리고 그 때도 공무원 급여 현실화가 안될 시는 이 나라 공무원 사회는 돌들이 독차지 하는비리의 온상이 될 것이다.', '안내고 안받고싶다', '공무원 연금 국민연금 가입시점이 틀린데 언론이 제대로 알릴려는 생각이 있는건지?\n국민분란만 만드는 kbs 그러니 정부에서 방송위원장을 도라이 같은 인간을 앉치지~~', '', '공무원연금  국민연금으로  통합하라  화가난다', '4대연금 통합하라\n다똑같은 국민인데 왜 차별하나', '오랜만에 제대로 된 기사를 봤네요. 정부도 더이상 모른체 방관하지말고, 모두가 함께 공존하는 길을 찾아야합니다', '그냥지금이라도 국민연금일시불로 받고싶은사람은 해지해줘라. 당장필요한데 대출이자높아 직장없어져서 막막한데 20년동안 넣은 내돈을 65세까지 언제기다리냐? 본인동의없이 왜 지들맘대로 삥을뜯어? 내돈좀 써보고 죽자 하...', '', '', '이게 국민연금이 망한이유다 소득재분배 기능 없애라', '', '국회의원 연금부터 없애', '백날 말했자나  이건 연금을 빙자한 세금이라고  만번도 말했다', '좋은기사네요 응원합니다', '받지도 못할거 왜 내나 그냥 사라져버렸으면 좋겠다\n칼춤 추는애들 뭐하냐 \n고위 공무원이나 찔러라 사정없이 쑤셔 줬으면 바랄게 없네', '소득재분배ㅋㅋ 공평하게 나눠갖는건가?', '다단계', '', '국가단위 사기지 뭐냐이게', '자영업자 돈 없는 버X지 말고 돈 있는 놈들은 그냥 다 내잖아. 월급쟁이는 기업에서 절반 보태주고. 이상한 헛짓거리 하지말고 국민연금 폐지나 해라.', '카드 돌려막기랑 머가 틀린거지?답 없는거 알면서도 폐지 못 하는 이유는 머냐고?후대가 뒤지던 말던 나까진 괜찮다는거냐고??', '조만간 인구 절벽으로 뒷감당 못하고 고갈 될 연금인대 많은 낸 사람은 피눈물 흘리겠지. 신생아 20만 시대 출생자들이 100만 베이비붐 시대 은퇴자를 무슨 수로 먹여 살리겠냐  연금징수액을 지금의 두배로 올려도 불가능하다.  청산 출구전략을 세우자', '이동관이 KBS를 만지고 나면 더이상 이런 보도가 나올까?', '참! 주~옥 같은 나라!', '', '', '', '', '월급쟁이는 완전 봉. 인 나라', '', '아무짝에도 쓸모없는 좌빨kbs 매각해서 그 돈으로 국민연금에나 보태자', '직장다니면서 열심히 연금낸사람이 왜 똑같이 대접받나? 그돈으로 젊을때 다른거 하고싶어도 강제로 징수할땐언제고~미친정부아냐~~', '개떡같은법', '국민연금 진짜바뀌던지. 자유롭게하던지', '공무원 퇴직금 주고 각종 수당은 근로기준법에 준해서 준다면 국민연금 편입도 반대하지 않는다.\n공무원32년차인 내가 한시간 시간외근무수당이 만2천원이다.  하루 휴일수당 9만원!  민간기업은 휴일근로하루에 28만원 받던데 그런건 왜 다루지 않나?', '내돈으로 제발 장난좀 치지마라', '세월에 비례해 연금수령액은 줄어든다.', '공무원 연금은 200만원 넘게 많이 받고..\n저소득층은 30만원~40만원 받고, 노령연금40만원해서\n70~80만원 받나..\n늙어서도 연금 불균형이 심해지네..', '', '좋은 글입니다. 제발 정신 좀 차리고 국민연금 제대로 개선을 해주세요.']",https://news.kbs.co.kr/news/view.do?ncd=7762226&ref=A,https://n.news.naver.com/mnews/article/056/0011556872?sid=101
2023-08-31 15:03:13,SBS Biz언론사 선정,['생활/문화'],"야간, 연휴에 초진 허용하나…복지부 ""비대면진료 개선할 것""","[     보건복지부는 오늘(31일)로 비대면진료 시범사업 계도기간이 종료되면서, 그 간의 시범사업 운영 경험과 의견 수렴을 통해 시범사업 모델 개선에 착수한다고 이날 밝혔습니다.복지부에 따르면 그간 제기된 주요한 의견은 이렇습니다. 우선 현행 시범사업 모델에서는 비대면진료가 가능한 초진 범위가 지나치게 좁아, 의료기관이 부족한 지역에 거주하는 경우나 야간·공휴일·연휴에 의료기관 이용이 필요한 경우 등 지역·시간적인 의료접근성을 개선해야 한다는 의견이 제기됐습니다.또한, 비대면진료가 허용되는 재진 기준이 복잡해서, 환자와 의료기관에서 이용하기 어렵고, 재진 기준의 기한인 ‘30일 내 진료’ 범위가 지나치게 좁아 비대면진료 이용이 불편하다는 의견이 제기됐습니다.보건복지부는 이러한 문제 제기를 바탕으로 ▴초진 허용 범위, ▴재진 기준 개선을 중점 논의하고, 비대면진료의 안전성과 의료접근성이 조화를 이룰 수 있도록 환자의 실질적 수요와 편의를 고려하여 시범사업 모델을 개선해 나갈 계획입니다.당신의 제보가 뉴스로 만들어집니다.SBS Biz는 여러분의 제보를 기다리고 있습니다.홈페이지 = https://url.kr/9pghjn ]","['ㅋㅋㅋ중국인들 비대면진료 이용해서 한명의 주민번호로 10명이상이 약타먹더라 ㅋㅋㅋ 한국 건보최고라면서 ㅎㄷㄷ 돈빼먹기 좋은 한국 비대면진료', '주말, 야간은 아이디어 좋은거 같다. 그럼 퇴근후에 진료받아도 되니까 굿잡', '수도권은 비대면 진료 되려 악용될듯', '하지마..의료비재정 빵꾸난다.', '80대 이상 고령층은 비대면진료가 정말 필요합니다. 6,70대와 80대 이상을 하나로 묶어 행정처리 하지 말아야 합니다.  80대 이상은 건강해도 혼자 진료 받으러 가기 어렵습니다. 게다가 병원다녀와서 힘들어서 병나는 경우도 많아요. 초고령층은 조건없이 비대면 처방 받도록 해주세요.', '모든규제확풀어라  채액혈당기 개발해놓고도 재도적헛점으로 상용화 못하고있다고한다 세게ㅐ적인 발명품을개발해놓고도 정부규제에가로막혀 상용화를 못하고있다는것은 엄청난손실  이런거 패스틑렉에올려 속전속결처리해줘야', '일본처럼 선택분업 도입해라 비대면진료 문제점도 한방에 해결된다.의사들은 필수과 기피하고 약사들은 건기식 장사해서 돈버는게 말이 되냐?전부 피부미용만 하는 나라가 정상이냐? 약국에서 탈모약 1년에 10만원 이하에 받아 팔때는 40~50만원정도에 파는 약국 많다.약은 선진국처럼 편의점에서 약 구매 가능해야된다.국민들이 바보 문맹이냐?왜 복약지도료 조제료 매년 몇조원씩 뜯기는거지?']",https://biz.sbs.co.kr/article_hub/20000133726?division=NAVER,https://n.news.naver.com/mnews/article/374/0000349486?sid=103
2023.08.31.,SK브로드밴드,[],이웃 관심으로 위기가구 발굴…경기도 긴급복지 핫라인 (B tv 수원뉴스),[],[],http://ch1.skbroadband.com/content/view?parent_no=24&content_no=61&p_no=161082,http://ch1.skbroadband.com/
2023-08-31 14:46:55,뉴스1,['사회'],제8회 논산복지박람회 내달 2일 시민공원서 개최,[     제8회 논산시복지박람회 홍보 이미지. / 뉴스1(논산=뉴스1) 최형욱 기자 = 충남 논산시가 9월2일 시민가족공원에서 ‘제8회 논산시 복지박람회’를 개최한다.31일 시에 따르면 이번 박람회에서는 총 47개의 복지 관련 기관이 참여해 홍보 부스를 운영하며 △지구사랑 환경 작품 전시 △아이스팩 방향제·포토머그컵 만들기 △버블·마임쇼 △에어바운스 등의 프로그램을 진행한다.또한 장애 및 기부체험과 희망·소통의 이벤트도 진행할 예정이다.     시는 박람회를 통해 종사자들의 사기를 진작하고 시민들에게는 다양한 사회보장 서비스를 홍보한다는 계획이다.    시 관계자는 “시민들이 시의 복지 서비스를 정확히 알고 직접 겪어보는 자리가 되길 바란다”고 말했다.   ],['좋은 기획행사내요~^^. \n그런데.. 시간이 9시-오후2시라니..'],https://www.news1.kr/articles/5157135,https://n.news.naver.com/mnews/article/421/0007021134?sid=102
2023.08.31.,뉴스핌,[],"우리은행, 취약 복지시설에 친환경 에너지 설비 지원",[],[],http://www.newspim.com/news/view/20230831000662,http://www.newspim.com
2023-08-31 09:19:01,지디넷코리아언론사 선정,['IT/과학'],"KT스카이라이프, 논산시 복지시설에 위성방송 무료 제공","[ ‘사랑의 안테나’ 30대 제공키로KT스카이라이프가 논산시 복지시설에 ‘사랑의 안테나’를 지원한다고 31일 밝혔다.스카이라이프와 논산시는 30일 논산시청에서 기부 전달식을 갖고 노인요양원 등 논산시 비영리 복지시설에 ‘사랑의 안테나’ 30대를 제공하기로 했다.스카이라이프는 논산시 복지시설에 ‘사랑의 안테나’를 지원하며 TV를 통해 문화생활을 즐길 수 있도록 돕는다. ‘사랑의 안테나’는 TV시청에 어려움을 겪는 미디어 소외계층의 문화적 격차 해소를 위해 취약계층 가정이나 복지시설 등에 UHD TV와 위성방송 평생 무료시청권을 제공하는 스카이라이프의 대표 사회공헌 사업이다.    백성현 논산시장(왼쪽)과 이석호 스카이라이프 서부고객단장이석호 스카이라이프 서부고객단장은 “논산시와의 ‘사랑의 안테나’ 기부 전달식을 통해 요양원 등 복지시설에 스카이라이프 방송을 제공할 수 있어 기쁘다”며 “앞으로도 스카이라이프는 ‘사랑의 안테나’를 통해 문화적 사각지대 해소에 앞장서는 한편, 지역사회와 함께하는 지역 밀착형 사회공헌 사업을 확대해 나가겠다”고 말했다.백성현 논산시장은 “논산시 사회복지시설에 ‘사랑의 안테나’를 지원해 준 스카이라이프에 감사하다”며 “다양한 채널과 볼거리를 제공하는 스카이라이프가 복지시설 생활인에게 큰 즐거움을 줄 것으로 기대된다”고 말했다. ]",[],https://zdnet.co.kr/view/?no=20230831091803,https://n.news.naver.com/mnews/article/092/0002303576?sid=105
2023.08.31.,충청투데이,[],서천군 복지 핫라인 구축,[],[],https://www.cctoday.co.kr/news/articleView.html?idxno=2183866,http://www.cctoday.co.kr
None,일간스포츠,[[]],"2024년 체육기금, 스포츠산업 발전 및 약자 복지강화 토대 마련",[],[],https://isplus.com/article/view/isp202308310117,https://sports.news.naver.com/news.nhn?oid=241&aid=0003297812
