category,source,target,correlation
2013 ~ 2017,노인,치매,0.05053667244905524
2013 ~ 2017,노인,일자리,0.016897910515227918
2013 ~ 2017,노인,한국,0.019565250512394362
2013 ~ 2017,노인,여성,-0.00032230271799317886
2013 ~ 2017,노인,환자,0.01831220901748304
2013 ~ 2017,노인,지원,0.0006755531500604907
2013 ~ 2017,노인,정부,-0.01167993860179305
2013 ~ 2017,노인,위한,-0.00340775067043793
2013 ~ 2017,노인,건강,0.0035931033313126213
2013 ~ 2017,노인,서울,0.040710239860165996
2013 ~ 2017,노인,서울시,-0.002734797850260989
2013 ~ 2017,노인,사설,-0.008155934492875935
2013 ~ 2017,노인,일본,0.002523009688767902
2013 ~ 2017,노인,고령화,0.008235401476935661
2013 ~ 2017,노인,경제,-0.012764596322892388
2013 ~ 2017,노인,증가,0.016475397964350238
2013 ~ 2017,노인,확대,-0.004132781467555239
2013 ~ 2017,노인,치료,-0.000976260020512659
2013 ~ 2017,노인,사망,0.047792590508322325
2013 ~ 2017,노인,재취업,-0.013003690237070997
2013 ~ 2017,노인,장애인,0.01443136477666261
2013 ~ 2017,노인,노후,-0.0031170797015448413
2013 ~ 2017,노인,중국,-0.010110273157095482
2013 ~ 2017,노인,내년,-0.006796146312121699
2013 ~ 2017,노인,개최,-0.007259340216084067
2013 ~ 2017,노인,급증,0.04621275761754789
2013 ~ 2017,노인,가장,0.006259287561588438
2013 ~ 2017,노인,피부,-0.013746457421193571
2013 ~ 2017,노인,위해,-0.0012284966962583326
2013 ~ 2017,노인,위험,0.019584351954075485
2013 ~ 2017,노인,없는,-0.0065990142965913386
2013 ~ 2017,노인,세계,0.008790815221297823
2013 ~ 2017,노인,효과,-0.007951933699309015
2013 ~ 2017,노인,시대,-0.0026250957750990123
2013 ~ 2017,노인,국민연금,-0.004710397515297387
2013 ~ 2017,노인,저출산,-0.00876959869424023
2013 ~ 2017,노인,최대,-0.0007729754462105373
2013 ~ 2017,노인,필요,-0.0013151404893268156
2013 ~ 2017,노인,없다,-0.0085111259771053
2013 ~ 2017,노인,기업,-0.008379708187420969
2013 ~ 2017,노인,올해,-0.009048697452286597
2013 ~ 2017,노인,50대,-0.002776494323603345
2013 ~ 2017,노인,가족,0.009464794679692438
2013 ~ 2017,노인,교수,-0.01087803429022804
2013 ~ 2017,노인,좋은,-0.007792100282488559
2013 ~ 2017,노인,추진,0.0006475544107888994
2013 ~ 2017,노인,국민,-0.006228065687753826
2013 ~ 2017,노인,칼럼,-0.010699271226127
2013 ~ 2017,노인,논란,0.0001309149922589668
2013 ~ 2017,노인,이유,-0.005176404360501055
2013 ~ 2017,노인,건강한,-0.0043984909998097885
2013 ~ 2017,노인,복지,0.008919769559822288
2013 ~ 2017,노인,청년,0.001190946398477365
2013 ~ 2017,노인,실시,0.000432059162062246
2013 ~ 2017,노인,취업,-0.003243836546986545
2013 ~ 2017,노인,예방,0.0024035745734958857
2013 ~ 2017,노인,대상,0.016000274625763346
2013 ~ 2017,노인,70대,0.1161473029801755
2013 ~ 2017,노인,대한민국,0.0003023016060156741
2013 ~ 2017,노인,인구,0.02883574367119142
2013 ~ 2017,노인,만에,0.020866865616225503
2013 ~ 2017,노인,대통령,-0.009940659008022358
2013 ~ 2017,노인,남성,0.003992242578178213
2013 ~ 2017,노인,사회,6.752558686127885e-05
2013 ~ 2017,노인,원인,0.008448056688588617
2013 ~ 2017,노인,대책,0.0010445404297879043
2013 ~ 2017,노인,10명,0.06588233523298719
2013 ~ 2017,노인,운영,0.0002886978451251988
2013 ~ 2017,노인,어르신,-0.007878348885472479
2013 ~ 2017,노인,성장,-0.009547634823156495
2013 ~ 2017,노인,1명,0.06773635929348508
2013 ~ 2017,노인,oecd,0.034843107314641214
2013 ~ 2017,노인,독거노인,-0.0007611948564645107
2013 ~ 2017,노인,사고,0.02333734857153784
2013 ~ 2017,노인,개선,-0.00586589805911484
2013 ~ 2017,노인,창출,0.008771023184065899
2013 ~ 2017,노인,정책,-0.009257529642219613
2013 ~ 2017,노인,징역,-0.004003281649411562
2013 ~ 2017,노인,인상,-0.00569730918980693
2013 ~ 2017,노인,효능,-0.008300972533359808
2013 ~ 2017,노인,도입,-0.005678398427976671
2013 ~ 2017,노인,관리,-0.003940594745838521
2013 ~ 2017,노인,강화,-0.0004649873815621637
2013 ~ 2017,노인,기초연금,0.05097067965889951
2013 ~ 2017,노인,있는,0.0032160230098358376
2013 ~ 2017,노인,예산,-0.006421096150699937
2013 ~ 2017,노인,최고,0.00934873520290403
2013 ~ 2017,노인,글로벌,-0.008974003991861313
2013 ~ 2017,노인,문제,-0.00010883705170811822
2013 ~ 2017,노인,가능,-0.005233032738614209
2013 ~ 2017,노인,출시,-0.00969932488502196
2013 ~ 2017,노인,늘어,0.005821326297721718
2013 ~ 2017,노인,수술,0.004949710242701758
2013 ~ 2017,노인,하루,0.0023513145831186404
2013 ~ 2017,노인,국내,-0.005822067854568395
2013 ~ 2017,노인,맞춤형,0.0015561727932572025
2013 ~ 2017,노인,60대,0.042226110651975624
2013 ~ 2017,노인,다시,-0.009320530954516812
2013 ~ 2017,노인,봉사활동,-0.007473657562170568
2013 ~ 2017,치매,노인,0.05053667244905524
2013 ~ 2017,치매,일자리,-0.021023944562002263
2013 ~ 2017,치매,한국,-0.018415085793808808
2013 ~ 2017,치매,여성,-0.009987296251445912
2013 ~ 2017,치매,환자,0.07594258479100814
2013 ~ 2017,치매,지원,-0.003397485260264857
2013 ~ 2017,치매,정부,-0.010515282300291863
2013 ~ 2017,치매,위한,-0.000583510626137759
2013 ~ 2017,치매,건강,0.004062996537928253
2013 ~ 2017,치매,서울,-0.010094789368622039
2013 ~ 2017,치매,서울시,-0.003647703546967449
2013 ~ 2017,치매,사설,-0.00784865372223587
2013 ~ 2017,치매,일본,-0.0053715734281782595
2013 ~ 2017,치매,고령화,-0.0124427323797028
2013 ~ 2017,치매,경제,-0.013850317917745734
2013 ~ 2017,치매,증가,4.5237550613719645e-05
2013 ~ 2017,치매,확대,0.003406427264343838
2013 ~ 2017,치매,치료,0.03914991255361607
2013 ~ 2017,치매,사망,0.002463813376492676
2013 ~ 2017,치매,재취업,-0.013709503731789927
2013 ~ 2017,치매,장애인,-0.0026461548028585743
2013 ~ 2017,치매,노후,-0.012138375896488527
2013 ~ 2017,치매,중국,-0.012060728033739134
2013 ~ 2017,치매,내년,-0.011307799362192105
2013 ~ 2017,치매,개최,-0.010463889445320501
2013 ~ 2017,치매,급증,0.00530919047273513
2013 ~ 2017,치매,가장,-0.0055731132380315036
2013 ~ 2017,치매,피부,-0.012636345716744166
2013 ~ 2017,치매,위해,-0.0028391954887749637
2013 ~ 2017,치매,위험,0.118768777690267
2013 ~ 2017,치매,없는,-0.00719191587222215
2013 ~ 2017,치매,세계,-0.0018811465440070811
2013 ~ 2017,치매,효과,0.023164461325304805
2013 ~ 2017,치매,시대,-0.006064387758307608
2013 ~ 2017,치매,국민연금,-0.012206629378732622
2013 ~ 2017,치매,저출산,-0.012050237426352377
2013 ~ 2017,치매,최대,-0.006539582429578234
2013 ~ 2017,치매,필요,-0.006410128622044932
2013 ~ 2017,치매,없다,-0.0023344109611221197
2013 ~ 2017,치매,기업,-0.010980920933439685
2013 ~ 2017,치매,올해,-0.010122926588504905
2013 ~ 2017,치매,50대,0.03904048301412377
2013 ~ 2017,치매,가족,0.02542307223173313
2013 ~ 2017,치매,교수,-0.0014789071173145645
2013 ~ 2017,치매,좋은,-0.0047544410226420825
2013 ~ 2017,치매,추진,0.0010671647126900127
2013 ~ 2017,치매,국민,-0.003061464958123899
2013 ~ 2017,치매,칼럼,-0.00874434453417697
2013 ~ 2017,치매,논란,-0.0028803976269997427
2013 ~ 2017,치매,이유,-0.0019278704596478696
2013 ~ 2017,치매,건강한,0.0073384649640357786
2013 ~ 2017,치매,복지,-0.007783373731796005
2013 ~ 2017,치매,청년,-0.010283432985893385
2013 ~ 2017,치매,실시,0.0032954334265845363
2013 ~ 2017,치매,취업,-0.010991531926340435
2013 ~ 2017,치매,예방,0.10530351857806328
2013 ~ 2017,치매,대상,-0.005749878650379839
2013 ~ 2017,치매,70대,0.04975217298808281
2013 ~ 2017,치매,대한민국,-0.009946559604335709
2013 ~ 2017,치매,인구,-0.00723083148517098
2013 ~ 2017,치매,만에,0.0024959857242475856
2013 ~ 2017,치매,대통령,-0.0017844241028794666
2013 ~ 2017,치매,남성,0.0044423448256608175
2013 ~ 2017,치매,사회,-0.002514055971638721
2013 ~ 2017,치매,원인,0.004740355334566764
2013 ~ 2017,치매,대책,-0.00688958071615047
2013 ~ 2017,치매,10명,0.013820960714488538
2013 ~ 2017,치매,운영,0.0021731479276719604
2013 ~ 2017,치매,어르신,0.019744276416870144
2013 ~ 2017,치매,성장,-0.010325923564394426
2013 ~ 2017,치매,1명,0.018220967749871718
2013 ~ 2017,치매,oecd,-0.010222410925572526
2013 ~ 2017,치매,독거노인,-0.008296832141009734
2013 ~ 2017,치매,사고,0.00010173098532858862
2013 ~ 2017,치매,개선,0.00010173098532864005
2013 ~ 2017,치매,창출,-0.009186678211709124
2013 ~ 2017,치매,정책,-0.005427887848189039
2013 ~ 2017,치매,징역,0.0246451870587235
2013 ~ 2017,치매,인상,-0.008144365939047972
2013 ~ 2017,치매,효능,0.00031407233868265536
2013 ~ 2017,치매,도입,0.0003379421912991262
2013 ~ 2017,치매,관리,0.01256996186129518
2013 ~ 2017,치매,강화,-0.00530760534869904
2013 ~ 2017,치매,기초연금,-0.009045473537658862
2013 ~ 2017,치매,있는,-0.0013908166904354011
2013 ~ 2017,치매,예산,-0.008031865694024844
2013 ~ 2017,치매,최고,-0.006134423121570722
2013 ~ 2017,치매,글로벌,-0.008915248582692586
2013 ~ 2017,치매,문제,-0.005062120151659007
2013 ~ 2017,치매,가능,0.01541263560154063
2013 ~ 2017,치매,출시,-0.0010314657771873053
2013 ~ 2017,치매,늘어,0.0011591709746743275
2013 ~ 2017,치매,수술,-0.005679958866688908
2013 ~ 2017,치매,하루,0.02100475622107525
2013 ~ 2017,치매,국내,0.00921218326902791
2013 ~ 2017,치매,맞춤형,-0.0005863320722387836
2013 ~ 2017,치매,60대,0.0164892867440494
2013 ~ 2017,치매,다시,-0.009416703720748171
2013 ~ 2017,치매,봉사활동,-0.007416744108122081
2013 ~ 2017,일자리,노인,0.016897910515227918
2013 ~ 2017,일자리,치매,-0.021023944562002263
2013 ~ 2017,일자리,한국,-0.011821381662764311
2013 ~ 2017,일자리,여성,0.03148037589272776
2013 ~ 2017,일자리,환자,-0.015082990616046425
2013 ~ 2017,일자리,지원,0.015038722915803864
2013 ~ 2017,일자리,정부,0.04378104718728891
2013 ~ 2017,일자리,위한,0.012905245850795194
2013 ~ 2017,일자리,건강,-0.013716245821357801
2013 ~ 2017,일자리,서울,0.002706086472956185
2013 ~ 2017,일자리,서울시,0.03226265414874394
2013 ~ 2017,일자리,사설,-0.0021925507637365377
2013 ~ 2017,일자리,일본,-0.005648823005460701
2013 ~ 2017,일자리,고령화,-0.0017759309717146564
2013 ~ 2017,일자리,경제,-0.0025407592145152954
2013 ~ 2017,일자리,증가,-0.0031528737310286604
2013 ~ 2017,일자리,확대,0.029371542058791375
2013 ~ 2017,일자리,치료,-0.011221387158742924
2013 ~ 2017,일자리,사망,-0.011865459793885345
2013 ~ 2017,일자리,재취업,0.0051084729769861285
2013 ~ 2017,일자리,장애인,0.009155659556206603
2013 ~ 2017,일자리,노후,-0.007511608242867596
2013 ~ 2017,일자리,중국,-0.011508640904981085
2013 ~ 2017,일자리,내년,0.023715335959301045
2013 ~ 2017,일자리,개최,0.008435057005093123
2013 ~ 2017,일자리,급증,-0.010489325338382621
2013 ~ 2017,일자리,가장,-0.0008106995519935724
2013 ~ 2017,일자리,피부,-0.010800795917182957
2013 ~ 2017,일자리,위해,0.011900080824580229
2013 ~ 2017,일자리,위험,-0.010752530693928177
2013 ~ 2017,일자리,없는,0.0016307707415127554
2013 ~ 2017,일자리,세계,-0.008025281201181155
2013 ~ 2017,일자리,효과,-7.845621531801167e-05
2013 ~ 2017,일자리,시대,-0.0014939368389253408
2013 ~ 2017,일자리,국민연금,-0.008636386301931758
2013 ~ 2017,일자리,저출산,0.0015312743353838166
2013 ~ 2017,일자리,최대,0.00794814783051707
2013 ~ 2017,일자리,필요,0.004485457760161776
2013 ~ 2017,일자리,없다,-0.005529367538298388
2013 ~ 2017,일자리,기업,0.009472168093851124
2013 ~ 2017,일자리,올해,0.06567116148239462
2013 ~ 2017,일자리,50대,0.0015011096147233367
2013 ~ 2017,일자리,가족,-0.006966538985525957
2013 ~ 2017,일자리,교수,-0.007825002579911934
2013 ~ 2017,일자리,좋은,0.023970307578828218
2013 ~ 2017,일자리,추진,0.012445050974713687
2013 ~ 2017,일자리,국민,-0.002959490311106269
2013 ~ 2017,일자리,칼럼,-0.00475483114518209
2013 ~ 2017,일자리,논란,-0.005728307010678697
2013 ~ 2017,일자리,이유,-0.0027156796785988103
2013 ~ 2017,일자리,건강한,-0.009568140656407013
2013 ~ 2017,일자리,복지,0.024817852681215388
2013 ~ 2017,일자리,청년,0.10369950097230105
2013 ~ 2017,일자리,실시,-0.0035923030817796137
2013 ~ 2017,일자리,취업,0.0075506814429878106
2013 ~ 2017,일자리,예방,-0.009358035978691283
2013 ~ 2017,일자리,대상,0.004697588718968452
2013 ~ 2017,일자리,70대,-0.009302460521208238
2013 ~ 2017,일자리,대한민국,-0.004183343152702876
2013 ~ 2017,일자리,인구,-0.008161096845634697
2013 ~ 2017,일자리,만에,-0.007106760762291386
2013 ~ 2017,일자리,대통령,0.02281158814906383
2013 ~ 2017,일자리,남성,-0.00908633110715839
2013 ~ 2017,일자리,사회,-0.005905839576924819
2013 ~ 2017,일자리,원인,-0.00898115953370752
2013 ~ 2017,일자리,대책,0.02864076185376719
2013 ~ 2017,일자리,10명,-0.005815363948484045
2013 ~ 2017,일자리,운영,-0.001597824426552203
2013 ~ 2017,일자리,어르신,0.04201084620175253
2013 ~ 2017,일자리,성장,0.004960099657540857
2013 ~ 2017,일자리,1명,-0.006632033701663499
2013 ~ 2017,일자리,oecd,-0.004453036975106776
2013 ~ 2017,일자리,독거노인,-0.008678030992343795
2013 ~ 2017,일자리,사고,-0.007577255744101111
2013 ~ 2017,일자리,개선,-0.001092094628541956
2013 ~ 2017,일자리,창출,0.37874253818450243
2013 ~ 2017,일자리,정책,0.026078500585659817
2013 ~ 2017,일자리,징역,-0.00858805535576911
2013 ~ 2017,일자리,인상,-0.005291495169622815
2013 ~ 2017,일자리,효능,-0.008567934490244808
2013 ~ 2017,일자리,도입,0.0056566362821988255
2013 ~ 2017,일자리,관리,-0.005277589008059867
2013 ~ 2017,일자리,강화,0.0001895236370694467
2013 ~ 2017,일자리,기초연금,-0.00853766567408114
2013 ~ 2017,일자리,있는,-0.0007696015053298286
2013 ~ 2017,일자리,예산,0.049944609815113734
2013 ~ 2017,일자리,최고,-0.0029745672149142782
2013 ~ 2017,일자리,글로벌,-0.0017814280169212943
2013 ~ 2017,일자리,문제,0.008261082579815436
2013 ~ 2017,일자리,가능,0.0006698319278752793
2013 ~ 2017,일자리,출시,-0.008322750153589322
2013 ~ 2017,일자리,늘어,-0.00025084132834179225
2013 ~ 2017,일자리,수술,-0.008207963813802342
2013 ~ 2017,일자리,하루,-0.005874797030774095
2013 ~ 2017,일자리,국내,-0.0047142924657249214
2013 ~ 2017,일자리,맞춤형,0.021814108283038383
2013 ~ 2017,일자리,60대,4.2693025880729566e-05
2013 ~ 2017,일자리,다시,-0.002238592804917911
2013 ~ 2017,일자리,봉사활동,-0.008048837645016989
2013 ~ 2017,한국,노인,0.01956525051239436
2013 ~ 2017,한국,치매,-0.01841508579380881
2013 ~ 2017,한국,일자리,-0.01182138166276431
2013 ~ 2017,한국,여성,0.003050673654369175
2013 ~ 2017,한국,환자,-0.011029633535332243
2013 ~ 2017,한국,지원,-0.011419110190389683
2013 ~ 2017,한국,정부,-0.005409406870996722
2013 ~ 2017,한국,위한,-0.012111891773877764
2013 ~ 2017,한국,건강,-0.007372658899791473
2013 ~ 2017,한국,서울,-0.01188083906421209
2013 ~ 2017,한국,서울시,-0.012979427614943959
2013 ~ 2017,한국,사설,0.009505354720945427
2013 ~ 2017,한국,일본,0.040741361285777336
2013 ~ 2017,한국,고령화,0.05144764403432605
2013 ~ 2017,한국,경제,0.08503631993274448
2013 ~ 2017,한국,증가,0.004453779205881089
2013 ~ 2017,한국,확대,-0.003962351481671296
2013 ~ 2017,한국,치료,-0.008881104504149188
2013 ~ 2017,한국,사망,-0.008721718629125578
2013 ~ 2017,한국,재취업,-0.007705983727372755
2013 ~ 2017,한국,장애인,-0.008534020122108897
2013 ~ 2017,한국,노후,-0.0015299136888923311
2013 ~ 2017,한국,중국,0.020085692899687604
2013 ~ 2017,한국,내년,0.013316473341843275
2013 ~ 2017,한국,개최,-0.005535993419591546
2013 ~ 2017,한국,급증,-0.007210254840565121
2013 ~ 2017,한국,가장,0.030867498401769746
