category,word,score
0,치매,2861
0,노인,2846
0,일자리,2207
0,지원,1977
0,한국,1903
0,정부,1837
0,여성,1562
0,서울시,1545
0,서울,1512
0,위한,1476
0,환자,1434
0,코로나,1393
0,건강,1303
0,사설,1257
0,일본,1231
0,중국,1174
0,확대,1167
0,사망,1151
0,경제,1134
0,장애인,1123
0,개최,1076
0,위험,1038
0,증가,968
0,코로나19,967
0,없는,964
0,가족,953
0,내년,948
0,세계,935
0,시대,935
0,칼럼,929
0,치료,916
0,고령화,912
0,재취업,901
0,백신,900
0,이유,892
0,최대,890
0,노후,875
0,없다,873
0,위해,866
0,인구,861
0,만에,834
0,논란,821
0,청년,820
0,추진,810
0,올해,789
0,필요,782
0,가장,782
0,국민연금,770
0,저출산,769
0,효과,748
0,운영,740
0,건강한,735
0,기업,733
0,다시,727
0,국내,722
0,교수,722
0,안락사,716
0,징역,711
0,어르신,705
0,급증,694
0,국민,685
0,접종,682
0,대통령,659
0,단독,656
0,모집,655
0,개선,652
0,대상,641
0,피부,634
0,복지,633
0,강화,632
0,사회,612
0,정책,605
0,대표,602
0,있는,602
0,선정,600
0,예산,597
0,기고,596
0,할머니,590
0,취업,589
0,좋은,589
0,감소,587
0,위기,586
0,oecd,585
0,글로벌,582
0,미국,580
0,10명,578
0,실시,574
0,도입,573
0,전달,572
0,하루,571
0,아닌,569
0,우려,563
0,출시,556
0,대한민국,555
0,예방,553
0,문제,552
0,경찰,546
0,vs,545
0,가능,545
0,대책,544
0,장관,535
0,전국,533
0,관리,533
0,미래,529
0,사고,528
0,검찰,527
0,미세먼지,522
0,개발,521
0,늘어,519
0,성장,518
0,확진,517
0,사업,517
0,서비스,516
0,창출,511
0,최고,510
0,고용,504
0,요양병원,504
0,병원,503
0,없어,502
0,발표,502
0,갈등,496
0,확진자,493
0,10년,491
0,인상,488
0,사람,485
0,남성,483
0,회장,483
0,1위,482
0,시작,480
0,원인,479
0,수상,476
0,사회적,475
0,투자,475
0,1명,466
0,기부,461
0,맞춤형,460
0,독거노인,458
0,65세,453
0,인생,451
0,수술,449
0,마스크,446
0,진행,446
0,넘어,445
0,사망자,442
0,아파트,441
0,질환,440
0,추가,440
0,만든다,438
0,실업급여,438
0,확산,433
0,세대,433
0,절반,432
0,역대,431
0,기초연금,430
0,알츠하이머,429
0,무료,427
0,이후,425
0,채용,423
0,삶의,423
0,한국인,421
0,해결,421
0,아니다,419
0,창업,418
0,하는,416
0,부담,414
0,총리,412
0,전두환,410
