category,word,score,sentiment
20,20대,215,Negative
20,징역,50,Negative
20,남성,29,Negative
20,노인,26,Negative
20,냉장고에,25,Negative
20,폭행한,23,Negative
20,아버지,21,Negative
20,성폭행,19,Negative
20,실형,17,Negative
20,성폭행한,17,Negative
20,구속,16,Negative
20,환자,15,Negative
20,일자리,14,Negative
20,무차별,14,Negative
20,숨지게,14,Negative
20,추월,13,Negative
20,살해,13,Negative
20,장애인,12,Negative
20,70대,12,Negative
20,공무원,11,Negative
20,우울증,11,Negative
20,코로나,10,Negative
20,살해한,10,Negative
20,10대,10,Negative
20,60대,10,Negative
20,급증,9,Negative
20,할머니,9,Negative
20,여성,9,Negative
20,구형,8,Negative
20,선고,8,Negative
20,살인미수,8,Negative
20,지난해,8,Negative
20,신생아,8,Negative
20,50대,7,Negative
20,폭행,7,Negative
20,가장,7,Negative
20,코로나19,7,Negative
20,일하는,7,Negative
20,아들,7,Negative
20,시신,7,Negative
20,40대,7,Negative
20,보관한,6,Negative
20,징역형,6,Negative
20,증가,6,Negative
20,마구,6,Negative
20,60세,6,Negative
20,20대는,6,Negative
20,촬영한,6,Negative
20,6개월,6,Negative
20,질식사,6,Negative
20,만난,5,Negative
20,20대에,5,Negative
20,유기한,5,Negative
20,20대가,5,Negative
20,재추진,5,Negative
20,사망,5,Negative
20,냉장고,5,Negative
20,협박,5,Negative
20,후임병,5,Negative
20,혐의,5,Negative
20,20대의,5,Negative
20,찬밥,5,Negative
20,20대보다,5,Negative
20,문재인,5,Negative
20,고령화,5,Negative
20,집유,5,Negative
20,항소심서,5,Negative
20,협박해,5,Negative
20,검거,5,Negative
20,숨진,5,Negative
20,협박편지,5,Negative
20,경제활동인구,4,Negative
20,청소년,4,Negative
20,20대도,4,Negative
20,정신질환,4,Negative
20,확정,4,Negative
20,한국,4,Negative
20,미성년자,4,Negative
20,청년,4,Negative
20,가족,4,Negative
20,손자,4,Negative
20,교통사고,4,Negative
20,60대가,4,Negative
20,억지로,4,Negative
20,줍던,4,Negative
20,취업자,4,Negative
20,몰카,4,Negative
20,판매한,4,Negative
20,체포,4,Negative
20,지하철,4,Negative
20,미성년자에,4,Negative
20,건물,4,Negative
20,상습,4,Negative
20,정황,4,Negative
20,협박한,4,Negative
20,80대,4,Negative
20,아파트,3,Negative
20,사고,3,Negative
20,서울,3,Negative
20,선택,3,Negative
20,검찰,3,Negative
20,음주운전,3,Negative
20,학대,3,Negative
20,층간소음,3,Negative
20,20대부터,3,Negative
20,벌금형,3,Negative
20,학대치사,3,Negative
20,사설,3,Negative
20,처음으로,3,Negative
20,지적장애,3,Negative
20,유부녀,3,Negative
20,클럽서,3,Negative
20,절반,3,Negative
20,시도한,3,Negative
20,추행한,3,Negative
20,죽인,3,Negative
20,흉기로,3,Negative
20,드러나,3,Negative
20,학대해,3,Negative
20,확진,3,Negative
20,피해자,3,Negative
20,병실,3,Negative
20,n번방,3,Negative
20,전역,3,Negative
20,이대출신,3,Negative
20,여성이,3,Negative
20,중형,3,Negative
20,망막장애,3,Negative
20,역전,3,Negative
20,몰래,3,Negative
20,영하,3,Negative
20,연속,3,Negative
20,자살,3,Negative
20,엄마,3,Negative
20,스마트폰,3,Negative
20,자녀,3,Negative
20,감소,3,Negative
20,시한부,3,Negative
20,숨지자,3,Negative
20,확진자,3,Negative
20,사상,3,Negative
20,노인은,3,Negative
20,12년,3,Negative
20,무면허,3,Negative
20,마주쳐,2,Negative
20,구속기소,2,Negative
20,김일곤,2,Negative
20,정신과,2,Negative
20,근로자,2,Negative
20,이유는,2,Negative
20,1분기,2,Negative
20,6명과,2,Negative
20,코스프레,2,Negative
20,옥상서,2,Negative
20,면접,2,Negative
20,달아난,2,Negative
20,법원,2,Negative
20,초등생,2,Negative
20,발견,2,Negative
20,문제,2,Negative
20,정부,2,Negative
20,여중생,2,Negative
20,음주,2,Negative
20,불법,2,Negative
20,성매매,2,Negative
20,여성들,2,Negative
20,투신,2,Negative
20,날씨,2,Negative
20,숨져,2,Negative
20,참변,2,Negative
20,현대차그룹,2,Negative
20,출산,2,Negative
20,10명,2,Negative
20,감형,2,Negative
20,보낸,2,Negative
20,3명,2,Negative
20,유포,2,Negative
20,학원,2,Negative
20,가슴,2,Negative
20,먼저,2,Negative
20,복지시설서,2,Negative
20,9년,2,Negative
20,항문냄새,2,Negative
20,음주운전자,2,Negative
20,훔쳐보며,2,Negative
20,5년,2,Negative
20,알바,2,Negative
20,제자,2,Negative
20,결혼도,2,Negative
20,그만,2,Negative
20,송치,2,Negative
20,원격의료,2,Negative
20,존속살해,2,Negative
20,초등생과,2,Negative
20,휴대폰,2,Negative
