year,word_left,word_right,correlation
2013 ~ 2017,가구,가능,0.0006660000426863
2013 ~ 2017,가구,가입,-0.011251281230888583
2013 ~ 2017,가구,가장,-0.0023192855140381614
2013 ~ 2017,가구,가족,-0.008503920074092826
2013 ~ 2017,가구,강화,-0.0016774633303894724
2013 ~ 2017,가구,개발,-0.004186641744440327
2013 ~ 2017,가구,개선,-0.006391336131094237
2013 ~ 2017,가구,개최,-0.010395743815720792
2013 ~ 2017,가구,걱정,-0.009637027687660804
2013 ~ 2017,가구,건강,-0.016216824797507235
2013 ~ 2017,가구,건강보험,-0.008230116986988901
2013 ~ 2017,가구,건보,-0.0073121087662760985
2013 ~ 2017,가구,결혼,-0.006090732169688692
2013 ~ 2017,가구,경제,-0.013002644541178464
2013 ~ 2017,가구,고령화,-0.006870451100346398
2013 ~ 2017,가구,고용,-0.00440989977415941
2013 ~ 2017,가구,공개,-0.009423858261572424
2013 ~ 2017,가구,공공,-0.002526854612301862
2013 ~ 2017,가구,공급,0.0775129781216845
2013 ~ 2017,가구,관리,-0.004136058502634235
2013 ~ 2017,가구,교수,-0.008344003361668087
2013 ~ 2017,가구,교육,0.00020559416886052078
2013 ~ 2017,가구,구조조정,-0.0048428196114459155
2013 ~ 2017,가구,국가,-0.001324689507525728
2013 ~ 2017,가구,국민,0.00564764378950437
2013 ~ 2017,가구,국민연금,-0.011214847294634817
2013 ~ 2017,가구,글로벌,-0.012117139708910742
2013 ~ 2017,가구,금융,-0.008907381017093733
2013 ~ 2017,가구,급증,-0.0026869955387478486
2013 ~ 2017,가구,기대,-0.004720638535338174
2013 ~ 2017,가구,기부,-0.007810216357707821
2013 ~ 2017,가구,기억,-0.006557024471531347
2013 ~ 2017,가구,기업,-0.011018603182656427
2013 ~ 2017,가구,나눔,-0.003006706849293836
2013 ~ 2017,가구,나이,-0.008583102018794381
2013 ~ 2017,가구,남성,-0.0074757500548555435
2013 ~ 2017,가구,남자,-0.005316398645048778
2013 ~ 2017,가구,내년,-0.002140444012403952
2013 ~ 2017,가구,노인들,-0.006738639971394923
2013 ~ 2017,가구,노화,-0.009249917733732441
2013 ~ 2017,가구,노후,0.0013900818325648149
2013 ~ 2017,가구,노후준비,-0.0005140624364966119
2013 ~ 2017,가구,논란,-0.008754413668214
2013 ~ 2017,가구,대비,-0.005869780010691659
2013 ~ 2017,가구,대상,-0.006858183907950726
2013 ~ 2017,가구,대책,0.002397558166442536
2013 ~ 2017,가구,대통령,-0.007861757408243873
2013 ~ 2017,가구,대표,-0.009748883225758937
2013 ~ 2017,가구,대한민국,-0.01027743037259288
2013 ~ 2017,가구,도입,-0.008164345922754904
2013 ~ 2017,가구,독거노인,-0.004673685210034238
2013 ~ 2017,가구,롯데,-0.005366466814940597
2013 ~ 2017,가구,마련,0.017008283122753355
2013 ~ 2017,가구,맞춤형,0.015644664530934785
2013 ~ 2017,가구,메르스,-0.00492487929163595
2013 ~ 2017,가구,모집,0.015421203629128029
2013 ~ 2017,가구,무료,-0.00725676010203725
2013 ~ 2017,가구,문재인,-0.0063281039410494145
2013 ~ 2017,가구,미래,-0.008295380975159514
2013 ~ 2017,가구,미세먼지,-0.009859518660291954
2013 ~ 2017,가구,미술,-0.00230656532424748
2013 ~ 2017,가구,발표,0.014016872078635152
2013 ~ 2017,가구,보장,-0.006531163007303248
2013 ~ 2017,가구,보험,-0.010175870772223736
2013 ~ 2017,가구,복지,-0.008952777880130823
2013 ~ 2017,가구,봉사활동,-0.007775670644979371
2013 ~ 2017,가구,부담,-0.008692497128491643
2013 ~ 2017,가구,부동산,-0.008515403595472525
2013 ~ 2017,가구,부모,0.02263120685005696
2013 ~ 2017,가구,부모님,-0.0080814001391073
2013 ~ 2017,가구,불안,-0.0037918455876780415
2013 ~ 2017,가구,비교,-0.0035372103121097866
2013 ~ 2017,가구,빈곤,0.008077936842364429
2013 ~ 2017,가구,사람,-0.008922538129742355
2013 ~ 2017,가구,사랑,-0.006453959150352637
2013 ~ 2017,가구,사회,-0.009293697173829355
2013 ~ 2017,가구,사회적,-0.005751526850772803
2013 ~ 2017,가구,산업,-0.004645769050950931
2013 ~ 2017,가구,삼성,-0.006638344770926637
2013 ~ 2017,가구,상품,0.00041756351105975834
2013 ~ 2017,가구,생활,-0.005728209323857598
2013 ~ 2017,가구,서비스,0.023679882512376228
2013 ~ 2017,가구,선물,-0.0069155742488941855
2013 ~ 2017,가구,선정,-0.0013246895075257495
2013 ~ 2017,가구,선택,-0.006474701179259506
2013 ~ 2017,가구,성공,-0.0063068880108724055
2013 ~ 2017,가구,성장,-0.00892253812974232
2013 ~ 2017,가구,세계,-0.010197825479648634
2013 ~ 2017,가구,세대,-0.010131030737641924
2013 ~ 2017,가구,수술,-0.007403457119826709
2013 ~ 2017,가구,수익,-0.0068178334658824625
2013 ~ 2017,가구,시대,-0.011180179239252082
2013 ~ 2017,가구,시작,-0.007367050677317807
2013 ~ 2017,가구,시장,5.712925337283679e-05
2013 ~ 2017,가구,식품,-0.003530360086963861
2013 ~ 2017,가구,실버,0.04023905042688106
2013 ~ 2017,가구,실시,-0.005262222161264836
2013 ~ 2017,가구,아동,-0.0047873394684103945
2013 ~ 2017,가구,아파트,0.02621680317520312
2013 ~ 2017,가구,안전,-0.004870324954052531
2013 ~ 2017,가구,암보험,-0.007421594870962465
2013 ~ 2017,가구,어르신,-0.007163582787222691
2013 ~ 2017,가구,여성,-0.009087955437860193
2013 ~ 2017,가구,연금,-0.012735489439574369
2013 ~ 2017,가구,영화,-0.009438213776064547
2013 ~ 2017,가구,예방,-0.00929369717382934
2013 ~ 2017,가구,오늘,-0.006577447115703757
2013 ~ 2017,가구,오피스텔,-0.00545582025405984
2013 ~ 2017,가구,올해,-0.0006515230873324867
2013 ~ 2017,가구,위험,-0.009693110600852269
2013 ~ 2017,가구,음식,-0.008456399340724459
2013 ~ 2017,가구,의료,-0.005751526850772824
2013 ~ 2017,가구,의료비,-0.008952777880130748
2013 ~ 2017,가구,의료실비보험,-0.005366466814940577
2013 ~ 2017,가구,이벤트,-0.006090732169688677
2013 ~ 2017,가구,인구,0.005828498092637986
2013 ~ 2017,가구,인기,-0.010237701983591361
2013 ~ 2017,가구,인상,-0.0074215948709624655
2013 ~ 2017,가구,일본,-0.008219360177851123
2013 ~ 2017,가구,일상,-0.0027294649697424613
