category,source,target,correlation
2013 ~ 2017,출시,치매,-0.011140560981361772
2013 ~ 2017,출시,한국,-0.01262680990751617
2013 ~ 2017,출시,지원,-0.01200149032376469
2013 ~ 2017,출시,시대,-0.010073725362864201
2013 ~ 2017,출시,일자리,-0.0121307406581393
2013 ~ 2017,출시,개최,-0.011020069210916835
2013 ~ 2017,출시,정부,-0.011732431321905053
2013 ~ 2017,출시,여성,-0.004759218003004806
2013 ~ 2017,출시,확대,-0.008065953716024393
2013 ~ 2017,출시,아파트,-0.010311565539112857
2013 ~ 2017,출시,최대,0.002517150125195538
2013 ~ 2017,출시,고령화,-0.008572257691810413
2013 ~ 2017,출시,환자,-0.007939263409203525
2013 ~ 2017,출시,투자,-0.004701087149555027
2013 ~ 2017,출시,사설,-0.009809961604244275
2013 ~ 2017,출시,100세,0.005821787340882392
2013 ~ 2017,출시,실시,-0.009187695481918468
2013 ~ 2017,출시,증가,-0.008723996673313455
2013 ~ 2017,출시,인기,-0.007303297900724043
2013 ~ 2017,출시,가장,-0.00785554267066321
2013 ~ 2017,출시,내년,-0.0018759729535703636
2013 ~ 2017,출시,올해,-0.007286134550666782
2013 ~ 2017,출시,국민연금,-0.008312491325091816
2013 ~ 2017,출시,부동산,-0.007307101068138175
2013 ~ 2017,출시,시장,-0.001964466016727765
2013 ~ 2017,출시,회장,-0.007442622746732869
2013 ~ 2017,출시,재취업,-0.008376748575193322
2013 ~ 2017,출시,보험,0.0427768896307881
2013 ~ 2017,출시,필요,-0.007809097744131538
2013 ~ 2017,출시,미세먼지,-0.005767452724760643
2013 ~ 2017,출시,추진,-0.008192477892166844
2013 ~ 2017,출시,최고,-0.006640571293665145
2013 ~ 2017,출시,대한민국,-0.008157472044694834
2013 ~ 2017,출시,글로벌,0.00012867014621186323
2013 ~ 2017,출시,대표,-0.0033431912939521076
2013 ~ 2017,출시,중국,-0.0022495172044511434
2013 ~ 2017,출시,모집,-0.008019911147342169
2013 ~ 2017,출시,강화,0.0016513643283769645
2013 ~ 2017,출시,재테크,-0.0015029824478476458
2013 ~ 2017,출시,논란,-0.006296009873366955
2013 ~ 2017,출시,교수,-0.007354146442190546
2013 ~ 2017,출시,공개,-0.006095031278243525
2013 ~ 2017,출시,인생,-0.005492154432486698
2013 ~ 2017,출시,맞춤형,0.009652026848924926
2013 ~ 2017,출시,국민,-0.005352849600517113
2013 ~ 2017,출시,위험,-0.006440268523653952
2013 ~ 2017,출시,주목,-0.004699202566688533
2013 ~ 2017,출시,봉사활동,-0.007487252506846853
2013 ~ 2017,출시,성장,-0.00634321418968412
2013 ~ 2017,출시,50대,-0.0074489886439046684
2013 ~ 2017,출시,영화,-0.0073589438793437555
2013 ~ 2017,출시,전달,-0.007358943879343602
2013 ~ 2017,출시,가능,-0.0021004882093977315
2013 ~ 2017,출시,독거노인,-0.0072808890532801585
2013 ~ 2017,출시,칼럼,-0.007259060292812712
2013 ~ 2017,출시,보장,0.05901042610339802
2013 ~ 2017,출시,나눔,-0.007184353269710904
2013 ~ 2017,출시,연금,0.011037488507510101
2013 ~ 2017,출시,선정,-0.007140047807094627
2013 ~ 2017,출시,관리,-0.0018121909552941198
2013 ~ 2017,출시,도입,-0.0059353217376141975
2013 ~ 2017,출시,저출산,-0.007023563264625016
2013 ~ 2017,출시,판매,0.0037719340376742563
2013 ~ 2017,출시,개선,-0.003963345699300737
2013 ~ 2017,출시,개발,-0.006320747864920959
2013 ~ 2017,출시,교육,-0.006923488910285865
2013 ~ 2017,출시,사회,-0.006914320331956681
2013 ~ 2017,출시,서비스,-0.0001844942909555064
2013 ~ 2017,출시,예방,-0.0050247283602361924
2013 ~ 2017,출시,부담,-0.0031217182974884405
2013 ~ 2017,출시,청년,-0.006035844200814662
2013 ~ 2017,출시,미래,-0.006004548462243262
2013 ~ 2017,출시,대비,-0.00025476205881423014
2013 ~ 2017,출시,노화,-0.003427444356272239
2013 ~ 2017,출시,대통령,-0.006561372150307051
2013 ~ 2017,출시,복지,-0.006546863151705114
2013 ~ 2017,출시,할머니,-0.006517749348836706
2013 ~ 2017,출시,선물,-0.0016277906740895026
2013 ~ 2017,출시,사람,-0.006295153298103045
2013 ~ 2017,출시,남성,0.003057063808462258
2013 ~ 2017,출시,무료,-0.006188565113162012
2013 ~ 2017,출시,기고,-0.006152629570532469
2013 ~ 2017,출시,해결,-0.0052832489920096965
2013 ~ 2017,출시,세대,-0.0016897503158251354
2013 ~ 2017,출시,준비,-0.0016162212348441536
2013 ~ 2017,출시,시작,-0.005873487100059663
2013 ~ 2017,출시,걱정,-0.0035997722582795178
2013 ~ 2017,출시,결혼,-0.005759177562914727
2013 ~ 2017,출시,삼성,-0.0011932404963898424
2013 ~ 2017,출시,희망,-0.005413585143842944
2013 ~ 2017,출시,세상,-0.005401882975129159
2013 ~ 2017,출시,안전,-0.005259441977934396
2013 ~ 2017,출시,기억,-0.003550558734929019
2013 ~ 2017,출시,부모,-0.005113063839165163
2013 ~ 2017,출시,문화,-0.005106874340651369
2013 ~ 2017,출시,오늘,-0.0012659719543225067
2013 ~ 2017,출시,현대,-0.00028068427429232487
2013 ~ 2017,출시,특별,0.00030828912579679264
2013 ~ 2017,치매,출시,-0.011140560981361774
2013 ~ 2017,치매,한국,-0.011502990359040854
2013 ~ 2017,치매,지원,-0.002270533576827524
2013 ~ 2017,치매,시대,-0.007846529599309409
2013 ~ 2017,치매,일자리,-0.011290534096602231
2013 ~ 2017,치매,개최,-0.009456586902975865
2013 ~ 2017,치매,정부,-0.0061327023847584615
2013 ~ 2017,치매,여성,-0.002178537260612356
2013 ~ 2017,치매,확대,0.0010380901441448542
2013 ~ 2017,치매,아파트,-0.009369202353391911
2013 ~ 2017,치매,최대,-0.0068076837006016905
2013 ~ 2017,치매,고령화,-0.007605939944075452
2013 ~ 2017,치매,환자,0.07592599752019777
2013 ~ 2017,치매,투자,-0.008869834637786733
2013 ~ 2017,치매,사설,-0.003177223716222156
2013 ~ 2017,치매,100세,-0.00789689414806868
2013 ~ 2017,치매,실시,-0.0002134410654789056
2013 ~ 2017,치매,증가,0.002052768023472443
2013 ~ 2017,치매,인기,-0.00806981383241064
2013 ~ 2017,치매,가장,-0.0026554478288784967
2013 ~ 2017,치매,내년,-0.006788552004145326
2013 ~ 2017,치매,올해,-0.007631627915310837
2013 ~ 2017,치매,국민연금,-0.008694551469608756
2013 ~ 2017,치매,부동산,-0.007194412349314167
2013 ~ 2017,치매,시장,-0.0063381743240466405
2013 ~ 2017,치매,회장,-0.0033010563141133453
2013 ~ 2017,치매,재취업,-0.008283925532532967
2013 ~ 2017,치매,보험,0.0071094849487731
2013 ~ 2017,치매,필요,-0.004126179165285834
2013 ~ 2017,치매,미세먼지,-0.007186503545877323
2013 ~ 2017,치매,추진,0.0002154158732679248
2013 ~ 2017,치매,최고,-0.0054924740976989815
2013 ~ 2017,치매,대한민국,-0.005978955909952258
2013 ~ 2017,치매,글로벌,-0.007532732895112584
2013 ~ 2017,치매,대표,-0.007433499153095721
2013 ~ 2017,치매,중국,-0.006873665335356056
2013 ~ 2017,치매,모집,-0.00527650365912431
2013 ~ 2017,치매,강화,-0.004607243032840791
2013 ~ 2017,치매,재테크,-0.007812586539761758
2013 ~ 2017,치매,논란,-0.0007994923243433292
2013 ~ 2017,치매,교수,0.001374403912042199
2013 ~ 2017,치매,공개,-0.0032381165380429232
2013 ~ 2017,치매,인생,-0.0048292571603309785
2013 ~ 2017,치매,맞춤형,-0.0013122979474289355
2013 ~ 2017,치매,국민,-0.0007505207954048497
2013 ~ 2017,치매,위험,0.11082740980476564
2013 ~ 2017,치매,주목,-0.004018460256352664
2013 ~ 2017,치매,봉사활동,-0.0051308018199885145
2013 ~ 2017,치매,성장,-0.006248184492830267
2013 ~ 2017,치매,50대,0.03147986809113627
2013 ~ 2017,치매,영화,-0.004386353724500031
2013 ~ 2017,치매,전달,-0.0066991900776684175
2013 ~ 2017,치매,가능,0.010286607278063704
2013 ~ 2017,치매,독거노인,-0.00544711674800487
2013 ~ 2017,치매,칼럼,-0.004248076047824105
2013 ~ 2017,치매,보장,0.006514988237455795
2013 ~ 2017,치매,나눔,-0.006512580964500109
2013 ~ 2017,치매,연금,-0.00649363541378385
2013 ~ 2017,치매,선정,-0.004081868556168973
2013 ~ 2017,치매,관리,0.01026295535823348
2013 ~ 2017,치매,도입,-0.00046463272055498485
2013 ~ 2017,치매,저출산,-0.006945734915512721
2013 ~ 2017,치매,판매,-0.005729235642707048
2013 ~ 2017,치매,개선,0.002242108536864043
2013 ~ 2017,치매,개발,0.025072674924173536
2013 ~ 2017,치매,교육,-0.003160812755411306
2013 ~ 2017,치매,사회,0.0005439251346921748
2013 ~ 2017,치매,서비스,0.007366047310845482
2013 ~ 2017,치매,예방,0.12085948502336073
2013 ~ 2017,치매,부담,0.010709153979905376
2013 ~ 2017,치매,청년,-0.005955110129536088
2013 ~ 2017,치매,미래,-0.0052835381889947955
2013 ~ 2017,치매,대비,-0.001398073044567466
2013 ~ 2017,치매,노화,-0.003962945059563042
2013 ~ 2017,치매,대통령,0.0006395929941444953
2013 ~ 2017,치매,복지,-0.0038765109398146906
2013 ~ 2017,치매,할머니,0.027475963473198563
2013 ~ 2017,치매,선물,-0.0001577069736811946
2013 ~ 2017,치매,사람,0.007280143486750185
2013 ~ 2017,치매,남성,0.005929589489555659
2013 ~ 2017,치매,무료,0.0028090323301842315
2013 ~ 2017,치매,기고,-0.004702773156293434
2013 ~ 2017,치매,해결,-0.0052092868918672515
2013 ~ 2017,치매,세대,-0.00444061204832404
2013 ~ 2017,치매,준비,-0.0051088048520824625
2013 ~ 2017,치매,시작,-0.002190835910427075
2013 ~ 2017,치매,걱정,0.006778294798787778
2013 ~ 2017,치매,결혼,-0.002006311484056833
2013 ~ 2017,치매,삼성,-0.004088122135714397
2013 ~ 2017,치매,희망,-0.004568885227042091
2013 ~ 2017,치매,세상,0.0009492171766407899
2013 ~ 2017,치매,안전,-0.0035859156703189933
2013 ~ 2017,치매,기억,0.016224220980363156
2013 ~ 2017,치매,부모,0.007403516108634163
2013 ~ 2017,치매,문화,-0.005050284888248842
2013 ~ 2017,치매,오늘,-0.002951242539324681
2013 ~ 2017,치매,현대,-0.004194191794736132
2013 ~ 2017,치매,특별,-0.0033601588408434828
2013 ~ 2017,한국,출시,-0.01262680990751617
2013 ~ 2017,한국,치매,-0.011502990359040854
2013 ~ 2017,한국,지원,-0.008291375871849105
2013 ~ 2017,한국,시대,-0.001082367886676591
2013 ~ 2017,한국,일자리,-0.005345807074534903
2013 ~ 2017,한국,개최,-0.006878181939949359
2013 ~ 2017,한국,정부,-0.0023459426028546223
2013 ~ 2017,한국,여성,0.005204099523512053
2013 ~ 2017,한국,확대,-0.003573183483131342
2013 ~ 2017,한국,아파트,-0.00802620044066755
2013 ~ 2017,한국,최대,-0.0018327576464313156
2013 ~ 2017,한국,고령화,0.037971253010100944
2013 ~ 2017,한국,환자,-0.005357357011390494
2013 ~ 2017,한국,투자,0.0017574088426068927
2013 ~ 2017,한국,사설,0.010700823060229974
2013 ~ 2017,한국,100세,-0.005505633860089943
2013 ~ 2017,한국,실시,-0.006359522390357494
2013 ~ 2017,한국,증가,0.0027297752428441795
2013 ~ 2017,한국,인기,-0.005736640623162437
2013 ~ 2017,한국,가장,0.022885112610549204
2013 ~ 2017,한국,내년,0.011421680848688798
2013 ~ 2017,한국,올해,0.0063470025250467795
2013 ~ 2017,한국,국민연금,-0.0059953934888305775
2013 ~ 2017,한국,부동산,0.001222279892233131
2013 ~ 2017,한국,시장,0.00865931054696585
2013 ~ 2017,한국,회장,0.004675323429769878
2013 ~ 2017,한국,재취업,-0.004400581924945297
2013 ~ 2017,한국,보험,-0.0049204024859258325
2013 ~ 2017,한국,필요,0.00496359987166148
2013 ~ 2017,한국,미세먼지,-0.006056967849553416
2013 ~ 2017,한국,추진,-0.005354730668270946
2013 ~ 2017,한국,최고,0.028865181094153206
2013 ~ 2017,한국,대한민국,-0.001174135089656358
2013 ~ 2017,한국,글로벌,0.0053636004643391865
2013 ~ 2017,한국,대표,0.007388456932754963
2013 ~ 2017,한국,중국,0.02129796508813426
2013 ~ 2017,한국,모집,-0.006972596620803683
2013 ~ 2017,한국,강화,-0.002010863151409127
2013 ~ 2017,한국,재테크,-0.005646618099405405
2013 ~ 2017,한국,논란,-0.004420047040738646
2013 ~ 2017,한국,교수,0.0023197434074639124
2013 ~ 2017,한국,공개,-0.0060956861180833065
2013 ~ 2017,한국,인생,-0.005424649155957829
2013 ~ 2017,한국,맞춤형,-0.0053127470116730085
2013 ~ 2017,한국,국민,-0.0014915581161429434
2013 ~ 2017,한국,위험,0.0023724637371444297
2013 ~ 2017,한국,주목,-0.003309750174278051
2013 ~ 2017,한국,봉사활동,-0.005865157440409343
2013 ~ 2017,한국,성장,0.029669738692465152
2013 ~ 2017,한국,50대,-0.00388572758785036
2013 ~ 2017,한국,영화,-0.0004985070584406618
2013 ~ 2017,한국,전달,-0.005742451540733405
2013 ~ 2017,한국,가능,-0.0030349813110452433
