category,source,target,correlation
2013 ~ 2017,한국,치매,-0.012070407337893694
2013 ~ 2017,한국,시대,0.002142005933967495
2013 ~ 2017,한국,노후,-0.004264899998814186
2013 ~ 2017,한국,출시,-0.010840361606893351
2013 ~ 2017,한국,사설,0.01963681053338552
2013 ~ 2017,한국,분양,-0.011884599336444495
2013 ~ 2017,한국,투자,-7.48453818358778e-05
2013 ~ 2017,한국,일본,0.05762997105427883
2013 ~ 2017,한국,일자리,-0.0028452573311176657
2013 ~ 2017,한국,아파트,-0.009235494923891634
2013 ~ 2017,한국,경제,0.09843270467726897
2013 ~ 2017,한국,100세,-0.005594665540850525
2013 ~ 2017,한국,고령화,0.05213000390080534
2013 ~ 2017,한국,지원,-0.00875971120742253
2013 ~ 2017,한국,환자,-0.0031119984176978016
2013 ~ 2017,한국,최대,-0.004789297583173344
2013 ~ 2017,한국,여성,0.009886472854809416
2013 ~ 2017,한국,칼럼,0.006323867261464117
2013 ~ 2017,한국,보험,-0.006211766773737846
2013 ~ 2017,한국,가장,0.015617020747346347
2013 ~ 2017,한국,부동산,0.003509254541047655
2013 ~ 2017,한국,정부,-0.003950788809544709
2013 ~ 2017,한국,재테크,-0.005796486643307713
2013 ~ 2017,한국,회장,0.008873351864845554
2013 ~ 2017,한국,개최,0.0033082997333590525
2013 ~ 2017,한국,확대,-0.004725412614820063
2013 ~ 2017,한국,공개,-0.0087628360169174
2013 ~ 2017,한국,인생,-0.004681267162380567
2013 ~ 2017,한국,미세먼지,-0.006714478581507951
2013 ~ 2017,한국,국민연금,-0.002596650965840862
2013 ~ 2017,한국,세계,0.07432886277384636
2013 ~ 2017,한국,내년,0.008229760026078321
2013 ~ 2017,한국,대표,0.010321199922832053
2013 ~ 2017,한국,한경,0.004123943347778125
2013 ~ 2017,한국,50대,-0.006233816155128284
2013 ~ 2017,한국,영화,-0.006133951518913669
2013 ~ 2017,한국,올해,0.00040416219957606743
2013 ~ 2017,한국,연금,-0.003889711381760444
2013 ~ 2017,한국,보장,-0.006032734415719638
2013 ~ 2017,한국,노화,-0.00811918147158908
2013 ~ 2017,한국,급증,-0.008053684075238644
2013 ~ 2017,한국,오피스텔,-0.007971068628610118
2013 ~ 2017,한국,증가,0.003295612312523786
2013 ~ 2017,한국,성장,0.021398631163673333
2013 ~ 2017,한국,재건축,-0.007820199056092709
2013 ~ 2017,한국,재취업,0.003623029875866193
2013 ~ 2017,한국,주목,-0.003141470235259644
2013 ~ 2017,한국,금융,0.022886876378270023
2013 ~ 2017,한국,실시,-0.0004815768956915087
2013 ~ 2017,한국,위험,0.004499420760813733
2013 ~ 2017,한국,국민,-0.005027632737219352
2013 ~ 2017,한국,논란,-0.005004067930654914
2013 ~ 2017,한국,교육,0.009865838119025448
2013 ~ 2017,한국,퇴직연금,8.030784637388487e-05
2013 ~ 2017,한국,교수,0.007868240425563219
2013 ~ 2017,한국,가능,-0.007111683868330664
2013 ~ 2017,한국,상품,-0.004615029819348485
2013 ~ 2017,한국,펀드,-0.007093077644880276
2013 ~ 2017,한국,사람,0.0005319906798009023
2013 ~ 2017,한국,걱정,-0.004437119003279782
2013 ~ 2017,한국,도입,-0.001761989025542499
2013 ~ 2017,한국,눈물,-0.004253996934530356
2013 ~ 2017,한국,예방,-0.006846658389544798
2013 ~ 2017,한국,준비,0.0010139495269974913
2013 ~ 2017,한국,미래,0.01151451014608119
2013 ~ 2017,한국,사회,0.00909421473936846
2013 ~ 2017,한국,대비,0.006751054418106928
2013 ~ 2017,한국,나이,0.0043384137166363424
2013 ~ 2017,한국,관리,-0.0009087125589026334
2013 ~ 2017,한국,남성,0.004837150502303907
2013 ~ 2017,한국,2016,0.025026810522606333
2013 ~ 2017,한국,기억,-0.00617770806182693
2013 ~ 2017,한국,선물,-0.006134848021577686
2013 ~ 2017,한국,스마트,-0.00613484802157779
2013 ~ 2017,한국,화제,-0.006113306450467802
2013 ~ 2017,한국,정책,0.002592243887294325
2013 ~ 2017,한국,청년,0.01138089094109833
2013 ~ 2017,한국,세대,-0.0029177484968323075
2013 ~ 2017,한국,수익,-0.0059159386642717105
2013 ~ 2017,한국,사랑,0.00021633204115039845
2013 ~ 2017,한국,해결,0.0036027164351024824
2013 ~ 2017,한국,시작,-0.002425969527891006
2013 ~ 2017,한국,개선,-0.002314210272333719
2013 ~ 2017,한국,다이어트,-0.00547618593843435
2013 ~ 2017,한국,성공,-0.0021222534146576825
2013 ~ 2017,한국,뉴스,-0.00208295897081872
2013 ~ 2017,한국,자산,0.021580666776737718
2013 ~ 2017,한국,오늘,-0.005230033870157331
2013 ~ 2017,한국,세상,-0.0051794104986631175
2013 ~ 2017,한국,행복,-0.0013149487617514946
2013 ~ 2017,한국,추천,-0.004782808529885363
2013 ~ 2017,한국,안전,-0.0042277159553414595
2013 ~ 2017,한국,기자,-0.004165006967721821
2013 ~ 2017,한국,매경,0.004342238151228885
2013 ~ 2017,한국,의료,0.004844690588587389
2013 ~ 2017,한국,현대,-0.003660766345625394
2013 ~ 2017,한국,특별,0.002009251124877832
2013 ~ 2017,한국,글로,-0.0010247995076771552
2013 ~ 2017,치매,한국,-0.012070407337893694
2013 ~ 2017,치매,시대,-0.009078938837306587
2013 ~ 2017,치매,노후,-0.010323898615788378
2013 ~ 2017,치매,출시,-0.005851950354403235
2013 ~ 2017,치매,사설,-0.003716086408402754
2013 ~ 2017,치매,분양,-0.011473900949614686
2013 ~ 2017,치매,투자,-0.010826118691835602
2013 ~ 2017,치매,일본,-0.005802872847019988
2013 ~ 2017,치매,일자리,-0.010593887248229605
2013 ~ 2017,치매,아파트,-0.010499603152990401
2013 ~ 2017,치매,경제,-0.008692299209508392
2013 ~ 2017,치매,100세,-0.01026022221586748
2013 ~ 2017,치매,고령화,-0.008410667287203768
2013 ~ 2017,치매,지원,-0.001287954743769154
2013 ~ 2017,치매,환자,0.06111638365177012
2013 ~ 2017,치매,최대,-0.006084045205139399
2013 ~ 2017,치매,여성,-0.00397489876507413
2013 ~ 2017,치매,칼럼,-0.003954431409801465
2013 ~ 2017,치매,보험,0.016741746096100168
2013 ~ 2017,치매,가장,-0.007588800976882105
2013 ~ 2017,치매,부동산,-0.009215944537657932
2013 ~ 2017,치매,정부,-0.005356303062648964
2013 ~ 2017,치매,재테크,-0.00920249770300856
2013 ~ 2017,치매,회장,-0.00661044524157879
2013 ~ 2017,치매,개최,-0.00641415847794385
2013 ~ 2017,치매,확대,0.006202184972188539
2013 ~ 2017,치매,공개,-0.006359750248094803
2013 ~ 2017,치매,인생,-2.992895780905458e-05
2013 ~ 2017,치매,미세먼지,-0.0084453943935188
2013 ~ 2017,치매,국민연금,-0.00841607449411518
2013 ~ 2017,치매,세계,0.00029605471395702346
2013 ~ 2017,치매,내년,-0.0038797256200617577
2013 ~ 2017,치매,대표,-0.008207962220648388
2013 ~ 2017,치매,한경,-0.00600578604068842
2013 ~ 2017,치매,50대,0.02273402265599425
2013 ~ 2017,치매,영화,-0.0035518467593796533
2013 ~ 2017,치매,올해,-0.007948075322395555
2013 ~ 2017,치매,연금,-0.005693972254369896
2013 ~ 2017,치매,보장,0.01451225757859078
2013 ~ 2017,치매,노화,-0.007838605354686801
2013 ~ 2017,치매,급증,0.012775240396173618
2013 ~ 2017,치매,오피스텔,-0.0076956108757315345
2013 ~ 2017,치매,증가,-0.0030047659623900287
2013 ~ 2017,치매,성장,-0.002952884192103901
2013 ~ 2017,치매,재건축,-0.007549954932071185
2013 ~ 2017,치매,재취업,-0.007517210001421468
2013 ~ 2017,치매,주목,-0.005091180930042883
2013 ~ 2017,치매,금융,0.0023823619513558734
2013 ~ 2017,치매,실시,-0.007283941260401536
2013 ~ 2017,치매,위험,0.06199525551947175
2013 ~ 2017,치매,국민,-0.004688016716192361
2013 ~ 2017,치매,논란,0.0077471861055264475
2013 ~ 2017,치매,교육,-0.004476599355252861
2013 ~ 2017,치매,퇴직연금,-0.007007994731948825
2013 ~ 2017,치매,교수,0.0060511450215555256
2013 ~ 2017,치매,가능,0.011217972646189149
2013 ~ 2017,치매,상품,-0.0016990964153948225
2013 ~ 2017,치매,펀드,-0.006847960795423088
2013 ~ 2017,치매,사람,-0.0015724679841076373
2013 ~ 2017,치매,걱정,0.009050856518553212
2013 ~ 2017,치매,도입,-0.004005200322781779
2013 ~ 2017,치매,눈물,0.017534760541900354
2013 ~ 2017,치매,예방,0.17581745395722576
2013 ~ 2017,치매,준비,-0.003874791885984846
2013 ~ 2017,치매,미래,-0.0065539457499064245
2013 ~ 2017,치매,사회,0.004418666288351587
2013 ~ 2017,치매,대비,-0.003632504612822821
2013 ~ 2017,치매,나이,-0.003493372744248668
2013 ~ 2017,치매,관리,-0.00049471688462936
2013 ~ 2017,치매,남성,-0.000340942211156559
2013 ~ 2017,치매,2016,-0.0060257647857003835
2013 ~ 2017,치매,기억,0.01483658306274686
2013 ~ 2017,치매,선물,0.006045952769265083
2013 ~ 2017,치매,스마트,6.155393580553027e-05
2013 ~ 2017,치매,화제,0.006108714685754993
2013 ~ 2017,치매,정책,0.00010333347149579374
2013 ~ 2017,치매,청년,-0.002867884473182288
2013 ~ 2017,치매,세대,-0.005711500433144291
2013 ~ 2017,치매,수익,-0.0057115004331443064
2013 ~ 2017,치매,사랑,0.03200809572039707
2013 ~ 2017,치매,해결,-0.0055144358518603555
2013 ~ 2017,치매,시작,-0.002122480736764697
2013 ~ 2017,치매,개선,0.004631123585349948
2013 ~ 2017,치매,다이어트,0.004764242652261168
2013 ~ 2017,치매,성공,-0.005216778792772406
2013 ~ 2017,치매,뉴스,0.011860062992379633
2013 ~ 2017,치매,자산,-0.005097707363519595
2013 ~ 2017,치매,오늘,-0.005049298583023835
2013 ~ 2017,치매,세상,0.00916608678280347
2013 ~ 2017,치매,행복,-0.004748569422351022
2013 ~ 2017,치매,추천,-0.0046175280949180735
2013 ~ 2017,치매,안전,-0.004081617961317511
2013 ~ 2017,치매,기자,-0.004021076020253329
2013 ~ 2017,치매,매경,-0.004021076020253318
2013 ~ 2017,치매,의료,-0.0038655944079430196
2013 ~ 2017,치매,현대,-0.0035342605383914647
2013 ~ 2017,치매,특별,-0.0032070373696436523
2013 ~ 2017,치매,글로,-0.0009893853138358674
2013 ~ 2017,시대,한국,0.002142005933967495
2013 ~ 2017,시대,치매,-0.009078938837306587
2013 ~ 2017,시대,노후,0.01984268517491549
2013 ~ 2017,시대,출시,-0.007923368574074432
2013 ~ 2017,시대,사설,0.0057788817722239485
2013 ~ 2017,시대,분양,-0.007444394610665196
2013 ~ 2017,시대,투자,0.00913815890364881
2013 ~ 2017,시대,일본,0.01281889326529498
2013 ~ 2017,시대,일자리,-0.0027667464269309316
2013 ~ 2017,시대,아파트,0.00461314427691867
2013 ~ 2017,시대,경제,0.01394894673274301
2013 ~ 2017,시대,100세,0.30093845340421693
2013 ~ 2017,시대,고령화,0.1957310658976569
2013 ~ 2017,시대,지원,-0.007593021820938791
2013 ~ 2017,시대,환자,-0.0053055703787493235
2013 ~ 2017,시대,최대,-0.001345898370581005
2013 ~ 2017,시대,여성,-0.0030149124402245454
2013 ~ 2017,시대,칼럼,-0.0010099178298418174
2013 ~ 2017,시대,보험,0.015046678586005337
2013 ~ 2017,시대,가장,-0.004873923388006042
2013 ~ 2017,시대,부동산,0.016020903328801326
2013 ~ 2017,시대,정부,-0.004529684824063662
2013 ~ 2017,시대,재테크,0.03047529021703185
2013 ~ 2017,시대,회장,-0.0037508703321366852
2013 ~ 2017,시대,개최,0.03208119848495472
2013 ~ 2017,시대,확대,-0.0034793122677383953
2013 ~ 2017,시대,공개,-0.007931132332236282
2013 ~ 2017,시대,인생,0.02792896557996842
2013 ~ 2017,시대,미세먼지,-0.007917423863972409
2013 ~ 2017,시대,국민연금,-0.005641811266906107
2013 ~ 2017,시대,세계,0.001370605552456367
2013 ~ 2017,시대,내년,-0.000781150736539039
2013 ~ 2017,시대,대표,0.010741656288769783
2013 ~ 2017,시대,한경,0.022402148418853282
2013 ~ 2017,시대,50대,0.001805927763762638
2013 ~ 2017,시대,영화,-0.005129251475235547
2013 ~ 2017,시대,올해,-0.005071987429962569
2013 ~ 2017,시대,연금,0.016401672116148444
2013 ~ 2017,시대,보장,-0.0026450598412052864
2013 ~ 2017,시대,노화,-0.007348568723218769
2013 ~ 2017,시대,급증,-0.0024261169997668113
2013 ~ 2017,시대,오피스텔,-0.0023013690002629023
2013 ~ 2017,시대,증가,0.0027184849556809217
2013 ~ 2017,시대,성장,0.002790431610349818
2013 ~ 2017,시대,재건축,-0.0020708219669130557
2013 ~ 2017,시대,재취업,-0.007047265655399313
2013 ~ 2017,시대,주목,0.00818432267625193
2013 ~ 2017,시대,금융,0.013798906673438376
2013 ~ 2017,시대,실시,-0.006828579894757104
2013 ~ 2017,시대,위험,0.011683848791144136
2013 ~ 2017,시대,국민,-0.0014422059301004077
2013 ~ 2017,시대,논란,-0.006700462633518402
2013 ~ 2017,시대,교육,0.0015171357476219055
2013 ~ 2017,시대,퇴직연금,-0.0011785376290574551
2013 ~ 2017,시대,교수,0.0018165074844697425
2013 ~ 2017,시대,가능,0.0018165074844697197
2013 ~ 2017,시대,상품,0.012820777933755028
2013 ~ 2017,시대,펀드,-0.0009033834247728687
2013 ~ 2017,시대,사람,-0.0008089047462917859
2013 ~ 2017,시대,걱정,-0.0035154235303958437
2013 ~ 2017,시대,도입,-0.006248990291129225
2013 ~ 2017,시대,눈물,-0.006196824135047277
2013 ~ 2017,시대,예방,-0.006196824135047266
2013 ~ 2017,시대,준비,0.03118712279352101
2013 ~ 2017,시대,미래,0.011142775796989988
2013 ~ 2017,시대,사회,-0.0002789531015910128
2013 ~ 2017,시대,대비,0.017591581390241005
2013 ~ 2017,시대,나이,-0.005910931509688547
2013 ~ 2017,시대,관리,0.0033053635607289784
2013 ~ 2017,시대,남성,-0.0026631795075976344
2013 ~ 2017,시대,2016,0.01314433423467751
2013 ~ 2017,시대,기억,-0.005591365632505381
2013 ~ 2017,시대,선물,-0.002366191692114571
2013 ~ 2017,시대,스마트,-0.002366191692114614
2013 ~ 2017,시대,화제,-0.002335522658822375
2013 ~ 2017,시대,정책,0.0008620312288715219
2013 ~ 2017,시대,청년,0.0041130226919915336
2013 ~ 2017,시대,세대,0.001252980883671248
2013 ~ 2017,시대,수익,0.0012529808836713174
2013 ~ 2017,시대,사랑,-0.001952043926890138
2013 ~ 2017,시대,해결,-0.0017484615521772694
2013 ~ 2017,시대,시작,-0.0015719575712812494
2013 ~ 2017,시대,개선,-0.004999802539015163
2013 ~ 2017,시대,다이어트,-0.001388603123536088
2013 ~ 2017,시대,성공,0.0023405949567908493
2013 ~ 2017,시대,뉴스,-0.0012365383401317397
2013 ~ 2017,시대,자산,0.006320233823251739
2013 ~ 2017,시대,오늘,-0.004733637676913582
2013 ~ 2017,시대,세상,-0.004687819102008209
2013 ~ 2017,시대,행복,0.015402311709075082
2013 ~ 2017,시대,추천,-0.00024572416354919096
2013 ~ 2017,시대,안전,0.0007912606330914571
2013 ~ 2017,시대,기자,-0.003769695263258876
2013 ~ 2017,시대,매경,-0.0037696952632588457
2013 ~ 2017,시대,의료,0.006126410408812451
2013 ~ 2017,시대,현대,-0.0033133134373962312
2013 ~ 2017,시대,특별,-0.0030065468846019057
2013 ~ 2017,시대,글로,-0.0009275331061435896
2013 ~ 2017,노후,한국,-0.004264899998814186
2013 ~ 2017,노후,치매,-0.010323898615788378
2013 ~ 2017,노후,시대,0.01984268517491549
2013 ~ 2017,노후,출시,-0.00781963040991939
2013 ~ 2017,노후,사설,-0.007355779264012211
2013 ~ 2017,노후,분양,-0.0006708535898060607
2013 ~ 2017,노후,투자,0.01111558656809111
2013 ~ 2017,노후,일본,-0.006471516380271695
2013 ~ 2017,노후,일자리,-0.004447414992493504
2013 ~ 2017,노후,아파트,0.02844726829343674
2013 ~ 2017,노후,경제,-0.0005015242139289547
2013 ~ 2017,노후,100세,0.016515699242724932
2013 ~ 2017,노후,고령화,-0.007579048865261722
2013 ~ 2017,노후,지원,0.03030011788175657
2013 ~ 2017,노후,환자,-0.00911107053989415
2013 ~ 2017,노후,최대,0.026215433925778752
2013 ~ 2017,노후,여성,0.00108537424155318
2013 ~ 2017,노후,칼럼,-0.002887213536359638
2013 ~ 2017,노후,보험,0.0313611914439115
2013 ~ 2017,노후,가장,-0.0027655142063955137
2013 ~ 2017,노후,부동산,0.005911128800626669
2013 ~ 2017,노후,정부,0.0038413929951014057
2013 ~ 2017,노후,재테크,0.05568993001942001
2013 ~ 2017,노후,회장,-0.0014601488938739352
2013 ~ 2017,노후,개최,-0.0011909612713730667
2013 ~ 2017,노후,확대,0.01684859904580222
2013 ~ 2017,노후,공개,-0.007873501225429567
2013 ~ 2017,노후,인생,0.00116570767459737
2013 ~ 2017,노후,미세먼지,0.03952450785965013
2013 ~ 2017,노후,국민연금,0.01933757290749179
2013 ~ 2017,노후,세계,0.001492275847525105
2013 ~ 2017,노후,내년,-0.002996880258580259
2013 ~ 2017,노후,대표,-0.007638920885940751
2013 ~ 2017,노후,한경,0.018013610233080086
2013 ~ 2017,노후,50대,0.009007606827466577
2013 ~ 2017,노후,영화,-0.005057897124945474
2013 ~ 2017,노후,올해,-0.0026046520529091643
2013 ~ 2017,노후,연금,0.03823364776141664
2013 ~ 2017,노후,보장,0.014281740717177503
2013 ~ 2017,노후,노화,-0.0072951707806271
2013 ~ 2017,노후,급증,0.002559485435651974
2013 ~ 2017,노후,오피스텔,0.0052084945894699235
2013 ~ 2017,노후,증가,0.00035160154037299336
2013 ~ 2017,노후,성장,-0.007087094702683865
2013 ~ 2017,노후,재건축,0.003059272023804746
2013 ~ 2017,노후,재취업,-0.006996057113835652
2013 ~ 2017,노후,주목,0.0006967739954083123
2013 ~ 2017,노후,금융,0.000992118436296682
2013 ~ 2017,노후,실시,0.011510667870238954
2013 ~ 2017,노후,위험,0.0012653892845594932
2013 ~ 2017,노후,국민,0.014580485694031812
2013 ~ 2017,노후,논란,-0.006651774115724174
2013 ~ 2017,노후,교육,-0.0010922935810917913
2013 ~ 2017,노후,퇴직연금,0.02062711090976773
2013 ~ 2017,노후,교수,-0.006389923484140176
2013 ~ 2017,노후,가능,0.0019222227643577296
2013 ~ 2017,노후,상품,0.01023436901285561
2013 ~ 2017,노후,펀드,-0.003595270761511979
2013 ~ 2017,노후,사람,-0.003522852232891151
2013 ~ 2017,노후,걱정,0.04453257270453683
2013 ~ 2017,노후,도입,-0.006203582370568068
2013 ~ 2017,노후,눈물,-0.006151795276792353
2013 ~ 2017,노후,예방,-0.0032745335811898073
2013 ~ 2017,노후,준비,0.20221590536419767
2013 ~ 2017,노후,미래,-0.006099574014648441
2013 ~ 2017,노후,사회,-0.003120044577591188
2013 ~ 2017,노후,대비,0.11879134614697698
2013 ~ 2017,노후,나이,-0.002852398312474648
2013 ~ 2017,노후,관리,0.009538989149949374
