category,source,target,correlation
2013 ~ 2017,출시,정부,-0.0150381203825263
2013 ~ 2017,출시,지원,-0.014493134783516784
2013 ~ 2017,출시,한국,-0.01387767824888407
2013 ~ 2017,출시,치매,-0.004844577035971787
2013 ~ 2017,출시,일자리,-0.01357279279588197
2013 ~ 2017,출시,시대,-0.013521338210779492
2013 ~ 2017,출시,노후,0.0016759789598773552
2013 ~ 2017,출시,확대,-0.01202384968194781
2013 ~ 2017,출시,여성,0.0013867287937254274
2013 ~ 2017,출시,최대,0.0018871909637685996
2013 ~ 2017,출시,고령화,-0.00794938062117777
2013 ~ 2017,출시,실시,-0.010745725620157104
2013 ~ 2017,출시,내년,-0.006998541769741415
2013 ~ 2017,출시,올해,-0.0033159249008243613
2013 ~ 2017,출시,일본,-0.01058358856740041
2013 ~ 2017,출시,투자,0.004517249009908957
2013 ~ 2017,출시,모집,-0.010319006267184377
2013 ~ 2017,출시,회장,-0.01015022613034719
2013 ~ 2017,출시,국민연금,-0.009874319488621318
2013 ~ 2017,출시,추진,-0.00983929937561827
2013 ~ 2017,출시,시장,-0.0013314732312720225
2013 ~ 2017,출시,피부,0.0027800996864980883
2013 ~ 2017,출시,필요,-0.00948214171771961
2013 ~ 2017,출시,재취업,-0.009445698727456882
2013 ~ 2017,출시,미세먼지,-0.009335533329949044
2013 ~ 2017,출시,중국,0.007911846144738974
2013 ~ 2017,출시,성장,-0.0047459111273027025
2013 ~ 2017,출시,교수,-0.009035323947050007
2013 ~ 2017,출시,국민,-0.0001179668952305051
2013 ~ 2017,출시,선정,-0.008842616542721695
2013 ~ 2017,출시,100세,0.013354277364065985
2013 ~ 2017,출시,대통령,-0.008842616542721737
2013 ~ 2017,출시,가장,-0.008764368474552923
2013 ~ 2017,출시,환자,-0.008764368474552921
2013 ~ 2017,출시,아파트,-0.008605775220172246
2013 ~ 2017,출시,기업,-0.00398400255261736
2013 ~ 2017,출시,장애인,-0.008525391016726417
2013 ~ 2017,출시,10대,-0.0036701694139014895
2013 ~ 2017,출시,최고,-0.008321089659975647
2013 ~ 2017,출시,글로벌,0.005936406653427362
2013 ~ 2017,출시,원전,-0.00823797311633772
2013 ~ 2017,출시,대책,-0.00819610362378431
2013 ~ 2017,출시,주목,-0.0033428997665640153
2013 ~ 2017,출시,70대,-0.003275703691188008
2013 ~ 2017,출시,장관,-0.008111726131361843
2013 ~ 2017,출시,건강,0.0016534182960891972
2013 ~ 2017,출시,대표,-0.008026474890975943
2013 ~ 2017,출시,10년,-0.0030703932077005077
2013 ~ 2017,출시,강화,-0.0030703932077004613
2013 ~ 2017,출시,청년,-0.007940321756610864
2013 ~ 2017,출시,세월호,-0.007896897765824073
2013 ~ 2017,출시,사업,-0.007896897765824027
2013 ~ 2017,출시,보험,0.05706934893542559
2013 ~ 2017,출시,사회,-0.007853237042793728
2013 ~ 2017,출시,대한민국,-0.007809335616534363
2013 ~ 2017,출시,부동산,-0.007809335616534321
2013 ~ 2017,출시,봉사활동,-0.007809335616534357
2013 ~ 2017,출시,관리,-0.007765189404119296
2013 ~ 2017,출시,가족,-0.007765189404119281
2013 ~ 2017,출시,보장,0.08999712569701028
2013 ~ 2017,출시,인상,-0.0024929044385842893
2013 ~ 2017,출시,도입,-0.007494927695778427
2013 ~ 2017,출시,가능,-0.0021856701225395837
2013 ~ 2017,출시,개선,-0.0021067123193863634
2013 ~ 2017,출시,교육,-0.007356122848315535
2013 ~ 2017,출시,연금,0.014143624249454116
2013 ~ 2017,출시,할머니,-0.007262130734439517
2013 ~ 2017,출시,영화,-0.007214680997971971
2013 ~ 2017,출시,나눔,-0.007166920810931424
2013 ~ 2017,출시,독거노인,-0.007070443877778546
2013 ~ 2017,출시,대비,0.009559521109838355
2013 ~ 2017,출시,절반,-0.0068734748641666316
2013 ~ 2017,출시,삼성,-0.001172179787314803
2013 ~ 2017,출시,인구,-0.006772866008674328
2013 ~ 2017,출시,무료,-0.006722002818170213
2013 ~ 2017,출시,복지,-0.006670755778147991
2013 ~ 2017,출시,미래,-0.0007971073852907192
2013 ~ 2017,출시,세대,-0.0006998714999814519
2013 ~ 2017,출시,사람,-0.006408438107819746
2013 ~ 2017,출시,금융,-0.006300483095561554
2013 ~ 2017,출시,예방,-0.006135022053837905
2013 ~ 2017,출시,시작,-0.006022211533904965
2013 ~ 2017,출시,세상,-0.005965012908159627
2013 ~ 2017,출시,고용,-0.005848951337435519
2013 ~ 2017,출시,현대,-0.005730558044676397
2013 ~ 2017,출시,위험,-0.005670441472407189
2013 ~ 2017,출시,안전,-0.005670441472407172
2013 ~ 2017,출시,준비,0.001508261984485937
2013 ~ 2017,출시,대학,-0.005548268798481903
2013 ~ 2017,출시,불안,-0.005097820869353169
2013 ~ 2017,출시,사랑,-0.005030200359289375
2013 ~ 2017,출시,문화,-0.004961663669046676
2013 ~ 2017,출시,국가,-0.004892172292587897
2013 ~ 2017,출시,오늘,-0.004892172292587897
2013 ~ 2017,출시,기억,-0.00482168495190223
2013 ~ 2017,출시,경향,-0.004677541640584608
2013 ~ 2017,출시,의료,-0.004528836096411848
2013 ~ 2017,출시,기고,-0.003201447743703126
2013 ~ 2017,정부,출시,-0.015038120382526297
2013 ~ 2017,정부,지원,0.04874503223925898
2013 ~ 2017,정부,한국,0.001663341893739036
2013 ~ 2017,정부,치매,0.0022157640813994274
2013 ~ 2017,정부,일자리,0.03644935200410725
2013 ~ 2017,정부,시대,-0.007998039598702166
2013 ~ 2017,정부,노후,-0.0006649839945867402
2013 ~ 2017,정부,확대,0.0013996862771662579
2013 ~ 2017,정부,여성,0.01727031289542608
2013 ~ 2017,정부,최대,0.0020944773807839473
2013 ~ 2017,정부,고령화,-0.0015166112433960487
2013 ~ 2017,정부,실시,0.008142831737798343
2013 ~ 2017,정부,내년,0.02129972589574338
2013 ~ 2017,정부,올해,-0.0003660747390386386
2013 ~ 2017,정부,일본,-0.004577285471582193
2013 ~ 2017,정부,투자,0.008785961343546178
2013 ~ 2017,정부,모집,-0.008726145139592942
2013 ~ 2017,정부,회장,-0.004026419364723936
2013 ~ 2017,정부,국민연금,-0.00835010104475222
2013 ~ 2017,정부,추진,0.0433725693689877
2013 ~ 2017,정부,시장,-0.0032418578698357008
2013 ~ 2017,정부,피부,-0.008079750178626024
2013 ~ 2017,정부,필요,0.0066050236858796255
2013 ~ 2017,정부,재취업,0.0017985819494118146
2013 ~ 2017,정부,미세먼지,0.03170776704528085
2013 ~ 2017,정부,중국,-0.0077685661742858065
2013 ~ 2017,정부,성장,0.03306264485239845
2013 ~ 2017,정부,교수,0.0025857490137911497
2013 ~ 2017,정부,국민,0.023528219552966054
2013 ~ 2017,정부,선정,-0.002254047818975759
2013 ~ 2017,정부,100세,-0.007477653697230487
2013 ~ 2017,정부,대통령,-0.002254047818975748
2013 ~ 2017,정부,가장,-0.007411484147367353
2013 ~ 2017,정부,환자,-0.002141648556454443
2013 ~ 2017,정부,아파트,-0.007277371644665744
2013 ~ 2017,정부,기업,0.025102760408326277
2013 ~ 2017,정부,장애인,-0.001793093309878161
2013 ~ 2017,정부,10대,-0.00707151599192744
2013 ~ 2017,정부,최고,-0.001488415597370661
2013 ~ 2017,정부,글로벌,-0.007001574265127563
2013 ~ 2017,정부,원전,0.02105246291902236
2013 ~ 2017,정부,대책,0.07755162604911793
2013 ~ 2017,정부,주목,-0.006895352230566859
2013 ~ 2017,정부,70대,-0.006859584898208045
2013 ~ 2017,정부,장관,0.004521050316766235
2013 ~ 2017,정부,건강,-0.0011035548533457167
2013 ~ 2017,정부,대표,-0.006787493198903311
2013 ~ 2017,정부,10년,0.010591939872967993
2013 ~ 2017,정부,강화,0.004810905620956823
2013 ~ 2017,정부,청년,-0.006714638823662611
2013 ~ 2017,정부,세월호,0.016698048621324447
2013 ~ 2017,정부,사업,-0.0008339262257158963
2013 ~ 2017,정부,보험,-0.006640996669318235
2013 ~ 2017,정부,사회,-0.0007647413425864527
2013 ~ 2017,정부,대한민국,-0.00660387194941257
2013 ~ 2017,정부,부동산,0.0052142519164880006
2013 ~ 2017,정부,봉사활동,-0.006603871949412558
2013 ~ 2017,정부,관리,-0.006566540229000469
2013 ~ 2017,정부,가족,-0.006566540229000456
2013 ~ 2017,정부,보장,-0.006453267037309024
2013 ~ 2017,정부,인상,0.0358689739567531
2013 ~ 2017,정부,도입,0.012127853687594689
2013 ~ 2017,정부,가능,-0.00010606725000659426
2013 ~ 2017,정부,개선,0.006203033235317299
2013 ~ 2017,정부,교육,-0.006220617952642463
2013 ~ 2017,정부,연금,-0.006181002528053488
2013 ~ 2017,정부,할머니,-0.006141134637445014
2013 ~ 2017,정부,영화,-0.006101009331138295
2013 ~ 2017,정부,나눔,-0.006060621495990332
2013 ~ 2017,정부,독거노인,-0.0059790369228719204
2013 ~ 2017,정부,대비,0.007066089004697714
2013 ~ 2017,정부,절반,0.000895970352316518
2013 ~ 2017,정부,삼성,0.007604413119617455
2013 ~ 2017,정부,인구,-0.005727393730795137
2013 ~ 2017,정부,무료,0.00117443512150188
2013 ~ 2017,정부,복지,0.008181440007848281
2013 ~ 2017,정부,미래,-0.0056410454266329815
