category,source,target,correlation
2013 ~ 2017,노인,치매,0.05053667244905467
2013 ~ 2017,노인,일자리,0.016897910515228116
2013 ~ 2017,노인,한국,0.019565250512394584
2013 ~ 2017,노인,여성,-0.00032230271799316433
2013 ~ 2017,노인,환자,0.018312209017482976
2013 ~ 2017,노인,지원,0.0006755531500604729
2013 ~ 2017,노인,정부,-0.011679938601793092
2013 ~ 2017,노인,위한,-0.0034077506704379514
2013 ~ 2017,노인,건강,0.003593103331312506
2013 ~ 2017,노인,서울,0.04071023986016574
2013 ~ 2017,노인,서울시,-0.002734797850260983
2013 ~ 2017,노인,사설,-0.008155934492875886
2013 ~ 2017,노인,일본,0.0025230096887679694
2013 ~ 2017,노인,고령화,0.008235401476935722
2013 ~ 2017,노인,경제,-0.01276459632289204
2013 ~ 2017,노인,증가,0.016475397964350137
2013 ~ 2017,노인,확대,-0.004132781467555322
2013 ~ 2017,노인,치료,-0.0009762600205126191
2013 ~ 2017,노인,사망,0.04779259050832261
2013 ~ 2017,노인,재취업,-0.013003690237071066
2013 ~ 2017,노인,장애인,0.01443136477666287
2013 ~ 2017,노인,노후,-0.0031170797015449207
2013 ~ 2017,노인,중국,-0.010110273157095305
2013 ~ 2017,노인,내년,-0.006796146312121637
2013 ~ 2017,노인,개최,-0.0072593402160841605
2013 ~ 2017,노인,급증,0.046212757617547846
2013 ~ 2017,노인,가장,0.00625928756158843
2013 ~ 2017,노인,피부,-0.013746457421193936
2013 ~ 2017,노인,위해,-0.0012284966962583478
2013 ~ 2017,노인,위험,0.01958435195407579
2013 ~ 2017,노인,없는,-0.006599014296591318
2013 ~ 2017,노인,세계,0.00879081522129775
2013 ~ 2017,노인,효과,-0.007951933699309046
2013 ~ 2017,노인,시대,-0.0026250957750989256
2013 ~ 2017,노인,국민연금,-0.004710397515297516
2013 ~ 2017,노인,저출산,-0.00876959869424065
2013 ~ 2017,노인,최대,-0.0007729754462105231
2013 ~ 2017,노인,필요,-0.0013151404893267365
2013 ~ 2017,노인,없다,-0.008511125977105294
2013 ~ 2017,노인,기업,-0.00837970818742068
2013 ~ 2017,노인,올해,-0.009048697452286768
2013 ~ 2017,노인,50대,-0.0027764943236033937
2013 ~ 2017,노인,가족,0.009464794679692181
2013 ~ 2017,노인,교수,-0.010878034290228053
2013 ~ 2017,노인,좋은,-0.007792100282488468
2013 ~ 2017,노인,추진,0.0006475544107888326
2013 ~ 2017,노인,국민,-0.006228065687753531
2013 ~ 2017,노인,칼럼,-0.010699271226126966
2013 ~ 2017,노인,논란,0.00013091499225889326
2013 ~ 2017,노인,이유,-0.005176404360501027
2013 ~ 2017,노인,건강한,-0.00439849099980955
2013 ~ 2017,노인,복지,0.00891976955982242
2013 ~ 2017,노인,청년,0.0011909463984773956
2013 ~ 2017,노인,실시,0.000432059162062294
2013 ~ 2017,노인,취업,-0.003243836546986518
2013 ~ 2017,노인,예방,0.0024035745734958688
2013 ~ 2017,노인,대상,0.016000274625763578
2013 ~ 2017,노인,70대,0.11614730298017319
2013 ~ 2017,노인,대한민국,0.00030230160601568484
2013 ~ 2017,노인,인구,0.028835743671191974
2013 ~ 2017,노인,만에,0.02086686561622584
2013 ~ 2017,노인,대통령,-0.009940659008022287
2013 ~ 2017,노인,남성,0.003992242578178104
2013 ~ 2017,노인,사회,6.75255868613028e-05
2013 ~ 2017,노인,원인,0.008448056688588631
2013 ~ 2017,노인,대책,0.001044540429787902
2013 ~ 2017,노인,10명,0.06588233523298717
2013 ~ 2017,노인,운영,0.00028869784512524277
2013 ~ 2017,노인,어르신,-0.00787834888547257
2013 ~ 2017,노인,성장,-0.009547634823156884
2013 ~ 2017,노인,1명,0.067736359293486
2013 ~ 2017,노인,oecd,0.03484310731464096
2013 ~ 2017,노인,독거노인,-0.0007611948564645536
2013 ~ 2017,노인,사고,0.0233373485715372
2013 ~ 2017,노인,개선,-0.005865898059114883
2013 ~ 2017,노인,창출,0.008771023184065644
2013 ~ 2017,노인,정책,-0.009257529642219736
2013 ~ 2017,노인,징역,-0.004003281649411623
2013 ~ 2017,노인,인상,-0.005697309189806821
2013 ~ 2017,노인,효능,-0.008300972533359624
2013 ~ 2017,노인,도입,-0.005678398427976643
2013 ~ 2017,노인,관리,-0.003940594745838394
2013 ~ 2017,노인,강화,-0.000464987381562102
2013 ~ 2017,노인,기초연금,0.05097067965889807
2013 ~ 2017,노인,있는,0.0032160230098359096
2013 ~ 2017,노인,예산,-0.006421096150700145
2013 ~ 2017,노인,최고,0.009348735202904088
2013 ~ 2017,노인,글로벌,-0.008974003991861334
2013 ~ 2017,노인,문제,-0.00010883705170808356
2013 ~ 2017,노인,가능,-0.005233032738614211
2013 ~ 2017,노인,출시,-0.009699324885021671
2013 ~ 2017,노인,늘어,0.005821326297721599
2013 ~ 2017,노인,수술,0.004949710242701615
2013 ~ 2017,노인,하루,0.002351314583118659
2013 ~ 2017,노인,국내,-0.0058220678545683495
2013 ~ 2017,노인,맞춤형,0.001556172793257121
2013 ~ 2017,노인,60대,0.04222611065197638
2013 ~ 2017,노인,다시,-0.009320530954516812
2013 ~ 2017,노인,봉사활동,-0.007473657562170857
2013 ~ 2017,치매,노인,0.050536672449054666
2013 ~ 2017,치매,일자리,-0.021023944562002295
2013 ~ 2017,치매,한국,-0.018415085793808576
2013 ~ 2017,치매,여성,-0.009987296251445768
2013 ~ 2017,치매,환자,0.07594258479100734
2013 ~ 2017,치매,지원,-0.00339748526026492
2013 ~ 2017,치매,정부,-0.010515282300291823
2013 ~ 2017,치매,위한,-0.0005835106261378036
2013 ~ 2017,치매,건강,0.004062996537928307
2013 ~ 2017,치매,서울,-0.010094789368622056
2013 ~ 2017,치매,서울시,-0.0036477035469674774
2013 ~ 2017,치매,사설,-0.00784865372223581
2013 ~ 2017,치매,일본,-0.0053715734281782335
2013 ~ 2017,치매,고령화,-0.012442732379702975
2013 ~ 2017,치매,경제,-0.013850317917745408
2013 ~ 2017,치매,증가,4.523755061363863e-05
2013 ~ 2017,치매,확대,0.0034064272643437726
2013 ~ 2017,치매,치료,0.03914991255361538
2013 ~ 2017,치매,사망,0.002463813376492637
2013 ~ 2017,치매,재취업,-0.013709503731789856
2013 ~ 2017,치매,장애인,-0.0026461548028586085
2013 ~ 2017,치매,노후,-0.012138375896488293
2013 ~ 2017,치매,중국,-0.012060728033738893
2013 ~ 2017,치매,내년,-0.011307799362192006
2013 ~ 2017,치매,개최,-0.010463889445320455
2013 ~ 2017,치매,급증,0.005309190472735137
2013 ~ 2017,치매,가장,-0.005573113238031503
2013 ~ 2017,치매,피부,-0.01263634571674404
2013 ~ 2017,치매,위해,-0.0028391954887749178
2013 ~ 2017,치매,위험,0.11876877769026603
2013 ~ 2017,치매,없는,-0.0071919158722221
2013 ~ 2017,치매,세계,-0.0018811465440070705
2013 ~ 2017,치매,효과,0.023164461325304374
2013 ~ 2017,치매,시대,-0.0060643877583076355
2013 ~ 2017,치매,국민연금,-0.012206629378732677
2013 ~ 2017,치매,저출산,-0.012050237426352393
2013 ~ 2017,치매,최대,-0.006539582429578142
2013 ~ 2017,치매,필요,-0.006410128622044806
2013 ~ 2017,치매,없다,-0.00233441096112203
2013 ~ 2017,치매,기업,-0.01098092093343954
2013 ~ 2017,치매,올해,-0.01012292658850481
2013 ~ 2017,치매,50대,0.039040483014123765
2013 ~ 2017,치매,가족,0.02542307223173291
2013 ~ 2017,치매,교수,-0.0014789071173145199
2013 ~ 2017,치매,좋은,-0.0047544410226420695
2013 ~ 2017,치매,추진,0.0010671647126899993
2013 ~ 2017,치매,국민,-0.003061464958123762
2013 ~ 2017,치매,칼럼,-0.008744344534176789
2013 ~ 2017,치매,논란,-0.002880397626999733
2013 ~ 2017,치매,이유,-0.0019278704596478646
2013 ~ 2017,치매,건강한,0.007338464964035718
2013 ~ 2017,치매,복지,-0.007783373731795848
2013 ~ 2017,치매,청년,-0.010283432985893482
2013 ~ 2017,치매,실시,0.003295433426584516
2013 ~ 2017,치매,취업,-0.010991531926340297
2013 ~ 2017,치매,예방,0.10530351857806261
2013 ~ 2017,치매,대상,-0.005749878650379787
2013 ~ 2017,치매,70대,0.0497521729880826
2013 ~ 2017,치매,대한민국,-0.009946559604335875
2013 ~ 2017,치매,인구,-0.007230831485170988
2013 ~ 2017,치매,만에,0.002495985724247604
2013 ~ 2017,치매,대통령,-0.0017844241028794543
2013 ~ 2017,치매,남성,0.004442344825660715
2013 ~ 2017,치매,사회,-0.0025140559716387255
2013 ~ 2017,치매,원인,0.004740355334566813
2013 ~ 2017,치매,대책,-0.006889580716150461
2013 ~ 2017,치매,10명,0.013820960714488632
2013 ~ 2017,치매,운영,0.0021731479276719
2013 ~ 2017,치매,어르신,0.019744276416870023
2013 ~ 2017,치매,성장,-0.010325923564394162
2013 ~ 2017,치매,1명,0.018220967749871267
2013 ~ 2017,치매,oecd,-0.010222410925572419
2013 ~ 2017,치매,독거노인,-0.008296832141009592
2013 ~ 2017,치매,사고,0.00010173098532860722
2013 ~ 2017,치매,개선,0.00010173098532855568
2013 ~ 2017,치매,창출,-0.009186678211709131
2013 ~ 2017,치매,정책,-0.005427887848189191
2013 ~ 2017,치매,징역,0.024645187058723303
2013 ~ 2017,치매,인상,-0.008144365939047892
2013 ~ 2017,치매,효능,0.0003140723386826499
2013 ~ 2017,치매,도입,0.00033794219129912166
2013 ~ 2017,치매,관리,0.012569961861295073
2013 ~ 2017,치매,강화,-0.005307605348699023
