category,source,target,correlation
2013 ~ 2017,건강한,건강,0.017781093456488196
2013 ~ 2017,건강한,치매,0.020688584383205495
2013 ~ 2017,건강한,노인,0.011780907133028975
2013 ~ 2017,건강한,한국,-0.014328898370228316
2013 ~ 2017,건강한,가족,0.6212079996694233
2013 ~ 2017,건강한,좋은,-0.010011898784650187
2013 ~ 2017,건강한,사설,-0.015337592343969784
2013 ~ 2017,건강한,효능,-0.015231950076937775
2013 ~ 2017,건강한,칼럼,-0.011670053107815262
2013 ~ 2017,건강한,오늘의,-0.01508999509285708
2013 ~ 2017,건강한,경제,-0.014946751688852376
2013 ~ 2017,건강한,시대,-0.0031171738282114144
2013 ~ 2017,건강한,효과,0.020032683672453335
2013 ~ 2017,건강한,식품,-0.0025049836915790416
2013 ~ 2017,건강한,노후,0.012694476989885677
2013 ~ 2017,건강한,서울,-0.013592735300427101
2013 ~ 2017,건강한,위한,0.002373639342046287
2013 ~ 2017,건강한,환자,0.05385682364487085
2013 ~ 2017,건강한,일자리,-0.013273834426871918
2013 ~ 2017,건강한,여성,0.003730500248262052
2013 ~ 2017,건강한,피부,0.00852274409730783
2013 ~ 2017,건강한,100세,0.01286066876657923
2013 ~ 2017,건강한,운세,-0.012225630396035808
2013 ~ 2017,건강한,일본,-0.012137987051601573
2013 ~ 2017,건강한,지원,0.010325897335616115
2013 ~ 2017,건강한,속으로,-0.01178108248128131
2013 ~ 2017,건강한,가장,-0.007245706251911498
2013 ~ 2017,건강한,은퇴,-0.011735727381286294
2013 ~ 2017,건강한,치료,0.0694407373045734
2013 ~ 2017,건강한,글로벌,-0.007182926675024156
2013 ~ 2017,건강한,가입,-0.007119771578168419
2013 ~ 2017,건강한,보장,-0.00705623493724155
2013 ~ 2017,건강한,50대,-0.002432047010681519
2013 ~ 2017,건강한,트렌드,-0.011459928706522567
2013 ~ 2017,건강한,재산리모델링,-0.01141333121073293
2013 ~ 2017,건강한,책의,-0.011319575350207027
2013 ~ 2017,건강한,없는,-0.006398443618985121
2013 ~ 2017,건강한,화제의,-0.010936718492808807
2013 ~ 2017,건강한,라이프,-0.010838942133260518
2013 ~ 2017,건강한,금융,-0.005982193310586757
2013 ~ 2017,건강한,이유,-0.0059110801444356
2013 ~ 2017,건강한,1위,-0.010740296132604618
2013 ~ 2017,건강한,위해,0.009002803275283081
2013 ~ 2017,건강한,미세먼지,-0.005621309167257871
2013 ~ 2017,건강한,더오래,-0.010489714869953023
2013 ~ 2017,건강한,최대,-0.0002572015978122463
2013 ~ 2017,건강한,중국,-0.010336514344608149
2013 ~ 2017,건강한,스마트,-0.005246318846102784
2013 ~ 2017,건강한,기업,-0.00015612334759739538
2013 ~ 2017,건강한,노화,0.025988781116908565
2013 ~ 2017,건강한,투자,-0.010076113971520627
2013 ~ 2017,건강한,분양,-0.010076113971520665
2013 ~ 2017,건강한,사회,0.0003646807830891634
2013 ~ 2017,건강한,걱정,0.04245342134508873
2013 ~ 2017,건강한,칼로리,-0.009970088134815504
2013 ~ 2017,건강한,다시,-0.009916658411118605
2013 ~ 2017,건강한,있는,-0.004613139400761465
2013 ~ 2017,건강한,기자의,-0.009916658411118592
2013 ~ 2017,건강한,음식,-0.009916658411118613
2013 ~ 2017,건강한,고령화,-0.009862944802743115
2013 ~ 2017,건강한,최고,0.0008013095683239945
2013 ~ 2017,건강한,없다,0.0008013095683241233
2013 ~ 2017,건강한,확대,-0.0045308176172095885
2013 ~ 2017,건강한,예방,0.022358295763621378
2013 ~ 2017,건강한,정부,0.0009134701577512084
2013 ~ 2017,건강한,아파트,-0.009808942645183859
2013 ~ 2017,건강한,위험,0.059886740573894016
2013 ~ 2017,건강한,반퇴시대,-0.009700053376353178
2013 ~ 2017,건강한,원인,-0.004279222698791937
2013 ~ 2017,건강한,영화,-0.009700053376353199
2013 ~ 2017,건강한,사람,-0.009645156272622276
2013 ~ 2017,건강한,삶의,-0.00410744806369816
2013 ~ 2017,건강한,면역력,0.03457871619418648
2013 ~ 2017,건강한,분수대,-0.009478592093742891
2013 ~ 2017,건강한,재취업,-0.009478592093742867
2013 ~ 2017,건강한,보험,-0.003932250255456415
2013 ~ 2017,건강한,함께하는,0.007160433421116458
2013 ~ 2017,건강한,나이,0.029631372796341898
2013 ~ 2017,건강한,세계,-0.009365932985926514
2013 ~ 2017,건강한,단독,-0.009365932985926542
2013 ~ 2017,건강한,강화,0.001983802317789803
2013 ~ 2017,건강한,비즈,-0.0093091009785452
2013 ~ 2017,건강한,한국인,0.0022382033544278476
2013 ~ 2017,건강한,가능,-0.0034780988202223377
2013 ~ 2017,건강한,스트레스,-0.009194400994872483
2013 ~ 2017,건강한,수술,0.036881235260818206
2013 ~ 2017,건강한,많이,-0.003289449895281917
