category,source,target,correlation
2013 ~ 2017,노인,출시,-0.01450866358224763
2013 ~ 2017,노인,정부,-0.005739598481435484
2013 ~ 2017,노인,한국,0.015549156259743775
2013 ~ 2017,노인,서울시,-0.0018563378575701373
2013 ~ 2017,노인,위한,0.0051594173140169525
2013 ~ 2017,노인,지원,0.006008571237307476
2013 ~ 2017,노인,치매,0.05930379730098999
2013 ~ 2017,노인,일자리,0.01506317533950077
2013 ~ 2017,노인,시대,-0.00682998787763777
2013 ~ 2017,노인,노후,-0.011755357977668811
2013 ~ 2017,노인,서울,0.0038810239950832393
2013 ~ 2017,노인,개최,-0.008081424778566106
2013 ~ 2017,노인,여성,0.02020737538099666
2013 ~ 2017,노인,일본,0.006443185785700148
2013 ~ 2017,노인,확대,-0.00201580123299631
2013 ~ 2017,노인,국민연금,0.006668478571077838
2013 ~ 2017,노인,책과,-0.007517922592609413
2013 ~ 2017,노인,고령화,0.001073520645290497
2013 ~ 2017,노인,최대,0.001682293233885371
2013 ~ 2017,노인,없는,-0.00108425626762673
2013 ~ 2017,노인,내년,-0.003376119742468451
2013 ~ 2017,노인,증가,0.018894211618859885
2013 ~ 2017,노인,없다,-0.009338216350990981
2013 ~ 2017,노인,올해,-0.00919262806124981
2013 ~ 2017,노인,이유,-0.009118981644344677
2013 ~ 2017,노인,알림,-0.00906955900029609
2013 ~ 2017,노인,위해,-0.0056834136203196915
2013 ~ 2017,노인,경제,-0.008792876341986068
2013 ~ 2017,노인,사설,0.0013177163514353826
2013 ~ 2017,노인,추진,0.008041060140427004
2013 ~ 2017,노인,세월호,-0.005405627437556408
2013 ~ 2017,노인,투자,-0.008741648978458484
2013 ~ 2017,노인,실시,0.004940784409864483
2013 ~ 2017,노인,가장,0.008342043345110925
2013 ~ 2017,노인,필요,0.005007209542436456
2013 ~ 2017,노인,모집,-0.001580643166061545
2013 ~ 2017,노인,회장,-0.008507385221714554
2013 ~ 2017,노인,재취업,-0.008454462083819007
2013 ~ 2017,노인,환자,0.02652951683206344
2013 ~ 2017,노인,세계,-0.0013387963032803396
2013 ~ 2017,노인,원전,-0.008347628003408016
2013 ~ 2017,노인,교수,-0.008212166844091198
2013 ~ 2017,노인,중국,-0.008184810355596558
2013 ~ 2017,노인,미세먼지,0.00267448906779978
2013 ~ 2017,노인,대상,0.035170047431410306
2013 ~ 2017,노인,다시,-0.008129826024352787
2013 ~ 2017,노인,시장,-0.004427108057943481
2013 ~ 2017,노인,대통령,-0.007990738578812991
2013 ~ 2017,노인,논란,-0.0042644687213255865
2013 ~ 2017,노인,아파트,-0.0005120267973420275
2013 ~ 2017,노인,성장,-0.007906131433432842
2013 ~ 2017,노인,피부,-0.007820623980844788
2013 ~ 2017,노인,세상,-0.00023484879422014344
2013 ~ 2017,노인,국민,-0.007791916313808789
2013 ~ 2017,노인,머니투데이,-0.00779191631380878
2013 ~ 2017,노인,오늘의,-0.00776310416160352
2013 ~ 2017,노인,청년,0.026524466317774116
2013 ~ 2017,노인,은퇴,-6.367172654127748e-05
2013 ~ 2017,노인,장애인,0.045785268164572505
2013 ~ 2017,노인,오프라인,-0.007676029005550651
2013 ~ 2017,노인,사회,-0.007646787012690389
2013 ~ 2017,노인,대책,0.0001113875399572891
2013 ~ 2017,노인,있는,-0.003753023465535645
2013 ~ 2017,노인,기업,-0.0075583925841427825
2013 ~ 2017,노인,기초연금,0.0628444097239593
2013 ~ 2017,노인,가족,-0.0035283119055396737
2013 ~ 2017,노인,아닌,-0.007438924060824061
2013 ~ 2017,노인,복지,0.028169182853734424
2013 ~ 2017,노인,10년,0.008672048864455943
2013 ~ 2017,노인,최고,-0.0073480666406286225
2013 ~ 2017,노인,100세,0.004667019988184977
2013 ~ 2017,노인,50대,-0.0032959100958172235
2013 ~ 2017,노인,선정,-0.007286874587830624
2013 ~ 2017,노인,건강,0.000789980017340974
2013 ~ 2017,노인,만에,0.020982116530269816
2013 ~ 2017,노인,돌파,0.01694368922768407
2013 ~ 2017,노인,급증,0.05445439183911477
2013 ~ 2017,노인,인기,-0.007162944120802563
2013 ~ 2017,노인,사망,0.03825151095741954
2013 ~ 2017,노인,할머니,0.001187611856205554
2013 ~ 2017,노인,우려,-0.0029562834284121665
2013 ~ 2017,노인,강화,0.0012559970390215768
2013 ~ 2017,노인,한겨레,-0.0029062963644128407
2013 ~ 2017,노인,70대,0.12675321473831927
2013 ~ 2017,노인,사업,-0.002855920999545609
2013 ~ 2017,노인,10대,-0.002805149799236444
2013 ~ 2017,노인,전국,0.01819405167286474
2013 ~ 2017,노인,저출산,-0.007004990093656718
