category,word,score
2013,건강,2543
2013,치매,1985
2013,노후,1975
2013,출시,1947
2013,시대,1760
2013,100세,1664
2013,고령화,1599
2013,한국,1562
2013,여성,1503
2013,일자리,1475
2013,경제,1436
2013,사회,1402
2013,금융,1335
2013,보험,1173
2013,정부,1131
2013,지원,1091
2013,가족,1081
2013,필요,1068
2013,복지,1038
2013,연금,1017
2013,개최,927
2013,보장,889
2013,확대,869
2013,독거노인,868
2013,환자,863
2013,준비,819
2013,국민연금,724
2013,예방,715
2013,대비,714
2013,칼럼,696
2013,실시,696
2013,급증,658
2013,세계,635
2013,실버,634
2013,세대,629
2013,증가,623
2013,재테크,617
2013,치료,617
2013,100세시대,615
2013,의료,613
2013,60세,610
2013,상품,610
2013,사람,610
2013,내년,595
2013,어르신,592
2013,우리,589
2013,강화,583
2013,희망,578
2013,현대,573
2013,관리,572
2013,위험,571
2013,재취업,570
2013,나눔,563
2013,선물,543
2013,의료비,540
2013,도입,532
2013,최대,532
2013,아파트,515
2013,글로벌,511
2013,오늘,510
2013,부담,508
2013,결혼,507
2013,주목,507
2013,봉사활동,503
2013,성장,501
2013,50대,497
2013,대한민국,491
2013,암보험,488
2013,중국,486
2013,대표,485
2013,걱정,481
2013,교수,479
2013,교육,474
2013,미래,474
2013,해결,473
2013,포토,470
2013,개선,468
2013,중요,465
2013,창출,462
2013,가장,462
2013,올해,457
2013,일본,452
2013,무료,445
2013,논란,445
2013,자녀,441
2013,기부,440
2013,할머니,439
2013,전문,438
2013,부동산,433
2013,문화,433
2013,영화,432
2013,인기,431
2013,전달,429
2013,시작,427
2013,삼성,426
2013,성공,423
2013,한화,419
2013,지급,410
2013,건보,409
2013,10명,399
2014,치매,3247
2014,건강,2934
2014,한국,2326
2014,노후,2321
2014,시대,1888
2014,의료실비보험,1845
2014,여성,1743
2014,100세,1741
2014,출시,1685
2014,경제,1664
2014,부담,1466
2014,의료비,1445
2014,고령화,1419
2014,행복,1329
2014,연금,1280
2014,지원,1260
2014,환자,1248
2014,사설,1176
2014,금융,1105
2014,내년,1093
2014,가족,1078
2014,정부,1076
2014,개최,1074
2014,증가,1020
2014,예방,1003
2014,일자리,958
2014,독거노인,932
2014,준비,912
2014,걱정,902
2014,가능,891
2014,확대,890
2014,보험,879
2014,오늘,856
2014,급증,854
2014,아파트,849
2014,안전,846
2014,위험,803
2014,대비,796
2014,관리,794
2014,보장,759
2014,치료,753
2014,최대,752
2014,남성,749
2014,재취업,741
2014,교수,734
2014,가입,731
2014,복지,717
2014,어르신,704
2014,실시,700
2014,인기,695
2014,국민,692
2014,가장,684
2014,주목,681
2014,재테크,656
2014,논란,655
2014,부동산,653
2014,나눔,641
2014,노화,627
2014,암보험,618
2014,마련,616
2014,올해,611
2014,해결,609
2014,삼성,588
2014,신하균,588
2014,상품,586
2014,추진,585
2014,화재,583
2014,글로벌,575
2014,영화,568
2014,혜택,567
2014,현대,555
2014,퇴직연금,554
2014,대한민국,546
2014,일본,544
2014,인생,544
2014,100세시대,543
2014,전달,541
2014,봉사활동,541
2014,최고,538
2014,세대,535
2014,공개,531
2014,칼럼,530
2014,절반,529
2014,국민연금,527
2014,하루,517
2014,2014년,509
2014,자녀,499
2014,교육,492
2014,할머니,492
2014,희망,487
2014,회장,486
2014,세월호,481
2014,지급,481
2014,무료,480
2014,남자,478
2014,위기,477
2014,사람,477
2014,개선,477
2014,비교,470
2014,시작,469
2015,건강,4612
2015,치매,4303
2015,한국,2996
2015,시대,2961
2015,100세,2267
2015,고령화,2067
2015,연금,2028
2015,출시,1962
2015,예방,1829
2015,투자,1794
2015,사회,1726
2015,행복,1713
2015,보험,1712
2015,필요,1711
2015,여성,1636
2015,개최,1542
2015,지원,1501
2015,가족,1445
2015,메르스,1404
2015,환자,1396
2015,국민,1355
2015,정부,1328
2015,가능,1306
2015,사설,1298
2015,증가,1154
2015,부동산,1152
2015,사랑,1147
2015,준비,1125
2015,내년,1109
2015,강화,1096
2015,아파트,1070
2015,저출산,1048
2015,대비,1038
2015,급증,1016
2015,어르신,1000
2015,실시,995
2015,일자리,994
2015,주목,986
2015,노화,978
2015,무료,961
2015,칼럼,949
2015,보장,949
2015,최대,937
2015,독거노인,912
2015,가장,898
2015,위험,895
2015,빈곤,889
2015,대표,874
2015,국민연금,865
2015,관리,865
2015,사람,862
2015,세대,854
2015,올해,852
2015,오늘,844
2015,대한민국,824
2015,세계,822
2015,의료실비보험,815
2015,이벤트,812
2015,부담,809
2015,도입,805
2015,추진,799
2015,오피스텔,791
2015,현대,785
2015,개선,784
2015,회장,783
2015,청년,782
2015,아동,777
2015,부모,754
2015,희망,738
2015,불안,736
2015,해결,734
2015,주택,727
2015,글로벌,720
2015,인상,719
2015,논란,705
2015,부동,700
2015,나이,685
2015,노후준비,684
2015,교육,684
2015,수익,684
2015,시작,679
2015,기억,674
2015,인구,656
2015,영화,655
2015,진행,652
2015,개발,650
2015,연말,650
2015,자녀,643
2015,나눔,642
2015,국가,638
2015,평균,636
2015,할머니,634
2015,세상,633
2015,선정,631
2015,교수,627
2015,집중,625
2015,서비스,625
2015,10명,624
2015,걱정,623
2015,삼성,615
2016,치매,3225
2016,노후,3160
2016,시대,2564
2016,한국,2340
2016,출시,2286
2016,100세,2172
2016,고령화,1800
2016,경제,1414
2016,보험,1384
2016,가족,1372
2016,개최,1358
2016,사회,1322
2016,확대,1304
2016,지원,1294
2016,환자,1243
2016,내년,1234
2016,일자리,1208
2016,필요,1196
2016,정부,1179
2016,사랑,1175
2016,여성,1152
2016,2016,1116
2016,최대,1102
2016,예방,1100
2016,실시,1094
2016,국민,1064
2016,청년,978
2016,준비,971
2016,일본,931
2016,투자,912
2016,가능,885
2016,어르신,870
2016,올해,868
2016,보장,857
2016,기억,845
2016,관리,845
2016,교육,842
2016,금융,831
2016,연금,829
2016,오늘,823
2016,대비,810
2016,미세먼지,809
2016,복지,796
2016,모집,787
2016,대한민국,767
2016,독거노인,758
2016,기업,755
2016,국민연금,748
2016,맞춤형,741
2016,무료,734
2016,저출산,728
2016,주목,716
2016,사람,710
2016,서비스,699
2016,톡톡,699
2016,현대,698
2016,주택연금,691
2016,가구,678
2016,글로벌,672
2016,노인들,669
2016,건강보험,665
2016,미래,658
2016,아파트,656
2016,구조조정,645
2016,위험,642
2016,강화,642
2016,세대,633
2016,추진,632
2016,빈곤,613
2016,안전,613
2016,자녀,612
2016,인구,610
2016,교수,610
2016,시작,609
2016,대상,604
2016,성장,600
2016,급증,589
2016,희망,586
2016,롯데,583
2016,인기,568
2016,뉴스,563
2016,10명,553
2016,걱정,540
2016,독거,536
2016,회장,535
2016,개선,535
2016,나눔,532
2016,도입,529
2016,논란,528
2016,부모,521
2016,할머니,518
2016,특별,518
2016,65세,514
2016,마련,511
2016,시니어,511
2016,개발,510
2016,성공,510
2016,구조,499
2016,세상,496
2016,부동산,496
2017,건강,3993
2017,치매,3968
2017,일자리,2395
2017,노후,2031
2017,한국,1887
2017,정부,1880
2017,고령화,1877
2017,복지,1757
2017,지원,1699
2017,시대,1679
2017,출시,1530
2017,사회,1478
2017,확대,1438
2017,필요,1416
2017,내년,1407
2017,100세,1335
2017,미세먼지,1234
2017,경제,1219
2017,환자,1205
2017,여성,1155
2017,국민,1150
2017,어르신,1032
2017,대통령,1005
2017,올해,968
2017,최대,966
2017,가능,956
2017,투자,951
2017,사랑,945
2017,청년,939
2017,정책,933
2017,건강보험,932
2017,단독,891
2017,사람,888
2017,문재인,884
2017,가장,845
2017,예방,833
2017,성장,830
2017,준비,819
2017,교육,787
2017,금융,773
2017,건보,764
2017,65세,749
2017,위험,736
2017,오늘,734
2017,기억,718
2017,부동산,715
2017,의료,712
2017,저출산,708
2017,관리,708
2017,주목,696
2017,인터뷰,687
2017,실시,687
2017,추진,687
2017,개선,686
2017,세상,681
2017,미세,675
2017,독거노인,674
2017,대한민국,670
2017,인구,668
2017,대비,664
2017,모집,655
2017,폐지,647
2017,부담,640
2017,미래,640
2017,대표,630
2017,안전,630
2017,살인자,629
2017,개최,620
2017,해결,614
2017,부양,610
2017,시장,604
2017,발표,602
2017,맞춤형,600
2017,인상,588
2017,보장,582
2017,개발,579
2017,의료비,577
2017,시작,570
2017,가구,566
2017,생활,564
2017,할머니,563
2017,서비스,562
2017,인생,560
2017,주택,560
2017,희망,560
2017,삼성,559
2017,아파트,551
2017,공공,550
2017,나눔,544
2017,50대,544
2017,국민연금,539
2017,칼럼,535
2017,임대,535
2017,부모,532
2017,독거,529
2017,회장,527
2017,봉사활동,526
2017,위기,521
2017,고용,518
2017,창출,513
2018,치매,3697
2018,노후,2601
2018,일자리,2006
2018,지원,1949
2018,미세먼지,1846
2018,시대,1744
2018,한국,1697
2018,확대,1551
2018,100세,1498
2018,고령화,1458
2018,2018,1445
2018,내년,1421
2018,사회,1380
2018,출시,1361
2018,필요,1326
2018,국민연금,1215
2018,최대,1174
2018,개최,1160
2018,정부,1149
2018,여성,1147
2018,어르신,1142
2018,강화,1130
2018,환자,1093
2018,가능,1090
2018,경제,1051
2018,삼성,1013
2018,사설,1010
2018,오늘,993
2018,저출산,956
2018,청년,947
2018,추진,945
2018,위험,879
2018,공정위,872
2018,올해,866
2018,예방,826
2018,부동산,820
2018,안전,779
2018,관리,777
2018,개선,774
2018,돌봄,771
2018,독거노인,768
2018,최고,758
2018,증가,749
2018,인상,738
2018,세대,719
2018,투자,718
2018,사람,712
2018,준비,705
2018,시작,700
2018,보험,697
2018,인사,697
2018,금융,693
2018,현대,692
2018,서울시,685
2018,교육,684
2018,아파트,680
2018,연금,678
2018,개발,676
2018,재건축,663
2018,부담,653
2018,대비,647
2018,가장,628
2018,폭염,621
2018,보장,621
2018,해결,620
2018,글로벌,620
2018,공정,612
2018,부모,606
2018,장애인,606
2018,기초연금,600
2018,의료,596
2018,교수,594
2018,인생,590
2018,창출,587
2018,성장,585
2018,세상,581
2018,논란,577
2018,도입,573
2018,시니어,570
2018,공개,569
2018,급증,568
2018,고령사회,566
2018,걱정,562
2018,최저임금,557
2018,회장,555
2018,절반,544
2018,활용,538
2018,피부,535
2018,10년,526
2018,나눔,524
2018,실시,521
2018,재취업,517
2018,5년,516
2018,지역,514
2018,최저,508
2018,성공,506
2018,자녀,506
2018,진행,505
2018,검찰,505
2018,부모님,501
2019,건강,3480
2019,미세먼지,2692
2019,일자리,2451
2019,시대,1998
2019,정부,1963
2019,노후,1944
2019,고령화,1931
2019,지원,1901
2019,확대,1779
2019,내년,1764
2019,사회,1742
2019,국민,1723
2019,경제,1658
2019,필요,1624
2019,출시,1522
2019,미세,1517
2019,2019,1501
2019,100세,1472
2019,서울시,1430
2019,여성,1360
2019,사설,1287
2019,케어,1233
2019,올해,1184
2019,논란,1153
2019,오늘,1101
2019,강화,1086
2019,65세,1081
2019,위험,1034
2019,청년,1028
2019,보험,996
2019,금융,981
2019,행복,972
2019,세대,970
2019,사랑,970
2019,고용,965
2019,복지,963
2019,가능,961
2019,환자,959
2019,인구,954
2019,예방,946
2019,세계,931
2019,시작,915
2019,어르신,903
2019,추진,890
2019,사람,872
2019,의료,838
2019,기고,837
2019,국민연금,836
2019,대한,823
2019,전두환,819
2019,연장,804
2019,대표,800
2019,대비,799
2019,안락사,795
2019,개선,791
2019,교육,788
2019,10명,783
2019,모집,776
2019,보장,767
2019,공개,760
2019,건보,752
2019,준비,749
2019,뉴스,729
2019,최대,725
2019,현대,717
2019,대통령,717
2019,부모,712
2019,미래,702
2019,안전,690
2019,세상,682
2019,정책,679
2019,투입,676
2019,급증,670
2019,교수,670
2019,인생,670
2019,갈등,663
2019,부동산,653
2019,아파트,649
2019,서비스,643
2019,진행,643
2019,관리,639
2019,저출산,636
2019,발표,625
2019,절반,620
2019,시장,619
2019,감소,617
2019,라이프,610
2019,도입,607
2019,예산,606
2019,공급,599
2019,중국,597
2019,추경,596
2019,바람,593
2019,장기,590
2019,기자,584
2019,회장,580
2019,성장,580
2019,재정,579
2019,혁신,574
2019,박소연,567
2020,코로나,8574
2020,코로나19,5519
2020,치매,2991
2020,지원,1932
2020,한국,1791
2020,정부,1776
2020,시대,1612
2020,일자리,1542
2020,가족,1523
2020,마스크,1437
2020,환자,1402
2020,서울시,1377
2020,확대,1361
2020,노후,1334
2020,여성,1323
2020,집단감염,1284
2020,출시,1250
2020,백신,1202
2020,경제,1145
2020,필요,1098
2020,가능,1025
2020,내년,1023
2020,오늘,1009
2020,사회,994
2020,할머니,977
2020,추가,974
2020,최대,898
2020,위험,870
2020,세계,858
2020,100세,841
2020,어르신,825
2020,사랑,824
2020,보험,821
2020,고용,810
2020,올해,791
2020,고령화,790
2020,청년,788
2020,돌봄,784
2020,국민,778
2020,시작,757
2020,사람,742
2020,방역,733
2020,장애인,727
2020,투자,725
2020,예방,702
2020,복지,692
2020,행복,687
2020,공개,676
2020,기부,663
2020,종합,660
2020,공급,657
2020,발생,652
2020,이후,645
