category,word,score
2013,건강,193
2013,한국,149
2013,사설,105
2013,칼럼,104
2013,보장,84
2013,100세,83
2013,일자리,82
2013,치매,82
2013,여성,81
2013,시대,78
2013,상품,61
2013,피부,61
2013,재취업,58
2013,사회,57
2013,기업,56
2013,경제,53
2013,보험,52
2013,오늘,51
2013,세대,50
2013,harmony,49
2013,가능,48
2013,고령화,47
2013,투자,45
2013,중년,44
2013,연금,44
2013,관리,41
2013,가입,41
2013,사랑,41
2013,환자,41
2013,가족,40
2013,수술,39
2013,복지,37
2013,걱정,36
2013,아파트,36
2013,지금,35
2013,미래,35
2013,사람,35
2013,일본,34
2013,향기,33
2013,성장,32
2013,예방,32
2013,병원,32
2013,치료,32
2013,직장,32
2013,서비스,31
2013,정년,30
2013,공부,30
2013,국내,30
2013,중국,28
2013,60세,27
2013,안전,27
2013,할머니,26
2013,희망,26
2013,아이,26
2013,노화,26
2013,기부,26
2013,교육,25
2013,마련,25
2013,연장,24
2013,인재,23
2013,내년,23
2013,운동,23
2013,정부,23
2013,원전,22
2013,봉사,22
2013,선물,22
2013,나눔,22
2013,고객,22
2013,청소년,21
2013,고민,20
2013,자산,20
2013,이야기,19
2013,전문가,19
2013,평생,19
2013,커버스토리,19
2013,아베,19
2013,연금저축,18
2013,사회공헌,18
2013,작가,17
2013,부모님,17
2013,주부,17
2013,남편,16
2013,자연,16
2013,대한민국,15
2013,학교,14
2013,극복,14
2013,설계,14
2013,다문화,14
2013,폐지,14
2013,은행,13
2013,위기,13
2013,마케팅,12
2013,우리,12
2013,경영,12
2013,회사,12
2013,영국,12
2013,난청,12
2013,실천,12
2013,문화,12
2013,2030,11
2014,건강,213
2014,치매,136
2014,피부,121
2014,노후,107
2014,여성,96
2014,오늘,90
2014,100세,87
2014,칼럼,86
2014,치료,83
2014,환자,83
2014,한국,80
2014,식품,78
2014,예방,76
2014,수술,70
2014,시대,64
2014,기업,59
2014,위험,59
2014,안전,58
2014,스마트,57
2014,기자,57
2014,향기,54
2014,경제,53
2014,노화,52
2014,가족,50
2014,보장,48
2014,논란,47
2014,교육,46
2014,척추,46
2014,지원,45
2014,사회,44
2014,보험,44
2014,개선,42
2014,관리,42
2014,겨울,41
2014,금융,40
2014,마음,39
2014,미래,38
2014,남성,36
2014,상품,35
2014,사랑,35
2014,대책,33
2014,선택,33
2014,세월호,32
2014,성공,30
2014,정부,30
2014,시술,30
2014,인생,29
2014,연금,29
2014,확대,28
2014,성분,27
2014,자연,27
2014,ceo,27
2014,펀드,26
2014,우리,26
2014,대학,25
2014,기억,24
2014,국민,24
2014,무료,23
2014,고령화,23
2014,무릎,22
2014,엄마,22
2014,일본,21
2014,노안,21
2014,체크,21
2014,장수,20
2014,화재,20
2014,어머니,19
2014,혈관,19
2014,드라마,19
2014,자식,19
2014,생각,18
2014,청년,18
2014,직장,18
2014,자산,18
2014,진단,17
2014,의사,17
2014,간병,16
2014,마련,16
2014,문화,16
2014,주택,15
2014,여행,15
2014,경기,15
2014,질병,15
2014,세대,15
2014,국가,15
2014,은행,14
2014,고민,14
2014,심사,13
2014,평생,13
2014,소설,13
2014,자녀,13
2014,필러,12
2014,고용,12
2014,경쟁력,12
2014,연금저축,12
2014,탄력,12
2014,망각,11
2014,운동,11
2014,연금보험,10
2014,회사,10
2015,건강,469
2015,치매,243
2015,예방,204
2015,여성,178
2015,경제,178
2015,노후,155
2015,피부,147
2015,노화,143
2015,사회,132
2015,100세,127
2015,오늘,126
2015,시대,124
2015,사설,123
2015,3월,111
2015,환자,108
2015,운동,103
2015,우유,94
2015,사람,80
2015,치료,79
2015,기업,78
2015,가족,74
2015,증가,69
2015,금융,68
2015,기자,68
2015,강화,65
2015,국제시장,63
2015,투자,61
2015,보장,61
2015,교육,59
2015,영화,58
2015,관리,58
2015,위험,57
2015,걱정,56
2015,고혈압,55
2015,준비,54
2015,희망,54
2015,사랑,54
2015,수면,52
2015,가능,51
2015,청년,51
2015,세대,51
2015,개선,50
2015,섭취,50
2015,하루,49
2015,마음,47
2015,독일,47
2015,남성,46
2015,국민,46
2015,향기,43
2015,관절,43
2015,인천,42
2015,불안,42
2015,취업,42
2015,세계,41
2015,고령화,41
2015,세상,40
2015,인구,40
2015,논란,39
2015,일자리,39
2015,정부,39
2015,자녀,39
2015,장수,37
2015,생활,37
2015,당신,36
2015,만점,36
2015,성분,34
2015,통증,34
2015,선물,33
2015,회복,33
2015,겨울,33
2015,눈물,31
2015,공부,31
2015,집중,31
2015,주목,30
2015,안전,30
2015,대학,29
2015,어머니,29
2015,진단,29
2015,성장,28
2015,카페,28
2015,수술,28
2015,추진,28
2015,해외,28
2015,갈등,28
2015,의심,27
2015,대표,27
2015,수익,26
2015,펀드,26
2015,정책,26
2015,부동산,26
2015,부모,26
2015,장애,26
2015,유럽,26
2015,흡연,26
2015,인간,25
2015,척추,25
2015,결혼,25
2015,미국,25
2015,특별,25
2015,스스로,25
2016,오늘,186
2016,가족,169
2016,피부,163
2016,한국,159
2016,경제,119
2016,노후,113
2016,치매,112
2016,환자,96
2016,100세,90
2016,시대,86
2016,치료,75
2016,사람,70
2016,관리,68
2016,행복,65
2016,지원,63
2016,보장,63
2016,뉴스,59
2016,세계,58
2016,반퇴,58
2016,내년,58
2016,예방,56
2016,중국,56
2016,저출산,56
2016,일자리,55
2016,사회,54
2016,정부,54
2016,고령화,53
2016,미래,53
2016,은퇴,48
2016,성공,48
2016,브랜드,45
2016,생활,43
2016,영화,42
2016,기업,42
2016,시장,41
2016,사랑,40
2016,교육,39
2016,개발,38
2016,안전,38
2016,성장,37
2016,병원,35
2016,희망,35
2016,혁신,35
2016,50대,35
2016,자산,35
2016,대학,34
2016,국민,34
2016,25,34
2016,여성,34
2016,똑똑,33
2016,자녀,33
2016,위험,32
2016,해결,32
2016,화장품,30
2016,평택,30
2016,세대,30
2016,대비,30
2016,강화,29
2016,서비스,29
2016,전국,28
2016,문화,27
2016,하루,26
2016,육성,26
2016,현장,25
2016,미국,25
2016,국내,25
2016,준비,24
2016,산책,24
2016,의료,24
2016,아빠,24
2016,중심,24
2016,결혼,24
2016,운동,24
2016,사회공헌,24
2016,골든걸,24
2016,마음,23
2016,증가,22
2016,정책,22
2016,경유차,22
2016,인생,22
2016,65세,22
2016,고객,22
2016,도시,21
2016,증상,21
2016,개선,20
2016,최저,20
2016,장수,19
2016,연구,19
2016,부동산,19
2016,장애,19
2016,치유,19
2016,진단,19
2016,3년,18
2016,평생,18
2016,유지,18
2016,지갑,18
2016,음악,18
2016,주말,18
2016,정신,17
2016,제2,16
2017,가족,277
2017,치매,241
2017,트렌드,198
2017,경제,171
2017,노후,154
2017,오늘,149
2017,단독,147
2017,시대,144
2017,금융,107
2017,여성,98
2017,기업,87
2017,정부,84
2017,일본,83
2017,100세,81
2017,국민,80
2017,가능,77
2017,고령화,76
2017,반퇴,76
2017,영화,75
2017,위험,74
2017,사랑,74
2017,환자,74
2017,할머니,71
2017,지원,70
2017,확대,67
2017,투자,67
2017,최대,66
2017,보험,66
2017,보장,64
2017,희망,63
2017,사회,62
2017,스마트,62
2017,사람,62
2017,분양현장,61
2017,관리,59
2017,은퇴,59
2017,인생,59
2017,최고,58
2017,세상,58
2017,대통령,58
2017,복지,58
2017,브랜드,58
2017,미군,54
2017,예방,53
2017,행복,52
2017,치료,51
2017,설계,49
2017,65세,49
2017,남성,48
2017,나이,48
2017,성공,48
2017,주택,47
2017,부부,47
2017,부족,46
2017,소득,46
2017,개선,45
2017,감소,44
2017,시민,43
2017,세계,42
2017,개발,42
2017,학교,41
2017,추천,40
2017,하루,40
2017,수도,39
2017,기대,39
2017,교육,39
2017,25,39
2017,정책,38
2017,생활비,38
2017,저출산,37
2017,시장,37
2017,피부,36
2017,서비스,36
2017,보험료,36
2017,당신,35
2017,국가,35
2017,진료,34
2017,질병,34
2017,어린이,33
2017,아이,33
2017,자산,33
2017,트럼프,33
2017,안전,33
2017,성장,32
2017,남편,32
2017,창업,32
2017,평균,32
2017,부담,32
2017,혁신,32
2017,추진,32
2017,시선,32
2017,미래,31
2017,의료비,31
2017,집중,31
2017,수술,31
2017,고객,31
2017,아버지,30
2017,세금,30
2017,아파트,30
2017,대선,29
2018,건강,543
2018,가족,317
2018,오늘,238
2018,노후,223
2018,치매,200
2018,일자리,190
2018,시대,188
2018,국민연금,183
2018,국민,174
2018,100세,162
2018,정부,154
2018,사설,143
2018,부동산,128
2018,최대,124
2018,지원,119
2018,기업,118
2018,피부,118
2018,투자,116
2018,가능,114
2018,사회,113
2018,경제,113
2018,환자,99
2018,아파트,98
2018,미세먼지,95
2018,분양,94
2018,연금,94
2018,최고,92
2018,재건축,92
2018,보험,92
2018,시장,88
2018,여성,85
2018,관리,84
2018,삼성,84
2018,올해,82
2018,서울시,82
2018,금융,80
2018,글로벌,80
2018,사람,79
2018,위험,78
2018,나이,78
2018,치료,77
2018,세계,76
2018,고령화,75
2018,재취업,75
2018,아파,72
2018,저출산,72
2018,공급,71
2018,개발,69
2018,회장,69
2018,해결,69
2018,강화,67
2018,논란,66
2018,시작,65
2018,개선,64
2018,성장,61
2018,확대,61
2018,자녀,61
2018,대학,60
2018,준비,59
2018,병원,58
2018,정책,58
2018,추진,58
2018,어르신,57
2018,부모,57
2018,수술,57
2018,갈등,56
2018,중국,54
2018,인생,54
2018,인사,54
2018,예방,53
2018,영화,53
2018,급증,53
2018,부담,53
2018,남성,52
2018,수사,52
2018,선택,52
2018,3년,51
2018,시니어,51
2018,집값,50
2018,인상,50
2018,증가,49
2018,폭염,49
2018,검찰,49
2018,최저,49
2018,서비스,48
2018,포커스,48
2018,강남,48
