category,word,score
2013 ~ 2017,출시,945
2013 ~ 2017,노후,752
2013 ~ 2017,정부,746
2013 ~ 2017,건강,707
2013 ~ 2017,시대,689
2013 ~ 2017,여성,686
2013 ~ 2017,지원,670
2013 ~ 2017,한국,632
2013 ~ 2017,치매,572
2013 ~ 2017,일자리,548
2013 ~ 2017,확대,488
2013 ~ 2017,고령화,474
2013 ~ 2017,내년,474
2013 ~ 2017,필요,458
2013 ~ 2017,금융,454
2013 ~ 2017,투자,451
2013 ~ 2017,최대,424
2013 ~ 2017,피부,393
2013 ~ 2017,사랑,392
2013 ~ 2017,사회,384
2013 ~ 2017,국민,373
2013 ~ 2017,경향,366
2013 ~ 2017,올해,364
2013 ~ 2017,현대,351
2013 ~ 2017,실시,348
2013 ~ 2017,일본,346
2013 ~ 2017,100세,344
2013 ~ 2017,회장,341
2013 ~ 2017,기업,336
2013 ~ 2017,가능,326
2013 ~ 2017,가족,326
2013 ~ 2017,오늘,325
2013 ~ 2017,재취업,322
2013 ~ 2017,모집,321
2013 ~ 2017,연금,309
2013 ~ 2017,청년,304
2013 ~ 2017,미세먼지,286
2013 ~ 2017,강화,276
2013 ~ 2017,복지,274
2013 ~ 2017,대통령,272
2013 ~ 2017,사람,272
2013 ~ 2017,시장,272
2013 ~ 2017,관리,272
2013 ~ 2017,안전,271
2013 ~ 2017,국민연금,270
2013 ~ 2017,주목,269
2013 ~ 2017,교육,267
2013 ~ 2017,보험,266
2013 ~ 2017,의료,265
2013 ~ 2017,추진,264
2013 ~ 2017,성장,260
2013 ~ 2017,선정,257
2013 ~ 2017,문화,256
2013 ~ 2017,환자,254
2013 ~ 2017,인구,246
2013 ~ 2017,보장,245
2013 ~ 2017,세상,244
2013 ~ 2017,미래,242
2013 ~ 2017,개선,242
2013 ~ 2017,가장,241
2013 ~ 2017,영화,239
2013 ~ 2017,글로벌,230
2013 ~ 2017,중국,230
2013 ~ 2017,10년,228
2013 ~ 2017,교수,226
2013 ~ 2017,장애인,224
2013 ~ 2017,대비,222
2013 ~ 2017,할머니,221
2013 ~ 2017,원전,221
2013 ~ 2017,세대,219
2013 ~ 2017,예방,217
2013 ~ 2017,10대,214
2013 ~ 2017,나눔,211
2013 ~ 2017,준비,210
2013 ~ 2017,도입,210
2013 ~ 2017,절반,209
2013 ~ 2017,아파트,209
2013 ~ 2017,독거노인,208
2013 ~ 2017,대학,208
2013 ~ 2017,삼성,208
2013 ~ 2017,시작,208
2013 ~ 2017,기억,206
2013 ~ 2017,세월호,205
2013 ~ 2017,대표,204
2013 ~ 2017,70대,203
2013 ~ 2017,우리,203
2013 ~ 2017,고용,202
2013 ~ 2017,장관,195
2013 ~ 2017,대한민국,192
2013 ~ 2017,위험,191
2013 ~ 2017,기고,189
2013 ~ 2017,사업,189
2013 ~ 2017,부동산,189
2013 ~ 2017,무료,189
2013 ~ 2017,국가,189
2013 ~ 2017,봉사활동,188
2013 ~ 2017,최고,186
2013 ~ 2017,대책,184
2013 ~ 2017,불안,184
2013 ~ 2017,인상,183
2018 ~ 2023,코로나,1121
2018 ~ 2023,지원,962
2018 ~ 2023,서울시,932
2018 ~ 2023,정부,882
2018 ~ 2023,출시,829
2018 ~ 2023,한국,748
2018 ~ 2023,치매,738
2018 ~ 2023,여성,668
2018 ~ 2023,확대,599
2018 ~ 2023,코로나19,592
2018 ~ 2023,시대,551
2018 ~ 2023,내년,513
2018 ~ 2023,경제,495
