category,word,score
2013,여성,171
2013,일자리,168
2013,건강,135
2013,정부,130
2013,금융,126
2013,시대,120
2013,노후,119
2013,경제,116
2013,사회,104
2013,지원,98
2013,사랑,94
2013,고령화,91
2013,행복,87
2013,100세,81
2013,확대,80
2013,의료,79
2013,원전,72
2013,필요,71
2013,피부,70
2013,보장,66
2013,투자,65
2013,문화,62
2013,가족,62
2013,중국,61
2013,성장,61
2013,우리,60
2013,세계,59
2013,내년,58
2013,기업,58
2013,준비,57
2013,최대,56
2013,올해,56
2013,대표,54
2013,대비,54
2013,재취업,53
2013,사람,51
2013,복지,50
2013,시장,50
2013,치료,49
2013,국가,47
2013,대학,46
2013,영화,44
2013,대통령,44
2013,위험,44
2013,고용,44
2013,해결,43
2013,선물,43
2013,관리,43
2013,경찰,41
2013,정책,40
2013,추진,40
2013,시간제,40
2013,예방,39
2013,상품,39
2013,환자,39
2013,세상,38
2013,2013년,37
2013,논란,37
2013,사업,36
2013,50대,36
2013,저금리,36
2013,문제,35
2013,가능,35
2013,세대,34
2013,무료,33
2013,삼성,32
2013,부동산,32
2013,중요,32
2013,은행,31
2013,자녀,31
2013,고객,31
2013,질병,31
2013,관절,30
2013,전문,30
2013,소외계층,30
2013,리모델링,30
2013,개선,30
2013,소외,29
2013,허용,29
2013,여름,29
2013,의료비,29
2013,어디,29
2013,스마트,28
2013,원장,28
2013,10년,27
2013,안전,27
2013,인생,27
2013,하루,26
2013,희망,26
2013,글로벌,26
2013,인기,26
2013,걱정,25
2013,산업,25
2013,노후준비,25
2013,아파트,25
2013,부부,24
2013,해외,24
2013,분양,23
2013,집중,22
2013,5년,22
2014,정부,144
2014,지원,136
2014,건강,134
2014,노후,125
2014,여성,124
2014,시대,114
2014,치매,108
2014,한국,105
2014,세월호,103
2014,경제,102
2014,사랑,93
2014,재취업,91
2014,확대,83
2014,내년,82
2014,피부,82
2014,행복,82
2014,가족,80
2014,고령화,80
2014,안전,79
2014,필요,75
2014,기초연금,75
2014,100세,73
2014,일자리,67
2014,최고,67
2014,영화,64
2014,국민,64
2014,아파트,64
2014,사설,62
2014,절반,62
2014,치료,62
2014,관리,62
2014,회장,61
2014,삼성,59
2014,세계,58
2014,가능,57
2014,나눔,56
2014,성장,56
2014,예방,50
2014,중국,49
2014,돌파,46
2014,창업,46
2014,분양,45
2014,독거노인,43
2014,우리,43
2014,시장,43
2014,참사,42
2014,자녀,41
2014,문화,41
2014,규제,41
2014,펀드,39
2014,대비,39
2014,논란,39
2014,급증,39
2014,보장,39
2014,남성,39
2014,기억,38
2014,구조,37
2014,노화,37
2014,대학,36
2014,수술,35
2014,시행,35
2014,세대,35
2014,전망,34
2014,20년,34
2014,미래,34
2014,인생,33
2014,인구,33
2014,혁신,32
2014,걱정,31
2014,대상,31
2014,하루,31
2014,부모,31
2014,대통령,30
2014,기대,30
2014,특별,30
2014,원전,29
2014,어르신,29
2014,위험,28
2014,도시,28
2014,진출,28
2014,공급,28
2014,허리,28
2014,생각,27
2014,수상,27
2014,눈물,26
2014,공개,25
2014,tv,25
2014,정신,25
2014,적용,24
2014,100세시대,24
2014,비용,24
2014,활성화,24
2014,노동자,24
2014,불안,24
2014,개혁,24
2014,봉사활동,24
2014,7년,23
2014,위기,23
2014,복지부,23
2014,비상,23
2015,경제,204
2015,노후,189
2015,시대,177
2015,건강,177
2015,한국,171
2015,여성,163
2015,지원,163
2015,출시,155
2015,치매,134
2015,필요,130
2015,정부,124
2015,연금,122
2015,경향,121
2015,성장,116
2015,일본,116
2015,현대,108
2015,고령화,108
2015,내년,98
2015,청년,97
2015,주택,96
2015,최대,93
2015,보험,93
2015,가능,92
2015,행복,90
2015,사랑,89
2015,사회,89
2015,피부,85
2015,일자리,84
2015,미래,84
2015,재취업,82
2015,희망,82
2015,확대,80
2015,불안,78
2015,가족,77
2015,시장,76
2015,국민연금,75
2015,중국,71
2015,대통령,71
2015,세상,71
2015,세대,70
2015,오피스텔,67
2015,올해,67
2015,연말,66
2015,대학,66
2015,선정,65
2015,기업,63
2015,나눔,62
2015,대표,62
2015,1년,61
2015,메르스,60
2015,고용,59
2015,봉사활동,59
2015,아파트,58
2015,문화,57
2015,창업,57
2015,강화,57
2015,최고,56
2015,글로벌,56
2015,도입,56
2015,100세,55
2015,우리,54
2015,인구,54
2015,개선,53
2015,우려,53
2015,대비,52
2015,인생,52
2015,주목,52
2015,추가,51
2015,주식,50
2015,환자,50
2015,퇴직연금,49
2015,교육,48
2015,보장,48
2015,예방,47
2015,선택,46
2015,활용,46
2015,사람,46
2015,아들,45
2015,임금피크제,45
2015,기억,43
2015,절반,43
2015,공급,43
2015,자산,42
2015,40대,42
2015,해결,41
2015,대상,41
2015,서비스,41
2015,수익,41
2015,결혼,41
2015,10년,41
2015,부모,41
2015,어린이,41
2015,국가,40
2015,안전,40
2015,성공,40
2015,새해,39
2015,개혁,39
2015,5월,38
2015,인상,38
2015,전문가,38
2016,노후,204
2016,한국,202
2016,치매,162
2016,정부,150
2016,사진,137
2016,시대,134
2016,건강,131
2016,일본,122
2016,내년,121
2016,확대,114
2016,피부,104
2016,모집,103
2016,여성,96
2016,교육,93
2016,고령화,93
2016,오늘,92
2016,청년,90
2016,최대,90
2016,세계,87
2016,국민,84
2016,필요,79
2016,미세먼지,79
2016,100세,75
2016,사회,74
2016,투자,73
2016,가능,72
2016,환자,72
2016,관리,72
2016,경제,68
2016,복지,68
2016,보험,64
2016,회장,62
2016,2016,61
2016,경향,60
2016,사업,60
2016,롯데,59
2016,장애인,56
2016,국민연금,56
2016,글로벌,56
2016,연금,54
2016,선정,51
2016,안전,51
2016,아파트,51
2016,대책,50
2016,예방,50
2016,삼성,50
2016,주목,50
2016,위험,49
2016,대한민국,49
2016,보장,49
2016,저출산,48
2016,재취업,48
2016,개선,48
2016,미래,48
2016,건강보험,47
2016,준비,46
2016,5년,46
2016,3년,46
2016,기억,45
2016,부동산,45
2016,유일호,44
2016,가족,44
2016,세상,43
2016,강화,43
2016,분양,41
2016,문화,40
2016,시작,40
2016,판매,39
2016,결혼,38
2016,세대,38
2016,도입,38
2016,가구,37
2016,인생,37
2016,전국,36
2016,20대,36
2016,퇴직연금,36
2016,교훈,36
2016,장관,36
2016,구조,35
2016,70대,34
2016,대학,33
2016,불안,33
2016,50대,33
2016,고령자,33
2016,발표,33
2016,영화,32
2016,아동,32
2016,소외계층,32
2016,고객,32
2016,나눔,31
2016,교체,31
2016,기술,31
2016,경영,31
2016,민간,31
2016,장기,31
2016,자녀,30
2016,tv,30
2016,행사,30
2016,특별,30
2016,개발,30
2017,출시,256
2017,치매,211
2017,지원,192
2017,사진,190
2017,정부,183
2017,미세먼지,168
2017,일자리,160
2017,시대,143
2017,노후,140
2017,건강,137
2017,확대,135
2017,한국,130
2017,국민,123
2017,투자,110
2017,필요,108
2017,고령화,105
2017,여성,97
2017,사람,95
2017,대통령,90
2017,복지,86
2017,강화,86
2017,사회,85
2017,장관,85
2017,경제,84
2017,추진,84
2017,원전,84
2017,청년,73
2017,이재용,73
2017,정책,72
2017,행복,72
2017,미래,71
2017,가능,70
2017,시장,70
2017,안전,69
2017,분양,67
2017,11,66
2017,금융,66
2017,사랑,64
2017,인상,63
2017,세상,63
2017,100세,61
2017,저출산,61
2017,결혼,61
2017,개선,61
2017,대책,59
2017,10년,56
2017,보험,56
2017,대표,55
2017,가족,55
2017,세계,54
2017,일본,54
2017,경향,53
2017,감소,53
2017,인구,53
2017,50대,52
2017,펀드,51
2017,최고,51
2017,준비,50
2017,개발,50
2017,투자자,49
2017,20년,49
2017,폐지,48
2017,추석,48
2017,관리,48
2017,피부,47
2017,집중,47
2017,수확,47
2017,시작,46
2017,환자,46
2017,국가,45
2017,추경,45
2017,장애,45
2017,전국,44
2017,지역,44
2017,살해,43
2017,기부,43
2017,재취업,42
2017,창출,41
2017,시민,41
2017,부동산,41
2017,세대,40
2017,트럼프,40
2017,특별,40
2017,나눔,39
2017,건설,38
2017,평균,37
2017,서비스,37
2017,해소,37
2017,역사,37
2017,7월,36
2017,기억,36
2017,문제,36
2017,도입,36
2017,자녀,35
2017,기대,35
2017,보장,35
2017,환경,34
2017,전환,34
2017,규제,34
2017,부담,34
2018,서울시,220
2018,미세먼지,196
2018,출시,185
2018,지원,155
2018,한국,146
2018,치매,132
2018,확대,126
2018,경제,114
2018,강화,98
2018,삼성,96
2018,사회,95
2018,미래,89
2018,최대,86
2018,시대,82
2018,여성,75
2018,2018,75
2018,교육,75
2018,재취업,70
2018,청년,69
2018,세계,66
2018,돌봄,64
2018,건강,62
2018,실시,61
2018,사랑,61
2018,대상,60
2018,고령화,59
2018,연금,55
2018,독거노인,54
2018,국민연금,54
2018,기업,54
2018,구속,54
2018,장애인,53
2018,화재,52
2018,사람,51
2018,경향,48
2018,폭염,47
2018,관리,47
2018,복지,46
2018,공급,46
2018,인구,46
2018,대책,44
2018,15,43
2018,교수,43
2018,대통령,43
2018,부동산,42
2018,정책,41
2018,평균,41
2018,결정,41
2018,세상,41
2018,현대차,41
2018,밀양,39
2018,창업,39
2018,참사,39
2018,역사,39
2018,기자,38
2018,혁신,37
2018,부담,37
2018,보장,37
2018,문화,36
2018,운영,36
2018,안전,36
2018,민간,36
2018,개발,36
2018,외국인,35
2018,인사,35
2018,시민,34
2018,추가,34
2018,장관,34
2018,채용,33
2018,3년,33
2018,발표,33
2018,주택,33
2018,재판,33
2018,은퇴,32
2018,제한,32
2018,지역,32
2018,예방,31
2018,집중,31
2018,희망,31
2018,위기,30
2018,성장,30
2018,취약계층,30
2018,창출,30
2018,운행,30
2018,임금,30
2018,나라,30
2018,어린이,30
2018,감소,29
2018,위험,29
2018,직원,29
2018,인생,28
2018,엄마,26
2018,중심,26
2018,학교,26
2018,사회공헌,26
2018,세금,25
2018,걱정,25
2018,전문가,25
2018,준비,25
2018,우려,25
2019,미세먼지,276
2019,서울시,236
2019,정부,200
2019,지원,181
2019,치매,173
2019,경제,137
2019,노후,135
2019,내년,132
2019,일자리,126
2019,사회,116
2019,건강,107
2019,시대,103
2019,회장,96
2019,국민,93
2019,논란,92
2019,확대,91
2019,투자,88
2019,여성,87
2019,대표,85
2019,케어,84
2019,고령화,81
2019,교육,80
2019,강화,79
2019,세계,76
2019,복지,73
2019,필요,73
2019,경향,72
2019,보험,71
2019,추경,70
2019,기업,69
2019,교수,67
2019,중국,65
2019,운영,64
2019,미래,62
2019,서비스,61
2019,가족,61
2019,진행,61
2019,국민연금,59
2019,개선,59
2019,시장,59
2019,조국,58
2019,검찰,57
2019,미국,55
2019,예산,55
2019,퇴직연금,54
2019,시작,54
2019,주택,54
2019,증가,53
2019,대응,53
2019,도입,53
2019,개발,50
2019,최고,49
2019,발표,48
2019,65세,47
2019,어르신,47
2019,계속,46
2019,소득,46
2019,혁신,45
2019,5년,44
2019,투입,44
2019,보장,44
2019,이야기,43
2019,사람,43
2019,세상,42
2019,가구,42
2019,행복,42
2019,희망,41
2019,전문,40
2019,고용,40
2019,우리,40
2019,생각,39
2019,세대,38
2019,재정,38
2019,구조,37
2019,수도권,37
2019,관리,37
2019,해결,36
2019,정책,36
2019,분양,36
2019,유지,36
2019,수사,35
2019,100세,35
2019,준비,35
2019,비상,35
2019,부담,35
2019,운행,34
2019,안전,34
2019,위험,34
2019,20년,34
2019,산업,33
2019,추석,33
2019,목표,33
2019,하락,30
2019,창업,30
2019,검토,30
2019,4년,30
2019,최저,29
2019,공정,29
2019,포스코,29
2019,기준,29
2020,코로나,614
2020,코로나19,417
2020,한국,167
2020,지원,146
2020,정부,136
2020,치매,135
2020,서울시,133
2020,여성,113
2020,백신,111
2020,최대,105
2020,아파트,100
2020,세계,93
2020,시대,92
2020,일자리,85
2020,확대,83
2020,공급,77
2020,경제,75
2020,추가,75
2020,사회,74
2020,환자,72
2020,개발,70
2020,건강,67
2020,국민,65
2020,고용,63
2020,가능,63
2020,돌봄,58
2020,올해,57
2020,삼성,57
2020,미래,57
2020,강화,56
2020,가족,55
2020,현대,54
2020,필요,54
2020,하루,49
2020,투자,47
2020,최고,47
2020,15,46
2020,10년,45
2020,대통령,44
2020,극복,44
2020,취약,44
2020,부동산,43
2020,트럼프,42
2020,대표,39
2020,가구,39
2020,유지,39
2020,방역,39
2020,취약계층,38
2020,사진,38
2020,수사,37
2020,기업,37
2020,경향,36
2020,고령화,36
2020,아니다,35
2020,안전,35
2020,실적,35
2020,뉴딜,35
2020,관리,35
2020,진행,35
2020,나눔,33
2020,생활,33
2020,연금,33
2020,공장,33
2020,서비스,32
2020,결혼,32
2020,요양시설,32
2020,2020년,31
2020,기대,30
2020,기억,30
2020,집중,30
2020,추석,30
2020,증가,29
2020,개선,29
2020,교육,29
2020,선물,28
2020,조국,28
2020,해외,28
2020,소득,28
2020,경찰,27
2020,세금,27
2020,비대면,27
2020,준비,27
2020,규제,27
2020,3년,27
2020,공공임대,26
2020,분양,26
2020,진단,26
2020,10명,25
2020,남성,25
2020,갈등,24
2020,피부,24
2020,100세,24
2020,특별,24
2020,ai,23
2020,문화,23
2020,부족,23
2020,세대,23
2020,희망,23
2020,노동자,23
2020,중증,22
2021,코로나,312
2021,백신,247
2021,여성,194
2021,서울시,191
2021,지원,156
2021,한국,119
2021,정부,118
2021,치매,115
2021,코로나19,102
2021,확대,101
2021,시대,94
2021,일자리,89
2021,오세훈,82
2021,최대,81
2021,시작,79
2021,가능,74
2021,청년,73
2021,부동산,72
2021,국민,70
2021,투자,70
2021,인구,68
2021,안전,65
2021,돌봄,64
2021,윤석열,64
2021,필요,63
2021,교육,63
2021,모집,62
2021,삼성,62
2021,건강,62
2021,세상,60
2021,가족,57
2021,강화,56
2021,장애인,55
2021,할머니,55
2021,시장,52
2021,최고,49
2021,세계,48
2021,경제,48
2021,기술,48
2021,아파트,48
2021,방역,48
2021,esg,46
2021,규제,46
2021,10년,46
2021,대응,45
2021,장애,45
2021,50대,43
2021,주목,43
2021,지급,42
2021,친환경,41
2021,대학,41
2021,절반,40
2021,이야기,39
2021,정책,38
2021,최초,38
2021,추진,37
2021,목표,37
2021,3년,37
2021,인생,37
2021,복지,36
2021,완화,36
2021,수도권,36
2021,25,35
2021,주택,35
2021,발표,34
2021,위기,33
2021,결혼,33
2021,어르신,33
2021,보장,33
2021,여가부,32
2021,우려,32
2021,작년,32
2021,환자,32
2021,신청,30
2021,가정,30
2021,어린이,30
2021,논란,30
2021,해결,29
2021,서비스,29
2021,준비,29
2021,세대,29
2021,채용,29
2021,갈등,28
2021,전문가,28
2021,분양,28
2021,접종자,28
2021,인천,28
2021,7월,26
2021,성장,26
2021,청소,26
2021,일본,26
2021,발견,26
2021,영화,24
2021,탄소중립,24
2021,100세,24
2021,시민,24
2021,활용,24
2021,실형,24
2021,학교,24
2021,거리,24
2022,코로나,169
2022,정부,161
2022,지원,153
2022,여성,131
2022,노후,114
2022,건강,109
2022,장애인,102
2022,시대,98
2022,한국,96
2022,삼성,91
2022,사회,89
2022,확대,87
2022,출시,85
2022,경제,81
2022,추진,79
2022,논란,78
2022,복지,74
2022,사람,69
2022,공급,68
2022,장애,68
2022,강화,67
2022,국민,65
2022,투자,65
2022,가능,65
2022,세계,62
2022,폐지,62
2022,돌봄,61
2022,개발,61
2022,지역,61
2022,주택,61
2022,청년,59
2022,대표,58
2022,시작,58
2022,국가,57
2022,안전,56
2022,정책,55
2022,아파트,55
2022,세상,52
2022,원전,52
2022,어르신,52
2022,장관,52
2022,위험,51
2022,교육,51
2022,최고,50
2022,전기차,47
2022,취약,46
2022,성장,45
2022,기대,45
2022,규제,44
2022,개선,44
2022,디지털,43
2022,예방,42
2022,가족,42
2022,오세훈,41
2022,부동산,41
2022,미래,41
2022,정치,40
2022,2030,40
2022,교수,39
2022,대학,39
2022,지속,39
2022,ai,38
2022,관리,38
2022,에너지,37
2022,계속,37
2022,통합,36
2022,성공,36
2022,임대주택,36
2022,급증,36
2022,미국,35
2022,매출,35
2022,병원,35
2022,세대,34
2022,추석,34
2022,mz,33
2022,고용,33
2022,4년,33
2022,안락사,33
2022,얼굴,31
2022,공개,31
2022,불안,31
2022,공감,31
2022,공약,30
2022,도시,30
2022,감염,30
2022,고민,29
2022,인수,29
2022,특별,29
2022,부족,28
2022,혁신,28
2022,인수위,28
2022,나눔,27
2022,민간,27
2022,약자,27
2022,수출,26
2022,희망,26
2022,조기,26
2022,반지하,26
2022,갈등,25
2022,비판,25
2023,지원,166
2023,서울,157
2023,확대,111
2023,한국,102
2023,건강,78
2023,시대,76
2023,정부,74
2023,중국,72
2023,돌봄,68
2023,필요,58
2023,청년,57
2023,일자리,55
2023,가능,54
2023,시장,54
2023,가족,52
2023,성장,51
2023,저출산,50
2023,세계,47
2023,아파트,47
2023,투자,44
2023,ai,43
2023,환자,43
2023,사회,42
2023,경제,41
2023,전문,41
2023,복지,40
2023,기업,40
2023,위험,39
2023,대표,38
2023,안전,37
2023,교육,37
2023,지역,37
2023,시작,37
2023,선정,36
2023,도입,35
2023,강화,33
2023,5년,33
2023,우리,32
2023,반도체,31
2023,미국,30
2023,경찰,30
2023,내년,30
2023,대신,30
2023,운영,30
2023,장관,30
2023,해결,29
2023,엄마,29
2023,개발,29
2023,진단,28
2023,부모,27
2023,100세,26
2023,인력,26
2023,인천,26
2023,부산,25
2023,예산,25
2023,보험,25
2023,관리,25
2023,규모,25
2023,한강,24
2023,정책,22
2023,상생,22
2023,20년,21
2023,노조,20
2023,생각,20
2023,비판,20
2023,세대,20
2023,예방,19
2023,경기,19
2023,부족,19
2023,마음,19
2023,가사,18
2023,수주,18
2023,소득,17
2023,행복,17
2023,폭염,16
2023,동네,16
2023,로봇,16
2023,소상공인,16
2023,안정,15
2023,10월,15
2023,희망,15
2023,안심,15
2023,국가,14
2023,파업,14
2023,창출,14
2023,현장,14
2023,약자,14
2023,백골,14
2023,수술,13
2023,통합,13
2023,임금,13
2023,선물,13
2023,증가,12
2023,연령,12
2023,전환,12
2023,준비,12
2023,도전,12
2023,스타트업,12
2023,우울,12
2023,거부,12
