category,word,score
Negative,일자리,5842
Negative,지원,4934
Negative,정부,4575
Negative,코로나,4403
Negative,한국,4375
Negative,노후,4351
Negative,미세먼지,3940
Negative,치매,3524
Negative,내년,3470
Negative,경제,3453
Negative,확대,3273
Negative,고령화,3087
Negative,논란,2808
Negative,징역,2742
Negative,장애인,2725
Negative,고용,2686
Negative,국민,2666
Negative,청년,2430
Negative,미세,2369
Negative,중국,2318
Negative,인구,2193
Negative,재취업,2158
Negative,위험,2151
Negative,사회,2079
Negative,코로나19,2036
Negative,국민연금,2027
Negative,복지,2009
Negative,저출산,1991
Negative,가족,1975
Negative,검찰,1969
Negative,남성,1907
Negative,경찰,1883
Negative,최대,1864
Negative,올해,1850
Negative,안락사,1842
Negative,추진,1805
Negative,우려,1787
Negative,사설,1762
Negative,70대,1742
Negative,80대,1736
Negative,성장,1734
Negative,개선,1721
Negative,강화,1706
Negative,할머니,1702
Negative,20대,1682
Negative,정책,1680
Negative,성폭행,1679
Negative,살해,1677
Negative,인상,1629
Negative,칼럼,1628
Negative,도입,1613
Negative,사람,1569
Negative,절반,1567
Negative,50대,1555
Negative,시대,1549
Negative,출산,1516
Negative,안전,1513
Negative,사고,1499
Negative,10명,1488
Negative,공무원,1382
Negative,대통령,1382
Negative,아들,1380
Negative,부족,1375
Negative,위기,1371
Negative,폐지,1352
Negative,국가,1344
Negative,60대,1334
Negative,구속,1332
Negative,갈등,1328
Negative,해결,1317
Negative,결혼,1305
Negative,폭행,1304
Negative,40대,1289
Negative,추락,1271
Negative,세대,1264
Negative,연금,1235
Negative,급증,1222
Negative,수사,1204
Negative,시작,1200
Negative,관리,1199
Negative,발견,1195
Negative,추가,1175
Negative,투자,1172
Negative,공공,1169
Negative,채용,1160
Negative,지급,1158
Negative,심각,1154
Negative,연장,1151
Negative,최악,1143
Negative,예방,1134
Negative,가장,1109
Negative,아베,1105
Negative,불안,1101
Negative,직원,1092
Negative,뉴스,1089
Negative,투입,1085
Negative,자녀,1072
Negative,독거노인,1069
Negative,영화,1053
Negative,오늘,1049
Positive,한국,4849
Positive,일자리,3313
Positive,시대,3296
Positive,행복,3043
Positive,사랑,2990
Positive,사회,2897
Positive,세계,2782
Positive,경제,2709
Positive,지원,2621
Positive,100세,2571
Positive,개최,2289
Positive,오늘,2188
Positive,장애인,2007
Positive,세상,2000
Positive,최고,1902
Positive,사람,1791
Positive,청년,1775
Positive,고령화,1681
Positive,인생,1563
Positive,올해,1543
Positive,나눔,1486
Positive,희망,1461
Positive,코로나,1451
Positive,모집,1430
Positive,선정,1376
Positive,할머니,1371
Positive,칼럼,1371
Positive,세대,1354
Positive,영화,1342
Positive,문화,1337
Positive,창출,1331
Positive,서울시,1321
Positive,치매,1285
Positive,기억,1271
Positive,교수,1264
Positive,대한민국,1229
Positive,별세,1221
Positive,가장,1210
Positive,국민,1186
Positive,우리,1157
Positive,확대,1155
Positive,복지,1135
Positive,중국,1133
Positive,창업,1124
Positive,정부,1120
Positive,인구,1083
Positive,예방,1078
Positive,봉사활동,1075
Positive,대통령,1073
Positive,노후,1065
Positive,성장,1065
Positive,글로벌,1063
Positive,이야기,1060
Positive,시작,1046
Positive,마음,1046
Positive,내년,1024
Positive,전달,1012
Positive,주목,998
Positive,저출산,974
Positive,가능,968
Positive,재취업,961
Positive,준비,960
Positive,극복,958
Positive,노화,958
Positive,개선,944
Positive,장관,928
Positive,출시,924
Positive,최대,923
Positive,대표,903
Positive,미래,903
Positive,고용,866
Positive,강화,862
Positive,나이,855
Positive,가정,854
Positive,지역,850
Positive,회장,845
Positive,미세먼지,843
Positive,해결,839
Positive,특별,834
Positive,지금,827
Positive,엄마,812
Positive,기자,804
Positive,안전,800
Positive,실시,794
Positive,뉴스,793
Positive,교육,792
Positive,인간,778
Positive,여름,769
Positive,공개,764
Positive,독거노인,764
Positive,기부,762
Positive,역사,762
Positive,서비스,761
Positive,선물,761
Positive,도전,757
Positive,감독,754
Positive,최초,747
Positive,관리,747
Positive,추진,739
Positive,중요,734
