category,word,score
2013 ~ 2017,노인,431.35360523523275
2013 ~ 2017,치매,377.73710294548556
2013 ~ 2017,시대,303.8949303147923
2013 ~ 2017,노후,301.606906166257
2013 ~ 2017,한국,293.11835571599613
2013 ~ 2017,100세,259.9412760908152
2013 ~ 2017,건강한,232.51734142802832
2013 ~ 2017,위한,231.62823297640165
2013 ~ 2017,건강,228.0795175507133
2013 ~ 2017,출시,212.5547230060404
2013 ~ 2017,고령화,207.34767473481878
2013 ~ 2017,보험,203.15608229545947
2013 ~ 2017,서울,197.4155537230216
2013 ~ 2017,사설,185.83400611416042
2013 ~ 2017,일자리,185.67826998604355
2013 ~ 2017,일본,181.74709914044715
2013 ~ 2017,가족,180.15676109664935
2013 ~ 2017,은퇴,180.03572204006824
2013 ~ 2017,환자,168.53449671449553
2013 ~ 2017,칼럼,167.71448032600176
2013 ~ 2017,분양,167.01472361937746
2013 ~ 2017,좋은,164.41536147940855
2013 ~ 2017,경제,162.0029963913501
2013 ~ 2017,연금,159.93694678122452
2013 ~ 2017,재테크,159.5603358068187
2013 ~ 2017,지원,158.28383499059257
2013 ~ 2017,투자,156.1536751709574
2013 ~ 2017,오늘의,143.79231673928228
2013 ~ 2017,효능,140.9192683766216
2013 ~ 2017,효과,140.15778411825525
2013 ~ 2017,최대,139.39396722870237
2013 ~ 2017,글로벌,137.23490094374816
2013 ~ 2017,아파트,136.5484014107445
2013 ~ 2017,mbn,135.85981543855652
2013 ~ 2017,보장,135.73314734363774
2013 ~ 2017,인생,133.6154608869295
2013 ~ 2017,가입,132.3362071566349
2013 ~ 2017,여성,132.29964428247084
2013 ~ 2017,국민연금,131.48751505009824
2013 ~ 2017,가장,130.54205752752523
2013 ~ 2017,정부,129.24235443733613
2013 ~ 2017,노후준비,124.27720973507002
2013 ~ 2017,확대,123.29920302056175
2013 ~ 2017,부동산,123.09080462435566
2013 ~ 2017,1위,122.37535958310036
2013 ~ 2017,보험이야기,121.39944032042257
2013 ~ 2017,급증,118.1392563807483
2013 ~ 2017,개최,117.66903463941082
2013 ~ 2017,없다,117.31857002351492
2013 ~ 2017,50대,116.84372734338305
2013 ~ 2017,없는,115.49582678224056
2013 ~ 2017,최고,115.40675575116006
2013 ~ 2017,기업,113.90629948131466
2013 ~ 2017,이유,112.7885589963139
2013 ~ 2017,내년,111.13618640440255
2013 ~ 2017,준비,110.85413319241252
2013 ~ 2017,인기,110.02060923871684
2013 ~ 2017,위해,107.61974924946986
2013 ~ 2017,있는,106.33961942381724
2013 ~ 2017,mbn포토,104.96474051890536
2013 ~ 2017,치료,104.54222889704289
2013 ~ 2017,미세먼지,104.38714835184919
2013 ~ 2017,대한민국,103.17387970515473
2013 ~ 2017,행복한,102.7440857609132
2013 ~ 2017,기고,102.727330435871
2013 ~ 2017,cover,102.24777268795187
2013 ~ 2017,걱정,100.56633423997181
2013 ~ 2017,100세시대,99.92511820190384
2013 ~ 2017,세계,99.66729658629355
