category,word,score
2013 ~ 2017,출시,115.82665251347248
2013 ~ 2017,노인,101.13957355457855
2013 ~ 2017,위한,82.44323978480548
2013 ~ 2017,서울시,82.4007670191771
2013 ~ 2017,정부,79.56785204575593
2013 ~ 2017,지원,77.1649004678538
2013 ~ 2017,시대,72.03527696844537
2013 ~ 2017,개최,71.91210785951712
2013 ~ 2017,일자리,71.35160574919237
2013 ~ 2017,한국,70.31670625815931
2013 ~ 2017,치매,68.48514275167761
2013 ~ 2017,노후,66.05201844736189
2013 ~ 2017,서울,64.00867641774646
2013 ~ 2017,머니투데이,61.71422153903833
2013 ~ 2017,오프라인,61.35126485337962
2013 ~ 2017,확대,57.060930324518104
2013 ~ 2017,여성,56.098044650160325
2013 ~ 2017,책과,55.42324230308989
2013 ~ 2017,최대,53.09578585741872
2013 ~ 2017,고령화,52.8552651638413
2013 ~ 2017,실시,50.45348650046037
2013 ~ 2017,증가,48.32738533813665
2013 ~ 2017,올해,47.036967334094015
2013 ~ 2017,모집,46.87716642832859
2013 ~ 2017,내년,46.517809907153406
2013 ~ 2017,투자,45.60033338156444
2013 ~ 2017,일본,44.26378506323279
2013 ~ 2017,이유,42.33189790464019
2013 ~ 2017,국민연금,42.10367238312054
2013 ~ 2017,대상,41.11763645430227
2013 ~ 2017,위해,40.65840776363279
2013 ~ 2017,회장,39.96006563646701
2013 ~ 2017,추진,39.93918168970254
2013 ~ 2017,피부,38.15179541735192
2013 ~ 2017,오늘의,37.96163893085005
2013 ~ 2017,재취업,37.879153767874186
2013 ~ 2017,시장,37.725990362165106
2013 ~ 2017,없는,37.412391542390864
2013 ~ 2017,미세먼지,37.37406707430278
2013 ~ 2017,10대,37.20115880535843
2013 ~ 2017,필요,36.73026572683464
2013 ~ 2017,100세,36.135966257610576
2013 ~ 2017,없다,35.629808223459044
2013 ~ 2017,성장,35.06201523328441
2013 ~ 2017,중국,34.994715298322305
2013 ~ 2017,경제,34.75842979398172
2013 ~ 2017,선정,33.97224343878036
2013 ~ 2017,국민,33.71047913458796
