category,word,score
2013 ~ 2017,치매_환자,437
2013 ~ 2017,치매_노인,404
2013 ~ 2017,치매_예방,389
2013 ~ 2017,치매_위험,345
2013 ~ 2017,치매_국가책임제,172
2013 ~ 2017,노후_준비,423
2013 ~ 2017,노후_경유차,312
2013 ~ 2017,노후_대비,230
2013 ~ 2017,노후_행복한,99
2013 ~ 2017,노후_건강한,94
2013 ~ 2017,한국_노인,203
2013 ~ 2017,한국_경제,191
2013 ~ 2017,한국_고령화,128
2013 ~ 2017,한국_늙어가는,86
2013 ~ 2017,한국_노인빈곤,72
2013 ~ 2017,시대_100세,1839
2013 ~ 2017,시대_고령화,377
2013 ~ 2017,시대_저금리,144
2013 ~ 2017,시대_저성장,104
2013 ~ 2017,시대_초저금리,79
2013 ~ 2017,출시_건강보험,158
2013 ~ 2017,출시_암보험,126
2013 ~ 2017,출시_2종,109
2013 ~ 2017,출시_보험,101
2013 ~ 2017,출시_종신보험,100
2018 ~ 2023,치매_노인,724
2018 ~ 2023,치매_위험,602
2018 ~ 2023,치매_환자,506
2018 ~ 2023,치매_예방,286
2018 ~ 2023,치매_할머니,191
2018 ~ 2023,코로나_백신,276
2018 ~ 2023,코로나_시대,221
2018 ~ 2023,코로나_포스트,156
2018 ~ 2023,코로나_블루,137
2018 ~ 2023,코로나_이후,132
2018 ~ 2023,지원_확대,200
2018 ~ 2023,지원_강화,116
2018 ~ 2023,지원_일자리,105
2018 ~ 2023,지원_사업,97
2018 ~ 2023,지원_재취업,85
2018 ~ 2023,노후_행복한,314
2018 ~ 2023,노후_경유차,276
2018 ~ 2023,노후_탐구,254
2018 ~ 2023,노후_준비,239
2018 ~ 2023,노후_대비,163
2018 ~ 2023,시대_100세,1308
2018 ~ 2023,시대_건강법,246
2018 ~ 2023,시대_고령화,241
2018 ~ 2023,시대_코로나,221
2018 ~ 2023,시대_나이,90
