category,word,score
2013 ~ 2017,치매_예방,138
2013 ~ 2017,치매_우유,68
2013 ~ 2017,치매_환자,67
2013 ~ 2017,치매_노인,54
2013 ~ 2017,치매_위험,45
2013 ~ 2017,노후_준비,161
2013 ~ 2017,노후_경유차,104
2013 ~ 2017,노후_대비,77
2013 ~ 2017,노후_건강한,44
2013 ~ 2017,노후_재테크,36
2013 ~ 2017,한국_경제,64
2013 ~ 2017,한국_노인,61
2013 ~ 2017,한국_노인빈곤,52
2013 ~ 2017,한국_고령화,40
2013 ~ 2017,한국_늙어가는,22
2013 ~ 2017,시대_세,470
2013 ~ 2017,시대_고령화,142
2013 ~ 2017,시대_개인재무관리,63
2013 ~ 2017,시대_저금리,53
2013 ~ 2017,시대_저성장,50
2013 ~ 2017,경제_view,132
2013 ~ 2017,경제_한국,70
2013 ~ 2017,경제_일본,32
2013 ~ 2017,경제_브리핑,21
2013 ~ 2017,경제_터놓는,20
2018 ~ 2023,건강_한,91
2018 ~ 2023,건강_눈,81
2018 ~ 2023,건강_세,71
2018 ~ 2023,건강_부모님,43
2018 ~ 2023,건강_노인,36
2018 ~ 2023,치매_위험,200
2018 ~ 2023,치매_노인,126
2018 ~ 2023,치매_환자,107
2018 ~ 2023,치매_예방,103
2018 ~ 2023,치매_대,77
2018 ~ 2023,코로나_백신,93
2018 ~ 2023,코로나_시대,75
2018 ~ 2023,코로나_사망자,51
2018 ~ 2023,코로나_포스트,46
2018 ~ 2023,코로나_블루,44
2018 ~ 2023,노후_행복한,263
2018 ~ 2023,노후_탐구,254
2018 ~ 2023,노후_준비,101
2018 ~ 2023,노후_대비,93
2018 ~ 2023,노후_경유차,50
2018 ~ 2023,시대_세,802
2018 ~ 2023,시대_건강법,241
2018 ~ 2023,시대_고령화,86
2018 ~ 2023,시대_생애설계,85
2018 ~ 2023,시대_코로나,75
