category,word,score
2013 ~ 2017,만원_최대,36
2013 ~ 2017,만원_지원,26
2013 ~ 2017,만원_기초연금,19
2013 ~ 2017,만원_평균,18
2013 ~ 2017,만원_월급,16
2013 ~ 2017,노후_불안한,29
2013 ~ 2017,노후_준비,27
2013 ~ 2017,노후_경유차,25
2013 ~ 2017,노후_불안,20
2013 ~ 2017,노후_대비,19
2013 ~ 2017,건강_경제,17
2013 ~ 2017,건강_몸,14
2013 ~ 2017,건강_설명서,14
2013 ~ 2017,건강_걱정,11
2013 ~ 2017,건강_자산은,10
2013 ~ 2017,출시_종,29
2013 ~ 2017,출시_건강보험,27
2013 ~ 2017,출시_종신보험,25
2013 ~ 2017,출시_암보험,19
2013 ~ 2017,출시_보험,17
2013 ~ 2017,정부_문재인,21
2013 ~ 2017,정부_박근혜,19
2013 ~ 2017,정부_새,18
2013 ~ 2017,정부_저출산,15
2013 ~ 2017,정부_사회도,12
2018 ~ 2023,코로나_백신,42
2018 ~ 2023,코로나_이후,32
2018 ~ 2023,코로나_확산,32
2018 ~ 2023,코로나_확진자,28
2018 ~ 2023,코로나_사망자,27
2018 ~ 2023,정부_윤석열,23
2018 ~ 2023,정부_년간,20
2018 ~ 2023,정부_내년,14
2018 ~ 2023,정부_독거노인,12
2018 ~ 2023,정부_코로나,11
2018 ~ 2023,만원_최대,80
2018 ~ 2023,만원_지원,35
2018 ~ 2023,만원_지급,34
2018 ~ 2023,만원_받는다,26
2018 ~ 2023,만원_기초연금,24
2018 ~ 2023,치매_노인,52
2018 ~ 2023,치매_대,44
2018 ~ 2023,치매_환자,35
2018 ~ 2023,치매_예방,22
2018 ~ 2023,치매_알츠하이머,20
2018 ~ 2023,지원_만원,35
2018 ~ 2023,지원_확대,25
2018 ~ 2023,지원_억,12
2018 ~ 2023,지원_보청기,11
2018 ~ 2023,지원_재정,10
