category,word,score
Negative,일자리_노인,236
Negative,일자리_창출,219
Negative,일자리_청년,108
Negative,일자리_예산,77
Negative,일자리_사업,67
Negative,일자리_추경,59
Negative,일자리_시간제,57
Negative,일자리_지원,49
Negative,일자리_공공,47
Negative,일자리_여성,45
Negative,지원_확대,63
Negative,지원_재취업,60
Negative,지원_일자리,49
Negative,지원_사업,43
Negative,지원_정부,36
Negative,지원_추가,32
Negative,지원_강화,32
Negative,지원_금,27
Negative,지원_취업,27
Negative,지원_창업,25
Negative,정부_일자리,43
Negative,정부_문재인,36
Negative,정부_지원,35
Negative,정부_새,35
Negative,정부_미세먼지,35
Negative,정부_내년,35
Negative,정부_일본,33
Negative,정부_박근혜,24
Negative,정부_윤석열,23
Negative,정부_첫,23
Negative,코로나_이후,51
Negative,코로나_백신,45
Negative,코로나_신종,39
Negative,코로나_시대,32
Negative,코로나_확진자,27
Negative,코로나_19,25
Negative,코로나_제로,24
Negative,코로나_위드,22
Negative,코로나_포스트,22
Negative,코로나_사망자,20
Negative,한국_경제,99
Negative,한국_신용등급,69
Negative,한국_피치,54
Negative,한국_무디스,53
Negative,한국_imf,49
Negative,한국_성장률,44
Negative,한국_노인,44
Negative,한국_국가신용등급,43
Negative,한국_oecd,40
Negative,한국_고령화,35
Negative,노후_경유차,337
Negative,노후_준비,61
Negative,노후_서울시,60
Negative,노후_원전,57
Negative,노후_상수도관,38
Negative,노후_서울,33
Negative,노후_하수관,29
Negative,노후_아파트,26
Negative,노후_석탄발전소,26
Negative,노후_수도관,25
Negative,미세먼지_비상저감조치,131
Negative,미세먼지_대책,126
Negative,미세먼지_서울시,66
Negative,미세먼지_수도권,65
Negative,미세먼지_고농도,59
Negative,미세먼지_심한,57
Negative,미세먼지_저감,53
Negative,미세먼지_주범,44
Negative,미세먼지_정부,35
Negative,미세먼지_농도,35
Negative,치매_노인,305
Negative,치매_노모,131
Negative,치매_할머니,129
Negative,치매_80대,125
Negative,치매_위험,94
Negative,치매_아내,83
Negative,치매_걸린,80
Negative,치매_70대,65
Negative,치매_아버지,46
Negative,치매_환자,45
Negative,내년_예산,143
Negative,내년_여성인구,51
Negative,내년_성장률,47
Negative,내년_예산안,43
Negative,내년_서울시,37
Negative,내년_정부,35
Negative,내년_경제성장률,23
Negative,내년_일자리,23
Negative,내년_한국,23
Negative,내년_경제,21
Negative,경제_한국,109
Negative,경제_세계,49
Negative,경제_글로벌,23
Negative,경제_성장,23
Negative,경제_중국,22
Negative,경제_내년,21
Negative,경제_일본,18
Negative,경제_위기,18
Negative,경제_허리,17
Negative,경제_성장률,14
Positive,한국_경제,86
Positive,한국_oecd,46
Positive,한국_노인,36
Positive,한국_무디스,30
Positive,한국_imf,27
Positive,한국_고령화,26
Positive,한국_사회,25
Positive,한국_2050년,21
Positive,한국_늙어가는,21
Positive,한국_신용등급,18
Positive,일자리_창출,303
Positive,일자리_노인,87
Positive,일자리_어르신,54
Positive,일자리_청년,53
Positive,일자리_사업,41
Positive,일자리_박람회,40
Positive,일자리_여성,38
Positive,일자리_좋은,38
Positive,일자리_맞춤형,38
Positive,일자리_지원,29
Positive,시대_100세,389
Positive,시대_건강법,78
Positive,시대_고령화,52
Positive,시대_코로나,45
Positive,시대_저성장,26
Positive,시대_산업혁명,19
Positive,시대_인생,17
Positive,시대_생애설계,15
Positive,시대_연다,15
Positive,시대_저금리,11
Positive,행복_나눔,7
Positive,행복_작은,6
Positive,행복_여성,5
Positive,행복_시대,5
Positive,행복_가장,5
Positive,행복_건강,5
Positive,행복_프로젝트,5
Positive,행복_있어,5
Positive,행복_찾아,4
Positive,행복_대한민국,4
Positive,사랑_나눔,45
Positive,사랑_이웃,13
Positive,사랑_실천,9
Positive,사랑_받은,9
Positive,사랑_가족,7
Positive,사랑_나의,5
Positive,사랑_큰,5
Positive,사랑_전하는,5
Positive,사랑_한국,5
Positive,사랑_나누고,5
Positive,사회_고령화,32
Positive,사회_한국,23
Positive,사회_초고령,17
Positive,사회_행복한,12
Positive,사회_공헌,11
Positive,사회_경제,10
Positive,사회_일하는,9
Positive,사회_있는,9
Positive,사회_적,9
Positive,사회_초고령화,8
Positive,세계_최고령,108
Positive,세계_최고,61
Positive,세계_전,54
Positive,세계_1위,40
Positive,세계_최초,35
Positive,세계_최대,30
Positive,세계_경제,25
Positive,세계_2위,24
Positive,세계_여성의,22
Positive,세계_첫,19
Positive,경제_한국,98
Positive,경제_일본,28
Positive,경제_세계,28
Positive,경제_글로벌,23
Positive,경제_view,22
Positive,경제_신선한,18
Positive,경제_중국,18
Positive,경제_내년,17
Positive,경제_활력,14
Positive,경제_브리핑,11
Positive,지원_재취업,60
Positive,지원_창업,36
Positive,지원_취업,34
Positive,지원_확대,31
Positive,지원_적극,30
Positive,지원_일자리,29
Positive,지원_강화,23
Positive,지원_맞춤형,23
Positive,지원_사업,20
Positive,지원_자립,20
Positive,100세_시대,385
Positive,100세_카페,56
Positive,100세_건강,49
Positive,100세_할머니,47
Positive,100세_양종구의,36
Positive,100세_행복한,34
Positive,100세_행복을,22
Positive,100세_건강한,21
Positive,100세_시대를,19
Positive,100세_노인,19
