category,word,score
2013 ~ 2017,02_헤르만하우스,5
2013 ~ 2017,02_하락,5
2013 ~ 2017,02_집값,4
2013 ~ 2017,02_6월,2
2013 ~ 2017,02_마이너스,2
2013 ~ 2017,05p_경제성장률,3
2013 ~ 2017,05p_31로,2
2013 ~ 2017,05p_성장률,2
2013 ~ 2017,05p_높이고,2
2013 ~ 2017,05p_오를,2
2013 ~ 2017,08_곱하세요,10
2013 ~ 2017,08_나이에,10
2013 ~ 2017,08_잠재성장률,3
2013 ~ 2017,08_추락,3
2013 ~ 2017,08_비중,2
2013 ~ 2017,0대_성장,14
2013 ~ 2017,0대_성장률,10
2013 ~ 2017,0대_수익률,8
2013 ~ 2017,0대_연속,7
2013 ~ 2017,0대_추락,4
2013 ~ 2017,0명_채용,5
2013 ~ 2017,0명_인구,4
2013 ~ 2017,0명_대한민국,4
2013 ~ 2017,0명_경찰관,3
2013 ~ 2017,0명_대기아동,2
2018 ~ 2023,02_수익,2
2018 ~ 2023,02_역차별,2
2018 ~ 2023,02_매일,2
2018 ~ 2023,02_예산도,2
2018 ~ 2023,02_03원,1
2018 ~ 2023,05p_성장률,3
2018 ~ 2023,05p_우대금리,2
2018 ~ 2023,05p_gdp,2
2018 ~ 2023,05p_감소,2
2018 ~ 2023,05p_하락,2
2018 ~ 2023,08_잠재성장률,9
2018 ~ 2023,08_oecd,5
2018 ~ 2023,08_37개국,4
2018 ~ 2023,08_경제성장률,3
2018 ~ 2023,08_전망,2
2018 ~ 2023,0대_성장,14
2018 ~ 2023,0대_성장률,11
2018 ~ 2023,0대_추락,10
2018 ~ 2023,0대_나라,10
2018 ~ 2023,0대_소상공인,5
2018 ~ 2023,0명_확진자,5
2018 ~ 2023,0명_확진,4
2018 ~ 2023,0명_코로나,4
2018 ~ 2023,0명_인정,3
2018 ~ 2023,0명_잠실운동장,3
