category,word,score
2013 ~ 2017,노인_서울,172
2013 ~ 2017,노인_노후준비,161
2013 ~ 2017,노인_빈곤율,92
2013 ~ 2017,노인_한국,74
2013 ~ 2017,노인_70대,67
2013 ~ 2017,치매_예방,138
2013 ~ 2017,치매_우유,68
2013 ~ 2017,치매_환자,67
2013 ~ 2017,치매_노인,50
2013 ~ 2017,치매_위험,45
2013 ~ 2017,시대_100세,451
2013 ~ 2017,시대_고령화,142
2013 ~ 2017,시대_개인재무관리,63
2013 ~ 2017,시대_저성장,61
2013 ~ 2017,시대_저금리,52
2013 ~ 2017,노후_준비,161
2013 ~ 2017,노후_경유차,104
2013 ~ 2017,노후_대비,77
2013 ~ 2017,노후_건강한,44
2013 ~ 2017,노후_재테크,36
2013 ~ 2017,한국_경제,64
2013 ~ 2017,한국_노인,60
2013 ~ 2017,한국_노인빈곤,52
2013 ~ 2017,한국_고령화,40
2013 ~ 2017,한국_늙어가는,22
