category,word,score
2013 ~ 2017,노인_70대,29
2013 ~ 2017,노인_치매,18
2013 ~ 2017,노인_장애인,14
2013 ~ 2017,노인_임플란트,12
2013 ~ 2017,노인_10명,9
2013 ~ 2017,출시_건강보험,20
2013 ~ 2017,출시_암보험,17
2013 ~ 2017,출시_펀드,15
2013 ~ 2017,출시_2종,14
2013 ~ 2017,출시_종신보험,14
2013 ~ 2017,정부_박근혜,20
2013 ~ 2017,정부_문재인,16
2013 ~ 2017,정부_새,12
2013 ~ 2017,정부_개성공단,6
2013 ~ 2017,정부_지원,6
2013 ~ 2017,한국_경제,17
2013 ~ 2017,한국_oecd,9
2013 ~ 2017,한국_사회,8
2013 ~ 2017,한국_노인,8
2013 ~ 2017,한국_잠재성장률,7
2013 ~ 2017,위한_독거노인,12
2013 ~ 2017,위한_노인을,12
2013 ~ 2017,위한_나라는,7
2013 ~ 2017,위한_세대를,7
2013 ~ 2017,위한_여성을,7
2018 ~ 2023,서울시_올해,14
2018 ~ 2023,서울시_전국,11
2018 ~ 2023,서울시_미세먼지,9
2018 ~ 2023,서울시_내년,8
2018 ~ 2023,서울시_폭염,6
2018 ~ 2023,서울_아파트값,15
2018 ~ 2023,서울_지하철,14
2018 ~ 2023,서울_도심,11
2018 ~ 2023,서울_아파트,11
2018 ~ 2023,서울_구청장에게,8
2018 ~ 2023,정부_윤,20
2018 ~ 2023,정부_윤석열,17
2018 ~ 2023,정부_문재인,13
2018 ~ 2023,정부_내년,8
2018 ~ 2023,정부_코로나19,7
2018 ~ 2023,지원_확대,14
2018 ~ 2023,지원_재취업,10
2018 ~ 2023,지원_강화,7
2018 ~ 2023,지원_일자리,6
2018 ~ 2023,지원_50만원,6
2018 ~ 2023,노인_80대,28
2018 ~ 2023,노인_치매,22
2018 ~ 2023,노인_일자리,18
2018 ~ 2023,노인_장애인,14
2018 ~ 2023,노인_70대,13
